Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,36592,2349,1385,10126,1,0,0,0,0,103,1519,88581469,7972554,54706751,51017191,52248438,389615,738254685004,880570425,69079215,9190326,1,0,0,0,0,14022,713.165026387106,10000,1355.4263,859,11103,1615,1745,10000
1,extend,10000,true,zipfian,EXTEND,2,2269675,1060414,1040153,91269,100023,75891,0,0,0,103,1519,88581469,7972554,54706751,51033193,52248438,389615,738493868679,881210082,69079221,9190326,0,0,0,0,1,150437,664.7300863484382,100000,1495.2901,359,16447,2003,2313,100000
1,run,10000,true,uniform,READ,2,2778033,1240006,1198423,91369,100034,75976,0,0,0,103,1519,88581469,7972554,54706751,51033210,52248438,389615,738496839393,881255862,69079221,9190326,1,0,0,0,0,3911,25568.908207619534,100000,34.29055,23,12639,48,104,100000
1,reference,10000,true,uniform,READ,1,340599,114217,101497,10119,1,0,0,0,0,103,1519,88581469,7972554,54706751,51033210,52248438,389615,738496839454,881255863,69079221,9190326,1,0,0,0,0,3844,26014.568158168575,100000,33.88086,23,12623,46,80,100000
1,clean-run,10000,true,uniform,READ,389,468887,163812,153720,15134,1,0,0,4,385024,103,1520,88599933,7972554,54724588,51037044,52248575,389648,738523094392,881270122,69080206,9190326,1,0,0,0,0,3913,25555.83950932788,100000,34.2506,23,11407,48,108,100000
1,avg-run,10000,true,uniform,READ,391,1168604,397808,356794,35257,5,0,0,4,385024,103,1520,88599933,7972554,54724588,51040036,52248575,389648,738547409053,881320541,69080209,9190326,1,0,0,0,0,4151,24090.58058299205,100000,36.68071,25,12727,46,79,100000
2,extend,10000,true,zipfian,EXTEND,2,6994848,3940973,3843754,325058,200067,294362,0,0,0,103,1521,88606533,7972554,54743061,51054353,52248575,389648,739141700442,882560684,69115749,9190326,0,0,0,0,1,163714,610.821310333875,100000,1628.0858,333,18479,2427,3475,100000
2,run,10000,true,uniform,READ,2,8173522,4284832,4167167,325196,200078,294497,0,0,0,103,1521,88606696,7972554,54743094,51054353,52248575,389648,739143387840,882584508,69115752,9190326,1,0,0,0,0,4796,20850.70892410342,100000,43.20021,24,13143,59,159,100000
2,reference,10000,true,uniform,READ,1,643112,238131,202760,10119,1,0,0,0,0,103,1521,88606739,7972554,54743094,51054353,52248575,389648,739143387840,882584508,69115752,9190326,1,0,0,0,0,3907,25595.08574353724,100000,34.29704,23,12551,47,79,100000
2,clean-run,10000,true,uniform,READ,533,1013511,326166,315197,29927,1,0,0,4,385024,103,1522,88635458,7972554,54743095,51059677,52275380,389891,739182418940,882632769,69116742,9191507,1,0,0,0,0,4745,21074.81559536354,100000,42.64708,23,13455,57,138,100000
