Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,38912,2172,1208,10119,1,0,0,0,0,36,918,45196130,7972554,40205772,36375352,32673240,227323,428103875207,568057165,38227164,4807489,1,0,0,0,0,13449,743.549706297866,10000,1297.5051,829,14183,1582,1690,10000
1,extend,10000,true,uniform,EXTEND,2,1159993,242972,220525,18635,100023,1588,0,0,0,36,918,45196130,7972554,40205772,36381438,32673240,227323,428206246106,568450210,38227170,4807489,0,0,0,0,1,154102,648.9208446353714,100000,1532.27066,428,18095,1991,2095,100000
1,run,10000,true,uniform,READ,2,1718816,441149,398256,18746,100034,1680,0,0,0,36,918,45196130,7972554,40205772,36381438,32673240,227323,428207411845,568466606,38227170,4807489,1,0,0,0,0,4549,21982.853374367995,100000,40.6462,24,14167,51,88,100000
1,reference,10000,true,uniform,READ,1,342254,114543,101822,10181,12,62,0,0,0,36,918,45196130,7972554,40205772,36381438,32673240,227323,428207418818,568466716,38227170,4807489,1,0,0,0,0,3948,25329.280648429583,100000,34.63955,22,11879,47,78,100000
1,clean-run,10000,true,uniform,READ,509,546441,178220,168128,16721,1,0,0,4,385024,36,919,45204658,7972554,40213674,36385321,32673326,227330,428233951279,568484244,38228155,4807564,1,0,0,0,0,4101,24384.2965130456,100000,35.94385,23,15143,46,105,100000
1,avg-run,10000,true,uniform,READ,511,1258733,415309,374295,36843,5,0,0,4,385024,36,919,45204658,7972554,40213674,36388262,32673326,227330,428258343235,568535831,38228159,4807564,1,0,0,0,0,4011,24931.438544003988,100000,35.09483,24,12399,46,84,100000
2,extend,10000,true,uniform,EXTEND,2,3629855,935749,837764,57673,200056,19593,0,0,0,36,919,45204658,7972554,40213674,36390321,32673326,227330,428384327526,569030448,38234110,4807564,0,0,0,0,1,155090,644.7868979302341,100000,1541.78077,476,18559,2011,2121,100000
2,run,10000,true,uniform,READ,2,4885689,1365747,1246440,57834,200067,19731,0,0,0,36,919,45204658,7972554,40213674,36390322,32673326,227330,428385890006,569051463,38234110,4807564,1,0,0,0,0,4738,21105.951878429718,100000,42.66618,24,11495,55,117,100000
2,reference,10000,true,uniform,READ,1,644767,238457,203085,10181,12,62,0,0,0,36,919,45204658,7972554,40213674,36390322,32673326,227330,428385890006,569051463,38234110,4807564,1,0,0,0,0,3917,25529.742149604288,100000,34.39203,22,12431,47,76,100000
2,clean-run,10000,true,uniform,READ,533,1336343,404373,393404,36766,1,0,0,4,385024,36,920,45212749,7972554,40219890,36395675,32673441,227336,428426010000,569113483,38235097,4807919,1,0,0,0,0,4896,20424.83660130719,100000,44.23762,24,13111,55,89,100000
