Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,2500,true,uniform,INSERT,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0,0,0,1,0,9909,252.295892622868,0,2500,3760.9356,1686,182399,6143,7691,2500
1,extend,2500,true,uniform,EXTEND,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0,0,0,0,1,71475,349.772647778944,0,25000,2832.3776,1267,237055,4567,5475,25000
1,run,2500,true,uniform,READ,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,39359,635.178739297238,0,12531,467.655414571862,153,31439,991,1467,12531
1,run,2500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,39359,635.178739297238,0,12469,2635.57967760045,880,20143,4147,4643,12469
1,reference,2500,true,uniform,READ,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,37648,664.045898852529,0,12594,559.273225345403,185,141055,1170,1930,12594
1,reference,2500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,37648,664.045898852529,0,12406,2412.83185555376,907,50815,4131,4643,12406
1,clean-run,2500,true,uniform,READ,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,35269,708.837789560237,0,12537,644.982850761745,186,228735,1550,3015,12537
1,clean-run,2500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,35269,708.837789560237,0,12463,2128.76931717885,1079,167167,3299,4855,12463
1,avg-run,2500,true,uniform,READ,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,39952,625.750901081298,0,12490,561.952522017614,175,47071,1187,1930,12490
1,avg-run,2500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:2500},{count:2500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,39952,625.750901081298,0,12510,2578.7068745004,1097,220543,4223,4819,12510
