Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,500,true,uniform,INSERT,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0,0,0,1,0,2762,181.02824040550325,0,500,4558.48,2268,178687,6423,8575,500
1,extend,500,true,zipfian,EXTEND,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0,0,0,0,1,19622,254.81602283151565,0,5000,3813.669,1587,248191,5991,7795,5000
1,run,500,true,uniform,READ,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,40444,618.1386608644051,0,12563,477.0340682957892,149,5799,992,1436,12563
1,run,500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,40444,618.1386608644051,0,12437,2718.2932379191125,1103,32463,4207,4619,12437
1,reference,500,true,uniform,READ,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,42032,594.7849257708413,0,12615,603.531272294887,163,55999,1363,2255,12615
1,reference,500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,42032,594.7849257708413,0,12385,2725.4314089624545,1058,142463,4339,5035,12385
1,clean-run,500,true,uniform,READ,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,35066,712.9413106713056,0,12601,638.2193476708197,178,232575,1505,2905,12601
1,clean-run,500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,35066,712.9413106713056,0,12399,2125.399225744012,827,173695,3253,4743,12399
1,avg-run,500,true,uniform,READ,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,38234,653.8682847727154,0,12496,589.0745838668374,172,238719,1307,2159,12496
1,avg-run,500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,38234,653.8682847727154,0,12504,2417.8051023672424,812,57119,4259,5075,12504
2,extend,500,true,zipfian,EXTEND,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0,0,0,0,1,25286,197.73787866803764,0,5000,4937.1662,1814,1005567,7463,10447,5000
2,run,500,true,uniform,READ,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,50048,499.52046035805625,0,12507,544.2028464060127,174,35039,1139,1809,12507
2,run,500,true,uniform,UPDATE,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,50048,499.52046035805625,0,12493,3409.274473705275,1137,14407,4495,5071,12493
2,reference,500,true,uniform,READ,0,0,0,0,0,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],NULL,0,[{count:500},{count:500,"label:""usertable""}]",[{count:0}],0.5,0.5,0,0,0,47497,526.3490325704781,0,12544,509.1080197704082,180,33503,1048,1628,12544
