Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,41429,2242,1278,10136,1,0,0,0,0,3,3,1914,0,2958,9106,524,25,55152188,92917,4261,71,1,0,0,0,0,13081,764.4675483525724,10000,1272.6926,836,15799,1634,1769,10000
1,extend,10000,true,uniform,EXTEND,2,1014950,163507,141845,32532,100023,5864,0,0,0,3,3,1914,0,11150,16619,524,25,171485881,549475,4272,71,0,0,0,0,1,124907,800.5956431585099,100000,1242.19656,363,32799,1597,1701,100000
1,run,10000,true,uniform,READ,2,1992160,500638,458527,32659,100034,5982,0,0,0,3,3,1914,0,11150,16619,524,25,172690096,565403,4273,71,1,0,0,0,0,4296,23277.467411545626,100000,39.2853,23,20223,53,83,100000
1,reference,10000,true,uniform,READ,1,347139,114785,103301,10214,12,77,0,0,0,3,3,1914,0,11150,16619,524,25,172690281,565406,4273,71,1,0,0,0,0,3907,25595.08574353724,100000,35.41072,22,23711,47,69,100000
1,clean-run,10000,true,uniform,READ,565,862763,268195,258103,25743,1,0,0,4,385024,3,3,1914,1078,11150,21100,524,25,204485847,601021,5252,2181,1,0,0,0,0,4034,24789.29102627665,100000,36.65649,23,21679,52,81,100000
1,avg-run,10000,true,uniform,READ,567,2267355,713408,672394,58814,5,0,0,4,385024,3,3,1914,1364,17978,24626,524,25,235001297,679481,5256,2181,1,0,0,0,0,4874,20517.02913418137,100000,44.90372,27,14919,55,83,100000
2,extend,10000,true,uniform,EXTEND,2,3485800,829230,731064,79719,200056,33317,0,0,0,4,3,3367,1491,20522,26962,524,25,379288944,1208320,11969,2181,0,0,0,0,1,124793,801.326997507873,100000,1240.81614,360,28815,1606,1714,100000
2,run,10000,true,uniform,READ,4,5240209,1422505,1303893,79899,200067,33475,0,0,0,4,3,3768,1491,20556,26965,524,25,390415911,1235514,14355,2285,1,0,0,0,0,4870,20533.88090349076,100000,45.04012,25,20159,62,97,100000
2,reference,10000,true,uniform,READ,3,652079,237828,207059,10214,12,77,0,0,0,4,3,3810,1491,20556,27002,524,25,390439965,1235690,14357,2285,1,0,0,0,0,3829,26116.479498563593,100000,34.54393,22,21727,47,73,100000
2,clean-run,10000,true,uniform,READ,2787,1516899,454575,444483,44393,1,0,0,4,385024,4,4,15321,2077,20557,36486,22013,58,435403990,1308792,15344,6467,1,0,0,0,0,5000,20000.0,100000,46.30242,25,19231,58,91,100000
2,avg-run,10000,true,uniform,READ,2892,4047534,1229861,1188847,104587,5,0,0,4,385024,4,4,15321,2077,28163,41858,22013,58,480900418,1440766,15348,6467,1,0,0,0,0,4932,20275.750202757503,100000,45.61511,31,13591,60,96,100000
3,extend,10000,true,uniform,EXTEND,1788,7260781,1885108,1706298,137159,300089,77292,0,0,0,4,4,15321,7854,34156,45586,22013,58,648882991,2034606,24520,6467,0,0,0,0,1,125251,798.3968191870723,100000,1245.61423,368,16495,1622,1732,100000
3,run,10000,true,uniform,READ,1895,9545501,2652852,2453595,137391,300100,77507,0,0,0,4,4,15321,7854,34156,45710,22013,58,651169033,2065816,24520,6467,1,0,0,0,0,5457,18325.08704416346,100000,50.87484,28,20399,68,108,100000
3,reference,10000,true,uniform,READ,2236,954861,361761,310831,10214,12,77,0,0,0,4,4,15321,7902,34156,47881,22013,58,651169033,2065816,24520,6467,1,0,0,0,0,3909,25581.990278843696,100000,35.40235,22,21663,48,71,100000
3,clean-run,10000,true,uniform,READ,1050,1980970,585660,575568,57479,1,0,0,4,393216,4,5,27735,8430,34620,57433,22098,68,708465215,2165244,25505,10408,1,0,0,0,0,4918,20333.4688897926,100000,45.41638,29,18655,61,99,100000
3,avg-run,10000,true,uniform,READ,1155,5197949,1568368,1527354,127723,5,0,0,4,393216,4,5,27735,8430,42284,64208,22098,68,766788660,2322506,25567,10408,1,0,0,0,0,5512,18142.235123367198,100000,51.45488,34,16655,66,104,100000
