Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5414,1086,999,1046,1,0,0,0,0,7,637,619544,9907363,93489318,476800409,22078133,1606745,325149733098,319784702,33705393,5404992,1,0,0,0,0,1665,600.6006006006006,1000,1369.338,939,15615,1744,1968,1000
1,extend,1000,true,uniform,EXTEND,2,95057,17379,14262,3613,10008,597,0,0,0,7,637,619544,9907363,93489318,476801362,22078133,1606745,325162117261,319829172,33705404,5404992,0,0,0,0,1,12367,808.6035416835126,10000,1201.0686,857,9359,1587,1700,10000
1,run,1000,true,uniform,READ,2,910118,291783,286211,4025,10019,919,0,0,0,7,637,619544,9907363,93489318,476801534,22078133,1606745,325163708839,319833270,33705406,5404992,1,0,0,0,0,4053,24673.081667900322,100000,36.8649,22,18815,52,84,100000
1,reference,1000,true,uniform,READ,1,307626,103736,101768,1331,1,0,0,0,0,7,637,619544,9907363,93489318,476801534,22078133,1606745,325163708900,319833271,33705406,5404992,1,0,0,0,0,4124,24248.302618816684,100000,37.47974,20,26639,47,73,100000
1,clean-run,1000,true,uniform,READ,8,777754,257920,256833,2603,1,0,0,0,0,7,638,621820,9907363,93490940,476802862,22078160,1606756,325170838231,319838057,33706347,5405016,1,0,0,0,0,4627,21612.27577263886,100000,42.54996,22,21887,52,79,100000
1,avg-run,1000,true,uniform,READ,10,1802567,599405,594396,6260,5,0,0,0,0,7,638,621820,9907363,93490940,476803309,22078160,1606756,325174598642,319846445,33706350,5405016,1,0,0,0,0,3933,25425.883549453345,100000,35.49375,25,14191,52,84,100000
2,extend,1000,true,uniform,EXTEND,2,1031440,339544,308139,8709,20019,3635,0,0,0,7,638,621820,9907363,93490940,476803705,22078160,1606756,325187881173,319895477,33707101,5405016,0,0,0,0,1,12976,770.6535141800247,10000,1261.5465,854,9495,1624,1751,10000
2,run,1000,true,uniform,READ,2,2456138,816974,783115,9222,20030,4047,0,0,0,7,638,621820,9907363,93490940,476803834,22078160,1606756,325190073606,319900309,33707224,5405016,1,0,0,0,0,4231,23635.07445048452,100000,38.60405,24,23183,57,95,100000
2,reference,1000,true,uniform,READ,1,610250,207193,203202,1331,1,0,0,0,0,7,638,621820,9907363,93490940,476803834,22078160,1606756,325190073606,319900309,33707224,5405016,1,0,0,0,0,3756,26624.068157614485,100000,33.85031,21,23103,45,69,100000
2,clean-run,1000,true,uniform,READ,8,1347413,444546,443459,4469,1,0,0,0,0,7,639,623337,9907363,93492337,476805308,22078177,1606764,325198513230,319908849,33708164,5405040,1,0,0,0,0,4156,24061.597690086623,100000,37.81662,24,21183,53,91,100000
2,avg-run,1000,true,uniform,READ,10,3247148,1072464,1067455,10897,5,0,0,0,0,7,639,623337,9907363,93492337,476805943,22078177,1606764,325203912460,319923008,33708167,5405040,1,0,0,0,0,5049,19805.902158843335,100000,46.66097,30,11687,60,94,100000
