Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5414,1086,999,1046,1,0,0,0,0,1,1,53,0,308,4020,4515,6,20097061,31307,3314,71,0.5,0.5,0,0,0,1469,680.7351940095303,1000,830.856,375,17263,1206,1525,1000
1,extend,1000,true,uniform,EXTEND,2,94653,17521,14535,3618,10001,572,0,0,0,1,1,53,0,308,4869,4515,6,32135130,75754,3315,71,0,0,0,0,1,13171,759.2437931819908,10000,1275.1169,786,10487,1619,1746,10000
1,run,1000,true,uniform,READ,2,1221970,313281,299288,21680,60281,16771,0,0,0,1,1,53,0,308,6805,4515,6,83054380,323499,3316,71,0.5,0.5,0,0,0,77023,1298.3134907754827,49742,242.77087772908206,29,12887,487,567,49742
1,run,1000,true,uniform,UPDATE,2,1221970,313281,299288,21680,60281,16771,0,0,0,1,1,53,0,308,6805,4515,6,83054380,323499,3316,71,0.5,0.5,0,0,0,77023,1298.3134907754827,50258,1276.4220024672688,304,44927,1614,1723,50258
1,reference,1000,true,uniform,READ,2,1019837,261555,249255,18038,50068,13165,0,0,0,1,1,53,0,308,9044,4515,6,133904398,565695,3318,71,0.5,0.5,0,0,0,77737,1286.3887209436948,49944,242.5981899727695,26,11975,487,570,49944
1,reference,1000,true,uniform,UPDATE,2,1019837,261555,249255,18038,50068,13165,0,0,0,1,1,53,0,308,9044,4515,6,133904398,565695,3318,71,0.5,0.5,0,0,0,77737,1286.3887209436948,50056,1295.894957647435,311,29487,1614,1719,50056
1,clean-run,1000,true,uniform,READ,8,1215636,317528,306232,22617,50058,17689,0,0,0,1,1,53,0,8500,13065,4515,6,193733559,829782,4254,94,0.5,0.5,0,0,0,76703,1303.7299714483136,49954,228.67692276894743,30,10783,490,575,49954
1,clean-run,1000,true,uniform,UPDATE,8,1215636,317528,306232,22617,50058,17689,0,0,0,1,1,53,0,8500,13065,4515,6,193733559,829782,4254,94,0.5,0.5,0,0,0,76703,1303.7299714483136,50046,1289.051312792231,315,28479,1619,1730,50046
1,avg-run,1000,true,uniform,READ,10,1902798,492522,467885,28058,100052,22211,0,0,0,2,1,1060,0,10774,14606,4515,6,230421605,1009717,5912,94,0.5,0.5,0,0,0,70786,1412.70872771452,50021,173.52851802243057,24,11847,459,550,50021
1,avg-run,1000,true,uniform,UPDATE,10,1902798,492522,467885,28058,100052,22211,0,0,0,2,1,1060,0,10774,14606,4515,6,230421605,1009717,5912,94,0.5,0.5,0,0,0,70786,1412.70872771452,49979,1228.062846395486,303,32127,1575,1689,49979
2,extend,1000,true,uniform,EXTEND,2,1403307,377951,335348,27879,70292,21518,0,0,0,2,1,1529,0,10789,14621,4515,6,245236927,1062843,7108,94,0,0,0,0,1,12900,775.1937984496124,10000,1245.7665,404,31823,1607,1736,10000
2,run,1000,true,uniform,READ,2,3128769,839141,783653,59065,120726,51560,0,0,0,2,1,4182,0,11879,15712,4515,6,314770321,1361855,7288,94,0.5,0.5,0,0,0,77800,1285.3470437017995,49588,246.75296442687747,35,6395,500,581,49588
2,run,1000,true,uniform,UPDATE,2,3128769,839141,783653,59065,120726,51560,0,0,0,2,1,4182,0,11879,15712,4515,6,314770321,1361855,7288,94,0.5,0.5,0,0,0,77800,1285.3470437017995,50412,1285.342477981433,318,27487,1624,1728,50412
2,reference,1000,true,uniform,READ,2,2681216,704999,677372,48944,99845,41461,0,0,0,2,1,6887,0,12788,16619,4515,6,386273833,1654305,8597,94,0.5,0.5,0,0,0,75893,1317.6445785513815,50245,225.08494377550005,32,13231,490,574,50245
2,reference,1000,true,uniform,UPDATE,2,2681216,704999,677372,48944,99845,41461,0,0,0,2,1,6887,0,12788,16619,4515,6,386273833,1654305,8597,94,0.5,0.5,0,0,0,75893,1317.6445785513815,49755,1282.5866948045423,321,29727,1627,1740,49755
2,clean-run,1000,true,uniform,READ,8,1765082,467607,455624,38171,50180,30657,0,0,0,2,2,12774,0,12789,21826,201006,26,470306697,1976454,12817,118,0.5,0.5,0,0,0,75105,1331.4692763464484,49832,211.6492013164232,35,12111,488,570,49832
2,clean-run,1000,true,uniform,UPDATE,8,1765082,467607,455624,38171,50180,30657,0,0,0,2,2,12774,0,12789,21826,201006,26,470306697,1976454,12817,118,0.5,0.5,0,0,0,75105,1331.4692763464484,50168,1271.7652088981024,317,8215,1614,1733,50168
2,avg-run,1000,true,uniform,READ,10,2568663,676290,650708,45955,100270,37579,0,0,0,2,2,12774,0,12789,23752,201006,26,506772792,2167949,12821,118,0.5,0.5,0,0,0,76160,1313.0252100840337,49925,222.18055082623937,23,12079,478,563,49925
2,avg-run,1000,true,uniform,UPDATE,10,2568663,676290,650708,45955,100270,37579,0,0,0,2,2,12774,0,12789,23752,201006,26,506772792,2167949,12821,118,0.5,0.5,0,0,0,76160,1313.0252100840337,50075,1284.918522216675,345,6911,1601,1704,50075
3,extend,1000,true,uniform,EXTEND,2,3362074,916065,831813,66902,130737,58547,0,0,0,2,2,12774,0,12789,23757,201006,26,525184481,2226137,14668,118,0,0,0,0,1,13753,727.1140841998109,10000,1332.1705,509,10055,1659,1792,10000
3,run,1000,true,uniform,READ,2,5324660,1450724,1356964,102930,180606,94329,0,0,0,2,2,12774,0,12789,24851,201006,26,598031026,2540214,14958,118,0.5,0.5,0,0,0,77433,1291.43905053401,50153,232.29689151197337,38,7207,508,592,50153
3,run,1000,true,uniform,UPDATE,2,5324660,1450724,1356964,102930,180606,94329,0,0,0,2,2,12774,0,12789,24851,201006,26,598031026,2540214,14958,118,0.5,0.5,0,0,0,77433,1291.43905053401,49847,1304.6127349690053,529,11567,1633,1744,49847
3,reference,1000,true,uniform,READ,2,4604037,1226392,1185968,85389,150027,76818,0,0,0,3,2,13765,0,21191,25882,201006,26,681482700,2852630,17165,118,0.5,0.5,0,0,0,79397,1259.4934317417535,49840,248.14279695024078,38,6639,510,594,49840
3,reference,1000,true,uniform,UPDATE,2,4604037,1226392,1185968,85389,150027,76818,0,0,0,3,2,13765,0,21191,25882,201006,26,681482700,2852630,17165,118,0.5,0.5,0,0,0,79397,1259.4934317417535,50160,1321.0732854864434,338,13631,1642,1756,50160
3,clean-run,1000,true,uniform,READ,8,1942436,527056,515901,44299,50129,35699,0,0,0,3,3,21676,0,21192,30560,227279,53,768436601,3201401,21987,264,0.5,0.5,0,0,0,75550,1323.6267372600926,49883,223.2514483892308,38,11551,498,578,49883
3,clean-run,1000,true,uniform,UPDATE,8,1942436,527056,515901,44299,50129,35699,0,0,0,3,3,21676,0,21192,30560,227279,53,768436601,3201401,21987,264,0.5,0.5,0,0,0,75550,1323.6267372600926,50117,1270.3216672985216,313,7387,1621,1743,50117
3,avg-run,1000,true,uniform,READ,10,2790166,749436,724530,53185,100018,43797,0,0,0,3,3,21676,0,21192,32559,227279,53,806452538,3396509,21991,264,0.5,0.5,0,0,0,77963,1282.6597232020317,50126,244.3550053864262,24,5011,481,568,50126
3,avg-run,1000,true,uniform,UPDATE,10,2790166,749436,724530,53185,100018,43797,0,0,0,3,3,21676,0,21192,32559,227279,53,806452538,3396509,21991,264,0.5,0.5,0,0,0,77963,1282.6597232020317,49874,1302.7939607811686,332,13751,1604,1707,49874
4,extend,1000,true,uniform,EXTEND,2,5571985,1531832,1410150,111587,190617,102261,0,0,0,3,3,21676,0,21192,32559,227279,53,825981840,3456496,24354,264,0,0,0,0,1,13574,736.7025195226167,10000,1314.9554,869,8231,1649,1798,10000
4,run,1000,true,uniform,READ,2,7765164,2138036,2010592,153389,240704,143732,0,0,0,3,3,21676,0,21192,34380,227279,53,898854492,3793104,24737,264,0.5,0.5,0,0,0,79549,1257.08682698714,49946,254.05986465382614,42,14999,512,594,49946
4,run,1000,true,uniform,UPDATE,2,7765164,2138036,2010592,153389,240704,143732,0,0,0,3,3,21676,0,21192,34380,227279,53,898854492,3793104,24737,264,0.5,0.5,0,0,0,79549,1257.08682698714,50054,1320.2853518200343,505,6675,1642,1758,50054
4,reference,1000,true,uniform,READ,2,6761268,1818398,1768965,127232,200047,117580,0,0,0,4,3,23000,169,30250,35836,227279,53,988264707,4127617,28983,264,0.5,0.5,0,0,0,77640,1287.995878413189,50013,232.29984204106933,41,12359,510,599,50013
4,reference,1000,true,uniform,UPDATE,2,6761268,1818398,1768965,127232,200047,117580,0,0,0,4,3,23000,169,30250,35836,227279,53,988264707,4127617,28983,264,0.5,0.5,0,0,0,77640,1287.995878413189,49987,1306.5381599215796,423,7139,1634,1756,49987
4,clean-run,1000,true,uniform,READ,8,2158972,592371,572945,50492,50393,40841,0,0,0,4,4,32979,940,30251,41460,256143,66,1078541899,4491729,32579,699,0.5,0.5,0,0,0,83296,1200.5378409527468,49619,294.2820693685886,41,12647,522,605,49619
4,clean-run,1000,true,uniform,UPDATE,8,2158972,592371,572945,50492,50393,40841,0,0,0,4,4,32979,940,30251,41460,256143,66,1078541899,4491729,32579,699,0.5,0.5,0,0,0,83296,1200.5378409527468,50381,1348.5799805482225,329,6983,1651,1760,50381
4,avg-run,1000,true,uniform,READ,103,3047131,827594,794289,60032,100247,49600,0,0,0,4,4,32979,940,30251,43807,256143,66,1117461759,4688513,32583,699,0.5,0.5,0,0,0,73803,1354.9584705228785,50161,202.03917386017025,24,14519,466,558,50161
4,avg-run,1000,true,uniform,UPDATE,103,3047131,827594,794289,60032,100247,49600,0,0,0,4,4,32979,940,30251,43807,256143,66,1117461759,4688513,32583,699,0.5,0.5,0,0,0,73803,1354.9584705228785,49839,1262.5903208330826,340,7343,1584,1696,49839
5,extend,1000,true,uniform,EXTEND,3,8030702,2223710,2068111,161960,250715,152300,0,0,0,4,4,32979,940,30251,43808,256143,66,1139625476,4749810,34978,699,0,0,0,0,1,13751,727.2198385571959,10000,1332.0108,839,9239,1662,1806,10000
5,run,1000,true,uniform,READ,3,10326099,2833406,2656949,202889,300410,193394,0,0,0,4,4,32979,940,37672,45097,256143,66,1242955290,5097759,35556,699,0.5,0.5,0,0,0,77107,1296.899114217905,50327,233.99868857670833,45,14799,504,593,50327
5,run,1000,true,uniform,UPDATE,3,10326099,2833406,2656949,202889,300410,193394,0,0,0,4,4,32979,940,37672,45097,256143,66,1242955290,5097759,35556,699,0.5,0.5,0,0,0,77107,1296.899114217905,49673,1299.9708694864414,333,17135,1632,1743,49673
5,reference,1000,true,uniform,READ,3,9008191,2418346,2347724,168323,249949,158685,0,0,0,5,4,34680,940,39510,46525,256143,66,1356910766,5442843,40278,699,0.5,0.5,0,0,0,79171,1263.0887572469717,50120,249.865003990423,41,14063,510,600,50120
