Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,39996,12914,1948,10659,1,0,0,0,0,227,8389,9268213,117162019,1363291531,3681848027,231680179,31479080,4438864906040,4874352622,661303922,27512227,0.5,0.5,0,0,0,14426,693.1928462498267,10000,1402.6274,779,16023,1709,1818,10000
1,extend,10000,true,zipfian,EXTEND,15,1479470,314756,282808,104507,100023,83930,0,0,0,227,8389,9268213,117165423,1363307120,3681864657,231680179,31479080,4439135370961,4875052603,661303929,27512227,0,0,0,0,1,137491,727.3203336945691,100000,1365.98579,374,22175,1762,2177,100000
1,run,10000,true,uniform,READ,796,2215781,571633,519239,104619,100034,84030,0,0,0,227,8389,9268213,117167144,1363307120,3681865084,231680179,31479080,4439138404672,4875099123,661303929,27512227,1,0,0,0,0,4449,22476.961114857273,100000,40.44032,22,11847,57,108,100000
1,reference,10000,true,uniform,READ,1991,343685,125047,102321,10659,1,0,0,0,0,227,8389,9268213,117168725,1363310836,3681867074,231680179,31479080,4439138404983,4875099126,661303929,27512227,1,0,0,0,0,3297,30330.603579011222,100000,28.91051,20,13375,40,75,100000
1,clean-run,10000,true,uniform,READ,552,639817,211324,201232,20104,1,0,0,4,385024,227,8390,9280589,117169282,1363311376,3681872748,231680328,31479098,4439168206004,4875123443,661304914,27514046,1,0,0,0,0,4224,23674.242424242424,100000,38.18566,23,11407,52,96,100000
1,avg-run,10000,true,uniform,READ,646,1884700,622626,571610,51266,5,0,0,4,385024,227,8390,9280589,117169285,1363311376,3681876470,231680328,31479098,4439198606934,4875196145,661304948,27514046,1,0,0,0,0,4187,23883.44877000239,100000,37.75405,25,25839,55,89,100000
2,extend,10000,true,zipfian,EXTEND,135366,4827702,1304914,1192748,360544,200056,321986,0,0,0,227,8391,9281323,117227824,1363431705,3681973339,231680328,31479098,4439838356070,4876494533,661348572,27514046,0,0,0,0,1,141731,705.5619448109446,100000,1408.83218,377,97215,2221,3223,100000
2,run,10000,true,uniform,READ,195362,6548093,1794499,1661887,360695,200067,322131,0,0,0,227,8391,9281380,117230765,1363458018,3682000320,231680328,31479098,4439842270221,4876551813,661348644,27514046,1,0,0,0,0,5116,19546.520719311964,100000,47.17413,24,18175,67,117,100000
2,reference,10000,true,uniform,READ,4133,644233,249502,204125,10659,1,0,0,0,0,227,8391,9281383,117230961,1363458018,3682002539,231680328,31479098,4439842270221,4876551813,661348644,27514046,1,0,0,0,0,3520,28409.090909090908,100000,31.16519,21,17775,46,75,100000
2,clean-run,10000,true,uniform,READ,723,1211037,384260,374168,37221,1,0,0,4,385024,227,8392,9287217,117231078,1363458019,3682014790,231717522,31479357,4439885053977,4876610505,661349631,27517323,1,0,0,0,0,4845,20639.83488132095,100000,44.4845,23,13351,59,111,100000
2,avg-run,10000,true,uniform,READ,819,3834256,1206329,1155313,98933,12,0,0,4,385024,227,8392,9287217,117231078,1363466105,3682020345,231717522,31479357,4439931146596,4876745414,661349676,27517323,1,0,0,0,0,5076,19700.55161544523,100000,46.58124,30,16511,62,96,100000
3,extend,10000,true,zipfian,EXTEND,528939,10104321,2906794,2713429,764632,300089,712444,0,0,0,227,8393,9289597,117302541,1363725643,3682221943,231788984,31479787,4440919364344,4878584371,661397605,27517323,0,0,0,0,1,152585,655.3724153750369,100000,1517.34966,384,99199,2791,4463,100000
3,run,10000,true,uniform,READ,748154,12353809,3565255,3351444,764825,300100,712622,0,0,0,227,8393,9289597,117305568,1363788574,3682374125,231788984,31479787,4440925413019,4878678519,661397624,27517323,1,0,0,0,0,6273,15941.335883947075,100000,58.76,26,12951,83,155,100000
3,reference,10000,true,uniform,READ,6301,944755,373957,305929,10659,1,0,0,0,0,227,8393,9289597,117305600,1363788574,3682377906,231788984,31479787,4440925413069,4878678520,661397624,27517323,1,0,0,0,0,3865,25873.2212160414,100000,34.54502,22,18719,47,78,100000
3,clean-run,10000,true,uniform,READ,731,1638161,510694,500602,50352,1,0,0,4,385024,227,8394,9292596,117305660,1363792225,3682402187,231789059,31480364,4440980540615,4878763621,661398611,27521811,1,0,0,0,0,5566,17966.22349982034,100000,51.57335,25,12599,69,135,100000
3,avg-run,10000,true,uniform,READ,818,4822918,1501420,1450396,120352,5,0,0,4,385024,227,8394,9292596,117305660,1363800358,3682408564,231789059,31480364,4441034544557,4878916575,661398666,27521811,1,0,0,0,0,4970,20120.72434607646,100000,45.7081,31,15903,67,104,100000
4,extend,10000,true,zipfian,EXTEND,1250967,16753625,5029238,4752984,1314336,400122,1251890,0,0,0,227,8396,9294511,117385122,1364176123,3682707394,231849686,31481007,4442427812137,4881275718,661539555,27521811,0,0,0,0,1,169522,589.8939370701148,100000,1686.62009,391,80575,3479,5727,100000
4,run,10000,true,uniform,READ,1658648,19337412,5824278,5526702,1314560,400133,1252103,0,0,0,227,8396,9294511,117388237,1364285766,3683011835,231849686,31481007,4442439361001,4881435126,661543551,27521811,1,0,0,0,0,7001,14283.6737608913,100000,66.18813,29,12687,92,176,100000
4,reference,10000,true,uniform,READ,8478,1245341,499302,407747,10659,1,0,0,0,0,227,8396,9294511,117388251,1364285766,3683014030,231849686,31481007,4442439361051,4881435127,661543551,27521811,1,0,0,0,0,3500,28571.428571428572,100000,30.98744,22,13831,45,80,100000
4,clean-run,10000,true,uniform,READ,700,1960287,619727,609635,60438,1,0,0,4,385024,227,8397,9296852,117388387,1364285767,3683051674,231912638,31483324,4442506372091,4881540506,661544538,27527508,1,0,0,0,0,5732,17445.917655268666,100000,53.30873,28,13559,68,143,100000
4,avg-run,10000,true,uniform,READ,787,5656379,1765865,1714841,140438,5,0,0,4,385024,227,8397,9296852,117388387,1364293823,3683059556,231912638,31483324,4442571829369,4881713288,661544541,27527508,1,0,0,0,0,5594,17876.29603146228,100000,52.05215,33,17471,66,98,100000
5,extend,10000,true,zipfian,EXTEND,2432639,24920144,7719124,7354967,2006835,500166,1936208,0,0,0,227,8400,9300995,117473076,1364833110,3683485200,232007160,31487607,4444408474857,4884642708,661767254,27527508,0,0,0,0,1,180283,554.6834698779141,100000,1793.93339,400,150399,4047,6815,100000
