Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,40931,12944,1978,10659,1,0,0,0,0,130,4915,422792121,14618056,248841545,221594045,121119314,3112294,2579509713561,3221484852,405109467,13196692,1,0,0,0,0,13876,720.6687806284232,10000,1320.9626,773,17151,1640,1766,10000
1,extend,10000,true,uniform,EXTEND,2,989732,167225,132476,30529,100023,5743,0,0,0,130,4915,422792121,14618056,248841545,221601880,121119314,3112294,2579634570696,3221934879,405109475,13196692,0,0,0,0,1,131918,758.0466653527191,100000,1311.12694,391,11743,1616,1725,100000
1,run,10000,true,uniform,READ,2,2097968,467435,406213,44155,149849,14444,0,0,0,130,4915,422792121,14618056,248841545,221602384,121119314,3112294,2579682498307,3222180858,405109476,13196692,0.5,0.5,0,0,0,75863,1318.1656406944096,50196,214.94473663240097,28,6259,487,568,50196
1,run,10000,true,uniform,UPDATE,2,2097968,467435,406213,44155,149849,14444,0,0,0,130,4915,422792121,14618056,248841545,221602384,121119314,3112294,2579682498307,3222180858,405109476,13196692,0.5,0.5,0,0,0,75863,1318.1656406944096,49804,1291.9760260220062,727,13415,1622,1737,49804
1,reference,10000,true,uniform,READ,2,624240,150150,111435,15775,49875,1499,0,0,0,131,4915,422793106,14618056,248855620,221605928,121119314,3112294,2579761127742,3222386137,405113521,13196692,0.5,0.5,0,0,0,80123,1248.0810753466544,50148,251.6916925899338,26,15647,486,561,50148
1,reference,10000,true,uniform,UPDATE,2,624240,150150,111435,15775,49875,1499,0,0,0,131,4915,422793106,14618056,248855620,221605928,121119314,3112294,2579761127742,3222386137,405113521,13196692,0.5,0.5,0,0,0,80123,1248.0810753466544,49852,1337.9783358741877,597,6743,1645,1768,49852
1,clean-run,10000,true,uniform,READ,549,1333524,332503,312129,46844,49971,11735,0,4,385024,131,4916,422807099,14618056,248855859,221613134,121136340,3112320,2579853963957,3222719737,405115418,13196692,0.5,0.5,0,0,0,76722,1303.4071061755428,50041,226.1851281948802,28,4787,488,566,50041
1,clean-run,10000,true,uniform,UPDATE,549,1333524,332503,312129,46844,49971,11735,0,4,385024,131,4916,422807099,14618056,248855859,221613134,121136340,3112320,2579853963957,3222719737,405115418,13196692,0.5,0.5,0,0,0,76722,1303.4071061755428,49959,1294.8057206909666,409,12903,1624,1741,49959
1,avg-run,10000,true,uniform,READ,551,3008648,796865,723246,91112,100304,25542,0,4,385024,131,4916,422807099,14618056,248855859,221619595,121136340,3112320,2579933817518,3223047958,405115422,13196692,0.5,0.5,0,0,0,79483,1258.1306694513291,49682,249.08924761483033,27,5083,497,576,49682
1,avg-run,10000,true,uniform,UPDATE,551,3008648,796865,723246,91112,100304,25542,0,4,385024,131,4916,422807099,14618056,248855859,221619595,121136340,3112320,2579933817518,3223047958,405115422,13196692,0.5,0.5,0,0,0,79483,1258.1306694513291,50318,1318.6675742279106,386,16783,1627,1741,50318
