Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,40822,12879,1907,10119,1,0,0,0,0,397,33917,371915400,433165712,5037927431,9672988155,864881414,136238873,18273985763921,21298368856,2840843820,53862799,1,0,0,0,0,13643,732.9766180458844,10000,1301.6832,854,19983,1655,1781,10000
1,extend,10000,true,uniform,EXTEND,2,865768,145866,112789,21604,100023,2279,0,0,0,397,33917,371915400,433165712,5037935623,9672994594,864881414,136238873,18274092882399,21298775803,2840843824,53862799,0,0,0,0,1,129083,774.6953510531984,100000,1282.79506,398,9431,1631,1729,100000
1,run,10000,true,uniform,READ,2,1527217,378669,325146,21725,100034,2382,0,0,0,397,33917,371915400,433165712,5037935623,9672994594,864881414,136238873,18274093998610,21298790887,2840843824,53862799,1,0,0,0,0,4952,20193.861066235866,100000,44.90819,28,12647,57,87,100000
1,reference,10000,true,uniform,READ,1,344290,125306,102577,10180,12,61,0,0,0,397,33917,371915400,433165712,5037935623,9672994594,864881414,136238873,18274093998763,21298790888,2840843824,53862799,1,0,0,0,0,4441,22517.45102454402,100000,39.81037,26,12175,53,80,100000
1,clean-run,10000,true,uniform,READ,565,658439,209758,198789,18999,1,0,0,4,385024,397,33918,371924311,433165712,5037935688,9672998733,864881519,136238884,18274122482050,21298816009,2840844811,53864458,1,0,0,0,0,5087,19657.95164143896,100000,46.21966,28,16367,61,100,100000
1,avg-run,10000,true,uniform,READ,567,1470437,490346,439324,38999,5,0,0,4,385024,397,33918,371924311,433165712,5037935688,9673001654,864881519,136238884,18274147359603,21298866136,2840844813,53864458,1,0,0,0,0,4906,20383.204239706483,100000,43.98032,30,13783,54,84,100000
2,extend,10000,true,uniform,EXTEND,2,2802139,648784,541213,63944,200067,23029,0,0,0,397,33918,371924311,433166338,5037935688,9673003861,864881519,136238884,18274274393986,21299383423,2840851115,53864458,0,0,0,0,1,133414,749.5465243527666,100000,1325.99479,405,13679,1646,1749,100000
2,run,10000,true,uniform,READ,2,4240595,1139835,1011818,64116,200078,23195,0,0,0,397,33918,371924311,433166338,5037935688,9673003868,864881519,136238884,18274275463909,21299396038,2840851115,53864458,1,0,0,0,0,5878,17012.58931609391,100000,53.93419,31,20463,67,104,100000
2,reference,10000,true,uniform,READ,1,646803,249220,203840,10180,12,61,0,0,0,397,33918,371924311,433166338,5037935688,9673003868,864881519,136238884,18274275463909,21299396038,2840851115,53864458,1,0,0,0,0,4398,22737.60800363802,100000,38.98021,26,12191,53,81,100000
2,clean-run,10000,true,uniform,READ,1156,1339892,404047,393955,39282,1,0,0,4,385024,397,33919,371932896,433166904,5037942262,9673010366,864881584,136238890,18274316981263,21299458910,2840852100,53868165,1,0,0,0,0,5840,17123.287671232876,100000,53.51036,31,14903,75,106,100000
2,avg-run,10000,true,uniform,READ,1223,3524859,1091654,1040632,89455,5,0,0,4,385024,397,33919,371932896,433166904,5037949889,9673014900,864881584,136238890,18274356617439,21299569734,2840852103,53868165,1,0,0,0,0,6514,15351.550506601166,100000,60.15919,38,13263,76,105,100000
3,extend,10000,true,uniform,EXTEND,3,5881972,1487729,1298914,119344,300100,62627,0,0,0,397,33919,371932896,433168184,5037949889,9673018570,864881584,136238890,18274518973802,21300136968,2840860403,53868165,0,0,0,0,1,130023,769.0946986302423,100000,1291.82298,413,9327,1658,1769,100000
3,run,10000,true,uniform,READ,116,7906019,2168903,1958765,119566,300111,62827,0,0,0,397,33919,371932896,433169321,5037949889,9673018742,864881584,136238890,18274521383425,21300170219,2840860403,53868165,1,0,0,0,0,6629,15085.23155830442,100000,61.22588,35,16783,88,124,100000
3,reference,10000,true,uniform,READ,1603,947714,373134,305103,10180,12,61,0,0,0,397,33919,371932896,433170407,5037949889,9673020365,864881584,136238890,18274521383425,21300170219,2840860403,53868165,1,0,0,0,0,4236,23607.17658168083,100000,37.2411,26,13255,53,84,100000
3,clean-run,10000,true,uniform,READ,1369,1880869,557574,547482,54632,1,0,0,4,385024,397,33920,371945077,433170773,5037954343,9673029912,864881666,136238896,18274575584098,21300263947,2840861388,53872467,1,0,0,0,0,6663,15008.254539996999,100000,61.49953,36,16671,78,113,100000
3,avg-run,10000,true,uniform,READ,1488,5111703,1555131,1504109,124865,5,0,0,4,385024,397,33920,371945077,433170773,5037962196,9673036215,864881666,136238896,18274628623587,21300420622,2840861392,53872467,1,0,0,0,0,6799,14708.045300779526,100000,62.92006,43,15183,86,118,100000
4,extend,10000,true,uniform,EXTEND,18937,9871067,2587449,2315155,182432,400133,115402,0,0,0,397,33920,371945077,433185575,5037968627,9673053801,864881666,136238896,18274816501361,21301027819,2840872801,53872467,0,0,0,0,1,134721,742.2747752763117,100000,1338.64022,409,16367,1672,1800,100000
4,run,10000,true,uniform,READ,19051,12944388,3390136,3096520,182702,400144,115654,0,0,0,397,33920,371945077,433185576,5037968627,9673053986,864881666,136238896,18274819388069,21301067736,2840872801,53872467,1,0,0,0,0,7863,12717.792191275594,100000,73.6004,44,18031,90,131,100000
