Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,39487,12848,1876,10119,1,0,0,0,0,386,15455,17988911,200057226,2581520505,5657692644,409487374,60485510,8218524637552,9433500623,1238590468,58285955,1,0,0,0,0,13950,716.8458781362007,10000,1357.3018,839,29807,1678,1798,10000
1,extend,10000,true,zipfian,EXTEND,27,1403447,299923,268951,97762,100023,81048,0,0,0,386,15455,17988911,200059779,2581536113,5657707698,409487374,60485510,8218780084138,9434175777,1238590474,58285955,0,0,0,0,1,126037,793.4178058823996,100000,1252.78557,396,17295,1698,2075,100000
1,run,10000,true,uniform,READ,140,1965766,499675,448257,97874,100034,81150,0,0,0,386,15455,17988911,200059779,2581536113,5657707815,409487374,60485510,8218782582069,9434213748,1238590474,58285955,1,0,0,0,0,4661,21454.623471358078,100000,42.57604,25,12127,59,118,100000
1,reference,10000,true,uniform,READ,1621,342452,125308,102579,10181,12,62,0,0,0,386,15455,17988911,200060256,2581536113,5657709456,409487374,60485510,8218782582222,9434213749,1238590474,58285955,1,0,0,0,0,4071,24563.989191844754,100000,36.67429,23,11727,48,78,100000
1,clean-run,10000,true,uniform,READ,470,510529,173929,163837,16417,1,0,0,4,385024,386,15456,18003060,200060514,2581537667,5657715526,409487505,60485523,8218810241625,9434230669,1238591459,58287744,1,0,0,0,0,4517,22138.58755811379,100000,41.20627,25,14479,55,114,100000
1,avg-run,10000,true,uniform,READ,474,1317763,453994,402972,36540,5,0,0,4,385024,386,15456,18003060,200060514,2581537667,5657718480,409487505,60485523,8218835432007,9434282091,1238591463,58287744,1,0,0,0,0,4121,24265.95486532395,100000,37.33255,27,23231,50,79,100000
2,extend,10000,true,zipfian,EXTEND,86916,4181828,1146358,1040260,344805,200056,311438,0,0,0,386,15457,18005348,200112599,2581636010,5657804816,409487505,60485523,8219445471745,9435459908,1238606837,58287744,0,0,0,0,1,137597,726.7600311053293,100000,1367.95251,393,15591,2249,3207,100000
2,run,10000,true,uniform,READ,179592,5665126,1566388,1438967,345093,200078,311712,0,0,0,386,15457,18005350,200115639,2581670660,5657817244,409487505,60485523,8219465572106,9435585273,1238629486,58287744,1,0,0,0,0,5695,17559.26251097454,100000,53.06413,25,12615,74,153,100000
2,reference,10000,true,uniform,READ,3424,643162,249222,203842,10181,12,62,0,0,0,386,15457,18005350,200116540,2581670732,5657819047,409487505,60485523,8219465572106,9435585273,1238629486,58287744,1,0,0,0,0,3453,28960.324355632783,100000,30.58884,22,12415,41,81,100000
2,clean-run,10000,true,uniform,READ,629,1111156,358636,347667,32433,1,0,0,4,385024,386,15458,18012994,200116934,2581670733,5657830733,409519275,60485568,8219506606233,9435638751,1238630475,58291263,1,0,0,0,0,5313,18821.757952192736,100000,49.17679,26,15735,67,151,100000
2,avg-run,10000,true,uniform,READ,713,3225694,1026192,975170,82433,5,0,0,4,385024,386,15458,18012994,200116934,2581670733,5657835264,409519275,60485568,8219545876844,9435748966,1238630477,58291263,1,0,0,0,0,5867,17044.486108743822,100000,54.89879,34,21087,68,99,100000
3,extend,10000,true,zipfian,EXTEND,435138,8770776,2567297,2385450,744168,300100,695920,0,0,0,386,15459,18014311,200178219,2581896882,5658024951,409587023,60486180,8220499742367,9437481138,1238694404,58291263,0,0,0,0,1,140538,711.5513241970143,100000,1397.63875,394,58367,2679,4295,100000
3,run,10000,true,uniform,READ,696091,10846023,3170840,2967670,744532,300122,696269,0,0,0,386,15459,18014311,200182198,2581976488,5658151363,409587023,60486180,8220511049936,9437654552,1238694427,58291263,1,0,0,0,0,6481,15429.717636167257,100000,61.00507,28,14303,87,171,100000
3,reference,10000,true,uniform,READ,5218,943881,373136,305105,10181,12,62,0,0,0,386,15459,18014311,200182231,2581976488,5658153203,409587023,60486180,8220511049936,9437654552,1238694427,58291263,1,0,0,0,0,3984,25100.4016064257,100000,35.80577,23,14327,47,75,100000
3,clean-run,10000,true,uniform,READ,715,1505618,474112,464020,46536,1,0,0,4,385024,386,15460,18017657,200182418,2581977880,5658175110,409587119,60488394,8220564028279,9437732001,1238695415,58295711,1,0,0,0,0,5765,17346.053772766696,100000,53.66901,27,16943,72,161,100000
3,avg-run,10000,true,uniform,READ,822,4542428,1417009,1365987,116759,5,0,0,4,385024,386,15460,18017657,200182418,2581985885,5658181370,409587119,60488394,8220616721024,9437883114,1238695418,58295711,1,0,0,0,0,6251,15997.440409534474,100000,58.67845,38,21887,75,107,100000
4,extend,10000,true,zipfian,EXTEND,1111672,14731575,4489493,4230349,1279653,400144,1219627,0,0,0,386,15462,18021032,200256695,2582364236,5658477996,409644543,60489174,8221960357612,9440084174,1238779536,58295711,0,0,0,0,1,157255,635.9098279863915,100000,1564.56867,396,68479,3273,5491,100000
4,run,10000,true,uniform,READ,1605182,17244422,5245170,4964703,1280082,400166,1220041,0,0,0,386,15462,18021032,200258864,2582453314,5658750287,409644543,60489174,8221992129071,9440336082,1238814935,58295711,1,0,0,0,0,7356,13594.344752582925,100000,69.62596,29,12383,97,219,100000
4,reference,10000,true,uniform,READ,7011,1244601,497050,406368,10181,12,62,0,0,0,386,15462,18021032,200258873,2582453314,5658754127,409644543,60489174,8221992129071,9440336082,1238814935,58295711,1,0,0,0,0,4012,24925.224327018943,100000,36.12428,23,12207,46,72,100000
4,clean-run,10000,true,uniform,READ,699,1877110,593592,583500,58103,1,0,0,4,393216,386,15463,18022986,200259074,2582453315,5658789508,409699416,60489199,8222057210402,9440436793,1238815923,58301699,1,0,0,0,0,6434,15542.430836182779,100000,60.41702,29,12895,82,200,100000
4,avg-run,10000,true,uniform,READ,800,5481940,1708164,1657142,138103,22,0,0,4,393216,386,15463,18022986,200259074,2582461307,5658797496,409699416,60489199,8222121121963,9440609819,1238815987,58301699,1,0,0,0,0,6828,14645.577035735208,100000,64.39388,43,21471,77,109,100000
5,extend,10000,true,zipfian,EXTEND,2273350,21959002,6914981,6576506,1972236,500188,1902772,0,0,0,386,15466,18027559,200341761,2582957406,5659175771,409790832,60496473,8223952748448,9443475695,1239022078,58301699,0,0,0,0,1,177454,563.5263223145153,100000,1766.83965,403,174719,4061,6819,100000
5,run,10000,true,uniform,READ,2831837,24502948,7727498,7367701,1972486,500199,1903014,0,0,0,386,15466,18027559,200344238,2583090470,5659603491,409790832,60496473,8223974993499,9443668198,1239048288,58301699,1,0,0,0,0,8613,11610.356437942644,100000,82.1671,35,13671,110,232,100000
5,reference,10000,true,uniform,READ,8837,1545361,621854,507645,10181,12,62,0,0,0,386,15466,18027559,200344241,2583090470,5659605299,409790832,60496473,8223974993499,9443668198,1239048288,58301699,1,0,0,0,0,3955,25284.450063211127,100000,35.65122,23,15535,46,81,100000
5,clean-run,10000,true,uniform,READ,693,2322110,727671,716702,67651,1,0,0,4,385024,386,15467,18029377,200344546,2583090471,5659654752,409836097,60499350,8224052869656,9443796730,1239049277,58308654,1,0,0,0,0,7222,13846.579894765993,100000,68.36353,32,23727,93,205,100000
5,avg-run,10000,true,uniform,READ,777,5864765,1826079,1775057,147651,5,0,0,4,385024,386,15467,18029377,200344546,2583106551,5659663506,409836097,60499350,8224126572275,9443967031,1239049279,58308654,1,0,0,0,0,6690,14947.683109118087,100000,63.04272,43,28287,88,117,100000
6,extend,10000,true,zipfian,EXTEND,3751562,30154792,9767679,9348644,2814305,600232,2737190,0,0,0,386,15471,18032863,200432769,2583740093,5660183317,409960796,60504897,8226356074760,9447385195,1239314155,58308654,0,0,0,0,1,189998,526.3213296982074,100000,1892.06419,406,130303,4643,7963,100000
6,run,10000,true,uniform,READ,4523907,33006089,10721481,10281123,2814577,600243,2737458,0,0,0,386,15471,18032863,200435430,2583890012,5660765478,409960796,60504897,8226407571508,9447634985,1239375644,58308654,1,0,0,0,0,9768,10237.510237510238,100000,93.73679,41,17023,122,253,100000
6,reference,10000,true,uniform,READ,10663,1846121,746658,608922,10181,12,62,0,0,0,386,15471,18032863,200435434,2583890012,5660771406,409960796,60504897,8226407571508,9447634985,1239375644,58308654,1,0,0,0,0,4053,24673.081667900322,100000,36.64742,23,11783,49,77,100000
