Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,109,37261,2357,1393,10119,8,0,0,0,0,169,779,2244090,10394584,82251833,441893030,21660993,1395622,304242986452,303079386,37474640,3751989,0,0,0,1,0,12199,819.7393228953193,10000,1175.7996,310,9607,1581,1697,10000
1,extend,10000,true,uniform,EXTEND,207,1160215,243951,221731,18694,100030,1628,0,0,0,169,779,2244090,10394592,82251833,441899004,21660993,1395622,304344503831,303472206,37474646,3751989,0,0,0,0,1,133773,747.5350033265307,100000,1330.43575,332,16375,1971,2101,100000
1,run,10000,true,uniform,READ,213,1687396,436638,402267,18694,100030,1628,0,0,0,169,779,2244090,10394592,82251833,441899010,21660993,1395622,304344643033,303474422,37474646,3751989,1,0,0,0,0,4087,24467.824810374357,100000,36.09771,23,11495,53,83,100000
1,reference,10000,true,uniform,READ,11,341727,114547,101825,10181,12,62,0,0,0,169,779,2244090,10394592,82251833,441899012,21660993,1395622,304344643420,303474427,37474646,3751989,1,0,0,0,0,3716,26910.656620021527,100000,32.70777,22,12919,45,76,100000
1,clean-run,10000,true,uniform,READ,509,575462,185940,174971,16845,1,0,0,4,385024,169,780,2252110,10394593,82259503,441903420,21661074,1395630,304371660690,303495094,37475637,3753619,1,0,0,0,0,3783,26434.047052603753,100000,33.40473,22,13783,45,78,100000
1,avg-run,10000,true,uniform,READ,511,1270876,418069,377038,36845,5,0,0,4,385024,169,780,2252110,10394593,82259503,441906360,21661074,1395630,304395738243,303545221,37475639,3753619,1,0,0,0,0,3869,25846.471956577927,100000,33.85393,24,12807,51,79,100000
2,extend,10000,true,uniform,EXTEND,543,3696293,951043,870663,57654,200063,19625,0,0,0,169,780,2252110,10394593,82259503,441908784,21661074,1395630,304525680410,304062806,37481432,3753619,0,0,0,0,1,135028,740.5871374825962,100000,1342.75475,343,15687,1976,2117,100000
2,run,10000,true,uniform,READ,543,4848442,1351720,1258606,57654,200063,19625,0,0,0,169,780,2252110,10394593,82259503,441908784,21661074,1395630,304525773399,304064309,37481432,3753619,1,0,0,0,0,4935,20263.424518743668,100000,44.56631,25,12415,57,94,100000
2,reference,10000,true,uniform,READ,22,644289,238487,203097,10181,12,62,0,0,0,169,780,2252110,10394593,82259503,441908784,21661074,1395630,304525773399,304064309,37481432,3753619,1,0,0,0,0,3847,25994.281258123214,100000,33.92331,22,12575,43,75,100000
2,clean-run,10000,true,uniform,READ,1341,1331952,403358,392389,36664,1,0,0,4,385024,169,781,2260329,10395014,82266089,441915006,21661160,1395637,304565926675,304126120,37482418,3756353,1,0,0,0,0,4516,22143.489813994685,100000,40.62905,24,12687,59,95,100000
2,avg-run,10000,true,uniform,READ,1404,3080206,935762,894731,86664,5,0,0,4,385024,169,781,2260329,10395014,82273861,441919424,21661160,1395637,304604397146,304236334,37482420,3756353,1,0,0,0,0,4801,20828.993959591753,100000,43.10163,28,13111,61,95,100000
3,extend,10000,true,uniform,EXTEND,545,7709109,2111228,1966324,110180,300085,56040,0,0,0,169,781,2260329,10395135,82273861,441922756,21661160,1395637,304766854161,304805474,37490336,3756353,0,0,0,0,1,136741,731.3095560219685,100000,1359.41165,356,14831,1982,2137,100000
3,run,10000,true,uniform,READ,624,9507586,2717229,2552108,110389,300096,56234,0,0,0,169,781,2260329,10395925,82273861,441922846,21661160,1395637,304769099438,304836202,37490337,3756353,1,0,0,0,0,5250,19047.619047619046,100000,47.61408,28,15519,64,103,100000
3,reference,10000,true,uniform,READ,1617,945194,361537,304355,10181,12,62,0,0,0,169,781,2260329,10398084,82273861,441924462,21661160,1395637,304769099488,304836203,37490337,3756353,1,0,0,0,0,4169,23986.567522187575,100000,37.20234,21,12479,49,78,100000
3,clean-run,10000,true,uniform,READ,1715,1791759,533163,522197,52120,1,0,0,4,385024,169,782,2271820,10398750,82278155,441933978,21661255,1395643,304820968105,304924868,37491321,3759905,1,0,0,0,0,5287,18914.318138831095,100000,48.42721,26,12919,66,100,100000
3,avg-run,10000,true,uniform,READ,1805,4243013,1264728,1223696,122120,5,0,0,4,385024,169,782,2271820,10398750,82285781,441940168,21661255,1395643,304872379672,305075138,37491323,3759905,1,0,0,0,0,5084,19669.55153422502,100000,46.34516,31,12159,68,101,100000
4,extend,10000,true,uniform,EXTEND,10870,13121523,3671567,3445335,171206,400118,106290,0,0,0,169,782,2271820,10408080,82293720,441950761,21661255,1395643,305055903632,305678340,37502144,3759905,0,0,0,0,1,137610,726.6913741733886,100000,1367.94242,365,20767,1992,2149,100000
4,run,10000,true,uniform,READ,10977,15628317,4342387,4103009,171206,400118,106290,0,0,0,169,782,2271820,10408080,82293720,441950873,21661255,1395643,305056040092,305680510,37502144,3759905,1,0,0,0,0,5926,16874.789065136687,100000,54.45459,31,13623,73,118,100000
4,reference,10000,true,uniform,READ,3356,1246028,485477,405627,10181,12,62,0,0,0,169,782,2271820,10408080,82293720,441952479,21661255,1395643,305058561777,305714704,37502144,3759905,1,0,0,0,0,4024,24850.89463220676,100000,35.32523,21,13143,48,91,100000
4,clean-run,10000,true,uniform,READ,673,2172385,639793,629701,62856,1,0,0,4,385024,169,783,2285719,10408386,82293833,441962180,21661389,1395656,305122021950,305824984,37503128,3765819,1,0,0,0,0,5712,17507.00280112045,100000,52.6517,29,12231,71,107,100000
4,avg-run,10000,true,uniform,READ,765,5150085,1525119,1484088,143129,5,0,0,4,385024,169,783,2285719,10408388,82301719,441969800,21661389,1395656,305185905603,306002864,37503132,3765819,1,0,0,0,0,5723,17473.35313646689,100000,52.75787,33,13215,68,103,100000
5,extend,10000,true,uniform,EXTEND,31218,20636292,5476635,5175854,238214,500151,165790,0,0,0,169,783,2285719,10427388,82313270,441997320,21661389,1395656,305388352508,306634772,37516099,3765819,0,0,0,0,1,141554,706.4441838450344,100000,1407.34573,364,15463,2013,2171,100000
5,run,10000,true,uniform,READ,31688,23439430,6221534,5898179,238214,500151,165790,0,0,0,169,783,2285719,10427470,82313270,441997571,21661389,1395656,305388497742,306637080,37516099,3765819,1,0,0,0,0,6776,14757.969303423848,100000,62.79418,34,16607,86,140,100000
5,reference,10000,true,uniform,READ,5366,1546591,609417,506899,10181,12,62,0,0,0,169,783,2285719,10429500,82315345,441999537,21661389,1395656,305391420655,306676834,37516099,3765819,1,0,0,0,0,3935,25412.960609911053,100000,34.4531,18,13759,47,86,100000
5,clean-run,10000,true,uniform,READ,1908,2630211,773249,762281,70712,1,0,0,4,385024,169,784,2298633,10430038,82324254,442012733,21661531,1395687,305467137395,306811316,37517085,3772819,1,0,0,0,0,6109,16369.29120969062,99988,56.254350522062644,32,15863,78,127,99988,12
5,avg-run,10000,true,uniform,READ,1992,5436926,1606351,1565323,150712,5,0,0,4,385024,169,784,2298633,10430038,82332409,442021431,21661531,1395687,305539959824,306981615,37517087,3772819,1,0,0,0,0,5641,17727.35330615139,100000,51.776,33,14319,70,119,100000
6,extend,10000,true,uniform,EXTEND,94642,28797300,7443622,7060204,309800,600168,231729,0,0,0,169,784,2298633,10462194,82354779,442082515,21661531,1395687,305760218255,307634771,37532270,3772819,0,0,0,0,1,143562,696.5631573814798,99984,1427.1883801408226,376,17487,2024,2189,99984,16
6,run,10000,true,uniform,READ,118349,32096871,8303904,7899108,310139,600179,232052,0,0,0,169,784,2298633,10465067,82357180,442096914,21661531,1395687,305763657322,307682095,37532273,3772819,1,0,0,0,0,7063,14158.289678606825,99987,66.11100443057597,35,14799,91,164,99987,13
6,reference,10000,true,uniform,READ,7184,1847346,733357,608171,10181,12,62,0,0,0,169,784,2298633,10465289,82357180,442098824,21661531,1395687,305763657891,307682105,37532273,3772819,1,0,0,0,0,3868,25853.154084798345,100000,33.81427,21,13423,46,76,100000
6,clean-run,10000,true,uniform,READ,1566,2645931,774366,763322,76203,1,0,0,4,385024,169,785,2311029,10466152,82369268,442113320,21661660,1395740,305849086193,307819335,37533258,3780381,1,0,0,0,0,6108,16371.971185330714,99979,56.379629722241674,33,13487,76,127,99979,21
6,avg-run,10000,true,uniform,READ,1659,5803374,1705814,1664712,166203,5,0,0,4,385024,169,785,2311029,10466152,82377110,442123048,21661660,1395740,305933349620,308009662,37533260,3780381,1,0,0,0,0,5667,17646.02082230457,100000,51.96101,35,14311,71,111,100000
7,extend,10000,true,uniform,EXTEND,240809,37361438,9522248,9059929,384992,700176,302581,0,0,0,169,785,2311029,10523635,82418845,442242681,21661660,1395740,306171089830,308676830,37550647,3780381,0,0,0,0,1,144165,693.6496375680643,99975,1433.80064016004,371,17663,2019,2207,99975,25
7,run,10000,true,uniform,READ,316806,40769388,10421356,9937834,385361,700187,302942,0,0,0,169,785,2311029,10526989,82424661,442297899,21661660,1395740,306174854627,308728704,37550654,3780381,1,0,0,0,0,7198,13892.747985551541,99972,67.24683911495218,37,14799,93,136,99972,28
7,reference,10000,true,uniform,READ,8982,2148121,857297,709443,10181,12,62,0,0,0,169,785,2311029,10527367,82424661,442300489,21661660,1395740,306174854627,308728704,37550654,3780381,1,0,0,0,0,3986,25087.80732563974,100000,35.2984,21,13111,48,79,100000
7,clean-run,10000,true,uniform,READ,1064,2803927,817316,807226,80616,1,0,0,4,385024,169,786,2318013,10528166,82432869,442318835,21661809,1395962,306270919671,308874859,37551638,3789061,1,0,0,0,0,6323,15815.277558121144,99980,58.45396079215843,35,13871,79,113,99980,20
7,avg-run,10000,true,uniform,READ,1165,6153114,1804653,1763628,170997,5,0,0,4,385024,169,786,2318013,10528166,82440739,442330740,21661809,1395962,306366625664,309076919,37551642,3789061,1,0,0,0,0,6270,15948.96331738437,100000,57.99555,36,14271,75,118,100000
8,extend,10000,true,uniform,EXTEND,539029,46108917,11675383,11135517,463731,800186,377599,0,0,0,169,786,2318013,10592175,82518436,442535161,21661809,1395962,306626360982,309766499,37571152,3789061,0,0,0,0,1,142241,703.0321777827771,99977,1414.3347369895075,368,29439,2014,2219,99977,23
8,run,10000,true,uniform,READ,687170,49306056,12556427,11994880,463731,800186,377599,0,0,0,169,786,2318013,10595710,82537744,442683250,21661809,1395962,306626509104,309768853,37571152,3789061,1,0,0,0,0,8039,12439.358129120537,99975,75.41045261315328,41,18575,105,165,99975,25
8,reference,10000,true,uniform,READ,10780,2448896,981237,810715,10181,12,62,0,0,0,169,786,2318013,10597442,82544037,442685588,21661809,1395962,306630439353,309822897,37571174,3789061,1,0,0,0,0,3887,25726.78157962439,100000,34.26963,18,12823,47,85,100000
8,clean-run,10000,true,uniform,READ,1234,2941936,856141,846052,84543,1,0,0,4,385024,169,787,2329813,10598176,82553107,442715007,21661989,1396173,306737076761,309976946,37572159,3799370,1,0,0,0,0,6205,16116.035455278,99968,57.525828265044815,35,13295,71,119,99968,32
8,avg-run,10000,true,uniform,READ,1339,6248918,1831884,1790782,175016,22,0,0,4,385024,169,787,2329813,10598179,82569182,442728062,21661989,1396173,306842778015,310175646,37572163,3799370,1,0,0,0,0,6126,16323.865491348351,100000,56.47078,39,14775,71,109,100000
9,extend,10000,true,uniform,EXTEND,996311,54975312,13879990,13262478,545020,900193,455859,0,0,0,169,787,2329813,10666340,82653013,442985528,21661989,1396173,307119427610,310901475,37594110,3799370,0,0,0,0,1,142262,702.9283997132052,99974,1414.814661812071,366,30559,2003,2207,99974,26
9,run,10000,true,uniform,READ,1177482,58252097,14790422,14161213,545020,900193,455859,0,0,0,169,787,2329813,10668250,82664200,443163526,21661989,1396173,307119584595,310903991,37594110,3799370,1,0,0,0,0,7995,12507.817385866167,99969,75.45512108753714,44,14631,97,180,99969,31
9,reference,10000,true,uniform,READ,12578,2749671,1105177,911987,10181,12,62,0,0,0,169,787,2329813,10668263,82664200,443168731,21661989,1396173,307119584595,310903991,37594110,3799370,1,0,0,0,0,4183,23906.28735357399,100000,37.18246,22,13527,49,80,100000
9,clean-run,10000,true,uniform,READ,1613,3055356,889844,879755,87873,1,0,0,4,385024,169,788,2335805,10669792,82698768,443211536,21662091,1396689,307312664554,311125453,37609456,3805120,1,0,0,0,0,6771,14768.867227883622,99973,63.16562471867404,37,17023,88,175,99973,27
9,avg-run,10000,true,uniform,READ,1718,6578790,1924604,1883582,188396,5,0,0,4,385024,169,788,2335805,10671426,82714025,443226656,21662091,1396689,307429516525,311337074,37609459,3805120,1,0,0,0,0,6867,14562.3998835008,100000,64.21133,40,14087,82,149,100000
10,extend,10000,true,uniform,EXTEND,1603283,63781256,16117726,15442220,628824,1000194,537079,0,0,0,169,788,2335805,10740333,82842262,443590078,21662091,1396689,307654836197,312055917,37617656,3805120,0,0,0,0,1,142788,700.3389640586043,99968,1419.983564740717,385,27887,2001,2205,99968,32
