Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,37286,2172,1208,10119,1,0,0,0,0,32,4548,6084118,58932048,690539215,3876046152,128003899,14965226,2326055955602,2655606324,344142309,3122789,0,0,0,1,0,12662,789.76465013426,10000,1231.9275,829,8807,1592,1697,10000
1,extend,10000,true,uniform,EXTEND,6,1161043,244535,222234,18664,100023,1636,0,0,0,32,4548,6084118,58932808,690546621,3876052188,128003899,14965226,2326157243877,2655999210,344142314,3122789,0,0,0,0,1,125083,799.4691524827515,100000,1244.83906,324,13959,1899,2045,100000
1,run,10000,true,uniform,READ,18,1922327,439970,398871,29560,149951,6692,0,0,0,32,4548,6084118,58932824,690546621,3876052918,128003899,14965226,2326201089003,2656221094,344142314,3122789,0.5,0.5,0,0,0,66752,1498.0824544582933,50083,142.09608050635944,23,6771,436,522,50083
1,run,10000,true,uniform,UPDATE,18,1922327,439970,398871,29560,149951,6692,0,0,0,32,4548,6084118,58932824,690546621,3876052918,128003899,14965226,2326201089003,2656221094,344142314,3122789,0.5,0.5,0,0,0,66752,1498.0824544582933,49917,1182.832061221628,549,16479,1555,1666,49917
1,reference,10000,true,uniform,READ,34,577939,131124,103724,11516,49822,236,0,0,0,32,4548,6084118,58932834,690546621,3876055473,128003899,14965226,2326247105660,2656408230,344142314,3122789,0.5,0.5,0,0,0,63998,1562.5488296509266,50201,121.37094878588076,21,22223,428,515,50201
1,reference,10000,true,uniform,UPDATE,34,577939,131124,103724,11516,49822,236,0,0,0,32,4548,6084118,58932834,690546621,3876055473,128003899,14965226,2326247105660,2656408230,344142314,3122789,0.5,0.5,0,0,0,63998,1562.5488296509266,49799,1150.8866844715758,297,10111,1542,1658,49799
1,clean-run,10000,true,uniform,READ,573,914175,216236,197292,35120,50140,7547,0,4,385024,32,4549,6095037,58933705,690550306,3876062858,128003978,14965233,2326338988776,2656692824,344147051,3125061,0.5,0.5,0,0,0,63641,1571.3140899734449,49861,121.89119752913098,24,18607,418,509,49861
1,clean-run,10000,true,uniform,UPDATE,573,914175,216236,197292,35120,50140,7547,0,4,385024,32,4549,6095037,58933705,690550306,3876062858,128003978,14965233,2326338988776,2656692824,344147051,3125061,0.5,0.5,0,0,0,63641,1571.3140899734449,50139,1136.6248030475278,297,15871,1541,1673,50139
1,avg-run,10000,true,uniform,READ,702,1950170,468620,417070,67370,100288,16345,0,4,385024,32,4549,6095037,58935129,690557441,3876068873,128003978,14965233,2326406687607,2656987524,344147071,3125061,0.5,0.5,0,0,0,65440,1528.1173594132028,49878,133.72958017562854,24,5147,435,522,49878
1,avg-run,10000,true,uniform,UPDATE,702,1950170,468620,417070,67370,100288,16345,0,4,385024,32,4549,6095037,58935129,690557441,3876068873,128003978,14965233,2326406687607,2656987524,344147071,3125061,0.5,0.5,0,0,0,65440,1528.1173594132028,50122,1160.702865009377,294,16223,1545,1665,50122
2,extend,10000,true,uniform,EXTEND,3320,4225605,1047609,960113,75212,249984,31085,0,0,0,32,4549,6095037,58937713,690561811,3876073731,128003978,14965233,2326531913701,2657521474,344153394,3125061,0,0,0,0,1,129246,773.7183355771165,100000,1286.00844,387,13879,1950,2105,100000
2,run,10000,true,uniform,READ,3398,5658310,1426714,1317812,101167,299740,49919,0,0,0,33,4549,6097565,58937719,690562590,3876074455,128003978,14965233,2326638122910,2657807230,344162131,3125061,0.5,0.5,0,0,0,68030,1469.9397324709687,50255,152.5968361357079,28,18607,450,539,50255
2,run,10000,true,uniform,UPDATE,3398,5658310,1426714,1317812,101167,299740,49919,0,0,0,33,4549,6097565,58937719,690562590,3876074455,128003978,14965233,2326638122910,2657807230,344162131,3125061,0.5,0.5,0,0,0,68030,1469.9397324709687,49745,1201.757483164137,312,5307,1590,1718,49745
2,reference,10000,true,uniform,READ,4776,1443327,337429,272887,33248,100057,5049,0,0,0,33,4549,6100645,58946933,690566246,3876082004,128003978,14965233,2326719746834,2658065993,344166152,3125061,0.5,0.5,0,0,0,64814,1542.8765390193478,49787,119.83085946130517,23,20975,429,523,49787
2,reference,10000,true,uniform,UPDATE,4776,1443327,337429,272887,33248,100057,5049,0,0,0,33,4549,6100645,58946933,690566246,3876082004,128003978,14965233,2326719746834,2658065993,344166152,3125061,0.5,0.5,0,0,0,64814,1542.8765390193478,50213,1160.3693664987154,302,3617,1574,1711,50213
2,clean-run,10000,true,uniform,READ,849,1743071,404675,378359,76190,49459,21054,0,4,385024,33,4550,6112524,58950558,690573137,3876095002,128111785,14965261,2326851044174,2658454013,344171580,3129088,0.5,0.5,0,0,0,65758,1520.7275160436752,50542,144.42329151992402,30,6563,448,541,50542
2,clean-run,10000,true,uniform,UPDATE,849,1743071,404675,378359,76190,49459,21054,0,4,385024,33,4550,6112524,58950558,690573137,3876095002,128111785,14965261,2326851044174,2658454013,344171580,3129088,0.5,0.5,0,0,0,65758,1520.7275160436752,49458,1170.423874802863,277,15719,1586,1720,49458
2,avg-run,10000,true,uniform,READ,959,3414135,810862,751431,138616,99230,41520,0,4,385024,33,4550,6112524,58950931,690578822,3876102896,128111785,14965261,2326937682252,2658825926,344171584,3129088,0.5,0.5,0,0,0,65104,1536.0039321700663,50255,136.02071435678042,25,15999,448,544,50255
