Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,35068,1974,1011,10046,1,0,0,0,0,219,23014,359834904,279741422,3212146428,6213836891,566792109,90313869,12397012379512,14764705111,1964054626,21436537,1,0,0,0,0,12779,782.5338445887785,10000,1235.5045,862,8447,1586,1686,10000
1,extend,10000,true,uniform,EXTEND,2,1155800,243605,221372,18558,100012,1481,0,0,0,219,23014,359834904,279742177,3212153865,6213842940,566792109,90313869,12397113558977,14765097045,1964054636,21436537,0,0,0,0,1,124595,802.6004253782254,100000,1239.03296,306,14471,1860,1996,100000
1,run,10000,true,uniform,READ,2,1944242,443991,395150,29682,149985,6659,0,0,0,219,23014,359834904,279742177,3212153865,6213843357,566792109,90313869,12397157415469,14765328678,1964054638,21436537,0.5,0.5,0,0,0,64458,1551.3978094262932,50049,123.71789646146776,23,5851,414,519,50049
1,run,10000,true,uniform,UPDATE,2,1944242,443991,395150,29682,149985,6659,0,0,0,219,23014,359834904,279742177,3212153865,6213843357,566792109,90313869,12397157415469,14765328678,1964054638,21436537,0.5,0.5,0,0,0,64458,1551.3978094262932,49951,1153.350443434566,462,7747,1528,1647,49951
1,reference,10000,true,uniform,READ,2,577104,130837,103384,11396,49871,176,0,0,0,219,23014,359834904,279742179,3212153865,6213845905,566792109,90313869,12397203563694,14765515982,1964054638,21436537,0.5,0.5,0,0,0,60470,1653.71258475277,50141,95.44743822420773,22,13263,388,503,50141
1,reference,10000,true,uniform,UPDATE,2,577104,130837,103384,11396,49871,176,0,0,0,219,23014,359834904,279742179,3212153865,6213845905,566792109,90313869,12397203563694,14765515982,1964054638,21436537,0.5,0.5,0,0,0,60470,1653.71258475277,49859,1103.8797208126919,608,2573,1501,1634,49859
1,clean-run,10000,true,uniform,READ,581,932779,230942,197659,35248,49945,7528,0,4,393216,219,23015,359845557,279743025,3212157244,6213852924,566792199,90313875,12397294775038,14765796822,1964059442,21438531,0.5,0.5,0,0,0,62343,1604.0293216559999,50056,114.58922007351767,24,4935,408,517,50056
1,clean-run,10000,true,uniform,UPDATE,581,932779,230942,197659,35248,49945,7528,0,4,393216,219,23015,359845557,279743025,3212157244,6213852924,566792199,90313875,12397294775038,14765796822,1964059442,21438531,0.5,0.5,0,0,0,62343,1604.0293216559999,49944,1120.1346307864808,288,8991,1527,1666,49944
1,avg-run,10000,true,uniform,READ,698,2054694,517571,448147,75513,100070,17779,0,4,393216,219,23015,359845557,279743514,3212164570,6213857549,566792199,90313875,12397357351568,14766126579,1964059446,21438531,0.5,0.5,0,0,0,62396,1602.666837617796,49901,113.61255285465221,24,4979,406,513,49901
1,avg-run,10000,true,uniform,UPDATE,698,2054694,517571,448147,75513,100070,17779,0,4,393216,219,23015,359845557,279743514,3212164570,6213857549,566792199,90313875,12397357351568,14766126579,1964059446,21438531,0.5,0.5,0,0,0,62396,1602.666837617796,50099,1120.3509650891235,278,9415,1511,1643,50099
2,extend,10000,true,uniform,EXTEND,663,4261790,1055433,959747,75518,250018,31268,0,0,0,219,23015,359845557,279747056,3212164570,6213860420,566792199,90313875,12397482982081,14766660983,1964065592,21438531,0,0,0,0,1,129343,773.1380901942896,100000,1285.98174,358,17519,1902,2036,100000
2,run,10000,true,uniform,READ,715,5812249,1467751,1343232,101687,300165,50371,0,0,0,220,23015,359847807,279747056,3212168507,6213861050,566792199,90313875,12397589466265,14766956553,1964074269,21438531,0.5,0.5,0,0,0,65067,1536.8773725544438,49875,127.0487619047619,27,5999,423,535,49875
