Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5294,1084,997,1046,1,0,0,0,0,27,4135,4493578,49126908,632262178,3805752975,110477542,14444086,2125787848360,2309099464,323605717,2754925,0,0,0,1,0,1718,582.0721769499418,1000,1411.642,951,10071,1681,1810,1000
1,extend,1000,true,uniform,EXTEND,2,114638,27022,23813,1949,10001,139,0,0,0,27,4135,4493578,49126908,632262178,3805753732,110477542,14444086,2125797999948,2309137162,323605723,2754925,0,0,0,0,1,12060,829.1873963515754,10000,1171.5847,848,17727,1846,2033,10000
1,run,1000,true,uniform,READ,2,701122,178331,169798,6306,60221,4173,0,0,0,27,4135,4493578,49126908,632262178,3805754459,110477542,14444086,2125824115148,2309329250,323605724,2754925,0.5,0.5,0,0,0,63292,1579.9785122922328,49791,116.92012612721174,22,19983,411,503,49791
1,run,1000,true,uniform,UPDATE,2,701122,178331,169798,6306,60221,4173,0,0,0,27,4135,4493578,49126908,632262178,3805754459,110477542,14444086,2125824115148,2309329250,323605724,2754925,0.5,0.5,0,0,0,63292,1579.9785122922328,50209,1133.3953673644166,291,4387,1519,1632,50209
1,reference,1000,true,uniform,READ,2,533258,134399,126465,4358,50229,2260,0,0,0,27,4135,4493578,49127386,632262178,3805755525,110477542,14444086,2125851555464,2309506995,323605729,2754925,0.5,0.5,0,0,0,66400,1506.0240963855422,49783,138.729887712673,21,18559,434,512,49783
1,reference,1000,true,uniform,UPDATE,2,533258,134399,126465,4358,50229,2260,0,0,0,27,4135,4493578,49127386,632262178,3805755525,110477542,14444086,2125851555464,2309506995,323605729,2754925,0.5,0.5,0,0,0,66400,1506.0240963855422,50217,1173.2195670788776,372,4447,1541,1649,50217
1,clean-run,1000,true,uniform,READ,8,611200,159819,156625,7050,50119,4884,0,0,0,27,4136,4496768,49127386,632265179,3805757074,110477574,14444097,2125883082652,2309730709,323606997,2754953,0.5,0.5,0,0,0,64377,1553.3497988412012,49882,125.03817008139208,23,5291,411,493,49882
1,clean-run,1000,true,uniform,UPDATE,8,611200,159819,156625,7050,50119,4884,0,0,0,27,4136,4496768,49127386,632265179,3805757074,110477574,14444097,2125883082652,2309730709,323606997,2754953,0.5,0.5,0,0,0,64377,1553.3497988412012,50118,1148.790075422004,681,20127,1514,1615,50118
1,avg-run,1000,true,uniform,READ,10,1097732,282415,271068,9224,100647,6103,0,0,0,27,4136,4496768,49127386,632265179,3805758110,110477574,14444097,2125904052840,2309876904,323607001,2754953,0.5,0.5,0,0,0,64485,1550.7482360238814,49498,122.09309467049174,20,11847,410,497,49498
1,avg-run,1000,true,uniform,UPDATE,10,1097732,282415,271068,9224,100647,6103,0,0,0,27,4136,4496768,49127386,632265179,3805758110,110477574,14444097,2125904052840,2309876904,323607001,2754953,0.5,0.5,0,0,0,64485,1550.7482360238814,50502,1145.5311076789037,334,2921,1510,1606,50502
