Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,36668,2828,1785,10046,1,0,0,0,0,169,7106,8576642,109793277,1089818249,4874288880,215083482,24804264,3682739541262,3964946425,530299664,7053713,0,0,0,1,0,13331,750.1312729727703,10000,1263.1196,852,13375,1513,1593,10000
1,extend,10000,true,uniform,EXTEND,2,1160061,244807,222523,18672,100012,1595,0,0,0,169,7106,8576642,109793277,1089818249,4874294902,215083482,24804264,3682841058408,3965339044,530299675,7053713,0,0,0,0,1,123136,812.1101871101871,100000,1224.75851,300,13375,1778,1881,100000
1,run,10000,true,uniform,READ,2,1687208,437373,402988,18672,100012,1595,0,0,0,169,7106,8576642,109793277,1089818249,4874294902,215083482,24804264,3682841197707,3965341258,530299675,7053713,1,0,0,0,0,4270,23419.2037470726,100000,39.09419,20,20847,48,73,100000
1,reference,10000,true,uniform,READ,1,340599,114217,101497,10119,1,0,0,0,0,169,7106,8576642,109793277,1089818249,4874294902,215083482,24804264,3682841198068,3965341263,530299675,7053713,1,0,0,0,0,3546,28200.78962210942,100000,31.83501,20,17711,41,63,100000
1,clean-run,10000,true,uniform,READ,509,547572,178578,168486,16726,1,0,0,4,385024,169,7107,8585125,109793277,1089826074,4874298823,215083599,24804276,3682867804149,3965358814,530300665,7053713,1,0,0,0,0,4204,23786.86964795433,100000,38.34042,20,20495,47,69,100000
1,avg-run,10000,true,uniform,READ,511,1255538,405054,374025,36849,5,0,0,4,385024,169,7107,8585125,109793277,1089826074,4874301764,215083599,24804276,3682892189339,3965410286,530300669,7053713,1,0,0,0,0,3545,28208.744710860366,100000,31.61563,21,13759,44,69,100000
2,extend,10000,true,uniform,EXTEND,2,3697741,953606,872488,57474,200045,19386,0,0,0,169,7107,8585125,109793277,1089826074,4874304344,215083599,24804276,3683018152181,3965927831,530306676,7053713,0,0,0,0,1,123087,812.4334820086606,100000,1224.53418,327,22127,1787,1906,100000
2,run,10000,true,uniform,READ,2,4847667,1354481,1257100,57474,200045,19386,0,0,0,169,7107,8585125,109793277,1089826074,4874304344,215083599,24804276,3683018186424,3965928392,530306676,7053713,1,0,0,0,0,4357,22951.572182694516,100000,39.81394,22,20959,52,83,100000
2,reference,10000,true,uniform,READ,1,643074,237258,202746,10119,1,0,0,0,0,169,7107,8585125,109793277,1089826074,4874304344,215083599,24804276,3683018186424,3965928392,530306676,7053713,1,0,0,0,0,3425,29197.080291970804,100000,30.45556,19,21583,40,64,100000
2,clean-run,10000,true,uniform,READ,533,1244616,376711,366619,36580,1,0,0,4,385024,169,7108,8593683,109793277,1089832814,4874309655,215083673,24804281,3683057769061,3965985839,530307664,7054243,1,0,0,0,0,4630,21598.272138228942,100000,42.60282,22,20671,53,77,100000
2,avg-run,10000,true,uniform,READ,535,3059456,920301,889272,86753,5,0,0,4,385024,169,7108,8593683,109793277,1089832814,4874314054,215083673,24804281,3683096724464,3966098679,530307668,7054243,1,0,0,0,0,4357,22951.572182694516,100000,39.79833,26,13151,51,79,100000
3,extend,10000,true,uniform,EXTEND,2,7716335,2116448,1964063,110082,300067,55981,0,0,0,169,7108,8593683,109793277,1089832814,4874316669,215083673,24804281,3683255719367,3966666223,530315843,7054243,0,0,0,0,1,129010,775.1337105650724,100000,1283.19544,315,15271,1826,1940,100000
3,run,10000,true,uniform,READ,2,9354099,2679427,2514378,110082,300067,55981,0,0,0,169,7108,8593683,109793277,1089832814,4874316669,215083673,24804281,3683255850374,3966668308,530315843,7054243,1,0,0,0,0,4428,22583.55916892502,100000,40.58283,23,19535,54,85,100000
