Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5294,1084,997,1046,1,0,0,0,0,7,7,7127,0,3316,11202,367083,54,56219720,50714,9870,247,0,0,0,1,0,1725,579.7101449275362,1000,1432.218,905,17679,1724,1912,1000
1,extend,1000,true,uniform,EXTEND,2,115328,27176,23956,1988,10001,154,0,0,0,7,7,7127,0,3316,12001,367083,54,66574603,88665,9876,247,0,0,0,0,1,16679,599.5563283170454,10000,1630.1387,916,23039,2095,2205,10000
1,run,1000,true,uniform,READ,2,631421,201412,195939,1988,10001,154,0,0,0,7,7,7127,0,3316,12001,367083,54,66588988,88892,9876,247,1,0,0,0,0,3594,27824.15136338342,100000,32.03266,20,19711,45,72,100000
1,reference,1000,true,uniform,READ,1,306659,103422,101454,1119,1,0,0,0,0,7,7,7127,0,3316,12001,367083,54,66589349,88897,9876,247,1,0,0,0,0,2917,34281.79636612959,100000,25.16542,19,20991,37,69,100000
1,clean-run,1000,true,uniform,READ,8,515620,172730,170766,1857,1,0,0,0,0,7,8,9026,0,4565,13282,367108,70,73485218,92199,10821,274,1,0,0,0,0,3482,28719.126938541067,100000,31.00231,20,21711,44,75,100000
1,avg-run,1000,true,uniform,READ,10,1126577,376637,372613,3857,5,0,0,0,0,7,8,9026,0,4565,13581,367108,70,75881427,97234,10823,274,1,0,0,0,0,3604,27746.94783573807,100000,32.1821,20,21503,43,100,100000
2,extend,1000,true,uniform,EXTEND,2,813727,271686,240467,5822,20001,1911,0,0,0,7,8,9026,0,4565,14203,367108,70,89212445,142516,11527,274,0,0,0,0,1,15927,627.8646323852578,10000,1554.2262,341,24815,2089,2261,10000
2,run,1000,true,uniform,READ,2,1951001,652708,619311,5822,20001,1911,0,0,0,7,8,9026,0,4565,14203,367108,70,89227472,142753,11527,274,1,0,0,0,0,4025,24844.72049689441,100000,36.27201,21,21631,50,90,100000
2,reference,1000,true,uniform,READ,1,609130,206683,202675,1119,1,0,0,0,0,7,8,9026,0,4565,14203,367108,70,89227472,142753,11527,274,1,0,0,0,0,3593,27831.895352073476,100000,31.94573,19,20559,44,69,100000
2,clean-run,1000,true,uniform,READ,8,1123450,371751,369787,3877,1,0,0,0,0,7,9,10379,0,5884,15630,367122,77,97513225,150282,12467,301,1,0,0,0,0,4253,23512.814483893722,100000,38.66756,20,20991,53,151,100000
2,avg-run,1000,true,uniform,READ,10,2649799,875858,871834,8877,5,0,0,0,0,7,9,10379,0,5884,16113,367122,77,101348558,161325,12469,301,1,0,0,0,0,3954,25290.844714213454,100000,35.82451,25,22543,53,84,100000
3,extend,1000,true,uniform,EXTEND,2,2233617,750809,690534,11217,30012,5573,0,0,0,7,9,10379,0,5884,16508,367122,77,118941362,216604,13871,301,0,0,0,0,1,16246,615.5361319709467,10000,1584.0227,930,21935,2103,2281,10000
3,run,1000,true,uniform,READ,2,3863156,1296223,1234643,11217,30012,5573,0,0,0,7,9,10379,0,5884,16508,367122,77,118955867,216833,13871,301,1,0,0,0,0,4538,22036.139268400177,100000,41.5051,24,20495,63,98,100000
3,reference,1000,true,uniform,READ,1,911674,310834,303910,1119,1,0,0,0,0,7,9,10379,0,5884,16508,367122,77,118955867,216833,13871,301,1,0,0,0,0,3665,27285.129604365622,100000,32.73015,19,21407,44,68,100000
3,clean-run,1000,true,uniform,READ,8,1610449,531207,529243,5507,1,0,0,0,0,7,10,12188,0,7277,18102,367139,83,128593625,227773,14811,396,1,0,0,0,0,4628,21607.605877268797,100000,42.25915,23,27327,57,159,100000
3,avg-run,1000,true,uniform,READ,10,3747126,1235530,1231506,12507,5,0,0,0,0,7,10,12188,0,7277,18718,367139,83,133723548,242823,14813,396,1,0,0,0,0,5135,19474.19668938656,100000,47.5574,28,23711,59,96,100000
4,extend,1000,true,uniform,EXTEND,2,4189475,1406984,1319457,17274,40012,10573,0,0,0,7,10,12188,0,7277,19344,367139,83,154291175,297735,16263,396,0,0,0,0,1,17710,564.652738565782,10000,1731.7814,953,25119,2161,2343,10000
4,run,1000,true,uniform,READ,2,6134948,2057692,1968845,17274,40012,10573,0,0,0,7,10,12188,0,7277,19344,367139,83,154306236,297972,16263,396,1,0,0,0,0,5605,17841.21320249777,100000,52.15599,25,21759,67,169,100000
4,reference,1000,true,uniform,READ,1,1214145,414095,405131,1119,1,0,0,0,0,7,10,12188,0,7277,19409,367139,83,155673832,304834,16418,396,1,0,0,0,0,3380,29585.798816568047,100000,29.95777,19,22767,41,69,100000
4,clean-run,1000,true,uniform,READ,8,1918940,631752,630665,6343,1,0,0,0,0,7,11,14695,0,9297,21076,367157,90,165996310,317142,17357,442,1,0,0,0,0,4669,21417.862497322767,100000,42.8272,24,21919,62,185,100000
4,avg-run,1000,true,uniform,READ,10,4383814,1443451,1439427,14616,5,0,0,0,0,7,11,14695,0,9297,21894,367157,90,172860496,335214,17360,442,1,0,0,0,0,5252,19040.36557501904,100000,48.7451,30,20527,63,102,100000
5,extend,1000,true,uniform,EXTEND,2,6522417,2185746,2070462,24078,50023,16533,0,0,0,7,11,14695,0,9297,22000,367157,90,192584128,391544,19036,442,0,0,0,0,1,16722,598.014591556034,10000,1633.9375,950,25279,2143,2297,10000
5,run,1000,true,uniform,READ,2,8696318,2912710,2796141,24078,50023,16533,0,0,0,7,11,14695,0,9297,22003,367157,90,192598280,391766,19036,442,1,0,0,0,0,5796,17253.27812284334,100000,54.0747,28,22143,66,244,100000
5,reference,1000,true,uniform,READ,1,1516689,518246,506366,1119,1,0,0,0,0,7,11,14695,0,9297,22003,367157,90,192598280,391766,19036,442,1,0,0,0,0,3229,30969.34035305048,100000,28.50972,18,20543,40,77,100000
5,clean-run,1000,true,uniform,READ,8,2150295,707459,706372,7101,1,0,0,0,0,7,12,17013,0,11026,23837,367177,97,204033487,405607,19975,500,1,0,0,0,0,5717,17491.691446562883,100000,53.36976,28,21231,68,349,100000
5,avg-run,1000,true,uniform,READ,10,4601462,1514824,1510800,15431,5,0,0,0,0,7,12,17013,0,11026,24784,367177,97,211994357,423564,19978,500,1,0,0,0,0,4714,21213.406873143827,100000,43.22163,31,20255,66,103,100000
6,extend,1000,true,uniform,EXTEND,2,9082764,3042067,2900055,31153,60023,23047,0,0,0,7,12,17013,0,11026,25589,367177,97,236899550,481460,22105,500,0,0,0,0,1,16425,608.8280060882801,10000,1605.257,428,25199,2145,2359,10000
6,run,1000,true,uniform,READ,2,11457423,3833048,3688897,31494,60034,23303,0,0,0,7,12,17013,0,11026,25614,367177,97,238849218,491399,22404,500,1,0,0,0,0,5656,17680.33946251768,100000,52.73614,30,22895,68,149,100000
6,reference,1000,true,uniform,READ,1,1819160,621507,607587,1119,1,0,0,0,0,7,12,17013,0,11026,25614,367177,97,238849339,491400,22404,500,1,0,0,0,0,3543,28224.668360146767,100000,31.53768,18,18111,42,69,100000
6,clean-run,1000,true,uniform,READ,8,2348851,772582,770618,8038,1,0,0,0,0,7,13,20459,0,13741,27673,367202,104,252139621,507849,23344,755,1,0,0,0,0,5119,19535.065442469233,100000,47.33407,29,21103,63,180,100000
6,avg-run,1000,true,uniform,READ,10,5096381,1677409,1673385,17038,5,0,0,0,0,7,13,20459,0,13741,28638,367202,104,260563397,526905,23346,755,1,0,0,0,0,6349,15750.511891636479,100000,59.72224,33,21487,68,324,100000
7,extend,1000,true,uniform,EXTEND,2,11862238,3967927,3797698,38935,70034,30329,0,0,0,7,13,20459,0,13741,28659,367202,104,283497482,585559,25781,755,0,0,0,0,1,15625,640.0,10000,1524.3083,946,27471,2093,2279,10000
7,run,1000,true,uniform,READ,2,14328765,4792838,4621385,38935,70034,30329,0,0,0,7,13,20459,0,13741,28659,367202,104,283513229,585806,25781,755,1,0,0,0,0,5735,17436.791630340016,100000,53.40193,31,21343,73,123,100000
7,reference,1000,true,uniform,READ,1,2121704,725658,708822,1119,1,0,0,0,0,7,13,20459,0,13741,28659,367202,104,283513229,585806,25781,755,1,0,0,0,0,3205,31201.248049921996,100000,28.12638,18,19295,40,67,100000
7,clean-run,1000,true,uniform,READ,8,2463250,810128,809041,8124,1,0,0,0,0,7,14,23439,0,15890,30768,367231,110,297100669,601718,26720,1005,1,0,0,0,0,5726,17464.198393293747,100000,53.33995,30,20015,73,119,100000
7,avg-run,1000,true,uniform,READ,10,5238326,1722977,1718953,17547,5,0,0,0,0,7,14,23439,0,15890,32049,367231,110,307458027,622514,26723,1005,1,0,0,0,0,5660,17667.844522968197,100000,52.64446,33,23903,73,181,100000
8,extend,1000,true,uniform,EXTEND,2,14780574,4939393,4742311,47114,80045,38102,0,0,0,7,14,23439,0,15890,32398,367231,110,340043612,693079,29879,1005,0,0,0,0,1,16482,606.7224851352992,10000,1609.3451,925,25711,2117,2319,10000
8,run,1000,true,uniform,READ,2,17357156,5801226,5602931,47114,80045,38102,0,0,0,7,14,23439,0,15890,32398,367231,110,340059417,693326,29879,1005,1,0,0,0,0,5858,17070.67258449983,100000,54.71325,32,20911,68,112,100000
8,reference,1000,true,uniform,READ,1,2424248,829809,810057,1119,1,0,0,0,0,7,14,23439,0,15890,32398,367231,110,340059417,693326,29879,1005,1,0,0,0,0,2995,33388.9816360601,100000,26.04046,18,18799,37,69,100000
8,clean-run,1000,true,uniform,READ,8,2582124,849220,848133,8515,1,0,0,0,0,7,15,27167,0,18732,34612,367261,115,354704338,710019,30818,1687,1,0,0,0,0,5382,18580.453363062057,100000,49.88217,31,23631,72,111,100000
8,avg-run,1000,true,uniform,READ,10,5347936,1759951,1755927,17923,5,0,0,0,0,7,15,27167,0,18732,36000,367261,115,366031375,730891,30821,1687,1,0,0,0,0,5373,18611.576400521124,100000,49.89354,35,25487,74,111,100000
9,extend,1000,true,uniform,EXTEND,2,17790565,5944464,5721280,55113,90045,45804,0,0,0,7,15,27167,0,18732,36559,367261,115,397013671,792027,33710,1687,0,0,0,0,1,14515,688.9424733034791,10000,1415.6441,899,25311,2031,2245,10000
9,run,1000,true,uniform,READ,2,20451313,6835543,6611149,55113,90045,45804,0,0,0,7,15,27167,0,18732,36569,367261,115,397027329,792241,33710,1687,1,0,0,0,0,6732,14854.426619132502,100000,63.31012,33,21839,75,137,100000
9,reference,1000,true,uniform,READ,1,2726719,933070,911278,1119,1,0,0,0,0,7,15,27167,0,18732,36569,367261,115,397027329,792241,33710,1687,1,0,0,0,0,3490,28653.29512893983,100000,31.07411,19,21663,44,77,100000
9,clean-run,1000,true,uniform,READ,8,2689309,885216,883252,9254,1,0,0,0,0,7,16,30857,0,22039,39032,367298,122,413664811,811563,34650,2331,1,0,0,0,0,5452,18341.89288334556,100000,50.64457,32,21199,69,112,100000
9,avg-run,1000,true,uniform,READ,10,5742924,1890335,1886311,19254,5,0,0,0,0,7,16,30857,0,22039,40545,367298,122,425237770,832621,34652,2331,1,0,0,0,0,6345,15760.441292356187,100000,59.62083,37,22719,77,156,100000
10,extend,1000,true,uniform,EXTEND,2,20923951,6987705,6737672,63785,100056,54195,0,0,0,7,16,30857,0,22039,40570,367298,122,456433943,908057,38637,2331,0,0,0,0,1,15551,643.0454633142563,10000,1515.7544,427,24111,2037,2295,10000
10,run,1000,true,uniform,READ,2,23643413,7903921,7652697,63785,100056,54195,0,0,0,7,16,30857,0,22039,40570,367298,122,456448536,908286,38637,2331,1,0,0,0,0,6247,16007.683688170322,100000,58.46939,37,21279,76,147,100000
10,reference,1000,true,uniform,READ,1,3029263,1037221,1012513,1119,1,0,0,0,0,7,16,30857,0,22039,40570,367298,122,456448536,908286,38637,2331,1,0,0,0,0,3854,25947.067981318112,100000,34.6152,19,18079,45,78,100000
10,clean-run,1000,true,uniform,READ,8,2738385,906605,905518,9090,1,0,0,0,0,7,17,34980,0,25175,43057,367330,129,473177844,926142,39576,3247,1,0,0,0,0,5787,17280.11059270779,100000,54.03161,34,24287,68,122,100000
10,avg-run,1000,true,uniform,READ,10,5793912,1911044,1907020,19103,5,0,0,0,0,7,17,34980,0,25175,44551,367330,129,485823326,948228,39579,3247,1,0,0,0,0,5838,17129.1538198013,100000,54.47179,37,21215,71,120,100000
11,extend,1000,true,uniform,EXTEND,2,24096156,8053869,7777762,72408,110056,62502,0,0,0,7,17,34980,0,25175,45831,367330,129,523846234,1010887,42919,3247,0,0,0,0,1,14918,670.3311435849309,10000,1455.6011,933,24159,2028,2309,10000
11,run,1000,true,uniform,READ,2,26900456,9005540,8727351,72846,110067,62916,0,0,0,7,17,34980,0,25175,45844,367330,129,526929705,1026765,43439,3247,1,0,0,0,0,6942,14405.070584845866,100000,65.51574,40,21679,83,146,100000
11,reference,1000,true,uniform,READ,1,3331734,1140482,1113734,1119,1,0,0,0,0,7,17,34980,0,25175,45844,367330,129,526929705,1026765,43439,3247,1,0,0,0,0,3416,29274.00468384075,100000,30.26624,19,19583,42,70,100000
11,clean-run,1000,true,uniform,READ,8,2802501,938681,936717,9834,1,0,0,0,0,7,18,40424,0,29586,48577,367365,135,545720280,1047531,44379,4255,1,0,0,0,0,6035,16570.008285004144,100000,56.52935,37,23279,73,115,100000
11,avg-run,1000,true,uniform,READ,10,5856658,1943896,1939872,19834,5,0,0,0,0,7,18,40424,0,29586,50317,367365,135,559293239,1068589,44381,4255,1,0,0,0,0,6286,15908.36780146357,100000,58.99788,38,24239,74,116,100000
12,extend,1000,true,uniform,EXTEND,2,27362175,9159363,8855610,81907,120067,71583,0,0,0,7,18,40424,0,29586,50320,367365,135,591286076,1131565,48154,4255,0,0,0,0,1,17127,583.8734162433584,10000,1674.6932,741,25423,2087,2303,10000
12,run,1000,true,uniform,READ,2,30203580,10146256,9841329,81907,120067,71583,0,0,0,7,18,40424,0,29586,50320,367365,135,591301307,1131802,48154,4255,1,0,0,0,0,6540,15290.51987767584,100000,61.61837,39,22367,81,126,100000
12,reference,1000,true,uniform,READ,1,3634278,1244633,1214969,1119,1,0,0,0,0,7,18,40424,0,29586,50320,367365,135,591301307,1131802,48154,4255,1,0,0,0,0,3637,27495.188342040143,100000,32.5476,19,23871,43,82,100000
12,clean-run,1000,true,uniform,READ,8,2860415,976818,975731,9789,1,0,0,0,0,7,19,45004,0,33198,53086,367409,141,610130428,1151071,49093,5186,1,0,0,0,0,6343,15765.410688948446,100000,59.59106,38,22639,79,123,100000
12,avg-run,1000,true,uniform,READ,10,5921863,1983062,1979038,20247,5,0,0,0,0,7,19,45004,0,33198,54940,367409,141,625744188,1174594,49096,5186,1,0,0,0,0,5938,16840.68710003368,100000,55.57228,39,26735,79,125,100000
13,extend,1000,true,uniform,EXTEND,2,30699462,10308624,9978435,91979,130078,81120,0,0,0,7,19,45004,0,33198,54955,367409,141,667067185,1255554,54080,5186,0,0,0,0,1,16352,611.545988258317,10000,1596.4131,372,25535,2081,2359,10000
13,run,1000,true,uniform,READ,2,33603540,11347822,11016478,91979,130078,81120,0,0,0,7,19,45004,0,33198,54955,367409,141,667081343,1255772,54080,5186,1,0,0,0,0,7277,13741.92661811186,100000,68.85022,41,24111,91,176,100000
13,reference,1000,true,uniform,READ,1,3936822,1348784,1316204,1119,1,0,0,0,0,7,19,45004,0,33198,54955,367409,141,667081343,1255772,54080,5186,1,0,0,0,0,3076,32509.752925877765,100000,26.91931,19,18415,39,73,100000
13,clean-run,1000,true,uniform,READ,8,2925177,1028720,1027633,10309,1,0,0,0,0,7,20,50349,0,36970,57836,367449,144,686983608,1276088,55019,6386,1,0,0,0,0,6718,14885.382554331647,100000,63.47769,39,23775,83,129,100000
13,avg-run,1000,true,uniform,READ,10,5983430,2033159,2029135,20322,5,0,0,0,0,7,20,50349,0,36970,59877,367449,144,702676457,1298977,55022,6386,1,0,0,0,0,6295,15885.623510722797,100000,58.96322,39,22095,72,111,100000
14,extend,1000,true,uniform,EXTEND,2,34083000,11513425,11157667,102192,140078,90736,0,0,0,7,20,50349,0,36970,60871,367449,144,745643399,1365248,59118,6386,0,0,0,0,1,16212,616.827041697508,10000,1583.7391,953,26079,2041,2241,10000
