Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,37723,2733,1769,10119,25,0,0,0,0,137,12040,347219897,150677861,1498641382,2997050747,318499175,39187490,6471111050480,7415944693,1007065452,14287572,0,0,0,1,0,12677,788.8301648655045,10000,1226.9352,815,8919,1571,1686,10000
1,extend,10000,true,zipfian,EXTEND,28,2329284,1112436,1092300,96105,100047,80723,0,0,0,137,12040,347219897,150680419,1498656953,2997065691,318499175,39187490,6471360127886,7416612929,1007065458,14287572,0,0,0,0,1,126049,793.3422716562607,100000,1252.98345,307,13215,1915,2191,100000
1,run,10000,true,uniform,READ,133,2783147,1287865,1255655,96105,100047,80723,0,0,0,137,12040,347219897,150680434,1498656953,2997065800,318499175,39187490,6471360240280,7416614717,1007065458,14287572,1,0,0,0,0,4287,23326.335432703523,100000,38.37893,21,12687,51,95,100000
1,reference,10000,true,uniform,READ,1207,340481,114543,101822,10181,12,62,0,0,0,137,12040,347219897,150681037,1498656953,2997067025,318499175,39187490,6471360240280,7416614717,1007065458,14287572,1,0,0,0,0,3973,25169.896803423107,100000,35.32214,20,12431,46,74,100000
1,clean-run,10000,true,uniform,READ,432,466240,162290,152198,15135,1,0,0,4,385024,137,12041,347233911,150681552,1498658377,2997072413,318499310,39187500,6471386505397,7416629025,1007066443,14288871,1,0,0,0,0,4317,23164.234422052352,100000,39.01039,21,11279,52,92,100000
1,avg-run,10000,true,uniform,READ,489,1180174,399892,358878,35258,5,0,0,4,385024,137,12041,347233911,150681552,1498658377,2997075408,318499310,39187500,6471410906034,7416680758,1007066447,14288871,1,0,0,0,0,4273,23402.761525860053,100000,38.26821,22,12479,50,74,100000
2,extend,10000,true,zipfian,EXTEND,92763,6798980,4036577,3958240,335781,200069,305164,0,0,0,137,12042,347236380,150735883,1498760076,2997155711,318499310,39187500,6472014529628,7417863971,1007085802,14288871,0,0,0,0,1,140538,711.5513241970143,100000,1398.09164,311,14135,2289,3349,100000
2,run,10000,true,uniform,READ,150059,7977194,4381405,4287769,335917,200080,305288,0,0,0,137,12042,347236416,150738254,1498782412,2997164839,318499310,39187500,6472033148899,7417966760,1007108325,14288871,1,0,0,0,0,4652,21496.130696474636,100000,42.00509,21,12735,60,116,100000
2,reference,10000,true,uniform,READ,3478,640723,238457,203085,10181,12,62,0,0,0,137,12042,347236431,150739670,1498782673,2997166974,318499310,39187500,6472033148899,7417966760,1007108325,14288871,1,0,0,0,0,3275,30534.351145038167,100000,28.32507,20,12103,39,67,100000
2,clean-run,10000,true,uniform,READ,518,952018,310794,300702,29729,1,0,0,4,393216,137,12043,347244182,150740897,1498782674,2997178048,318527313,39188117,6472071626119,7418010435,1007109312,14292396,1,0,0,0,0,4447,22487.069934787498,100000,40.09345,21,12119,59,111,100000
2,avg-run,10000,true,uniform,READ,534,2700139,843325,802307,79729,5,0,0,4,393216,137,12043,347244182,150740897,1498782674,2997182430,318527313,39188117,6472110097352,7418120653,1007109314,14292396,1,0,0,0,0,4100,24390.243902439026,100000,36.57168,26,12415,49,78,100000
3,extend,10000,true,zipfian,EXTEND,439000,13667498,8791222,8649903,722417,300102,677099,0,0,0,137,12044,347246473,150811858,1499013152,2997404422,318527313,39188117,6473036896756,7419819309,1007170982,14292396,0,0,0,0,1,152604,655.2908180650572,100000,1518.06889,322,43039,2865,4651,100000
3,run,10000,true,uniform,READ,530743,15184277,9265112,9103067,722417,300102,677099,0,0,0,137,12044,347246535,150815158,1499046964,2997490168,318527313,39188117,6473036994251,7419820881,1007170982,14292396,1,0,0,0,0,6115,16353.229762878169,100000,56.90996,23,207487,75,150,100000
3,reference,10000,true,uniform,READ,5315,941399,362371,304348,10181,12,62,0,0,0,137,12044,347246579,150815447,1499050871,2997492526,318527313,39188117,6473045806015,7419954042,1007171211,14292396,1,0,0,0,0,4235,23612.75088547816,100000,37.90216,20,12167,48,83,100000
3,clean-run,10000,true,uniform,READ,715,1411362,445204,435112,43775,1,0,0,4,385024,137,12045,347250155,150815569,1499050872,2997512061,318610310,39190135,6473096368123,7420025939,1007172198,14296450,1,0,0,0,0,4323,23132.084200786492,100000,38.78193,22,208767,51,109,100000
3,avg-run,10000,true,uniform,READ,807,3892095,1187144,1146130,113998,5,0,0,4,385024,137,12045,347250155,150815569,1499058957,2997518304,318610310,39190135,6473148263348,7420177232,1007172201,14296450,1,0,0,0,0,4575,21857.92349726776,100000,41.34669,29,11855,63,94,100000
4,extend,10000,true,zipfian,EXTEND,1269317,22681674,15347206,15128155,1248454,400146,1191099,0,0,0,137,12047,347253811,150897096,1499459443,2997926605,318674358,39191302,6474495534732,7422534867,1007295548,14296450,0,0,0,0,1,172345,580.231512373437,100000,1715.12015,346,102655,3505,5983,100000
4,run,10000,true,uniform,READ,1479827,24512823,15940698,15700025,1248454,400146,1191099,0,0,0,137,12047,347253811,150898761,1499471970,2998130970,318674358,39191302,6474495684703,7422537276,1007295548,14296450,1,0,0,0,0,6990,14306.15164520744,100000,65.28914,25,209151,90,170,100000
4,reference,10000,true,uniform,READ,7108,1242119,486285,405611,10181,12,62,0,0,0,137,12047,347253811,150898766,1499471970,2998133661,318674358,39191302,6474495684753,7422537277,1007295548,14296450,1,0,0,0,0,3748,26680.896478121664,100000,32.8406,20,11767,46,75,100000
4,clean-run,10000,true,uniform,READ,732,1926808,609574,598605,55760,1,0,0,4,385024,137,12048,347255282,150898916,1499471971,2998166422,318727323,39191633,6474558849218,7422640176,1007296537,14302182,1,0,0,0,0,5354,18677.62420620097,100000,49.36138,24,11567,67,142,100000
4,avg-run,10000,true,uniform,READ,807,4731101,1442189,1401175,135760,5,0,0,4,385024,137,12048,347255282,150898916,1499480013,2998173968,318727323,39191633,6474621751651,7422810475,1007296539,14302182,1,0,0,0,0,5582,17914.72590469366,100000,51.45935,31,12831,64,90,100000
5,extend,10000,true,zipfian,EXTEND,2436028,33059684,23542687,23242802,1910008,500179,1842962,0,0,0,137,12051,347259511,150986837,1500008430,2998823142,318828358,39199072,6476355833580,7425645205,1007472297,14302182,0,0,0,0,1,185496,539.0951826454478,100000,1846.06272,337,427263,4203,7207,100000
5,run,10000,true,uniform,READ,2774451,35101133,24236339,23916141,1910008,500179,1842962,0,0,0,137,12051,347259511,150989694,1500043808,2999150708,318828358,39199072,6476355891155,7425645974,1007472305,14302182,1,0,0,0,0,7534,13273.161667109105,100000,70.6702,28,13335,96,185,100000
