Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,39227,2141,1177,10119,1,0,0,0,0,200,1975,2183141,29134495,287929904,1441381136,59921330,4619435,966508175786,972182791,98650705,17627408,1,0,0,0,0,13088,764.0586797066014,10000,1270.9199,849,8199,1599,1715,10000
1,extend,10000,true,zipfian,EXTEND,29,2311685,1087560,1067358,93938,100023,78451,0,0,0,200,1975,2183141,29137049,287945475,1441397162,59921330,4619435,966752481713,972847898,98650711,17627408,0,0,0,0,1,123019,812.8825628561442,100000,1223.30237,382,14415,1883,2217,100000
1,run,10000,true,uniform,READ,134,2813499,1267208,1226560,94038,100034,78545,0,0,0,200,1975,2183141,29137049,287945475,1441397271,59921330,4619435,966754402904,972876675,98650711,17627408,1,0,0,0,0,3817,26198.585276395075,100000,34.15472,22,11983,49,98,100000
1,reference,10000,true,uniform,READ,1580,340757,114543,101822,10181,12,62,0,0,0,200,1975,2183141,29138224,287945475,1441398854,59921330,4619435,966754402904,972876675,98650711,17627408,1,0,0,0,0,3511,28481.913984619765,100000,31.07252,21,13039,41,73,100000
1,clean-run,10000,true,uniform,READ,468,471664,163220,153128,15229,1,0,0,4,385024,200,1976,2196756,29138662,287948885,1441404202,59921456,4619456,966780676162,972891153,98651696,17628849,1,0,0,0,0,3922,25497.195308516064,100000,35.02777,22,13935,47,87,100000
1,avg-run,10000,true,uniform,READ,550,1175131,398082,357068,35352,5,0,0,4,385024,200,1976,2196756,29138662,287948885,1441407237,59921456,4619456,966805031494,972942119,98651700,17628849,1,0,0,0,0,4048,24703.557312252964,100000,36.31165,24,17007,49,79,100000
2,extend,10000,true,zipfian,EXTEND,82484,6828326,4006067,3909351,332514,200056,301865,0,0,0,200,1977,2199096,29184853,288010177,1441477481,59921456,4619456,967404039782,974110824,98667253,17628849,0,0,0,0,1,137810,725.6367462448299,100000,1370.67252,382,23247,2277,3393,100000
2,run,10000,true,uniform,READ,129946,8014037,4350895,4232857,332651,200067,301986,0,0,0,200,1977,2199236,29187519,288052936,1441488233,59921456,4619456,967419741452,974211236,98686538,17628849,1,0,0,0,0,4574,21862.702229995626,100000,41.71377,22,13247,62,115,100000
2,reference,10000,true,uniform,READ,3910,640867,237567,203071,10181,12,62,0,0,0,200,1977,2199239,29188879,288053176,1441490471,59921456,4619456,967419741452,974211236,98686538,17628849,1,0,0,0,0,3218,31075.20198881293,100000,28.09425,20,12263,39,74,100000
2,clean-run,10000,true,uniform,READ,517,950201,307064,296972,29747,1,0,0,4,385024,200,1978,2203930,29189822,288053177,1441501442,59946614,4619482,967458217721,974254953,98687525,17632270,1,0,0,0,0,4563,21915.406530791148,100000,41.51288,22,207871,54,103,100000
2,avg-run,10000,true,uniform,READ,534,2761019,857064,816050,79895,5,0,0,4,385024,200,1978,2203930,29189826,288053177,1441505854,59946614,4619482,967497235069,974369646,98687529,17632270,1,0,0,0,0,4405,22701.475595913733,100000,39.91474,27,14751,55,84,100000
3,extend,10000,true,zipfian,EXTEND,420952,13651439,8664803,8492868,709897,300089,664477,0,0,0,200,1979,2206139,29258628,288247760,1441713679,59946614,4619482,968409335555,976058119,98743564,17632270,0,0,0,0,1,147375,678.5411365564038,100000,1466.66341,418,73471,2765,4691,100000
3,run,10000,true,uniform,READ,582733,15368679,9169426,8976169,710075,300100,664642,0,0,0,200,1979,2206172,29261159,288320509,1441805934,59946614,4619482,968417652565,976188905,98743588,17632270,1,0,0,0,0,5249,19051.247856734615,100000,48.42926,24,13503,68,131,100000
3,reference,10000,true,uniform,READ,5719,941571,361481,304334,10181,12,62,0,0,0,200,1979,2206182,29261169,288320509,1441807742,59946614,4619482,968417652565,976188905,98743588,17632270,1,0,0,0,0,3274,30543.677458766037,100000,28.64083,21,11703,41,74,100000
3,clean-run,10000,true,uniform,READ,731,1416728,447153,437061,43890,1,0,0,4,385024,200,1980,2208720,29261277,288320510,1441827137,60025551,4621168,968468225532,976260991,98744575,17636858,1,0,0,0,0,4588,21795.989537925023,100000,41.79487,23,11799,57,113,100000
3,avg-run,10000,true,uniform,READ,823,3937380,1201147,1160133,114113,5,0,0,4,385024,200,1980,2208720,29261277,288328595,1441833364,60025551,4621168,968520225897,976413924,98744579,17636858,1,0,0,0,0,5227,19131.43294432753,100000,48.29666,31,15863,64,92,100000
4,extend,10000,true,zipfian,EXTEND,1114539,22455585,15158076,14909802,1233450,400122,1176097,0,0,0,200,1982,2212052,29340492,288681865,1442241280,60085964,4624161,969838486227,978605776,98824332,17636858,0,0,0,0,1,167153,598.254293970195,100000,1663.86639,427,82751,3529,6027,100000
4,run,10000,true,uniform,READ,1519808,24706337,15835170,15565573,1233873,400144,1176505,0,0,0,200,1982,2212052,29342810,288759332,1442461560,60085964,4624161,969861140205,978810372,98850921,17636858,1,0,0,0,0,5581,17917.935853789644,100000,51.67451,24,17903,76,146,100000
4,reference,10000,true,uniform,READ,7495,1242381,486285,405611,10181,12,62,0,0,0,200,1982,2212052,29342818,288759332,1442463799,60085964,4624161,969861140205,978810372,98850921,17636858,1,0,0,0,0,3572,27995.52071668533,100000,31.70871,21,16767,43,74,100000
4,clean-run,10000,true,uniform,READ,716,1924239,603124,592155,55787,1,0,0,4,385024,200,1983,2214015,29342959,288759333,1442495924,60137024,4627124,969924299103,978913314,98851910,17642645,1,0,0,0,0,4854,20601.565718994643,100000,44.40533,24,11599,62,120,100000
4,avg-run,10000,true,uniform,READ,791,4728495,1435739,1394725,135787,5,0,0,4,385024,200,1983,2214015,29342959,288767384,1442503531,60137024,4627124,969987201566,979083614,98851912,17642645,1,0,0,0,0,5151,19413.70607649,100000,47.33828,33,13039,66,97,100000
5,extend,10000,true,zipfian,EXTEND,2440808,33190161,23373140,23046519,1889225,500177,1822277,0,0,0,200,1986,2218696,29428521,289264083,1443113416,60235735,4634244,971709479503,981862744,99029591,17642645,0,0,0,0,1,180454,554.1578463209461,100000,1796.87067,441,121215,4091,7539,100000
5,run,10000,true,uniform,READ,2900660,35494102,24106384,23759317,1889472,500188,1822517,0,0,0,200,1986,2218699,29429830,289356063,1443466004,60235735,4634244,971732345553,982018996,99056541,17642645,1,0,0,0,0,6572,15216.068167985393,100000,61.66443,27,17279,84,160,100000
5,reference,10000,true,uniform,READ,9284,1543105,610199,506874,10181,12,62,0,0,0,200,1986,2218699,29429833,289356213,1443470544,60235735,4634244,971732361690,982019247,99056543,17642645,1,0,0,0,0,3820,26178.01047120419,100000,34.21545,21,12215,45,77,100000
5,clean-run,10000,true,uniform,READ,699,2090283,662435,652343,65004,1,0,0,4,385024,200,1987,2220041,29430033,289356214,1443516042,60268318,4637492,971806034745,982133826,99057530,17649682,1,0,0,0,0,5561,17982.37727027513,100000,51.53799,26,210943,65,131,100000
5,avg-run,10000,true,uniform,READ,791,5052368,1540931,1499917,145262,5,0,0,4,385024,200,1987,2220041,29430033,289364206,1443524826,60268318,4637492,971879952604,982312876,99057534,17649682,1,0,0,0,0,5861,17061.934823408974,100000,54.712,34,15135,65,96,100000
6,extend,10000,true,zipfian,EXTEND,4137124,45161273,33243219,32837498,2685901,600221,2611091,0,0,0,200,1991,2223288,29522786,289998919,1444346209,60405235,4642001,973961818193,985631961,99296429,17649682,0,0,0,0,1,197118,507.3103420286326,100000,1963.2732,435,175743,5027,9247,100000
6,run,10000,true,uniform,READ,4753597,47617435,34058540,33631497,2686173,600232,2611354,0,0,0,200,1991,2223464,29523799,290111300,1444833899,60405235,4642001,974017039005,985819785,99354862,17649704,1,0,0,0,0,7587,13180.440226703571,100000,71.78418,30,18159,97,193,100000
6,reference,10000,true,uniform,READ,11110,1843865,735003,608151,10181,12,62,0,0,0,200,1991,2223464,29523800,290111300,1444835707,60405235,4642001,974017039005,985819785,99354862,17649704,1,0,0,0,0,3459,28910.089621277824,100000,30.42609,21,15303,41,75,100000
6,clean-run,10000,true,uniform,READ,684,2495892,789585,778616,73131,1,0,0,4,385024,200,1992,2224400,29524031,290119264,1444895308,60425230,4642120,974103003239,985960297,99355851,17656985,1,0,0,0,0,5437,18392.495861688432,100000,50.22375,28,17967,72,155,100000
6,avg-run,10000,true,uniform,READ,759,5653898,1722490,1681476,163131,5,0,0,4,385024,200,1992,2224400,29524031,290127456,1444905019,60425230,4642120,974187356670,986150624,99355853,17656985,1,0,0,0,0,5875,17021.27659574468,100000,54.74401,36,19503,71,105,100000
7,extend,10000,true,zipfian,EXTEND,6251958,58316525,44716441,44231854,3618207,700265,3536792,0,0,0,200,1996,2229477,29623114,290871179,1445980369,60585493,4649200,976702266050,989916987,99696695,17656985,0,0,0,0,1,211434,472.9608293841104,100000,2106.79263,457,120319,5939,12231,100000
7,run,10000,true,uniform,READ,7099858,61050034,45665204,45159294,3618794,700287,3537371,0,0,0,200,1996,2229477,29625177,291016764,1446585391,60585493,4649200,976729405084,990173428,99724844,17656985,1,0,0,0,0,7461,13403.029084573114,100000,70.55819,30,13895,98,198,100000
7,reference,10000,true,uniform,READ,12945,2144689,860697,709442,10181,12,62,0,0,0,200,1996,2229477,29625178,291016764,1446587208,60585493,4649200,976729405084,990173428,99724844,17656985,1,0,0,0,0,3545,28208.744710860366,100000,31.44129,21,15735,41,74,100000
7,clean-run,10000,true,uniform,READ,686,2692272,866510,855541,79759,1,0,0,4,385024,200,1997,2230367,29625478,291025112,1446659014,60585539,4653589,976826455351,990328563,99725833,17666239,1,0,0,0,0,5823,17173.278378842522,100000,54.20623,28,14495,74,169,100000
7,avg-run,10000,true,uniform,READ,761,5855044,1799540,1758526,169759,5,0,0,4,385024,200,1997,2230367,29625478,291033204,1446670842,60585539,4653589,976920808858,990518892,99725835,17666239,1,0,0,0,0,6098,16398.81928501148,100000,56.8652,37,12735,69,102,100000
8,extend,10000,true,zipfian,EXTEND,8787204,72672608,57856236,57292325,4688610,800320,4601415,0,0,0,200,2002,2235990,29730882,291927282,1447919291,60734292,4663180,979823066553,994704285,100108336,17666239,0,0,0,0,1,226520,441.46212254988524,100000,2256.95957,459,418815,6659,13943,100000
8,run,10000,true,uniform,READ,9895569,75574933,58851523,58266289,4689245,800342,4602036,0,0,0,200,2002,2235990,29732343,292070819,1448627737,60734292,4663180,979899798706,995092781,100191629,17666239,1,0,0,0,0,8086,12367.054167697255,100000,76.82721,33,14335,103,215,100000
8,reference,10000,true,uniform,READ,14767,2445453,985501,810719,10181,12,62,0,0,0,200,2002,2235990,29732343,292070819,1448629546,60734292,4663180,979899798706,995092781,100191629,17666239,1,0,0,0,0,3611,27693.159789531986,100000,31.97873,21,14415,42,72,100000
8,clean-run,10000,true,uniform,READ,622,2855414,925695,914726,85725,1,0,0,4,385024,200,2003,2236453,29732743,292078814,1448712761,60782928,4663328,980007816166,995261218,100192618,17677471,1,0,0,0,0,6370,15698.587127158557,100000,59.6636,31,13911,78,203,100000
8,avg-run,10000,true,uniform,READ,697,6020310,1858845,1817831,175725,5,0,0,4,385024,200,2003,2236453,29732743,292095000,1448725753,60782928,4663328,980112232523,995451873,100192707,17677471,1,0,0,0,0,6138,16291.951775822743,100000,57.24623,38,17935,70,109,100000
9,extend,10000,true,zipfian,EXTEND,11697471,88012505,72578763,71933592,5897744,900375,5805350,0,0,0,200,2009,2242128,29841100,292908663,1450059584,60950621,4674252,983453604571,1000031964,100601464,17677471,0,0,0,0,1,233495,428.2746953896229,100000,2326.52678,454,162559,6927,13735,100000
9,run,10000,true,uniform,READ,12818788,90743304,73569028,72902535,5898081,900386,5805689,0,0,0,200,2009,2242144,29844162,293223138,1450857571,60950621,4674252,983544079180,1000525219,100739163,17677471,1,0,0,0,0,8260,12106.537530266343,100000,78.48319,36,35327,106,211,100000
9,reference,10000,true,uniform,READ,16626,2746253,1111195,912010,10181,12,62,0,0,0,200,2009,2242144,29844162,293223138,1450867123,60950621,4674252,983544079180,1000525219,100739163,17677471,1,0,0,0,0,3821,26171.159382360638,100000,34.05124,21,14199,45,77,100000
9,clean-run,10000,true,uniform,READ,617,2805156,917449,907357,90662,1,0,0,4,393216,200,2010,2242427,29844569,293231131,1450960661,60997657,4683771,983661439560,1000691414,100740150,17688804,1,0,0,0,0,5759,17364.125716270184,100000,53.3936,32,12855,75,181,100000
9,avg-run,10000,true,uniform,READ,716,6353615,1959682,1918668,191185,12,0,0,4,393216,200,2010,2242427,29844578,293247308,1450975826,60997657,4683771,983778511946,1000904657,100740242,17688804,1,0,0,0,0,6071,16471.750947125678,100000,56.45448,41,14319,76,120,100000
10,extend,10000,true,zipfian,EXTEND,14522807,103907110,88905992,88180701,7253019,1000419,7155818,0,0,0,200,2017,2249157,29960403,294263315,1452586209,61175567,4715202,987431393915,1005683833,101076422,17688804,0,0,0,0,1,253096,395.106994974239,100000,2522.81767,493,198783,8303,16591,100000
10,run,10000,true,uniform,READ,16178639,106991964,90002538,89255924,7253734,1000441,7156527,0,0,0,200,2017,2249170,29964241,294579101,1453456149,61175567,4715202,987635205727,1006532992,101490188,17688804,1,0,0,0,0,8982,11133.377866844801,100000,85.677,34,16623,113,235,100000
10,reference,10000,true,uniform,READ,18485,3047053,1236889,1013301,10181,12,62,0,0,0,200,2017,2249170,29964243,294579101,1453465609,61175567,4715202,987635205727,1006532992,101490188,17688804,1,0,0,0,0,3901,25634.45270443476,100000,34.95417,21,11071,44,73,100000
10,clean-run,10000,true,uniform,READ,1223,2921674,972589,962497,95487,1,0,0,4,385024,200,2018,2249451,29965086,294587415,1453568608,61221825,4719178,987763275519,1006709311,101491175,17701460,1,0,0,0,0,6531,15311.590874291838,100000,61.27517,32,207231,82,188,100000
10,avg-run,10000,true,uniform,READ,1323,6611284,2052447,2011433,195860,5,0,0,4,385024,200,2018,2249451,29965092,294603106,1453583655,61221825,4719178,987890763653,1006935137,101491179,17701460,1,0,0,0,0,6078,16452.780519907865,100000,56.62515,42,14023,73,104,100000
11,extend,10000,true,zipfian,EXTEND,18590472,121430884,106699926,105894707,8728777,1100485,8627081,0,0,0,200,2025,2256826,30086468,295622770,1455198231,61421335,4742008,992033557758,1012542474,102101998,17701460,0,0,0,0,1,260408,384.0127799453166,100000,2595.90708,514,174463,9071,18207,100000
11,run,10000,true,uniform,READ,19881038,124232857,107786937,106960396,8729146,1100496,8627449,0,0,0,200,2026,2259403,30090128,295956187,1456142383,61421335,4742008,992163273925,1013066942,102280911,17701460,1,0,0,0,0,8813,11346.873936230568,100000,83.94,37,22719,112,238,100000
11,reference,10000,true,uniform,READ,20377,3347893,1363473,1114606,10181,12,62,0,0,0,200,2026,2259403,30090128,295956187,1456146215,61421335,4742008,992163273925,1013066942,102280911,17701460,1,0,0,0,0,3662,27307.482250136538,100000,32.50928,21,14895,45,75,100000
11,clean-run,10000,true,uniform,READ,3492,3018289,1000345,990253,100183,1,0,0,4,385024,200,2027,2259628,30091949,295972174,1456260220,61455849,4751326,992301985146,1013252346,102281898,17715539,1,0,0,0,0,6225,16064.25702811245,100000,58.11479,33,13015,81,187,100000
11,avg-run,10000,true,uniform,READ,14780,6645545,2069030,2028016,200183,5,0,0,4,385024,200,2027,2259628,30095768,295993735,1456288725,61455849,4751326,992437969895,1013464953,102281901,17715539,1,0,0,0,0,6621,15103.458692040478,100000,62.03584,41,14671,76,121,100000
12,extend,10000,true,zipfian,EXTEND,21917584,139039156,126007535,125124776,10347290,1200529,10241247,0,0,0,200,2035,2268208,30220945,297128319,1458000212,61652318,4772587,996827290000,1019101185,102696181,17715539,0,0,0,0,1,271795,367.92435475266285,100000,2709.69792,530,234495,10543,19935,100000
