Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,37420,2141,1177,10119,1,0,0,0,0,251,8320,99260335,109793277,1118845467,4903603482,250931832,25217272,4302683437759,4586901858,594047938,15490330,0,0,0,1,0,14468,691.1805363560962,10000,1408.1694,837,13807,1667,1772,10000
1,extend,10000,true,zipfian,EXTEND,2,2308765,1090876,1070987,94233,100023,78786,0,0,0,251,8320,99260335,109794041,1118853659,4903617285,250931832,25217272,4302928908862,4587559078,594047946,15490330,0,0,0,0,1,135271,739.2567512622809,100000,1345.04965,340,16119,2013,2361,100000
1,run,10000,true,uniform,READ,13,3013410,1264751,1222864,100278,150163,82284,0,0,0,251,8320,99260335,109795724,1118861087,4903618355,250931832,25217272,4302975441328,4587781526,594047946,15490330,0.5,0.5,0,0,0,67513,1481.1962140624769,49871,140.94227105933308,22,6095,449,547,49871
1,run,10000,true,uniform,UPDATE,13,3013410,1264751,1222864,100278,150163,82284,0,0,0,251,8320,99260335,109795724,1118861087,4903618355,250931832,25217272,4302975441328,4587781526,594047946,15490330,0.5,0.5,0,0,0,67513,1481.1962140624769,50129,1194.4456502224261,298,7735,1572,1691,50129
1,reference,10000,true,uniform,READ,1253,565526,130641,104017,11272,50065,268,0,0,0,252,8320,99260397,109801934,1118864678,4903622247,250931832,25217272,4303020923547,4587970790,594048235,15490330,0.5,0.5,0,0,0,68979,1449.71658040853,49958,150.09297810160535,22,5267,459,554,49958
1,reference,10000,true,uniform,UPDATE,1253,565526,130641,104017,11272,50065,268,0,0,0,252,8320,99260397,109801934,1118864678,4903622247,250931832,25217272,4303020923547,4587970790,594048235,15490330,0.5,0.5,0,0,0,68979,1449.71658040853,50042,1215.9987010910836,558,8075,1583,1703,50042
1,clean-run,10000,true,uniform,READ,631,827175,201286,168220,25456,49884,4791,0,4,385024,252,8321,99273245,109801970,1118864679,4903630780,250932549,25217289,4303117058973,4588232179,594053645,15492219,0.5,0.5,0,0,0,67094,1490.4462396041374,50128,138.66451883179062,22,5639,450,549,50128
1,clean-run,10000,true,uniform,UPDATE,631,827175,201286,168220,25456,49884,4791,0,4,385024,252,8321,99273245,109801970,1118864679,4903630780,250932549,25217289,4303117058973,4588232179,594053645,15492219,0.5,0.5,0,0,0,67094,1490.4462396041374,49872,1193.1723612447865,300,11031,1586,1734,49872
1,avg-run,10000,true,uniform,READ,709,1812395,448242,373161,55768,99907,12758,0,4,385024,252,8321,99273245,109801970,1118872837,4903636322,250932549,25217289,4303183905563,4588517544,594053665,15492219,0.5,0.5,0,0,0,69746,1433.7739798698133,49992,162.7692230756921,23,6419,463,556,49992
1,avg-run,10000,true,uniform,UPDATE,709,1812395,448242,373161,55768,99907,12758,0,4,385024,252,8321,99273245,109801970,1118872837,4903636322,250932549,25217289,4303183905563,4588517544,594053665,15492219,0.5,0.5,0,0,0,69746,1433.7739798698133,50008,1219.0276355783076,408,8503,1583,1699,50008
2,extend,10000,true,zipfian,EXTEND,51454,6741375,3305895,3216338,276683,250196,240744,0,0,0,252,8322,99275190,109838559,1118903905,4903680842,250932549,25217289,4303626146215,4589502577,594068183,15492219,0,0,0,0,1,144484,692.118158412004,100000,1437.05795,316,19615,2157,3025,100000
2,run,10000,true,uniform,READ,74205,8118125,3622623,3514590,298288,300567,255779,0,0,0,252,8322,99276542,109845820,1118917928,4903687930,250932549,25217289,4303704957776,4589813090,594080405,15492219,0.5,0.5,0,0,0,71150,1405.4813773717499,49640,175.6626712328767,26,5791,477,572,49640
2,run,10000,true,uniform,UPDATE,74205,8118125,3622623,3514590,298288,300567,255779,0,0,0,252,8322,99276542,109845820,1118917928,4903687930,250932549,25217289,4303704957776,4589813090,594080405,15492219,0.5,0.5,0,0,0,71150,1405.4813773717499,50360,1227.183181096108,295,8559,1606,1735,50360
2,reference,10000,true,uniform,READ,6908,1307369,308867,244324,26899,100115,3647,0,0,0,252,8322,99277058,109855006,1118925645,4903699719,250932549,25217289,4303787606516,4590066558,594084444,15492219,0.5,0.5,0,0,0,67846,1473.9262447307137,49972,143.802149203554,23,11319,455,547,49972
2,reference,10000,true,uniform,UPDATE,6908,1307369,308867,244324,26899,100115,3647,0,0,0,252,8322,99277058,109855006,1118925645,4903699719,250932549,25217289,4303787606516,4590066558,594084444,15492219,0.5,0.5,0,0,0,67846,1473.9262447307137,50028,1200.432917566163,284,21071,1597,1730,50028
2,clean-run,10000,true,uniform,READ,678,1445028,341901,319093,63934,50136,16950,0,4,385024,252,8323,99288252,109860334,1118931980,4903714391,251083120,25217317,4303916246129,4590434089,594091521,15495908,0.5,0.5,0,0,0,67407,1483.5254498790928,49872,145.38103545075393,27,5647,459,556,49872
2,clean-run,10000,true,uniform,UPDATE,678,1445028,341901,319093,63934,50136,16950,0,4,385024,252,8323,99288252,109860334,1118931980,4903714391,251083120,25217317,4303916246129,4590434089,594091521,15495908,0.5,0.5,0,0,0,67407,1483.5254498790928,50128,1187.7420802744973,294,9487,1604,1760,50128
2,avg-run,10000,true,uniform,READ,779,3113085,755836,689681,126393,100310,37562,0,4,385024,252,8323,99288252,109860461,1118936634,4903722453,251083120,25217317,4304002750518,4590807682,594091525,15495908,0.5,0.5,0,0,0,63277,1580.3530508715646,49852,118.04553478295756,24,13647,438,544,49852
2,avg-run,10000,true,uniform,UPDATE,779,3113085,755836,689681,126393,100310,37562,0,4,385024,252,8323,99288252,109860461,1118936634,4903722453,251083120,25217317,4304002750518,4590807682,594091525,15495908,0.5,0.5,0,0,0,63277,1580.3530508715646,50148,1133.1285594639867,422,4587,1554,1689,50148
3,extend,10000,true,zipfian,EXTEND,266566,13645817,6671273,6511210,552972,400600,496693,0,0,0,252,8324,99291804,109925074,1119028134,4903856168,251083120,25217317,4304648071016,4592090396,594132655,15495908,0,0,0,0,1,147685,677.1168365101398,100000,1469.13769,331,30639,2387,3613,100000
3,run,10000,true,uniform,READ,359626,15578613,7120559,6936127,583205,450543,521259,0,0,0,252,8324,99291815,109948808,1119074671,4903919677,251083120,25217317,4304722664005,4592455876,594132701,15495908,0.5,0.5,0,0,0,67811,1474.6869976847413,50068,155.5356315411041,27,7107,466,575,50068
3,run,10000,true,uniform,UPDATE,359626,15578613,7120559,6936127,583205,450543,521259,0,0,0,252,8324,99291815,109948808,1119074671,4903919677,251083120,25217317,4304722664005,4592455876,594132701,15495908,0.5,0.5,0,0,0,67811,1474.6869976847413,49932,1189.9844588640551,284,20943,1592,1747,49932
3,reference,10000,true,uniform,READ,15211,2474477,603287,504552,57066,150008,15419,0,0,0,252,8324,99292518,109954948,1119085230,4903930460,251083120,25217317,4304816135084,4592778787,594139183,15495908,0.5,0.5,0,0,0,65616,1524.01853206535,50129,136.46422230644936,23,11983,447,551,50129
3,reference,10000,true,uniform,UPDATE,15211,2474477,603287,504552,57066,150008,15419,0,0,0,252,8324,99292518,109954948,1119085230,4903930460,251083120,25217317,4304816135084,4592778787,594139183,15495908,0.5,0.5,0,0,0,65616,1524.01853206535,49871,1166.1684746646347,283,36607,1590,1727,49871
3,clean-run,10000,true,uniform,READ,803,2193133,525878,488269,90892,49767,26423,0,4,385024,252,8325,99305844,109955365,1119101335,4903963776,251281375,25217340,4304986414557,4593241175,594148030,15501347,0.5,0.5,0,0,0,67666,1477.8470723849496,50245,157.85315951836003,29,5183,463,555,50245
3,clean-run,10000,true,uniform,UPDATE,803,2193133,525878,488269,90892,49767,26423,0,4,385024,252,8325,99305844,109955365,1119101335,4903963776,251281375,25217340,4304986414557,4593241175,594148030,15501347,0.5,0.5,0,0,0,67666,1477.8470723849496,49755,1188.6268515727063,297,14511,1607,1764,49755
3,avg-run,10000,true,uniform,READ,915,4125926,1001027,921881,167118,99882,52294,0,4,385024,252,8325,99305844,109955365,1119109428,4903972752,251281375,25217340,4305087842657,4593649516,594148034,15501347,0.5,0.5,0,0,0,66575,1502.065339842283,49900,148.2134268537074,27,12663,458,553,49900
3,avg-run,10000,true,uniform,UPDATE,915,4125926,1001027,921881,167118,99882,52294,0,4,385024,252,8325,99305844,109955365,1119109428,4903972752,251281375,25217340,4305087842657,4593649516,594148034,15501347,0.5,0.5,0,0,0,66575,1502.065339842283,50100,1169.0692015968064,276,15263,1569,1691,50100
4,extend,10000,true,zipfian,EXTEND,698692,22046023,10603930,10358688,866440,550576,795944,0,0,0,252,8326,99308553,110028251,1119298319,4904229638,251281375,25217340,4305823252170,4595022617,594195389,15501347,0,0,0,0,1,155532,642.9545045392588,100000,1547.82906,403,64639,2555,4011,100000
4,run,10000,true,uniform,READ,945847,24541909,11194499,10915750,901804,600715,827781,0,0,0,252,8327,99309744,110063512,1119349824,4904355861,251395819,25217481,4305938319759,4595488748,594201757,15501347,0.5,0.5,0,0,0,72186,1385.310170947275,49883,174.28053645530542,38,7615,484,586,49883
4,run,10000,true,uniform,UPDATE,945847,24541909,11194499,10915750,901804,600715,827781,0,0,0,252,8327,99309744,110063512,1119349824,4904355861,251395819,25217481,4305938319759,4595488748,594201757,15501347,0.5,0.5,0,0,0,72186,1385.310170947275,50117,1254.281940259792,413,50399,1624,1897,50117
4,reference,10000,true,uniform,READ,53491,4112634,1039999,912122,93738,199888,35962,0,0,0,252,8327,99310448,110071275,1119371084,4904401950,251395819,25217481,4306057879752,4595817796,594212215,15501347,0.5,0.5,0,0,0,67208,1487.9181049875015,50142,141.8154241952854,26,6079,450,555,50142
4,reference,10000,true,uniform,UPDATE,53491,4112634,1039999,912122,93738,199888,35962,0,0,0,252,8327,99310448,110071275,1119371084,4904401950,251395819,25217481,4306057879752,4595817796,594212215,15501347,0.5,0.5,0,0,0,67208,1487.9181049875015,49858,1193.3836094508404,494,8519,1591,1737,49858
4,clean-run,10000,true,uniform,READ,8439,2292770,534508,507956,106993,49725,31745,0,4,385024,252,8328,99323214,110077752,1119390331,4904454827,251470106,25217502,4306228844211,4596288093,594217500,15508327,0.5,0.5,0,0,0,69215,1444.7735317488984,50276,162.01312753600126,34,13735,466,564,50276
4,clean-run,10000,true,uniform,UPDATE,8439,2292770,534508,507956,106993,49725,31745,0,4,385024,252,8328,99323214,110077752,1119390331,4904454827,251470106,25217502,4306228844211,4596288093,594217500,15508327,0.5,0.5,0,0,0,69215,1444.7735317488984,49724,1215.634844340761,305,5635,1604,1734,49724
4,avg-run,10000,true,uniform,READ,8825,4400374,1051996,982866,191918,99801,61092,0,4,385024,252,8328,99323214,110077873,1119397340,4904466046,251470106,25217502,4306344572259,4596724379,594217504,15508327,0.5,0.5,0,0,0,67045,1491.5355358341412,49950,151.05615615615616,29,5715,458,557,49950
4,avg-run,10000,true,uniform,UPDATE,8825,4400374,1051996,982866,191918,99801,61092,0,4,385024,252,8328,99323214,110077873,1119397340,4904466046,251470106,25217502,4306344572259,4596724379,594217504,15508327,0.5,0.5,0,0,0,67045,1491.5355358341412,50050,1176.9223176823177,282,10239,1568,1691,50050
5,extend,10000,true,zipfian,EXTEND,1505306,31553966,15093751,14749883,1217230,700748,1137476,0,0,0,252,8330,99325427,110153481,1119643104,4904848495,251559377,25218882,4307208929284,4598295626,594284062,15508327,0,0,0,0,1,157742,633.9465709829975,100000,1569.78776,373,86015,2679,4783,100000
5,run,10000,true,uniform,READ,1771500,33932012,15681927,15305650,1255536,750714,1172979,0,0,0,252,8330,99325509,110189622,1119721624,4905052396,251559377,25218882,4307357343862,4598691758,594311631,15508327,0.5,0.5,0,0,0,73728,1356.3368055555557,50045,191.43656708961933,38,16543,504,606,50045
5,run,10000,true,uniform,UPDATE,1771500,33932012,15681927,15305650,1255536,750714,1172979,0,0,0,252,8330,99325509,110189622,1119721624,4905052396,251559377,25218882,4307357343862,4598691758,594311631,15508327,0.5,0.5,0,0,0,73728,1356.3368055555557,49955,1271.3482934641177,571,27791,1647,2007,49955
5,reference,10000,true,uniform,READ,104704,6031704,1572476,1416552,133238,249667,63305,0,0,0,252,8330,99325509,110202772,1119764196,4905115021,251559377,25218882,4307489046662,4599069262,594322823,15508327,0.5,0.5,0,0,0,68857,1452.285170716122,50243,151.7755309197301,30,7059,462,571,50243
5,reference,10000,true,uniform,UPDATE,104704,6031704,1572476,1416552,133238,249667,63305,0,0,0,252,8330,99325509,110202772,1119764196,4905115021,251559377,25218882,4307489046662,4599069262,594322823,15508327,0.5,0.5,0,0,0,68857,1452.285170716122,49757,1218.3108306368954,522,22815,1614,1806,49757
5,clean-run,10000,true,uniform,READ,12193,2492277,583801,557487,118580,49890,35848,0,4,385024,252,8331,99340193,110213755,1119795131,4905184388,251709124,25218903,4307719020529,4599601291,594336105,15515923,0.5,0.5,0,0,0,64792,1543.4004198049142,50111,129.88902636147753,35,13463,435,552,50111
5,clean-run,10000,true,uniform,UPDATE,12193,2492277,583801,557487,118580,49890,35848,0,4,385024,252,8331,99340193,110213755,1119795131,4905184388,251709124,25218903,4307719020529,4599601291,594336105,15515923,0.5,0.5,0,0,0,64792,1543.4004198049142,49889,1156.9081561065566,300,6575,1585,1798,49889
5,avg-run,10000,true,uniform,READ,12475,4838198,1163284,1093519,209410,99841,67975,0,4,385024,252,8331,99340193,110213821,1119802348,4905197667,251709124,25218903,4307846576102,4600058715,594336109,15515923,0.5,0.5,0,0,0,65969,1515.863511649411,50075,145.96009985022465,27,17423,459,560,50075
5,avg-run,10000,true,uniform,UPDATE,12475,4838198,1163284,1093519,209410,99841,67975,0,4,385024,252,8331,99340193,110213821,1119802348,4905197667,251709124,25218903,4307846576102,4600058715,594336109,15515923,0.5,0.5,0,0,0,65969,1515.863511649411,49925,1163.1624036054081,485,16847,1570,1695,49925
6,extend,10000,true,zipfian,EXTEND,2491061,41571360,20157716,19717318,1619655,850747,1532690,0,0,0,252,8333,99342387,110293128,1120097860,4905721498,251789682,25220794,4308876645272,4601752436,594419307,15515923,0,0,0,0,1,164426,608.1763224794132,100000,1636.45685,391,96319,2831,5783,100000
6,run,10000,true,uniform,READ,2921621,44376872,20855574,20384836,1661799,900758,1572020,0,0,0,252,8333,99342387,110329170,1120226579,4905971774,251789682,25220794,4308989139823,4602276693,594436526,15515923,0.5,0.5,0,0,0,74349,1345.0080027976167,50011,190.90554078102818,47,14623,508,611,50011
6,run,10000,true,uniform,UPDATE,2921621,44376872,20855574,20384836,1661799,900758,1572020,0,0,0,252,8333,99342387,110329170,1120226579,4905971774,251789682,25220794,4308989139823,4602276693,594436526,15515923,0.5,0.5,0,0,0,74349,1345.0080027976167,49989,1283.567684890676,649,46559,1634,2165,49989
6,reference,10000,true,uniform,READ,174649,8391793,2183075,1992124,175421,299786,96255,0,0,0,252,8334,99344055,110340067,1120254092,4906056838,251931934,25220811,4309157720032,4602634599,594454131,15515923,0.5,0.5,0,0,0,69183,1445.4417992859517,49903,152.39087830390957,34,7735,461,573,49903
6,reference,10000,true,uniform,UPDATE,174649,8391793,2183075,1992124,175421,299786,96255,0,0,0,252,8334,99344055,110340067,1120254092,4906056838,251931934,25220811,4309157720032,4602634599,594454131,15515923,0.5,0.5,0,0,0,69183,1445.4417992859517,50097,1216.8576162245245,343,13887,1626,1815,50097
6,clean-run,10000,true,uniform,READ,26052,2625984,622311,596537,128540,49798,38833,0,4,385024,252,8335,99359258,110347251,1120290912,4906148749,251936498,25220836,4309363119046,4603160918,594459498,15525013,0.5,0.5,0,0,0,68036,1469.8101005350109,50203,157.6348624584188,38,6275,466,566,50203
6,clean-run,10000,true,uniform,UPDATE,26052,2625984,622311,596537,128540,49798,38833,0,4,385024,252,8335,99359258,110347251,1120290912,4906148749,251936498,25220836,4309363119046,4603160918,594459498,15525013,0.5,0.5,0,0,0,68036,1469.8101005350109,49797,1195.0585577444424,305,8079,1601,1744,49797
