Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,35068,1974,1011,10046,1,0,0,0,0,133,1373,1750218,19857473,193078015,964106237,41196381,3129913,657693839301,662814532,66655494,11776734,1,0,0,0,0,12774,782.8401440425865,10000,1243.2477,793,8287,1501,1584,10000
1,extend,10000,true,uniform,EXTEND,2,1155527,243616,221548,18576,100012,1494,0,0,0,133,1373,1750218,19858223,193085457,964112309,41196381,3129913,657794924060,663206499,66655502,11776734,0,0,0,0,1,119960,833.6112037345782,100000,1193.53704,399,12335,1748,1856,100000
1,run,10000,true,uniform,READ,2,1713651,442065,399551,18689,100023,1594,0,0,0,133,1373,1750218,19858223,193085457,964112338,41196381,3129913,657796023477,663221534,66655502,11776734,1,0,0,0,0,4083,24491.795248591723,100000,37.16669,20,22367,47,71,100000
1,reference,10000,true,uniform,READ,1,340598,114217,101497,10119,1,0,0,0,0,133,1373,1750218,19858223,193085457,964112338,41196381,3129913,657796023538,663221535,66655502,11776734,1,0,0,0,0,2882,34698.126301179735,100000,25.21571,19,18207,37,61,100000
1,clean-run,10000,true,uniform,READ,510,576170,186143,175174,16869,1,0,0,4,385024,133,1374,1758019,19858223,193085919,964116261,41196435,3129919,657822994617,663242256,66656490,11778495,1,0,0,0,0,3861,25900.0259000259,100000,34.98101,20,18575,46,72,100000
1,avg-run,10000,true,uniform,READ,512,1271511,418253,377239,36869,5,0,0,4,385024,133,1374,1758019,19858223,193085919,964119202,41196435,3129919,657847072170,663292383,66656492,11778495,1,0,0,0,0,3454,28951.939779965258,100000,30.8796,22,14943,43,72,100000
2,extend,10000,true,uniform,EXTEND,2,3617684,933755,836648,57439,200045,19323,0,0,0,133,1374,1758019,19858415,193085919,964121666,41196435,3129919,657972912239,663785410,66662500,11778495,0,0,0,0,1,124152,805.4642696050004,100000,1235.24729,423,14807,1781,1886,100000
2,run,10000,true,uniform,READ,2,4876788,1363375,1245822,57600,200056,19466,0,0,0,133,1374,1758019,19858415,193085919,964121706,41196435,3129919,657974500066,663806813,66662500,11778495,1,0,0,0,0,4712,21222.410865874364,100000,43.50255,21,22447,54,79,100000
2,reference,10000,true,uniform,READ,1,643038,237241,202746,10119,1,0,0,0,0,133,1374,1758019,19858415,193085919,964121706,41196435,3129919,657974500066,663806813,66662500,11778495,1,0,0,0,0,3217,31084.861672365558,100000,28.51791,20,19823,39,62,100000
2,clean-run,10000,true,uniform,READ,620,1337056,404636,393667,36764,1,0,0,4,385024,133,1375,1766538,19858615,193092587,964127268,41196499,3129929,658014631760,663868833,66663487,11781814,1,0,0,0,0,4474,22351.363433169423,100000,41.1458,22,20447,54,81,100000
2,avg-run,10000,true,uniform,READ,695,3085225,936986,895972,86764,5,0,0,4,385024,133,1375,1766538,19858615,193092587,964131698,41196499,3129929,658053146847,663979204,66663530,11781814,1,0,0,0,0,4273,23402.761525860053,100000,39.10895,26,10783,52,81,100000
3,extend,10000,true,uniform,EXTEND,4,7775060,2135209,1957638,110166,300078,56037,0,0,0,133,1375,1766538,19859068,193100579,964134755,41196499,3129929,658209601139,664555579,66671613,11781814,0,0,0,0,1,123171,811.8794196685908,100000,1225.64199,418,12975,1787,1900,100000
3,run,10000,true,uniform,READ,75,9566417,2740693,2542676,110380,300089,56246,0,0,0,133,1375,1766538,19859770,193100579,964134809,41196499,3129929,658211123885,664574586,66671613,11781814,1,0,0,0,0,4628,21607.605877268797,100000,42.69851,25,23295,55,84,100000
3,reference,10000,true,uniform,READ,1589,943963,361155,304009,10119,1,0,0,0,0,133,1375,1766538,19861130,193100579,964136397,41196499,3129929,658211123885,664574586,66671613,11781814,1,0,0,0,0,3191,31338.138514572234,100000,28.17745,19,18319,39,69,100000
3,clean-run,10000,true,uniform,READ,1693,1933234,575399,564430,52391,1,0,0,4,385024,133,1376,1778037,19861667,193103590,964146036,41196562,3129934,658263762635,664669432,66672600,11786364,1,0,0,0,0,4373,22867.5966155957,100000,40.08635,24,24991,53,80,100000
3,avg-run,10000,true,uniform,READ,1775,4384928,1308014,1267000,122391,5,0,0,4,385024,133,1376,1778037,19861669,193111272,964152227,41196562,3129934,658315174176,664819701,66672602,11786364,1,0,0,0,0,4438,22532.672374943668,100000,40.67669,29,11975,56,85,100000
4,extend,10000,true,uniform,EXTEND,11192,13175465,3693975,3433804,171179,400111,106151,0,0,0,133,1376,1778037,19870734,193119543,964164171,41196562,3129934,658498076281,665421769,66683466,11786364,0,0,0,0,1,132707,753.539752989669,100000,1320.37246,423,15063,1827,1932,100000
4,run,10000,true,uniform,READ,11301,15938313,4419110,4137617,171441,400122,106396,0,0,0,133,1376,1778037,19870734,193119543,964164318,41196562,3129934,658500775896,665458773,66683466,11786364,1,0,0,0,0,5620,17793.59430604982,100000,52.60583,28,23039,63,99,100000
4,reference,10000,true,uniform,READ,3321,1244671,484179,405258,10119,1,0,0,0,0,133,1376,1778037,19870749,193119543,964165907,41196562,3129934,658500775946,665458774,66683466,11786364,1,0,0,0,0,3899,25647.601949217747,100000,35.30911,19,21471,43,67,100000
4,clean-run,10000,true,uniform,READ,630,2344143,692195,681226,63118,1,0,0,4,385024,133,1377,1792135,19871117,193119949,964175981,41196677,3129946,658565185476,665576616,66684453,11791732,1,0,0,0,0,4908,20374.89812550937,100000,45.5362,26,21487,59,92,100000
4,avg-run,10000,true,uniform,READ,698,5148476,1525050,1484036,143118,5,0,0,4,385024,133,1377,1792135,19871117,193127774,964183520,41196677,3129946,658628087879,665746914,66684455,11791732,1,0,0,0,0,5189,19271.53594141453,100000,48.16527,31,16607,58,88,100000
5,extend,10000,true,uniform,EXTEND,36812,20678191,5498694,5156984,238301,500144,165828,0,0,0,133,1377,1792135,19894276,193142093,964214945,41196677,3129946,658829921572,666379549,66697498,11791732,0,0,0,0,1,126181,792.5123433797481,100000,1255.52205,420,16271,1815,1944,100000
5,run,10000,true,uniform,READ,41052,23760174,6302430,5940274,238608,500155,166121,0,0,0,133,1377,1792135,19895751,193144407,964216407,41196677,3129946,658832928082,666420752,66697498,11791732,1,0,0,0,0,5068,19731.64956590371,100000,47.01983,29,19311,68,100,100000
5,reference,10000,true,uniform,READ,5165,1545340,608093,506521,10119,1,0,0,0,0,133,1377,1792135,19897239,193144407,964218147,41196677,3129946,658832928082,666420752,66697498,11791732,1,0,0,0,0,3126,31989.76327575176,100000,27.42937,18,18079,38,69,100000
