relation_role,event,epoch,relation_pages,estimated_free_bytes,avg_free_bytes,estimated_pages_gt_half_free
heap,after_extend,1,5354.5,21586220.0,3988.715,3262.0
heap,after_extend,10,5557.5,28982434.0,5214.54,3981.5
heap,after_extend,25,5531.0,31625888.0,5715.725,3869.0
heap,after_extend,50,5524.0,41943488.0,7592.719999999999,5412.0
heap,after_extend,75,5524.0,42261248.0,7650.545,5450.0
heap,after_extend,100,5524.0,42261184.0,7650.535,5450.0
heap,after_vacuum,1,5354.5,26026730.0,4854.8150000000005,4158.5
heap,after_vacuum,10,5555.5,29062193.0,5230.47,4008.5
heap,after_vacuum,25,5531.0,32610688.0,5895.525,4008.0
heap,after_vacuum,50,5524.0,41944800.0,7592.950000000001,5412.0
heap,after_vacuum,75,5524.0,42265312.0,7651.29,5450.0
heap,after_vacuum,100,5524.0,42267872.0,7651.755,5450.0
heap,before_run,1,5354.5,26026730.0,4854.8150000000005,4158.5
heap,before_run,10,5555.5,29062193.0,5230.47,4008.5
heap,before_run,25,5531.0,32610688.0,5895.525,4008.0
heap,before_run,50,5524.0,41944800.0,7592.950000000001,5412.0
heap,before_run,75,5524.0,42265312.0,7651.29,5450.0
heap,before_run,100,5524.0,42267872.0,7651.755,5450.0
toast_heap,after_extend,1,12799.5,77109037.5,5697.85,9476.0
toast_heap,after_extend,10,260519.5,441990443.0,1972.2250000000001,49455.5
toast_heap,after_extend,25,825671.0,122218529.0,151.42000000000002,4041.0
toast_heap,after_extend,50,1694410.0,715150434.5,419.95,71081.0
toast_heap,after_extend,75,2605144.5,170532474.5,65.445,0.0
toast_heap,after_extend,100,3575258.0,462307624.5,129.835,33805.0
toast_heap,after_vacuum,1,12799.5,99622358.0,7773.575,12526.5
toast_heap,after_vacuum,10,260519.5,2022547181.0,7756.030000000001,253475.0
toast_heap,after_vacuum,25,825671.0,6472367396.0,7836.145,802344.5
toast_heap,after_vacuum,50,1694410.0,13315518019.5,7858.48,1635759.5
toast_heap,after_vacuum,75,2605144.5,20384304690.5,7824.745000000001,2487695.5
toast_heap,after_vacuum,100,3575258.0,28052308775.0,7846.355,3426299.5
toast_heap,before_run,1,12799.5,99622358.0,7773.575,12526.5
toast_heap,before_run,10,260519.5,2022547181.0,7756.030000000001,253475.0
toast_heap,before_run,25,825671.0,6472367396.0,7836.145,802344.5
toast_heap,before_run,50,1694410.0,13315518019.5,7858.48,1635759.5
toast_heap,before_run,75,2605144.5,20384304690.5,7824.745000000001,2487695.5
toast_heap,before_run,100,3575258.0,28052308775.0,7846.355,3426299.5
