run,epoch,phase,p95_latency_ms
full_view_run1,1,extend,3.589
full_view_run1,2,extend,3.221
full_view_run1,3,extend,4.379
full_view_run1,4,extend,5.347
full_view_run1,5,extend,6.163
full_view_run1,6,extend,7.051
full_view_run1,7,extend,7.547
full_view_run1,8,extend,7.839
full_view_run1,9,extend,7.519
full_view_run1,10,extend,8.147
full_view_run1,11,extend,8.759
full_view_run1,12,extend,9.207
full_view_run1,13,extend,9.839
full_view_run1,14,extend,11.615
full_view_run1,15,extend,10.887
full_view_run1,16,extend,13.055
full_view_run1,17,extend,12.895
full_view_run1,18,extend,14.103
full_view_run1,19,extend,15.047
full_view_run1,20,extend,13.559
full_view_run1,21,extend,15.527
full_view_run1,22,extend,16.111
full_view_run1,23,extend,17.599
full_view_run1,24,extend,16.063
full_view_run1,25,extend,16.543
full_view_run1,26,extend,17.359
full_view_run1,27,extend,18.703
full_view_run1,28,extend,17.807
full_view_run1,29,extend,19.167
full_view_run1,30,extend,20.479
full_view_run1,31,extend,20.143
full_view_run1,32,extend,20.527
full_view_run1,33,extend,20.751
full_view_run1,34,extend,20.991
full_view_run1,35,extend,21.599
full_view_run1,36,extend,23.071
full_view_run1,37,extend,23.279
full_view_run1,38,extend,23.503
full_view_run1,39,extend,23.855
full_view_run1,40,extend,25.423
full_view_run1,41,extend,25.023
full_view_run1,42,extend,24.431
full_view_run1,43,extend,24.639
full_view_run1,44,extend,26.975
full_view_run1,45,extend,27.151
full_view_run1,46,extend,26.671
full_view_run1,47,extend,26.975
full_view_run1,48,extend,27.023
full_view_run1,49,extend,29.951
full_view_run1,50,extend,29.807
full_view_run1,51,extend,29.583
full_view_run1,52,extend,30.095
full_view_run1,53,extend,31.679
full_view_run1,54,extend,31.551
full_view_run1,55,extend,31.791
full_view_run1,56,extend,32.671
full_view_run1,57,extend,32.767
full_view_run1,58,extend,32.495
full_view_run1,59,extend,34.815
full_view_run1,60,extend,34.687
full_view_run1,61,extend,36.639
full_view_run1,62,extend,35.935
full_view_run1,63,extend,37.087
full_view_run1,64,extend,37.791
full_view_run1,65,extend,39.455
full_view_run1,66,extend,38.239
full_view_run1,67,extend,40.607
full_view_run1,68,extend,40.191
full_view_run1,69,extend,41.343
full_view_run1,70,extend,41.791
full_view_run1,71,extend,42.879
full_view_run1,72,extend,43.679
full_view_run1,73,extend,43.807
full_view_run1,74,extend,43.743
full_view_run1,75,extend,45.087
full_view_run1,76,extend,45.343
full_view_run1,77,extend,45.951
full_view_run1,78,extend,45.727
full_view_run1,79,extend,45.727
full_view_run1,80,extend,48.639
full_view_run1,81,extend,50.239
full_view_run1,82,extend,51.551
full_view_run1,83,extend,50.143
full_view_run1,84,extend,52.063
full_view_run1,85,extend,52.927
full_view_run1,86,extend,53.631
