phase_name,epoch,latency_p99_ms,latency_p95_ms,throughput_ops_per_sec,wal_bytes_per_op,toast_blocks_per_op,toast_index_blocks_per_op,toast_read_ratio,toast_hit_ratio,client_backend_relation_evictions_delta,checkpoint_write_time_delta,buffers_clean_delta,toast_storage_fraction_after
extend,1,4.9085,2.5300000000000002,812.587374,2603.77966,3.4443599999999996,3.195505,0.0,1.0,0.0,0.0,0.0,0.7033315
extend,10,12.295,7.447,504.4078195,38112.902405,55.24529,25.44012,0.0,1.0,0.0,229506.0,0.0,0.9795445
extend,25,28.967,15.131,300.1599745,96185.024065,125.88282,46.13848,0.06973160964619302,0.9302683903538069,871998.5,439065.5,20194.5,0.9935339999999999
extend,50,56.382999999999996,27.927,182.0582365,196519.27418,254.88620500000002,86.617745,0.0811057860792212,0.9188942139207787,1858279.5,616621.0,12819.0,0.9968205
extend,75,85.727,43.231,120.00297649999999,310894.33421500004,379.657615,124.52897,0.07867726105298722,0.9213227389470128,2874236.0,823375.5,13607.5,0.9979184999999999
extend,100,118.399,60.271,87.8637565,427338.75714,486.01115000000004,161.03277500000002,0.07988656964789025,0.9201134303521097,3809020.0,1061959.5,16506.0,0.9984755000000001
run,1,0.2005,0.098,15504.542129499998,0.06337,0.588225,1.14513,0.0,1.0,0.0,0.0,0.0,0.7033315
run,10,0.584,0.263,6004.2923200000005,0.380865,7.77817,22.31176,0.0,1.0,0.0,0.0,0.0,0.9795510000000001
run,25,1.0065,0.45999999999999996,3636.207276,0.28085,10.410820000000001,27.48966,8.28887246537359e-05,0.9999171112753462,679.0,0.0,21850.0,0.9935339999999999
run,50,3.098,1.119,2055.7208545000003,0.0,14.469835,39.88825,0.010492026847578705,0.9895079731524212,20459.0,0.0,32168.0,0.9968205
run,75,6.333,2.1345,1299.339231,0.05707,17.99164,40.01551,0.020757266393869864,0.9792427336061301,42897.0,134857.0,49703.0,0.9979184999999999
run,100,7.581,2.308,1024.4993335,0.0,21.230475,40.022675,0.018745719836043156,0.9812542801639569,41763.0,0.0,52810.5,0.9984755000000001
reference,1,0.14100000000000001,0.067,19469.957147499998,0.00025,0.0,0.0,,,0.0,0.0,0.0,0.000666
reference,10,0.126,0.067,19365.4237995,0.00025,0.0,0.0,,,0.0,0.0,0.0,0.000666
reference,25,0.3245,0.067,18481.362702,0.00025,0.0,0.0,,,1462.0,0.0,7550.0,0.000666
reference,50,0.363,0.066,18431.889557000002,0.0,0.0,0.0,,,1462.0,0.0,7850.0,0.000666
reference,75,0.605,0.0665,17161.5017065,0.0,0.0,0.0,,,1462.0,0.0,7800.0,0.000666
reference,100,0.6705000000000001,0.0665,16967.415916,0.0,0.0,0.0,,,1462.0,0.0,4101.5,0.000666
