Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,38995,13526,2475,10046,8,0,0,0,0,459,14478,1231733900,22701350,698203453,617548021,378503107,8999614,7696427787652,8964808787,1160126517,26740603,1,0,0,0,0,13572,736.8110816386678,10000,1310.8346,794,16927,1646,1780,10000
1,extend,10000,true,zipfian,EXTEND,2,1395905,300632,269777,98405,100019,81637,0,0,0,459,14478,1231733900,22701350,698203453,617563817,378503107,8999614,7696684715886,8965479299,1160126524,26740603,0,0,0,0,1,136487,732.670510744613,100000,1355.48488,289,13839,1734,2161,100000
1,run,10000,true,uniform,READ,2,1964064,500827,449526,98517,100030,81729,0,0,0,459,14478,1231733900,22701350,698203453,617563895,378503107,8999614,7696687655392,8965524374,1160126524,26740603,1,0,0,0,0,5345,18709.073900841908,100000,48.45582,27,13575,64,163,100000
1,reference,10000,true,uniform,READ,1,343120,124934,102206,10119,1,0,0,0,0,459,14478,1231733900,22701350,698203453,617563895,378503107,8999614,7696687655453,8965524375,1160126524,26740603,1,0,0,0,0,4274,23397.28591483388,100000,37.87589,25,13543,54,85,100000
1,clean-run,10000,true,uniform,READ,470,538088,182727,171758,16599,1,0,0,4,385024,459,14479,1231752225,22701350,698221129,617567956,378503277,8999621,7696715735048,8965544675,1160127512,26740739,1,0,0,0,0,5156,19394.87975174554,100000,46.86697,27,13167,60,151,100000
1,avg-run,10000,true,uniform,READ,472,1330968,458479,407457,36599,5,0,0,4,385024,459,14479,1231752225,22701350,698221129,617570905,378503277,8999621,7696740671557,8965594962,1160127560,26740739,1,0,0,0,0,4875,20512.82051282051,100000,43.89304,29,13447,62,93,100000
2,extend,10000,true,zipfian,EXTEND,2,4377808,1158506,1051813,345764,200052,312369,0,0,0,459,14480,1231761227,22701350,698243848,617589280,378503277,8999621,7697350918260,8966843517,1160146332,26740739,0,0,0,0,1,134902,741.2788542794028,100000,1340.58996,300,11455,2135,3211,100000
2,run,10000,true,uniform,READ,2,5787749,1554964,1427825,345911,200063,312511,0,0,0,459,14480,1231761756,22701350,698243848,617589280,378503277,8999621,7697356799902,8966897053,1160149337,26740739,1,0,0,0,0,6257,15982.1000479463,100000,57.91359,29,14423,82,333,100000
2,reference,10000,true,uniform,READ,1,645633,248848,203469,10119,1,0,0,0,0,459,14480,1231761806,22701350,698243848,617589280,378503277,8999621,7697356799902,8966897053,1160149337,26740739,1,0,0,0,0,4627,21612.27577263886,100000,41.63644,25,12815,55,97,100000
2,clean-run,10000,true,uniform,READ,533,1038163,334522,324430,32302,1,0,0,4,385024,459,14481,1231794932,22701350,698243849,617594741,378536204,8999705,7697397245522,8966945895,1160150324,26741883,1,0,0,0,0,6365,15710.919088766694,100000,58.94607,29,13367,83,337,100000
2,avg-run,10000,true,uniform,READ,535,3162530,1005657,954635,82475,5,0,0,4,385024,459,14481,1231794932,22701350,698243849,617599212,378536204,8999705,7697436901525,8967056750,1160150366,26741883,1,0,0,0,0,5967,16758.840288252053,100000,54.80156,35,12119,78,137,100000
3,extend,10000,true,zipfian,EXTEND,2,9230357,2561326,2379377,744353,300085,696118,0,0,0,459,14482,1231840862,22701350,698270721,617618838,378600924,8999738,7698410685232,8968862582,1160194415,26741883,0,0,0,0,1,145111,689.1276333289688,100000,1441.95232,291,29855,2659,4327,100000
3,run,10000,true,uniform,READ,2,11349124,3137300,2934905,744535,300096,696290,0,0,0,459,14482,1231840862,22701350,698270721,617618838,378600924,8999738,7698416885449,8968959289,1160194433,26741883,1,0,0,0,0,7271,13753.266400770182,100000,67.7085,30,14111,91,416,100000
3,reference,10000,true,uniform,READ,1,948146,372762,304732,10119,1,0,0,0,0,459,14482,1231840862,22701350,698270721,617618838,378600924,8999738,7698416885449,8968959289,1160194433,26741883,1,0,0,0,0,4474,22351.363433169423,100000,39.90685,26,13711,49,77,100000
