Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,zipfian,INSERT,0.2,7.6,1,37313,12537,1566,10046,1,0,0,0,0,735,22554,1884999063,32024328,1059246725,905058365,615310900,14477292,11961662004819,14198725389,1814134764,37030434,0,0,0,0,1,13602,735.1860020585208,10000,1314.4484,866,17119,1639,1758,10000
1,extend,10000,true,zipfian,EXTEND,0.2,7.6,2,1408017,303575,272718,100146,100012,83442,0,0,0,735,22554,1884999063,32024328,1059246725,905073819,615310900,14477292,11961922801928,14199403314,1814134775,37030434,0,0,0,0,1,130035,769.0237243818972,100000,1291.75045,363,8815,1693,2101,100000
1,run,10000,true,uniform,READ,0.2,7.6,2,1971519,503690,452387,100258,100023,83534,0,0,0,735,22554,1884999063,32024328,1059246725,905073846,615310900,14477292,11961925664134,14199447124,1814134775,37030434,1,0,0,0,0,5291,18900.0189000189,100000,47.99502,26,16135,65,206,100000
1,reference,10000,true,uniform,READ,0.2,7.6,1,342922,124838,102110,10119,1,0,0,0,0,735,22554,1884999063,32024328,1059246725,905073846,615310900,14477292,11961925664134,14199447124,1814134775,37030434,1,0,0,0,0,4496,22241.992882562277,100000,40.49608,24,12095,54,141,100000
1,clean-run,10000,true,uniform,READ,0.2,8,437,538697,182705,171736,16552,1,0,0,4,385024,735,22555,1885016998,32024328,1059264008,905077900,615311058,14477298,11961953724339,14199467341,1814135762,37030434,1,0,0,0,0,4952,20193.861066235866,100000,44.96727,26,13151,61,174,100000
1,avg-run,10000,true,uniform,READ,0.2,8,439,1331211,458363,407341,36552,5,0,0,4,385024,735,22555,1885016998,32024328,1059264008,905080821,615311058,14477298,11961978653497,14199517634,1814135813,37030434,1,0,0,0,0,5280,18939.39393939394,100000,48.13352,28,11951,62,115,100000
2,extend,10000,true,zipfian,EXTEND,0.2,8,2,4419341,1173725,1067289,353359,200045,320035,0,0,0,735,22556,1885027339,32024328,1059289105,905101610,615311058,14477298,11962605304845,14200801021,1814179265,37030434,0,0,0,0,1,133902,746.814834729877,100000,1330.15199,374,11423,2147,3221,100000
2,run,10000,true,uniform,READ,0.2,8,2,5827428,1572360,1445478,353503,200056,320177,0,0,0,735,22556,1885027653,32024328,1059289105,905101610,615311058,14477298,11962608312968,14200846328,1814179268,37030434,1,0,0,0,0,6294,15888.147442008261,100000,58.37808,27,13231,84,355,100000
2,reference,10000,true,uniform,READ,0.2,8,1,645437,248752,203373,10119,1,0,0,0,0,735,22556,1885027700,32024328,1059289105,905101610,615311058,14477298,11962608312968,14200846328,1814179268,37030434,1,0,0,0,0,4268,23430.178069353326,100000,38.07179,25,11175,52,88,100000
2,clean-run,10000,true,uniform,READ,0.2,8,533,1037422,335040,324948,32251,1,0,0,4,385024,735,22557,1885062691,32024328,1059289106,905107067,615343003,14477381,11962648748244,14200895074,1814180255,37030877,1,0,0,0,0,5972,16744.809109176156,100000,54.91079,27,15263,77,267,100000
2,avg-run,10000,true,uniform,READ,0.2,8,535,3151557,1002595,951573,82251,5,0,0,4,385024,735,22557,1885062691,32024328,1059289106,905111497,615343003,14477381,11962688054554,14201005445,1814180297,37030877,1,0,0,0,0,5924,16880.48615800135,100000,54.51858,34,12127,74,267,100000
3,extend,10000,true,zipfian,EXTEND,0.2,8,2,9330873,2597761,2416001,760722,300078,712490,0,0,0,735,22558,1885114142,32024328,1059317729,905132927,615407538,14477476,11963676533082,14202857424,1814222179,37030877,0,0,0,0,1,142320,702.6419336706015,100000,1414.72684,372,30367,2651,4351,100000
3,run,10000,true,uniform,READ,0.2,8,2,11447549,3172777,2970571,760904,300089,712666,0,0,0,735,22558,1885114142,32024328,1059317729,905132928,615407538,14477476,11963681681913,14202936958,1814222207,37030877,1,0,0,0,0,7752,12899.896800825594,100000,72.69707,30,13127,108,451,100000
3,reference,10000,true,uniform,READ,0.2,8,1,947952,372666,304636,10119,1,0,0,0,0,735,22558,1885114142,32024328,1059317729,905132928,615407538,14477476,11963681681913,14202936958,1814222207,37030877,1,0,0,0,0,4224,23674.242424242424,100000,37.28815,25,15999,51,95,100000
3,clean-run,10000,true,uniform,READ,0.2,8,501,1504215,475408,465316,46516,1,0,0,4,385024,735,22559,1885168794,32024328,1059317759,905139818,615409925,14477523,11963734632835,14203014367,1814223194,37031693,1,0,0,0,0,7021,14242.98532972511,100000,65.31081,29,14703,92,399,100000
3,avg-run,10000,true,uniform,READ,0.2,8,503,4522215,1412279,1361177,116516,5,0,0,4,385024,735,22559,1885168794,32024328,1059317759,905145897,615409925,14477523,11963786893828,14203164845,1814223246,37031693,1,0,0,0,0,6453,15496.668216333488,100000,59.96675,39,12863,77,148,100000
4,extend,10000,true,zipfian,EXTEND,0.2,8,2,15905646,4516503,4257667,1305964,400111,1245962,0,0,0,735,22561,1885276611,32024328,1059335479,905153316,615467387,14477533,11965148769023,14205531695,1814362744,37031693,0,0,0,0,1,158720,630.0403225806451,100000,1578.42576,375,9719,3293,5495,100000
4,run,10000,true,uniform,READ,0.2,8,2,18558522,5229475,4950193,1306182,400122,1246173,0,0,0,735,22561,1885277840,32024328,1059335480,905153317,615467387,14477533,11965157442798,14205666999,1814362878,37031693,1,0,0,0,0,8975,11142.061281337048,100000,84.68402,34,23743,189,487,100000
4,reference,10000,true,uniform,READ,0.2,8,1,1250467,496580,405899,10119,1,0,0,0,0,735,22561,1885277887,32024328,1059335480,905153317,615467387,14477533,11965157442798,14205666999,1814362878,37031693,1,0,0,0,0,4307,23218.017181332714,100000,38.61395,25,12463,53,91,100000
4,clean-run,10000,true,uniform,READ,0.2,8,501,1877866,600688,589722,58032,1,0,0,4,385024,735,22562,1885336661,32024328,1059335481,905161668,615524228,14477581,11965222482813,14205767579,1814363866,37032547,1,0,0,0,0,7549,13246.787653993906,100000,70.77467,33,16151,98,418,100000
4,avg-run,10000,true,uniform,READ,0.2,8,503,5369644,1678752,1627733,138032,5,0,0,4,385024,735,22562,1885336661,32024328,1059335481,905169444,615524228,14477581,11965286245104,14205938111,1814363928,37032547,1,0,0,0,0,7057,14170.327334561429,100000,66.08358,42,12895,86,205,100000
