Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
0,load,10000,True,uniform,INSERT,0.0,1.3,1,39161,12848,1876,10119,1,0,0,0,0,681,42609,386625947,560854007,6446765772,11815657035,1119291096,168793140,22855917914564,26811104056,3545527635,79374462,1,0,0,0,0,12933,773.2158045310446,10000,1232.7701,790,19871,1648,1798,10000,12,5.4,8.200000000000001,8.4,8.4,8.7,31844.0,38920.0,45110.0,50982.0,57060.0
1,extend,10000,True,zipfian,EXTEND,0.0,1.3,2,1410490,303220,272426,99640,100023,82881,0,0,0,681,42609,386625947,560854007,6446765772,11815671704,1119291096,168793140,22856177385679,26811783663,3545527639,79374462,0,0,0,0,1,129355,773.0663677476712,100000,1285.11021,301,16543,1724,2167,100000,123,6.5,10.4,10.8,11.45,46.7,44868.0,84996.0,106700.0,166582.0,336024.0
1,run,10000,True,uniform,READ,0.0,1.3,2,1975425,503990,452750,99751,100034,82982,0,0,0,681,42609,386625947,560854007,6446765772,11815671704,1119291096,168793140,22856180021573,26811823830,3545527639,79374462,1,0,0,0,0,5511,18145.52712756305,100000,50.06275,28,14719,70,141,100000,5,31.1,49.7,55.0,57.6,59.1,145412.0,148776.0,148808.0,148860.0,149056.0
1,reference,10000,True,uniform,READ,0.0,1.3,1,342922,124838,102110,10119,1,0,0,0,0,681,42609,386625947,560854007,6446765772,11815671704,1119291096,168793140,22856180021573,26811823830,3545527639,79374462,1,0,0,0,0,4075,24539.877300613494,100000,36.08221,26,13095,48,84,100000,3,32.6,42.05,51.5,53.25,55.0,42724.0,42724.0,42724.0,42724.0,42724.0
1,clean-run,10000,True,uniform,READ,18.1,2.6,447,512885,173763,163671,16460,1,0,0,4,385024,681,42610,386643087,560854007,6446782258,11815675777,1119291302,168793149,22856207668076,26811840822,3545528624,79374462,1,0,0,0,0,5221,19153.41888527102,100000,47.60407,27,13095,65,129,100000,5,0.0,34.0,51.5,56.3,57.9,55236.0,55300.0,55300.0,55488.0,61340.0
1,avg-run,10000,True,uniform,READ,0.0,2.2,449,1330137,455534,404512,36582,5,0,0,4,385024,681,42610,386643087,560854007,6446782258,11815678725,1119291302,168793149,22856232961092,26811894222,3545528628,79374462,1,0,0,0,0,4946,20218.358269308534,100000,44.51367,31,14375,62,100,100000,4,31.9,45.475,53.4,57.724999999999994,60.5,54004.0,54004.0,54004.0,54004.0,54004.0
2,extend,10000,True,zipfian,EXTEND,0.0,2.5,2,4450073,1178993,1071788,353962,200056,320647,0,0,0,681,42611,386654133,560854007,6446811205,11815703352,1119291302,168793149,22856874532115,26813198085,3545568699,79374462,0,0,0,0,1,128687,777.0792698563181,100000,1278.50791,300,36127,2133,3267,100000,122,8.6,12.525,13.45,14.1,38.5,71692.0,188227.0,294712.0,296316.0,747804.0
2,run,10000,True,uniform,READ,0.0,2.5,2,5828249,1574369,1446718,354106,200067,320789,0,0,0,681,42611,386654326,560854007,6446811205,11815703352,1119291302,168793149,22856876238035,26813221890,3545568701,79374462,1,0,0,0,0,6166,16217.96951021732,100000,56.84807,30,13783,85,175,100000,5,34.0,53.5,60.4,64.2,65.4,308884.0,332436.0,333904.0,335028.0,335088.0
2,reference,10000,True,uniform,READ,0.0,2.5,1,645437,248752,203373,10119,1,0,0,0,0,681,42611,386654376,560854007,6446811205,11815703352,1119291302,168793149,22856876238035,26813221890,3545568701,79374462,1,0,0,0,0,4630,21598.272138228946,100000,41.36787,26,13031,55,88,100000,4,30.4,43.0,49.05,51.6,53.7,42724.0,42724.0,42724.0,42724.0,42724.0
2,clean-run,10000,True,uniform,READ,0.0,3.4,533,1034569,332287,322195,32229,1,0,0,4,385024,681,42612,386692146,560854007,6446811206,11815708812,1119323841,168793204,22856916666083,26813270594,3545569688,79375371,1,0,0,0,0,6021,16608.536787908986,100000,55.47436,29,13335,74,159,100000,5,34.7,53.2,58.0,60.6,61.8,69348.0,69568.0,69764.0,69772.0,69904.0
2,avg-run,10000,True,uniform,READ,0.0,3.4,535,3218667,1019794,968772,82384,5,0,0,4,385024,681,42612,386692146,560854007,6446811206,11815713279,1119323841,168793204,22856956513649,26813385492,3545569692,79375371,1,0,0,0,0,6053,16520.733520568312,100000,55.51304,38,14575,72,106,100000,5,32.9,53.7,58.6,61.6,63.3,68984.0,68984.0,68984.0,68984.0,68984.0
3,extend,10000,True,zipfian,EXTEND,7.0,7.1,2,9177824,2580239,2398055,756207,300089,708002,0,0,0,681,42613,386744963,560854007,6446841398,11815736195,1119385964,168793313,22857913952413,26815106489,3545604666,79375371,0,0,0,0,1,136824,730.8659299538093,100000,1360.01477,295,33567,2669,4459,100000,130,9.8,16.6,17.0,17.6,38.3,85152.0,330194.0,435544.0,437730.0,1038468.0
3,run,10000,True,uniform,READ,0.0,4.1,2,11542243,3188027,2984520,756571,300111,708346,0,0,0,681,42613,386744963,560854007,6446841398,11815736281,1119385964,168793313,22857927473521,26815294216,3545607986,79375371,1,0,0,0,0,7214,13861.93512614361,100000,67.06268,30,16927,96,205,100000,6,31.5,55.15,62.05,65.35,66.9,427284.0,486180.0,490344.0,491544.0,491672.0
3,reference,10000,True,uniform,READ,0.0,4.1,1,947952,372666,304636,10119,1,0,0,0,0,681,42613,386744963,560854007,6446841398,11815736281,1119385964,168793313,22857927473521,26815294216,3545607986,79375371,1,0,0,0,0,4264,23452.157598499063,100000,37.53498,26,16511,51,81,100000,4,28.2,42.45,50.900000000000006,54.925,55.9,42728.0,42728.0,42728.0,42728.0,42728.0
3,clean-run,10000,True,uniform,READ,0.1,4.8,518,1614639,510213,499164,46641,1,0,0,4,385024,681,42614,386807069,560854007,6446841469,11815743235,1119388830,168793350,22857981165055,26815377665,3545608977,79378191,1,0,0,0,0,6742,14832.39394838327,100000,62.38854,31,15439,82,195,100000,6,31.9,53.650000000000006,60.65,64.2,83.0,79392.0,81624.0,83466.0,84120.0,184792.0
3,avg-run,10000,True,uniform,READ,0.1,4.8,520,4631124,1446324,1395222,116641,5,0,0,4,385024,681,42614,386807069,560854007,6446841469,11815749313,1119388830,168793350,22858033376622,26815527935,3545608979,79378191,1,0,0,0,0,6597,15158.405335758678,100000,61.09407,43,15511,81,120,100000,6,34.7,56.775000000000006,63.25,65.9,67.5,82976.0,83040.0,83040.0,83040.0,83040.0
4,extend,10000,True,zipfian,EXTEND,0.1,4.9,2,16187327,4578396,4317992,1307795,400144,1247756,0,0,0,681,42616,386921492,560854007,6446860577,11815758055,1119443282,168793359,22859431061164,26817933703,3545745824,79378191,0,0,0,0,1,156381,639.4638734884672,100000,1554.67035,305,14543,3387,5711,100000,149,12.0,20.1,20.4,20.7,37.2,94332.0,487240.0,605316.0,621896.0,1253112.0
4,run,10000,True,uniform,READ,0.1,4.9,2,18842993,5292632,5011782,1308011,400155,1247968,0,0,0,681,42616,386922563,560854007,6446860583,11815758061,1119443282,168793359,22859438348489,26818047240,3545745926,79378191,1,0,0,0,0,8237,12140.342357654486,100000,77.75942,36,13911,109,236,100000,7,38.7,61.05,67.2,68.80000000000001,69.8,507240.0,565854.0,569856.0,570006.0,570660.0
4,reference,10000,True,uniform,READ,0.1,4.9,1,1250467,496580,405899,10119,1,0,0,0,0,681,42616,386922612,560854007,6446860583,11815758061,1119443282,168793359,22859438348489,26818047240,3545745926,79378191,1,0,0,0,0,4501,22217.285047767164,100000,40.02402,26,13791,53,82,100000,4,30.1,44.050000000000004,50.25,52.4,54.2,42796.0,42796.0,42796.0,42796.0,42796.0
4,clean-run,10000,True,uniform,READ,0.1,5.3,501,1875409,595157,585065,58109,1,0,0,4,385024,681,42617,386972969,560854007,6446860584,11815766420,1119501281,168793409,22859503403988,26818147952,3545746914,79378441,1,0,0,0,0,7207,13875.398917718883,100000,66.96943,35,16703,92,206,100000,6,31.5,56.925000000000004,63.55,67.69999999999999,68.4,91244.0,94483.0,94994.0,95052.0,95380.0
4,avg-run,10000,True,uniform,READ,0.1,5.3,503,5382250,1674315,1623293,138109,5,0,0,4,385024,681,42617,386972969,560854007,6446860584,11815774195,1119501281,168793409,22859567646976,26818325714,3545746984,79378441,1,0,0,0,0,7164,13958.682300390845,100000,66.57998,46,13663,86,127,100000,6,33.3,56.85,61.9,64.4,67.3,95632.0,95964.0,95964.0,95964.0,95964.0
5,extend,10000,True,zipfian,EXTEND,0.1,5.5,2,24166628,6957228,6618743,1998313,500177,1928853,0,0,0,681,42620,387133600,560854007,6446886466,11815786609,1119591894,168793469,22861363529339,26821166064,3545912581,79378441,0,0,0,0,1,166651,600.0564053020984,100000,1657.19603,303,11927,3973,6923,100000,158,13.1,22.6,22.7,23.0,37.6,95924.0,562502.0,629326.0,723317.0,1415712.0
5,run,10000,True,uniform,READ,0.1,5.5,2,27380727,7805017,7445209,1998563,500188,1929093,0,0,0,681,42620,387137970,560854007,6446886466,11815786609,1119591894,168793469,22861399706147,26821390594,3545954910,79378441,1,0,0,0,0,8647,11564.704521799467,100000,81.49989,37,15143,114,249,100000,8,35.4,62.55,68.05000000000001,70.275,72.8,573216.0,649842.0,653234.0,653840.0,654976.0
5,reference,10000,True,uniform,READ,0.1,5.5,1,1553055,621384,507176,10119,1,0,0,0,0,681,42620,387138016,560854007,6446886466,11815786609,1119591894,168793469,22861399706147,26821390594,3545954910,79378441,1,0,0,0,0,4112,24319.06614785992,100000,36.42319,26,12751,53,84,100000,3,32.6,41.55,50.5,53.6,56.7,42800.0,42800.0,42800.0,42800.0,42800.0
5,clean-run,10000,True,uniform,READ,17.6,6.8,501,2163905,685103,675011,67369,1,0,0,4,385024,681,42621,387218300,560854007,6446886467,11815796396,1119635345,168793552,22861476509073,26821509941,3545955897,79378791,1,0,0,0,0,7645,13080.444735120996,100000,71.49745,36,15975,96,228,100000,7,30.8,58.849999999999994,67.5,68.7,89.1,106176.0,107324.0,108440.0,109646.0,230420.0
