Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
0,load,INSERT,1,40793,13063,2091,10119,8,0,0,0,613,23536,32439971,314696534,3901258271,7397836933,636379150,91710946,12478651875925,14631748828,1907390551,78480804,12185,820.6811653672548,1184.275,466,24415,1576,1687,11,6.6,8.45,8.6,8.7,9.1,33824.0,40084.0,45796.0,51542.0,57448.0
1,extend,EXTEND,2,1411284,302029,270951,98447,100030,81785,0,0,613,23536,32439971,314696534,3901258271,7397852853,636379150,91710946,12478908938203,14632429766,1907390555,78480804,126776,788.7928314507478,1260.19611,365,17823,1658,2071,122,7.6,10.2,10.5,10.975,25.3,46904.0,87363.0,107750.0,168499.0,348564.0
1,run,READ,2,1971972,501635,450111,98559,100041,81887,0,0,613,23536,32439971,314696534,3901258271,7397852853,636379150,91710946,12478911243377,14632464607,1907390555,78480804,4637,21565.66745740781,42.54177,24,14991,60,121,4,40.0,49.975,55.55,58.375,60.1,158408.0,160283.0,160974.0,161075.0,161180.0
1,reference,READ,1,344294,125308,102579,10181,12,62,0,0,613,23536,32439971,314696534,3901258271,7397852853,636379150,91710946,12478911243522,14632464608,1907390555,78480804,3511,28481.913984619765,31.31968,22,10911,43,74,3,39.7,47.6,55.5,56.85,58.2,45180.0,45180.0,45180.0,45180.0,45180.0
1,clean-run,READ,509,535624,179535,168566,16476,1,0,4,385024,613,23537,32458363,314696534,3901276008,7397856947,636379417,91710960,12478939294463,14632484675,1907391542,78480804,4517,22138.58755811379,41.24828,24,10687,58,113,4,38.2,50.5,57.150000000000006,59.775000000000006,60.0,59568.0,59832.0,59982.0,71344.0,105244.0
1,avg-run,READ,511,1327984,455041,404019,36476,5,0,4,385024,613,23537,32458363,314696534,3901276008,7397859895,636379417,91710960,12478964171992,14632534802,1907391544,78480804,4578,21843.5998252512,42.16843,26,20095,55,86,4,41.7,51.3,55.9,57.475,58.0,58672.0,58672.0,58672.0,58672.0,58672.0
2,extend,EXTEND,2,4443298,1172180,1064417,350375,200063,317003,0,0,613,23538,32469784,314696534,3901302524,7397882035,636379417,91710960,12479601931400,14633831858,1907429949,78480804,129068,774.7853844485078,1283.24678,380,14023,2061,3119,124,8.8,11.0,11.8,12.625,37.4,77628.0,200592.0,312808.0,314314.0,736020.0
2,run,READ,2,5820951,1569328,1441119,350521,200074,317145,0,0,613,23538,32469960,314696534,3901302524,7397882035,636379417,91710960,12479603423644,14633852138,1907429950,78480804,6000,16666.666666666668,56.19246,25,214143,73,142,5,27.4,49.7,54.8,59.4,60.8,305012.0,327136.0,328472.0,329124.0,329188.0
2,reference,READ,1,646807,249222,203842,10181,12,62,0,0,613,23538,32470003,314696534,3901302524,7397882035,636379417,91710960,12479603423644,14633852138,1907429950,78480804,3959,25258.90376357666,35.72667,22,10791,48,75,3,38.4,45.7,53.0,54.7,56.4,44476.0,44476.0,44476.0,44476.0,44476.0
2,clean-run,READ,534,1035189,331614,321522,32304,1,0,4,385024,613,23539,32505809,314696534,3901302525,7397887497,636413726,91711385,12479643865963,14633900989,1907430937,78481061,5253,19036.740909956214,48.78003,25,13727,66,137,5,42.6,58.4,62.2,62.7,62.9,71744.0,72092.0,72152.0,72164.0,72308.0
2,avg-run,READ,536,3169339,1005841,954819,82477,5,0,4,385024,613,23539,32505809,314696534,3901302525,7397891967,636413726,91711385,12479683503652,14634011838,1907430940,78481061,5420,18450.18450184502,50.5355,32,22303,66,96,5,42.2,57.6,62.3,63.7,64.0,71380.0,71384.0,71384.0,71384.0,71384.0
3,extend,EXTEND,2,9195653,2578851,2396296,754153,300096,705852,0,0,613,23540,32559844,314696534,3901331686,7397914048,636477969,91711516,12480641513269,14635750959,1907495642,78481061,138281,723.1651492251285,1374.9201,378,32959,2555,4171,133,10.9,15.4,15.9,16.3,34.7,92564.0,332024.0,437856.0,454540.0,1021520.0
3,run,READ,2,11546021,3187558,2983680,754517,300118,706196,0,0,613,23540,32559844,314696534,3901331686,7397914199,636477969,91711516,12480653592634,14635931015,1907495836,78481061,6505,15372.790161414296,61.28483,27,12399,85,183,6,40.2,58.5,64.3,65.6,67.5,454140.0,481175.0,482694.0,483916.0,484044.0
3,reference,READ,1,949320,373136,305105,10181,12,62,0,0,613,23540,32559844,314696534,3901331686,7397914199,636477969,91711516,12480653592634,14635931015,1907495836,78481061,3816,26205.45073375262,34.39646,22,11479,47,75,3,38.7,44.2,49.7,51.400000000000006,53.1,44480.0,44480.0,44480.0,44480.0,44480.0
3,clean-run,READ,517,1507951,479922,469830,46577,1,0,4,385024,613,23541,32619853,314696534,3901332024,7397921108,636480718,91711558,12480706551377,14636008534,1907496823,78482541,5922,16886.187098953058,55.23297,26,11271,73,165,5,41.1,57.6,63.3,65.6,66.0,83436.0,84032.0,84192.0,85160.0,85548.0
3,avg-run,READ,519,4634663,1448509,1397487,116770,5,0,4,385024,613,23541,32619853,314696534,3901332024,7397927232,636480718,91711558,12480759501990,14636164987,1907496827,78482541,5910,16920.47377326565,55.43572,37,20767,72,108,5,41.7,60.5,63.6,65.4,67.7,85300.0,85300.0,85300.0,85300.0,85300.0
4,extend,EXTEND,2,16212777,4558195,4298051,1295484,400151,1235402,0,0,613,23543,32723548,314696534,3901352441,7397937282,636536781,91711569,12482139642628,14638552725,1907624797,78482541,156841,637.5883856899662,1559.98173,387,16383,3157,5331,151,12.0,18.7,18.9,19.2,35.4,105124.0,465472.0,564512.0,582934.0,1230516.0
4,run,READ,2,18859198,5272332,4991742,1295702,400162,1235614,0,0,613,23543,32724455,314696534,3901352446,7397937287,636536781,91711569,12482146189335,14638654205,1907624903,78482541,7014,14257.1998859424,66.32832,28,12663,91,200,6,44.4,63.025,66.35,68.4,70.9,529492.0,557838.0,558382.0,559454.0,559672.0
4,reference,READ,1,1251833,497050,406368,10181,12,62,0,0,613,23543,32724496,314696534,3901352446,7397937287,636536781,91711569,12482146189335,14638654205,1907624903,78482541,3770,26525.19893899204,33.77716,20,11607,45,74,3,38.8,44.5,50.2,52.5,54.8,44420.0,44420.0,44420.0,44420.0,44420.0
4,clean-run,READ,502,1880657,596564,586472,58167,1,0,4,385024,613,23544,32774845,314696534,3901352447,7397945646,636590227,91711628,12482211263531,14638755066,1907625891,78485876,6467,15463.120457708366,60.80786,28,12135,82,188,6,41.7,61.575,66.9,67.80000000000001,83.8,94616.0,96402.0,96620.0,97048.0,209296.0
4,avg-run,READ,504,5512687,1717489,1666467,138396,5,0,4,385024,613,23544,32774845,314696534,3901352447,7397953473,636590227,91711628,12482275933733,14638933279,1907625958,78485876,6809,14686.4444118079,64.4217,40,20239,80,115,6,43.4,59.9,62.75,64.25,64.9,99284.0,99348.0,99348.0,99348.0,99348.0
5,extend,EXTEND,2,24156891,6919684,6581704,1977004,500184,1907455,0,0,613,23547,32944157,314696534,3901385209,7397972714,636679315,91711712,12484060515531,14641768415,1907786959,78485876,164794,606.8182094008278,1639.92592,384,15279,3711,6451,158,15.7,20.9,21.2,21.575000000000003,35.6,110488.0,559248.0,686486.0,773933.0,1492524.0
5,run,READ,2,27259385,7744703,7386277,1977256,500195,1907697,0,0,613,23547,32948768,314696534,3901385209,7397972714,636679315,91711712,12484088208009,14641958225,1907818568,78485876,7950,12578.616352201258,75.66179,33,12983,102,224,7,45.0,64.6,70.0,71.0,71.4,616848.0,666236.0,669540.0,670588.0,671816.0
5,reference,READ,1,1554346,620964,507631,10181,12,62,0,0,613,23547,32948814,314696534,3901385210,7397972714,636679315,91711712,12484088236988,14641958480,1907818570,78485876,4209,23758.61249703017,38.29501,22,11311,49,75,4,38.4,46.65,51.35,53.6,54.5,44488.0,44488.0,44488.0,44488.0,44488.0
5,clean-run,READ,504,2327068,730947,719978,67761,1,0,4,385024,613,23548,33030902,314696534,3901385211,7397982563,636719741,91711791,12484166112756,14642087271,1907819559,78489516,6839,14622.020763269484,64.50651,31,24463,89,215,6,53.1,65.375,67.6,69.9,75.4,108988.0,109509.0,110200.0,175199.0,233720.0
5,avg-run,READ,506,5870507,1829583,1778561,147761,5,0,4,385024,613,23548,33030902,314696534,3901385211,7397991170,636719741,91711791,12484239815159,14642257569,1907819561,78489516,7009,14267.3705236125,66.28968,42,18591,81,116,6,42.2,59.925,65.0,66.17500000000001,66.9,106832.0,107024.0,107024.0,107024.0,107024.0
6,extend,EXTEND,2,33819830,9769891,9353578,2811887,600228,2734698,0,0,613,23552,33264539,314696534,3901426612,7398016777,636834563,91711863,12486484587933,14645757714,1908096746,78489516,171137,584.3271764726505,1703.31718,372,20799,4283,7503,164,15.7,22.9,23.2,27.525,39.0,110532.0,612493.0,897568.0,1004552.0,1919168.0
6,run,READ,2,37205555,10683339,10246580,2812159,600239,2734970,0,0,613,23552,33269574,314696534,3901426681,7398016846,636834563,91711863,12486506007948,14645905013,1908123322,78489516,8386,11924.636298592894,80.14402,36,13327,108,234,8,47.2,66.525,71.95,72.42500000000001,72.5,735756.0,813530.0,819144.0,820699.0,820980.0
6,reference,READ,1,1856932,745768,608908,10181,12,62,0,0,613,23552,33269614,314696534,3901426681,7398016846,636834563,91711863,12486506007948,14645905013,1908123322,78489516,3609,27708.50651149903,32.34991,22,11007,44,76,3,39.7,46.75,53.8,54.85,55.9,44492.0,44492.0,44492.0,44492.0,44492.0
