Epoch,AverageLatency(us),delta_cache_hit_ratio,hit_ln_epoch_term,miss_epoch_term,temp_bytes_term,predicted_average_latency_us,residual_us,intercept,alpha_hit_ln_epoch,beta_miss_epoch,gamma_temp_bytes,r_squared,adjusted_r_squared
1,50.06275,1.0,0.0,0.0,0,13.08522508416094,36.97752491583906,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
2,56.84807,1.0,0.6931471805599453,0.0,0,45.338043068878875,11.510026931121125,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
3,67.06268,1.0,1.0986122886681098,0.0,0,64.20473213252376,2.8579478674762413,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
4,77.75942,1.0,1.3862943611198906,0.0,0,77.59086105359681,0.1685589464031949,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
5,81.49989,1.0,1.6094379124341003,0.0,0,87.9739493021659,-6.474059302165912,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
6,86.83769,1.0,1.791759469228055,0.0,0,96.4575501172417,-9.6198601172417,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
7,92.53863,1.0,1.9459101490553132,0.0,0,103.63033240378684,-11.09170240378684,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
8,101.04404,1.0,2.0794415416798357,0.0,0,109.84367903831473,-8.799639038314737,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
9,104.70185,1.0,2.1972245773362196,0.0,0,115.32423918088658,-10.622389180886586,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
10,112.33622,1.0,2.302585092994046,0.0,0,120.22676728688386,-7.890547286883859,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
11,116.39941,1.0,2.3978952727983707,0.0,0,124.66164341064784,-8.262233410647838,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
12,121.89613,1.0,2.4849066497880004,0.0,0,128.71036810195963,-6.814238101959631,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
13,125.24594,1.0,2.5649493574615367,0.0,0,132.43483377678652,-7.188893776786514,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
14,134.71925,1.0,2.6390573296152584,0.0,0,135.8831503885048,-1.1639003885047998,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
15,142.4325,1.0,2.70805020110221,0.0,0,139.09345635052873,3.3390436494712787,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
16,140.44772,1.0,2.772588722239781,0.0,0,142.0964970230327,-1.648777023032693,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
17,146.59571,1.0,2.833213344056216,0.0,0,144.91742012230617,1.6782898776938282,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
18,150.04344,0.9836308116093458,2.843058718072136,0.2946453910317748,0,149.2586694345414,0.784770565458615,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
19,158.25452,0.9730166151349688,2.864988048979993,0.512684312435592,0,153.1525997196167,5.101920280383325,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
20,162.78149,0.9616542805322051,2.8808587641916703,0.7669143893558972,0,157.2415802575956,5.539909742404404,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
