Epoch,WatcherCPU_median,WatcherCPU_median_centered_5epoch_mean
1,55.0,59.15
2,60.4,61.1625
3,62.05,62.540000000000006
4,67.2,65.83
5,68.05000000000001,68.17
6,71.44999999999999,70.3
7,72.1,71.83
8,72.7,73.12
9,74.85,74.10999999999999
10,74.5,75.37
11,76.4,76.72
12,78.4,77.65
13,79.44999999999999,78.69
14,79.5,79.57000000000001
15,79.7,80.17999999999999
16,80.8,80.58
17,81.45,81.03999999999999
18,81.44999999999999,81.47999999999999
19,81.8,81.72999999999999
20,81.9,82.00999999999999
21,82.05,82.34
22,82.85,82.75999999999999
23,83.1,83.2
24,83.9,83.53999999999999
25,84.1,83.99000000000001
26,83.75,84.45
27,85.1,84.77000000000001
28,85.4,84.9
29,85.5,85.2
30,84.75,85.33
31,85.25,85.22999999999999
32,85.75,85.22999999999999
33,84.9,85.44
34,85.5,85.75
35,85.8,85.94
36,86.8,86.07
37,86.7,86.36
38,85.55,86.87
39,86.95,87.03
40,88.35,86.75
41,87.6,87.2
42,85.3,87.25
43,87.8,87.16999999999999
44,87.2,86.51
45,87.95,85.37
46,84.3,83.4
47,79.6,82.47999999999999
48,77.95,81.99
49,82.6,82.36
50,85.5,83.68
51,86.15,85.28999999999999
52,86.2,84.39000000000001
53,86.0,83.33000000000001
54,78.1,83.02
55,80.2,81.66999999999999
56,84.6,80.09
57,79.44999999999999,77.67
58,78.1,76.27
59,66.0,75.53999999999999
60,73.2,75.69
61,80.94999999999999,77.60999999999999
62,80.2,81.82
63,87.7,84.26
64,87.05,82.17
65,85.4,81.58000000000001
66,70.5,79.33000000000001
67,77.25,77.35
68,76.45,73.69
69,77.15,69.85
70,67.1,64.82
71,51.3,59.56
72,52.1,55.05
73,50.15,57.129999999999995
74,54.6,62.27
75,77.5,69.33000000000001
76,77.0,73.0
77,87.4,74.56
78,68.5,71.58
79,62.4,67.35999999999999
80,62.6,62.339999999999996
81,55.9,57.720000000000006
82,62.3,55.04
83,45.4,52.92999999999999
84,49.0,53.98
85,52.05,49.540000000000006
86,61.150000000000006,54.05
87,40.1,61.92999999999999
88,67.95,68.75999999999999
89,88.4,71.47
90,86.19999999999999,77.08
91,74.7,77.03
92,68.15,66.66
93,67.7,55.35
94,36.55,50.43000000000001
95,29.65,44.22
96,50.1,39.62
97,37.1,41.32000000000001
98,44.7,45.6
99,45.05,44.474999999999994
100,51.05,46.93333333333333
