Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
1,avg-run,READ,449,1330137,455534,404512,36582,5,0,4,385024,681,42610,386643087,560854007,6446782258,11815678725,1119291302,168793149,22856232961092,26811894222,3545528628,79374462,4946,20218.358269308534,100000,44.51367,31,14375,62,100,4,31.9,45.475,53.4,57.725,60.5,54004.0,54004.0,54004.0,54004.0,54004.0
2,avg-run,READ,535,3218667,1019794,968772,82384,5,0,4,385024,681,42612,386692146,560854007,6446811206,11815713279,1119323841,168793204,22856956513649,26813385492,3545569692,79375371,6053,16520.733520568312,100000,55.51304,38,14575,72,106,5,32.9,53.7,58.6,61.6,63.3,68984.0,68984.0,68984.0,68984.0,68984.0
3,avg-run,READ,520,4631124,1446324,1395222,116641,5,0,4,385024,681,42614,386807069,560854007,6446841469,11815749313,1119388830,168793350,22858033376622,26815527935,3545608979,79378191,6597,15158.405335758678,100000,61.09407,43,15511,81,120,6,34.7,56.775000000000006,63.25,65.9,67.5,82976.0,83040.0,83040.0,83040.0,83040.0
4,avg-run,READ,503,5382250,1674315,1623293,138109,5,0,4,385024,681,42617,386972969,560854007,6446860584,11815774195,1119501281,168793409,22859567646976,26818325714,3545746984,79378441,7164,13958.682300390845,100000,66.57998,46,13663,86,127,6,33.3,56.85,61.9,64.4,67.3,95632.0,95964.0,95964.0,95964.0,95964.0
5,avg-run,READ,503,5864509,1829731,1778709,147630,5,0,4,385024,681,42621,387218300,560854007,6446886467,11815805064,1119635345,168793552,22861551253449,26821689369,3545955901,79378791,7468,13390.46598821639,100000,70.07007,49,13367,97,138,7,36.1,59.75,66.9,68.85,70.7,105424.0,105936.0,105936.0,105936.0,105936.0
6,avg-run,READ,471,6558161,2053631,2002609,165341,5,0,4,385024,681,42626,387564057,560854007,6446922022,11815846370,1119786151,168793689,22863997968120,26825668630,3546271448,79383939,8102,12342.631449024931,100000,76.16289,52,15151,96,142,7,34.7,58.95,65.4,68.65,70.3,119532.0,120172.0,120172.0,120172.0,120172.0
7,avg-run,READ,407,6774433,2122697,2071595,171890,22,0,4,385024,681,42632,388013781,560854007,6446971969,11815901709,1119953434,168794147,22866961228799,26830323870,3546652591,79389837,8948,11175.681716584711,100000,84.59545,60,14399,111,154,8,33.3,62.72500000000001,68.9,72.525,73.4,131304.0,133688.0,133736.0,133736.0,133736.0
8,avg-run,READ,408,6953052,2196763,2145741,177651,5,0,4,385024,681,42638,388580925,560854007,6447005680,11815940592,1120111162,168794311,22870270856558,26835462671,3547041047,79394328,8835,11318.619128466327,100000,83.40243,61,15151,115,187,8,32.6,64.42500000000001,71.75,75.60000000000001,77.6,136208.0,143120.0,143248.0,143248.0,143248.0
9,avg-run,READ,314,7509362,2364693,2313671,193013,5,0,4,393216,681,42645,389422730,560854007,6447074013,11816014949,1120293197,168795197,22874082549397,26841115098,3547666752,79396718,9379,10662.117496534813,100000,88.85703,64,14663,122,189,8,34.0,63.64999999999999,71.0,74.6,76.5,150764.0,162008.0,162024.0,162024.0,162024.0
10,avg-run,READ,311,7636717,2430957,2379935,197790,12,0,4,385024,681,42653,390393335,560854007,6447112521,11816057513,1120491606,168795336,22878393348664,26847358651,3548411128,79404442,9815,10188.487009679062,100000,93.29404,70,16607,121,195,9,34.0,68.6,73.1,74.8,76.6,150576.0,162096.0,162160.0,162160.0,162160.0
11,avg-run,READ,247,7742085,2485498,2434476,202355,5,0,4,385024,681,42662,391400275,560854007,6447187376,11816138832,1120691540,168795848,22883206125228,26854239224,3549245594,79411961,9791,10213.46134204882,100000,92.99731,70,16815,123,205,9,31.9,69.9,77.5,79.4,79.7,164168.0,184264.0,184456.0,184456.0,184456.0
12,avg-run,READ,184,7829059,2510240,2459218,206840,5,0,4,385024,681,42672,392625017,560854007,6447236311,11816191777,1120902195,168796037,22888547388137,26861707657,3550251539,79416183,10179,9824.147755182235,100000,96.8033,74,16495,125,184,9,31.9,65.3,72.7,75.9,78.5,170052.0,184708.0,184836.0,184836.0,184836.0
13,avg-run,READ,119,7808860,2561900,2510881,211050,5,0,4,385024,681,42683,393845788,560854007,6447379464,11816341873,1121128969,168797783,22894208413172,26869590992,3551373967,79432667,12711,7867.20163637794,100000,122.2225,95,16047,168,253,12,34.4,71.95,76.85,78.75,80.2,179696.0,211692.0,211772.0,211773.0,211788.0
14,avg-run,READ,119,7996904,2622579,2571557,215994,5,0,4,385024,681,42694,395298669,560854007,6447480497,11816447593,1121352669,168799255,22900269274283,26878106624,3552386831,79439359,10925,9153.318077803204,100000,104.04435,77,19071,140,198,10,30.4,67.75,75.80000000000001,78.525,80.0,187404.0,221580.0,221580.0,221580.0,221580.0
15,avg-run,READ,55,8073396,2677606,2626584,220717,5,0,4,385024,681,42706,396880545,560854007,6447544706,11816520324,1121611918,168799396,22906783390989,26887212493,3553528264,79459270,11705,8543.357539513028,100000,111.9849,86,15783,140,208,11,34.0,70.75,77.6,80.1,81.1,209224.0,259048.0,259080.0,259080.0,259080.0
