Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
1,clean-run,READ,447,512885,173763,163671,16460,1,0,4,385024,681,42610,386643087,560854007,6446782258,11815675777,1119291302,168793149,22856207668076,26811840822,3545528624,79374462,5221,19153.41888527102,100000,47.60407,27,13095,65,129,5,0.0,34.0,51.5,56.3,57.9,55236.0,55300.0,55300.0,55488.0,61340.0
2,clean-run,READ,533,1034569,332287,322195,32229,1,0,4,385024,681,42612,386692146,560854007,6446811206,11815708812,1119323841,168793204,22856916666083,26813270594,3545569688,79375371,6021,16608.536787908986,100000,55.47436,29,13335,74,159,5,34.7,53.2,58.0,60.6,61.8,69348.0,69568.0,69764.0,69772.0,69904.0
3,clean-run,READ,518,1614639,510213,499164,46641,1,0,4,385024,681,42614,386807069,560854007,6446841469,11815743235,1119388830,168793350,22857981165055,26815377665,3545608977,79378191,6742,14832.39394838327,100000,62.38854,31,15439,82,195,6,31.9,53.650000000000006,60.65,64.2,83.0,79392.0,81624.0,83466.0,84120.0,184792.0
4,clean-run,READ,501,1875409,595157,585065,58109,1,0,4,385024,681,42617,386972969,560854007,6446860584,11815766420,1119501281,168793409,22859503403988,26818147952,3545746914,79378441,7207,13875.398917718883,100000,66.96943,35,16703,92,206,6,31.5,56.925,63.55,67.69999999999999,68.4,91244.0,94483.0,94994.0,95052.0,95380.0
5,clean-run,READ,501,2163905,685103,675011,67369,1,0,4,385024,681,42621,387218300,560854007,6446886467,11815796396,1119635345,168793552,22861476509073,26821509941,3545955897,79378791,7645,13080.444735120996,100000,71.49745,36,15975,96,228,7,30.8,58.85,67.5,68.7,89.1,106176.0,107324.0,108440.0,109646.0,230420.0
6,clean-run,READ,469,2565215,819755,808786,75341,1,0,4,385024,681,42626,387564057,560854007,6446922022,11815836070,1119786151,168793689,22863912814690,26825478303,3546271446,79383939,8599,11629.25921618793,100000,81.01634,40,14167,114,258,8,34.7,61.0,67.25,75.75,90.3,113572.0,121498.0,123418.0,155797.0,255680.0
7,clean-run,READ,405,2748153,875608,864559,81890,18,0,4,385024,681,42632,388013781,560854007,6446971969,11815890019,1119953434,168794147,22866866075368,26830133543,3546652589,79389837,9071,11024.142872891633,100000,85.59944,42,37695,122,303,8,45.4,64.9,69.2,70.35,71.3,132448.0,133348.0,136100.0,169129.0,280120.0
8,clean-run,READ,406,2899855,938067,927098,87651,1,0,4,385024,681,42638,388580925,560854007,6447005680,11815927791,1120111162,168794311,22870165703097,26835272343,3547041045,79394328,9551,10470.107842110774,100000,90.97026,45,31887,128,284,9,34.4,63.4,70.7,74.5,90.6,134520.0,144500.0,147224.0,148148.0,299104.0
9,clean-run,READ,312,3022241,975205,964236,93013,1,0,4,393216,681,42645,389422730,560854007,6447074013,11816000011,1120293197,168795197,22873965833614,26840904398,3547666657,79396718,9778,10227.04029453876,100000,92.85618,46,33759,134,324,9,46.4,67.0,71.7,74.3,74.9,157568.0,159604.0,161204.0,161392.0,311096.0
10,clean-run,READ,309,3131730,1031863,1020894,97790,8,0,4,385024,681,42653,390393335,560854007,6447112521,11816042659,1120491606,168795336,22878266705077,26847148295,3548411126,79404442,10212,9792.401096748925,100000,97.20577,48,21871,134,315,9,34.4,68.4,74.1,77.4,97.0,151464.0,167352.0,170360.0,173100.0,342784.0
11,clean-run,READ,245,3216440,1077230,1066261,102355,1,0,4,385024,681,42662,391400275,560854007,6447187376,11816121503,1120691540,168795848,22883069432993,26854028497,3549245495,79411961,10888,9184.423218221897,100000,103.85338,51,25551,147,341,10,31.8,72.65,75.15,76.575,83.0,156344.0,183671.0,187306.0,190822.0,376520.0
12,clean-run,READ,182,3289560,1092954,1081985,106840,1,0,4,385024,681,42672,392625017,560854007,6447236311,11816174448,1120902195,168796037,22888400744604,26861497302,3550251537,79416183,10790,9267.840593141798,100000,103.2258,50,25695,147,331,10,34.0,70.525,77.1,78.325,91.6,168472.0,193097.0,201040.0,203351.0,389384.0
13,clean-run,READ,117,3251855,1137800,1126834,111050,1,0,4,385024,681,42683,393845788,560854007,6447379464,11816321543,1121128969,168797783,22894051769589,26869380636,3551373965,79432667,11738,8519.338899301414,100000,112.39224,53,29359,161,367,11,34.7,70.95,77.2,79.15,80.6,176604.0,208834.0,213968.0,217758.0,218008.0
14,clean-run,READ,117,3426188,1186917,1175948,115994,1,0,4,385024,681,42694,395298669,560854007,6447480497,11816426763,1121352669,168799255,22900102630666,26877896267,3552386829,79439359,11824,8457.374830852503,100000,113.56208,57,32543,163,352,11,35.1,73.05,79.1,81.1,93.4,193368.0,224754.0,227832.0,231210.0,437704.0
15,clean-run,READ,53,3483927,1232458,1221489,120717,1,0,4,385024,681,42706,396880545,560854007,6447544706,11816494993,1121611918,168799396,22906606697862,26887001722,3553528155,79459270,12356,8093.234056328909,100000,118.65913,59,34367,173,373,11,32.2,73.19999999999999,79.1,80.85,97.1,185700.0,236918.0,237760.0,243138.0,471724.0
16,clean-run,READ,53,3535446,1267370,1256401,125514,1,0,4,385024,681,42719,398491794,560854007,6447591343,11816545688,1121871108,168799489,22913573803913,26896665703,3554661652,79471625,12936,7730.364873222016,100000,124.25352,58,43519,183,414,12,53.1,70.15,75.85,78.3,80.1,245668.0,249969.0,254848.0,257329.0,411156.0
17,clean-run,READ,53,3587989,1308982,1298013,130703,1,0,4,385024,681,42733,400188195,560854007,6447640843,11816599112,1122130723,168799596,22920938372156,26906731945,3556028231,79506554,12995,7695.267410542517,100000,125.00227,64,35743,181,395,12,33.3,72.35000000000001,80.1,81.375,99.5,196848.0,257173.0,264000.0,265684.0,505084.0
18,clean-run,READ,77,3642572,1367371,1356402,136055,1,0,4,385024,681,42747,402089445,560858840,6447830687,11816761091,1122388735,168804620,22928628097375,26917309869,3557351783,79521947,13878,7205.649228995532,100000,133.79146,69,43135,195,426,13,33.6,77.4,80.2,81.3,92.0,212024.0,296916.0,300376.0,302276.0,565176.0
19,clean-run,READ,53,3698281,1417450,1406481,141738,1,0,4,385024,681,42762,404077539,560878486,6448014089,11817342588,1122641706,168811383,22936838421023,26928620237,3558762273,79549478,14203,7040.766035344645,100000,137.03387,69,56191,199,431,13,35.8,76.5,79.3,81.0,82.2,222904.0,308308.0,312248.0,314448.0,387720.0
20,clean-run,READ,53,3684571,1463478,1452512,147230,1,0,4,385024,681,42778,406152448,560904208,6448237597,11817866480,1122921803,168819453,22945483944665,26940677852,3560297423,79563972,14498,6897.503103876396,100000,139.92172,71,43103,204,450,13,32.9,74.7,79.3,82.1,83.1,225588.0,344608.0,348228.0,362504.0,366756.0
21,clean-run,READ,53,3821750,1563563,1552594,153784,1,0,4,385024,681,42795,408338769,560928826,6448543137,11818459968,1123229195,168829589,22954584642822,26953374220,3561958679,79578936,15276,6546.216286986122,100000,147.70078,73,50271,218,496,14,31.1,74.325,80.65,82.85000000000001,84.5,231140.0,380358.0,394040.0,400440.0,401264.0
22,clean-run,READ,53,4760328,1576719,1565750,160123,1,0,4,385024,681,42813,410563761,560966148,6448799469,11819185464,1123534773,168830701,22964076276359,26966553439,3563802101,79589545,15257,6554.368486596317,100000,147.85749,74,106943,217,450,14,34.7,74.5,81.05,83.1,83.8,228532.0,366490.0,373530.0,382399.0,397780.0
23,clean-run,READ,53,4823597,1679754,1668785,166587,8,0,4,385024,681,42832,412901685,560982857,6449063284,11819779846,1123842576,168833613,22974205998192,26980438912,3565856598,79607675,16166,6185.822095756526,100000,156.62472,80,52895,226,495,15,34.7,78.5,82.6,84.7,96.4,358788.0,992586.0,1018784.0,1021672.0,1327512.0
24,clean-run,READ,53,4804649,1731502,1720536,172745,1,0,4,385024,681,42851,415238013,561017858,6449544318,11820457727,1124180814,168844985,22984491495752,26994667531,3567607201,79617293,16394,6099.79260705136,100000,159.2247,81,56863,238,521,15,34.4,76.2,81.9,83.6,84.7,273672.0,570470.0,592944.0,599916.0,600012.0
25,clean-run,READ,53,4858529,1817539,1806573,179309,1,0,4,385024,681,42871,417538762,561069698,6450155896,11821337834,1124539681,168858668,22995292057164,27009602473,3569436966,79627250,17068,5858.917272088118,100000,165.63055,79,65791,247,530,16,34.0,77.825,82.85,84.14999999999999,84.8,271252.0,541200.0,552138.0,556784.0,556784.0
26,clean-run,READ,53,4988633,1898036,1887067,186394,1,0,4,385024,681,42892,420201926,561104855,6450744979,11822291495,1124931475,168866763,23006640101062,27025200676,3571711333,79637677,17761,5630.313608467992,100000,172.74771,82,59391,252,550,16,35.5,77.85,82.9,84.55,85.7,399252.0,1095197.0,1103884.0,1110120.0,1131644.0
27,clean-run,READ,53,4956252,1963545,1952579,192655,1,0,4,385024,681,42913,422704877,561146885,6451355709,11823257857,1125319580,168879009,23018058216771,27040923269,3573589923,79649095,18077,5531.891353653814,100000,175.67609,86,61023,255,554,17,35.1,79.1,83.5,85.4,86.7,327692.0,891604.0,906444.0,913420.0,931776.0
28,clean-run,READ,53,5081236,2019795,2008826,199865,1,0,4,385024,681,42935,425194948,561195770,6452174075,11824291418,1125720201,168893738,23030092744569,27057496427,3575549769,79661866,18457,5417.998591320366,100000,179.35498,88,64735,258,564,17,30.0,77.1,83.7,85.7,95.6,314004.0,907048.0,928032.0,944876.0,1700600.0
29,clean-run,READ,53,5128559,2095253,2084284,206522,1,0,4,385024,681,42958,427508175,561240196,6453294919,11825484304,1126139241,168913766,23042590698974,27074529513,3577632275,79674180,18850,5305.039787798409,100000,183.75634,88,65599,268,591,17,35.5,80.5,83.6,85.8,87.0,271748.0,589984.0,593080.0,605628.0,802444.0
30,clean-run,READ,53,5081869,2139089,2128123,212797,1,0,4,385024,681,42982,429921941,561280913,6454519823,11826683917,1126586331,168934913,23055694100586,27092434128,3579791701,79686435,19205,5206.977349648529,100000,186.80737,92,70655,271,580,18,28.7,78.05,83.6,85.45,86.7,292640.0,828401.0,842530.0,850309.0,865148.0
31,clean-run,READ,53,5120982,2184631,2173665,219504,1,0,4,385024,681,43007,432671141,561327197,6455564855,11827868971,1127014035,168952441,23069006838774,27110514361,3582191931,79698654,19138,5225.206395652628,100000,187.13261,94,93759,275,610,18,41.7,80.175,84.2,86.175,87.4,435516.0,869192.0,877844.0,885677.0,888320.0
32,clean-run,READ,53,5156530,2217233,2206267,226007,1,0,4,385024,681,43033,435307982,561381709,6456964944,11829226731,1127472987,168974820,23083057663168,27129396495,3584861711,79712415,19335,5171.96793379881,100000,188.89644,98,72639,278,591,18,39.5,81.375,85.05,86.65,87.3,324292.0,803018.0,823812.0,829869.0,840020.0
33,clean-run,READ,53,5312392,2328136,2317167,232562,1,0,4,393216,681,43059,438475612,561422424,6458553306,11830454782,1127950851,169001227,23097221483980,27148583086,3587703409,79726323,20481,4882.574093061862,100000,200.30992,97,77823,294,600,19,36.9,80.94999999999999,84.8,86.0,87.1,421292.0,1174536.0,1202892.0,1212230.0,1834712.0
34,clean-run,READ,53,5371542,2440666,2429697,238840,1,0,4,393216,681,43086,441250595,561477308,6459958134,11831827574,1128441283,169019579,23111944384716,27168387794,3590398170,79739331,21218,4712.979545668772,100000,207.79265,103,84223,296,655,20,40.6,83.6,86.95,87.75,92.2,438240.0,1155680.0,1170940.0,1176754.0,1582980.0
35,clean-run,READ,53,5409380,2451026,2440057,244876,1,0,4,393216,681,43114,444152702,561527178,6461464699,11833113088,1128953721,169038161,23127239648383,27188881516,3593176689,79752547,21516,4647.704034207101,100000,210.51969,104,83007,319,687,20,46.3,78.775,84.25,86.64999999999999,87.5,980508.0,1744226.0,1812646.0,1823544.0,1867424.0
36,clean-run,READ,53,5375359,2583264,2572298,250902,8,0,4,393216,681,43143,447327628,561576867,6463057549,11834472147,1129487494,169063479,23143059935858,27209913917,3596306567,79767388,22378,4468.674591116275,100000,219.51492,101,80895,306,632,21,43.4,83.1,86.4,87.5,88.3,323940.0,711528.0,720748.0,727688.0,737512.0
37,clean-run,READ,53,5403486,2568843,2557877,256682,1,0,4,393216,681,43172,450434989,561638233,6464742078,11835882891,1130011959,169079299,23158942061210,27231120828,3598768769,79782643,22089,4527.140205532165,100000,216.51301,109,83199,319,715,21,36.9,81.3,86.1,87.3,88.1,283904.0,600696.0,613804.0,625508.0,668192.0
38,clean-run,READ,53,5438690,2572572,2561606,262419,1,0,4,393216,681,43202,453537621,561691645,6466550084,11837467332,1130547706,169102845,23175434832770,27253196670,3601004851,79797560,21908,4564.542632828191,100000,214.33612,111,85503,317,686,20,34.7,81.4,85.7,87.1,88.4,284008.0,669902.0,701744.0,711060.0,718596.0
39,clean-run,READ,53,5606652,2666328,2655359,268102,1,0,4,393216,681,43233,456663193,561752884,6468379396,11838958512,1131100883,169137704,23192448756677,27275825562,3604073154,79812794,22991,4349.528076203732,100000,225.24498,112,89663,331,693,21,31.8,83.9,86.4,87.1,89.9,268516.0,635104.0,641916.0,645284.0,1118496.0
40,clean-run,READ,53,5535552,2723924,2712963,273601,1,0,0,0,681,43264,459975615,561809088,6470573054,11840489756,1131667957,169165873,23209540094958,27298996498,3606345239,79828456,23197,4310.902271845497,100000,227.22775,114,93439,332,668,22,35.1,81.45,86.0,87.925,89.0,287096.0,699858.0,705900.0,713462.0,720384.0
41,clean-run,READ,53,5584357,2799927,2788966,278878,1,0,0,0,681,43297,463239561,561871657,6472652257,11842247316,1132285488,169199032,23227570414615,27322977055,3609908105,79843559,23841,4194.454930581771,100000,233.68584,115,92159,337,797,22,37.3,83.65,86.75,88.45,89.3,330140.0,1134469.0,1159214.0,1168161.0,1196528.0
42,clean-run,READ,53,5752466,2849683,2838719,284136,1,0,0,0,681,43331,466491200,561929016,6474720481,11843925415,1132899063,169222049,23246014579212,27347574497,3613486669,79859171,24537,4075.477849777887,100000,240.64535,116,101311,350,793,23,33.6,83.0,86.4,87.85,88.8,339068.0,1277940.0,1297004.0,1303080.0,1593648.0
43,clean-run,READ,53,5669805,2897457,2886496,289320,1,0,0,0,681,43366,469995462,562000668,6476922741,11845788502,1133543264,169244255,23264839347736,27372574148,3616362282,79873829,24676,4052.520667855406,100000,242.21272,117,105663,350,744,23,38.2,83.94999999999999,87.3,88.6,89.3,338236.0,946830.0,1004428.0,1021996.0,1023884.0
44,clean-run,READ,53,5715173,2983390,2972429,294331,1,0,0,0,681,43402,473605737,562074564,6479209059,11847525192,1134212876,169266695,23284246272094,27398309401,3619422045,79889797,25855,3867.7238445175017,100000,253.57269,119,112255,369,796,24,25.2,81.9,86.55000000000001,87.9,88.9,323692.0,1520102.0,1560490.0,1570565.0,1582892.0
45,clean-run,READ,53,5738821,2983449,2972488,299345,1,0,0,0,681,43438,477223201,562150210,6481601434,11849261066,1134836918,169307174,23304053550719,27424481477,3623172342,79905539,25838,3870.268596640607,100000,254.1755,123,205055,370,707,24,39.5,83.175,86.4,88.275,89.1,408212.0,1661934.0,1738274.0,1746922.0,1755648.0
46,clean-run,READ,53,5792282,3108535,3097574,304327,1,0,0,0,681,43476,480875737,562187742,6484291468,11851096404,1135509131,169364849,23324434423737,27451411318,3627207410,79923422,27018,3701.2362128951054,100000,265.85721,124,108287,385,810,25,39.1,83.0,86.7,88.2,89.0,369696.0,1377888.0,1421900.0,1435492.0,1444244.0
47,clean-run,READ,53,5802718,3066238,3055277,309344,1,0,0,0,681,43514,483998676,562272452,6487347978,11853156702,1136180519,169420665,23345009536514,27478701302,3631045037,79938178,26217,3814.31895335088,100000,257.04649,122,115007,375,799,24,34.8,83.775,87.25,88.45,89.6,298164.0,1023312.0,1032544.0,1039148.0,1053588.0
48,clean-run,READ,53,5849957,3182151,3171190,314208,1,0,0,0,681,43554,487108822,562369268,6490578416,11855271465,1136857300,169479639,23366090056871,27506561759,3634909821,79952931,27525,3633.0608537693006,100000,270.74933,128,113855,388,877,26,32.2,83.65,87.5,88.475,89.3,257664.0,830388.0,840650.0,846347.0,867280.0
49,clean-run,READ,53,5859372,3145849,3134888,319082,1,0,0,0,681,43594,490468497,562462085,6493426196,11857426315,1137600834,169535677,23387720737636,27535107202,3638940993,79968488,27057,3695.90124551872,100000,265.90549,131,114047,393,846,25,31.8,84.6,88.3,89.5,90.0,262176.0,862220.0,899856.0,906984.0,941364.0
50,clean-run,READ,53,5910745,3282198,3271237,324059,1,0,0,0,681,43635,494609371,562519832,6496083886,11859602100,1138425858,169579228,23409753862539,27563863684,3643302208,79984332,28359,3526.217426566522,100000,279.20117,133,123391,391,785,26,38.8,85.425,89.1,90.4,91.1,272132.0,929394.0,950600.0,959255.0,966840.0
51,clean-run,READ,53,5927680,3286067,3275106,329025,1,0,0,0,681,43677,498493652,562609135,6498898562,11861854950,1139227549,169621843,23432546990675,27593698861,3647454413,79999996,28127,3555.3027340278027,100000,276.92464,134,120895,399,807,26,40.6,86.2,88.9,89.875,90.4,341084.0,1022128.0,1052840.0,1063577.0,1073180.0
52,clean-run,READ,53,5972389,3389846,3378885,333997,1,0,0,0,681,43719,502113827,562699125,6502629384,11864125250,1140099319,169694045,23455516565055,27623834898,3651969216,80014802,29444,3396.277679663089,100000,289.69682,136,123583,408,879,28,30.3,84.2,88.0,89.225,90.2,264920.0,1056809.0,1081830.0,1092911.0,1119672.0
53,clean-run,READ,53,6001553,3448479,3437518,339049,1,0,0,0,681,43762,505557277,562806744,6506319116,11866422937,1140965100,169749841,23478862806731,27654324011,3656512724,80031788,29684,3368.818218568926,100000,292.03192,139,145023,412,873,28,38.4,86.125,89.0,90.325,90.7,294388.0,1203328.0,1211806.0,1219955.0,1230328.0
54,clean-run,READ,53,6019146,3462551,3451590,344119,1,0,0,0,681,43806,509346984,562908365,6509368515,11868786165,1141814827,169797529,23502777814911,27685466457,3661124383,80070818,30093,3323.0319343368888,100000,296.14708,143,126527,424,898,28,35.1,85.05,88.4,89.64999999999999,90.2,314552.0,1417764.0,1453004.0,1458673.0,1543440.0
