Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
1,extend,EXTEND,2,1410490,303220,272426,99640,100023,82881,0,0,681,42609,386625947,560854007,6446765772,11815671704,1119291096,168793140,22856177385679,26811783663,3545527639,79374462,129355,773.0663677476712,100000,1285.11021,301,16543,1724,2167,123,6.5,10.4,10.8,11.45,46.7,44868.0,84996.0,106700.0,166582.0,336024.0
2,extend,EXTEND,2,4450073,1178993,1071788,353962,200056,320647,0,0,681,42611,386654133,560854007,6446811205,11815703352,1119291302,168793149,22856874532115,26813198085,3545568699,79374462,128687,777.0792698563181,100000,1278.50791,300,36127,2133,3267,122,8.6,12.525,13.45,14.1,38.5,71692.0,188227.0,294712.0,296316.0,747804.0
3,extend,EXTEND,2,9177824,2580239,2398055,756207,300089,708002,0,0,681,42613,386744963,560854007,6446841398,11815736195,1119385964,168793313,22857913952413,26815106489,3545604666,79375371,136824,730.8659299538093,100000,1360.01477,295,33567,2669,4459,130,9.8,16.6,17.0,17.6,38.3,85152.0,330194.0,435544.0,437730.0,1038468.0
4,extend,EXTEND,2,16187327,4578396,4317992,1307795,400144,1247756,0,0,681,42616,386921492,560854007,6446860577,11815758055,1119443282,168793359,22859431061164,26817933703,3545745824,79378191,156381,639.4638734884672,100000,1554.67035,305,14543,3387,5711,149,12.0,20.1,20.4,20.7,37.2,94332.0,487240.0,605316.0,621896.0,1253112.0
5,extend,EXTEND,2,24166628,6957228,6618743,1998313,500177,1928853,0,0,681,42620,387133600,560854007,6446886466,11815786609,1119591894,168793469,22861363529339,26821166064,3545912581,79378441,166651,600.0564053020984,100000,1657.19603,303,11927,3973,6923,158,13.1,22.6,22.7,23.0,37.6,95924.0,562502.0,629326.0,723317.0,1415712.0
6,extend,EXTEND,2,33851464,9829330,9412896,2834027,600221,2756895,0,0,681,42625,387463384,560854007,6446922018,11815824825,1119752972,168793622,22863774993663,26825109920,3546217543,79378791,176859,565.4221724650711,100000,1759.20557,302,17487,4551,8123,168,15.2,24.8,25.1,25.2,40.5,109668.0,643879.0,860696.0,882918.0,1753740.0
7,extend,EXTEND,2,44690512,13116226,12622381,3837962,700265,3754460,0,0,681,42631,387886143,560854007,6446971893,11815877364,1119922348,168794077,22866702635878,26829706206,3546578308,79383939,184887,540.8709103398292,100000,1840.49721,299,19935,5275,8991,176,18.4,27.3,27.7,32.3,45.7,115160.0,726261.0,1033122.0,1693119.0,2190524.0
8,extend,EXTEND,2,56444040,16717759,16146889,4965550,800309,4876282,0,0,681,42637,388461028,560854007,6447005668,11815913809,1120104677,168794289,22870003609364,26834754313,3546982376,79389837,189780,526.9259142164611,100000,1888.85412,301,16639,5803,9623,180,18.8,29.4,29.6,34.0,48.1,121184.0,868693.0,1213210.0,1988119.0,2436392.0
9,extend,EXTEND,2,69017160,20646612,19999552,6222098,900353,6127682,0,0,681,42644,389273667,560854007,6447073928,11815984727,1120244851,168795162,22873774991539,26840302384,3547576604,79394328,191856,521.2242515219748,100000,1909.72809,310,159999,6335,10367,182,18.4,30.4,34.75,35.875,46.2,125288.0,978552.0,2256156.0,2796191.0,3161780.0
10,extend,EXTEND,2,82571718,24908223,24186557,7624592,1000397,7525508,0,0,681,42652,390203190,560854007,6447112432,11816025896,1120442234,168795312,22878000140613,26846399109,3548236760,79396718,202803,493.0893527216067,100000,2018.74649,308,16327,6987,11167,193,21.7,33.0,36.3,37.9,48.0,134800.0,1138800.0,2613584.0,3055944.0,3339960.0
11,extend,EXTEND,2,97680657,29555824,28758899,9186819,1100452,9083260,0,0,681,42661,391191107,560854007,6447187375,11816103505,1120646935,168795726,22882836475625,26853373279,3549128293,79404442,200911,497.7328269731374,100000,2000.1585,303,22559,7559,12135,191,24.4,34.0,38.5,40.05,50.9,128796.0,1222692.0,2736720.0,3435972.0,3902072.0
12,extend,EXTEND,2,112879211,34523062,33653117,10903344,1200496,10795443,0,0,681,42671,392356261,560854007,6447236216,11816155014,1120857503,168795986,22888053268474,26860536103,3549934424,79411961,208222,480.25664915330754,100000,2073.21204,305,21215,8023,13063,198,20.8,36.2,39.95,41.8,53.4,136196.0,1889792.0,3367124.0,3712579.0,4232288.0
13,extend,EXTEND,2,128806035,39794812,38850952,12742363,1300551,12629978,0,0,681,42681,393479882,560854007,6447378419,11816300829,1121092267,168797741,22893606496502,26868086004,3550725834,79416183,222012,450.4261030935265,100000,2211.57054,292,211967,8463,14039,211,24.7,38.4,39.2,41.55,61.0,139168.0,1470784.0,2370092.0,4020412.0,5670820.0
14,extend,EXTEND,2,145483580,45374332,44356967,14740642,1400595,14623799,0,0,681,42693,394836366,560854007,6447480493,11816404430,1121309847,168798246,22899652099959,26876377833,3551836748,79432667,224653,445.13093526460807,100000,2237.47707,311,107775,8767,14583,214,2.6,39.9,41.05,42.875,54.5,134120.0,2675551.0,3097250.0,4557376.0,6278628.0
