Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
1,reference,READ,1,342922,124838,102110,10119,1,0,0,0,681,42609,386625947,560854007,6446765772,11815671704,1119291096,168793140,22856180021573,26811823830,3545527639,79374462,4075,24539.87730061349,100000,36.08221,26,13095,48,84,3,32.6,42.05,51.5,53.25,55.0,42724.0,42724.0,42724.0,42724.0,42724.0
2,reference,READ,1,645437,248752,203373,10119,1,0,0,0,681,42611,386654376,560854007,6446811205,11815703352,1119291302,168793149,22856876238035,26813221890,3545568701,79374462,4630,21598.272138228946,100000,41.36787,26,13031,55,88,4,30.4,43.0,49.05,51.6,53.7,42724.0,42724.0,42724.0,42724.0,42724.0
3,reference,READ,1,947952,372666,304636,10119,1,0,0,0,681,42613,386744963,560854007,6446841398,11815736281,1119385964,168793313,22857927473521,26815294216,3545607986,79375371,4264,23452.157598499063,100000,37.53498,26,16511,51,81,4,28.2,42.45,50.900000000000006,54.925,55.9,42728.0,42728.0,42728.0,42728.0,42728.0
4,reference,READ,1,1250467,496580,405899,10119,1,0,0,0,681,42616,386922612,560854007,6446860583,11815758061,1119443282,168793359,22859438348489,26818047240,3545745926,79378191,4501,22217.285047767164,100000,40.02402,26,13791,53,82,4,30.1,44.05,50.25,52.4,54.2,42796.0,42796.0,42796.0,42796.0,42796.0
5,reference,READ,1,1553055,621384,507176,10119,1,0,0,0,681,42620,387138016,560854007,6446886466,11815786609,1119591894,168793469,22861399706147,26821390594,3545954910,79378441,4112,24319.06614785992,100000,36.42319,26,12751,53,84,3,32.6,41.55,50.5,53.6,56.7,42800.0,42800.0,42800.0,42800.0,42800.0
6,reference,READ,1,1855570,745298,608439,10119,1,0,0,0,681,42625,387470954,560854007,6446922021,11815824828,1119752972,168793622,22863823313371,26825332914,3546270457,79378925,4589,21791.239921551536,100000,41.22305,27,12495,54,85,4,32.2,45.325,51.05,53.05,55.0,42744.0,42744.0,42744.0,42744.0,42744.0
7,reference,READ,1,2158231,870992,709730,10119,1,0,0,0,681,42631,387899280,560854007,6446971968,11815877439,1119922348,168794077,22866765100370,26829973589,3546651600,79384295,4654,21486.892995272883,100000,41.50032,26,16343,54,86,4,28.5,42.525000000000006,48.75,50.925,52.8,42812.0,42812.0,42812.0,42812.0,42812.0
8,reference,READ,1,2460819,995796,811007,10119,1,0,0,0,681,42637,388461028,560854007,6447005668,11815913815,1120104677,168794289,22870053384954,26835099501,3547040056,79390476,4462,22411.474675033616,100000,39.61267,26,13647,52,80,4,29.7,43.8,50.2,52.675,55.0,42816.0,42816.0,42816.0,42816.0,42816.0
9,reference,READ,1,2763407,1120600,912284,10119,1,0,0,0,681,42644,389285429,560854007,6447074012,11815984812,1120244851,168795162,22873842237245,26840719427,3547665668,79394328,4341,23036.1667818475,100000,38.38458,26,15255,52,89,4,30.1,44.65,51.75,54.3,55.2,42820.0,42820.0,42820.0,42820.0,42820.0
10,reference,READ,1,3065995,1245404,1013561,10119,1,0,0,0,681,42652,390213636,560854007,6447112520,11816025983,1120442234,168795312,22878131859983,26846952034,3548410041,79397999,4359,22941.04152328516,100000,38.75263,26,13191,54,83,4,31.5,45.525000000000006,51.900000000000006,54.3,56.4,42824.0,42824.0,42824.0,42824.0,42824.0
11,reference,READ,1,3368656,1371098,1114852,10119,1,0,0,0,681,42661,391209661,560854007,6447187375,11816103505,1120646935,168795726,22882923503353,26853822047,3549244506,79405844,4587,21800.74122520166,100000,40.86912,26,16095,53,85,4,29.0,43.775000000000006,50.55,52.8,54.0,42832.0,42832.0,42832.0,42832.0,42832.0
