Epoch,Phase,Operation,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max,delta_blks_read,delta_blks_hit,delta_tup_returned,delta_tup_fetched,delta_tup_inserted,delta_tup_updated,delta_tup_deleted,delta_temp_files,delta_temp_bytes,delta_checkpoints_timed,delta_checkpoints_req,delta_buffers_checkpoint,delta_buffers_clean,delta_buffers_backend,delta_buffers_alloc,delta_checkpoint_write_time,delta_checkpoint_sync_time,delta_wal_bytes,delta_wal_records,delta_wal_fpi,delta_wal_buffers_full
1,run,READ,5511,18145.5271275631,100000,50.06275,28,14719,70,141,5,31.1,49.7,55,57.6,59.1,145412,148776,148808,148860,149056,0,564935,200770,180324,111,11,101,0,0,0,0,0,0,0,0,0,0,2635894,40167,0,0
2,run,READ,6166,16217.9695102173,100000,56.84807,30,13783,85,175,5,34,53.5,60.4,64.2,65.4,308884,332436,333904,335028,335088,0,1378176,395376,374930,144,11,142,0,0,0,0,193,0,0,0,0,0,1705920,23805,2,0
3,run,READ,7214,13861.9351261436,100000,67.06268,30,16927,96,205,6,31.5,55.15,62.05,65.35,66.9,427284,486180,490344,491544,491672,0,2364419,607788,586465,364,22,344,0,0,0,0,0,0,0,86,0,0,13521108,187727,3320,0
4,run,READ,8237,12140.3423576545,100000,77.75942,36,13911,109,236,7,38.7,61.05,67.2,68.8,69.8,507240,565854,569856,570006,570660,0,2655666,714236,693790,216,11,212,0,0,0,0,1071,0,6,6,0,0,7287325,113537,102,0
5,run,READ,8647,11564.7045217995,100000,81.49989,37,15143,114,249,8,35.4,62.55,68.05,70.275,72.8,573216,649842,653234,653840,654976,0,3214099,847789,826466,250,11,240,0,0,0,0,4370,0,0,0,0,0,36176808,224530,42329,0
6,run,READ,9147,10932.5461900077,100000,86.83769,42,14111,122,270,8,38.7,66.225,71.45,73.375,75.3,658400,764528,771200,772437,773684,0,3410206,911240,889918,272,11,270,0,0,0,0,7520,0,3,3,0,0,48319708,222994,52914,134
7,run,READ,9759,10246.9515319193,100000,92.53863,44,58207,128,277,9,32.2,65.3,72.1,74.8,76.2,696772,914072,916748,917932,919888,0,3676857,972864,951542,302,11,292,0,0,0,0,13085,0,75,75,0,0,62464492,267383,73292,356
8,run,READ,10618,9417.96948577886,100000,101.04404,51,38175,144,328,10,31.9,65.3,72.7,75.85,76.9,732380,1028507,1037514,1040631,1042816,0,4139394,1092464,1071141,644,22,634,0,0,0,0,0,0,0,6,0,0,49775590,345188,57680,639
9,run,READ,10967,9118.26388255676,100000,104.70185,50,20863,151,321,10,34.7,68.55,74.85,77.25,78.5,845244,1192314,1207238,1210561,1211380,0,4393815,1135794,1114471,676,22,669,0,0,0,0,11714,0,84,85,0,0,67245706,417043,89064,0
10,run,READ,11723,8530.23969973556,100000,112.33622,54,44095,163,313,11,34.7,68.4,74.5,77.45,78.6,911768,1352956,1371576,1376702,1377940,0,4743092,1165784,1144461,704,22,698,0,0,0,0,10398,0,88,87,0,0,131719370,552925,173281,1281
11,run,READ,12106,8260.36676028416,100000,116.39941,52,25983,161,360,11,38,70.75,76.4,78.85,80.5,962256,1468930,1489080,1495322,1496396,0,4608169,1224623,1203300,726,22,724,0,0,0,0,18504,0,0,0,0,0,87027728,448768,116213,1402
12,run,READ,12698,7875.25594581824,100000,121.89613,57,27151,176,376,12,34,73.025,78.4,80.85,81.9,891532,1612003,1644600,1646280,1647632,0,5134648,1258999,1237676,747,22,744,0,0,0,0,34870,0,94,93,0,0,190356508,744052,316023,2758
13,run,READ,13027,7676.36447378522,100000,125.24594,62,56799,182,361,12,34.7,72.575,79.45,81.95,83.1,1005536,1882182,1928728,1932825,1936580,0,5395156,1285178,1263855,766,22,764,0,0,0,1,88572,0,1044,98,0,0,278995361,1086974,647139,10250
14,run,READ,13998,7143.87769681383,100000,134.71925,66,51199,189,399,13,32.9,74.5,79.5,81.8,83,936064,2079748,2132960,2145604,2146180,0,5690456,1356664,1334465,784,22,783,0,0,0,0,35382,0,2,201,17149,980,271209707,1280484,549092,5661
15,run,READ,14758,6775.98590594932,100000,142.4325,69,40415,198,415,14,32.9,74.4,79.7,81.6,82.9,947344,2211726,2257550,2265162,2272012,0,5932683,1422366,1400208,1206,33,1204,0,0,0,0,58399,0,103,103,0,0,297602317,1347795,626355,7061
16,run,READ,14554,6870.96330905593,100000,140.44772,71,37183,195,420,13,35.5,76,80.8,83,84.7,1127492,2235936,2293808,2297820,2306068,0,5694132,1436089,1414766,819,22,812,0,0,0,0,58428,0,102,101,0,0,278290866,1235320,503037,8710
17,run,READ,15178,6588.48333113717,100000,146.59571,73,40607,213,453,14,32.6,74.975,81.45,83.525,84.2,961576,2280764,2335362,2339337,2343356,0,5576909,1475630,1454307,824,22,823,0,0,0,1,90144,0,102,101,0,0,299010407,1180264,576868,11767
18,run,READ,15518,6444.12939811831,100000,150.04344,75,39871,224,451,14,35.8,76.6,81.45,83.45,84.3,1096488,2240763,2302934,2305304,2306460,103304,6207577,1509704,1488381,834,22,833,0,0,0,0,54570,1,47748,11318,15996,2919,348534263,1610819,755530,6901
19,run,READ,16343,6118.82763262559,100000,158.25452,76,43199,229,467,15,32.9,75.9,81.8,83.7,84.4,1102956,2455120,2506776,2508676,2514424,176663,6370440,1584594,1563271,843,22,844,0,0,0,0,61575,7701,77679,18037,16039,6419,369035428,1767773,843175,2489
20,run,READ,16796,5953.79852345797,100000,162.78149,79,42815,237,494,16,32.2,77.075,81.9,83.75,85.2,1103308,2684486,2737750,2743488,2746436,258143,6473847,1652943,1631620,850,22,847,0,0,0,0,70409,8789,116426,17297,0,0,404263401,1883874,958695,4156
21,run,READ,17336,5768.34333179511,100000,168.2108,78,52831,242,506,16,33.3,77.5,82.05,84.075,85,1056168,2653416,2722866,2726648,2737388,379211,6718040,1726789,1704590,856,22,856,0,0,0,1,125937,9761,173073,29397,16705,2252,481227609,2047260,1107827,2218
22,run,READ,17779,5624.61330783509,100000,172.82437,85,48927,259,530,16,34.8,77.175,82.85,85.025,86,1119440,2809602,2858322,2863113,2879740,394412,6856736,1782601,1760402,862,22,862,0,0,0,1,150203,10301,181270,30413,16006,949,477687735,2074503,1229141,469
23,run,READ,18250,5479.45205479452,100000,177.2579,85,52415,264,534,17,31.8,77.8,83.1,85,85.8,1096744,2910996,2994968,2999548,3006176,342767,6410842,1849873,1828767,866,22,865,0,0,0,1,215456,10649,144534,24188,14495,2645,479504249,1868182,1182857,4628
24,run,READ,18532,5396.07165983164,100000,180.07364,89,57439,266,545,17,33.7,78.9,83.9,85.3,86.3,1109108,2760492,2844296,2854628,2856752,632783,6890930,1928598,1906399,877,22,872,0,0,0,0,91113,15738,271309,40584,0,0,483130865,2333318,1142765,0
25,run,READ,18921,5285.13292109297,100000,184.09612,94,56351,270,569,18,34.4,78.7,84.1,86.225,86.9,1083240,2711429,2758940,2773748,2775108,850153,6919265,2008948,1986749,881,22,881,0,0,0,1,104818,20595,332774,42724,0,0,531719013,2504591,1240719,0
