Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3699,135.17166801838334,500,6286.202,3218,265215,8575,12887,500
1,extend,500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2825,176.99115044247787,500,4703.522,2760,43327,6747,9735,500
1,spread-run,1000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21312,2346.096096096096,50000,411.01036,159,54239,963,1993,50000
2,extend,1000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2478,201.77562550443906,500,4020.612,1969,27167,6859,11271,500
2,spread-run,1500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17005,2940.3116730373417,50000,325.48278,155,28015,583,942,50000
3,extend,1500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2183,229.04260192395785,500,3424.588,1873,22079,5135,6555,500
3,spread-run,2000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16249,3077.112437688473,50000,310.70502,158,22703,526,862,50000
4,extend,2000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2083,240.03840614498318,500,3250.324,1665,37599,4935,6271,500
4,spread-run,2500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16364,3055.4876558298706,50000,312.9492,151,22127,531,904,50000
5,extend,2500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2092,239.0057361376673,500,3229.01,1597,21423,4911,5835,500
5,spread-run,3000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16298,3067.8610872499694,50000,311.67048,152,21359,553,901,50000
6,extend,3000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2027,246.66995559940798,500,3130.608,1663,20303,4835,5427,500
6,spread-run,3500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17702,2824.539600045193,50000,339.1976,152,54175,595,1048,50000
7,extend,3500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2031,246.18414574101428,500,3138.132,1635,22399,4895,8095,500
7,spread-run,4000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16252,3076.544425301501,50000,310.86262,150,21823,536,894,50000
8,extend,4000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2035,245.7002457002457,500,3130.756,1664,22543,4759,5971,500
8,spread-run,4500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16748,2985.4310962502987,50000,320.47038,157,23823,586,901,50000
9,extend,4500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,246.79170779861798,500,3110.286,1560,20847,4759,5739,500
9,spread-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16277,3071.8191312895497,50000,311.30516,153,22703,571,884,50000
10,extend,5000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2024,247.03557312252966,500,3133.016,1624,21007,4799,5431,500
10,spread-run,5500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16471,3035.638394754417,50000,315.06322,150,22623,545,883,50000
11,extend,5500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2027,246.66995559940798,500,3094.744,1619,22335,4763,5515,500
11,spread-run,6000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16221,3082.4240182479502,50000,310.03804,151,22415,528,907,50000
12,extend,6000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1987,251.63563160543532,500,3049.032,1543,21471,4699,5351,500
12,spread-run,6500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16355,3057.169061449098,50000,312.94126,156,22175,569,909,50000
13,extend,6500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2021,247.40227610094013,500,3121.83,1508,34111,4819,6335,500
13,spread-run,7000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16295,3068.425897514575,50000,311.47032,148,21359,550,908,50000
14,extend,7000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1988,251.50905432595573,500,3069.674,1608,20175,4739,5387,500
14,spread-run,7500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16615,3009.3289196509177,50000,317.72938,157,22111,594,905,50000
15,extend,7500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1985,251.88916876574308,500,3039.656,1573,21727,4683,5355,500
15,spread-run,8000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16230,3080.7147258163895,50000,310.24482,135,21071,516,875,50000
16,extend,8000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1988,251.50905432595573,500,3024.846,1539,19903,4707,5195,500
16,spread-run,8500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16257,3075.598203850649,50000,310.86938,158,22703,570,887,50000
17,extend,8500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1987,251.63563160543532,500,3044.716,1545,21055,4703,5839,500
17,spread-run,9000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16139,3098.085383233162,50000,308.53536,157,22351,515,868,50000
18,extend,9000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1968,254.0650406504065,500,2997.694,1569,22591,4619,5475,500
18,spread-run,9500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16435,3042.28780042592,50000,314.186,152,21743,550,888,50000
19,extend,9500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1965,254.4529262086514,500,2986.204,1453,23807,4547,5251,500
19,spread-run,10000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15540,3217.5032175032175,50000,296.6141,119,22175,503,908,50000
20,extend,10000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1978,252.78058645096056,500,3035.454,1568,27775,4611,5243,500
20,spread-run,10500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16464,3036.9290573372205,50000,315.0437,147,44159,568,888,50000
21,extend,10500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1986,251.76233635448136,500,3053.48,1560,23999,4659,5167,500
21,spread-run,11000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16188,3088.7076847047197,50000,309.2869,163,21855,534,887,50000
22,extend,11000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1978,252.78058645096056,500,3012.184,1496,23599,4679,5143,500
22,spread-run,11500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16479,3034.1646944596155,50000,315.17976,157,22351,550,874,50000
23,extend,11500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1760,284.09090909090907,500,2577.364,1101,21695,4315,5067,500
23,spread-run,12000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16415,3045.994517209869,50000,313.77074,153,22575,567,918,50000
24,extend,12000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1961,254.97195308516064,500,3009.392,1536,23647,4667,5287,500
24,spread-run,12500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16388,3051.01293629485,50000,313.34414,149,22783,553,893,50000
25,extend,12500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1986,251.76233635448136,500,3039.556,1550,24127,4739,5187,500
25,spread-run,13000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16269,3073.329645337759,50000,311.07766,158,22719,537,871,50000
26,extend,13000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1976,253.03643724696357,500,3011.498,1584,24799,4659,5363,500
26,spread-run,13500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16280,3071.253071253071,50000,311.0133,155,21679,540,877,50000
27,extend,13500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2037,245.4590083456063,500,3151.04,1525,23167,4879,6347,500
27,spread-run,14000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16129,3100.0062000124,50000,308.3568,152,22831,517,903,50000
28,extend,14000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1981,252.39777889954567,500,3025.206,1590,23535,4719,5187,500
28,spread-run,14500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16119,3101.929400086854,50000,308.19934,154,22303,509,884,50000
29,extend,14500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1961,254.97195308516064,500,2993.132,1557,23167,4627,5363,500
29,spread-run,15000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16263,3074.4635061181825,50000,311.08124,160,23071,525,871,50000
30,extend,15000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1961,254.97195308516064,500,2985.186,1555,22911,4679,5567,500
30,spread-run,15500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16532,3024.4374546334384,50000,316.31356,157,22831,556,898,50000
31,extend,15500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1972,253.5496957403651,500,3017.38,1537,24175,4715,5515,500
31,spread-run,16000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16257,3075.598203850649,50000,310.91296,157,22911,556,914,50000
32,extend,16000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1959,255.23226135783563,500,2986.174,1490,19775,4611,5279,500
32,spread-run,16500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16236,3079.5762503079577,50000,310.39096,157,21375,533,904,50000
33,extend,16500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1962,254.841997961264,500,2992.19,1493,21007,4679,5219,500
33,spread-run,17000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16405,3047.851264858275,50000,313.77942,149,22239,568,894,50000
34,extend,17000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1973,253.42118601115052,500,3013.036,1532,29391,4695,5915,500
34,spread-run,17500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16301,3067.2964848782285,50000,311.84106,155,22175,548,885,50000
35,extend,17500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1958,255.3626149131767,500,2987.174,1489,20847,4563,5723,500
35,spread-run,18000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16176,3090.9990108803163,50000,309.3646,153,22271,562,887,50000
36,extend,18000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1950,256.4102564102564,500,2978.324,1586,20911,4611,4995,500
36,spread-run,18500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16458,3038.0362133916638,50000,314.87714,162,22223,559,892,50000
