Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5297,1085,998,1046,1,0,0,0,0,53,53,51246,515545,1541919,15266708,4905829,2855,4215753918,9566270,90607,1205,0,0,0,1,0,1664,600.9615384615385,1000,1317.6,674,8535,1649,1844,1000
1,spread-run,2000,true,uniform,READ,1,311919,103200,102199,2119,1,0,0,0,0,53,53,51246,515545,1541919,15266882,4905829,2855,4217127120,9569713,90608,1205,1,0,0,0,0,3803,26295.030239284773,100000,33.84434,20,11055,45,73,100000
2,spread-run,3000,true,uniform,READ,1,617223,204363,203325,3119,1,0,0,0,0,53,53,51246,515545,1541919,15267032,4905829,2855,4218353499,9572720,90608,1205,1,0,0,0,0,3771,26518.164942985946,100000,33.17351,20,10575,45,74,100000
3,spread-run,4000,true,uniform,READ,1,922520,305526,304451,4119,1,0,0,0,0,53,53,51246,515545,1541919,15267183,4905829,2855,4219586662,9575729,90608,1205,1,0,0,0,0,3505,28530.670470756064,100000,30.82799,18,11391,40,68,100000
4,spread-run,5000,true,uniform,READ,1,1227821,406689,405577,5119,1,0,0,0,0,53,53,51246,515545,1541919,15267336,4905829,2855,4220827424,9578739,90608,1205,1,0,0,0,0,3665,27285.129604365622,100000,32.09713,20,12311,44,72,100000
5,spread-run,6000,true,uniform,READ,1,1533102,507852,506703,6119,1,0,0,0,0,53,53,51246,515545,1541919,15267479,4905829,2855,4222030312,9581739,90608,1205,1,0,0,0,0,3561,28081.99943836001,100000,31.02867,20,11295,40,70,100000
6,spread-run,7000,true,uniform,READ,1,1838385,609015,607829,7119,1,0,0,0,0,53,53,51246,515545,1541919,15267623,4905829,2855,4223240793,9584742,90608,1205,1,0,0,0,0,3664,27292.576419213972,100000,32.25522,20,12223,44,76,100000
7,spread-run,8000,true,uniform,READ,1,2143684,710178,708955,8119,1,0,0,0,0,53,53,51246,515545,1541919,15267775,4905829,2855,4224477652,9587751,90608,1205,1,0,0,0,0,3712,26939.655172413793,100000,32.76766,20,11775,45,69,100000
8,spread-run,9000,true,uniform,READ,1,2449007,811341,810081,9119,1,0,0,0,0,53,53,51246,515545,1541919,15267939,4905829,2855,4225759811,9590772,90608,1205,1,0,0,0,0,3809,26253.609871357312,100000,33.51056,20,14199,45,78,100000
9,spread-run,10000,true,uniform,READ,1,2754290,912504,911207,10119,1,0,0,0,0,53,53,51246,515545,1541919,15268083,4905829,2855,4226966508,9593774,90608,1205,1,0,0,0,0,3410,29325.513196480937,100000,29.67573,20,11959,40,69,100000
10,spread-run,11000,true,uniform,READ,1,3059575,1013667,1012333,11119,1,0,0,0,0,53,53,51246,515545,1541919,15268228,4905829,2855,4228176973,9596776,90608,1205,1,0,0,0,0,3499,28579.59416976279,100000,30.70106,19,10399,41,69,100000
11,spread-run,12000,true,uniform,READ,1,3370179,1116094,1113846,12180,12,62,0,0,0,53,53,51246,515545,1541919,15268375,4905829,2855,4229596721,9601420,90608,1205,1,0,0,0,0,3505,28530.670470756064,100000,30.781,20,11087,43,71,100000
12,spread-run,13000,true,uniform,READ,1,3675470,1217256,1214971,13180,12,62,0,0,0,53,53,51246,515545,1541919,15268532,4905829,2855,4230799653,9604421,90608,1205,1,0,0,0,0,4064,24606.299212598424,100000,36.1376,20,13815,46,71,100000
13,spread-run,14000,true,uniform,READ,1,3980755,1318418,1316096,14180,12,62,0,0,0,53,53,51246,515545,1541919,15268677,4905829,2855,4232013814,9607424,90608,1205,1,0,0,0,0,3417,29265.4375182909,100000,29.61739,17,13679,43,73,100000
14,spread-run,15000,true,uniform,READ,1,4286044,1419580,1417221,15180,12,62,0,0,0,53,53,51246,515545,1541919,15268824,4905829,2855,4233231865,9610428,90608,1205,1,0,0,0,0,3521,28401.022436807725,100000,30.83487,20,10255,44,68,100000
15,spread-run,16000,true,uniform,READ,1,4591373,1520742,1518346,16180,12,62,0,0,0,53,53,51246,515545,1541919,15268991,4905829,2855,4234525488,9613453,90608,1205,1,0,0,0,0,3632,27533.039647577094,100000,32.10718,18,14351,42,67,100000
16,spread-run,17000,true,uniform,READ,1,4896684,1621904,1619471,17180,12,62,0,0,0,53,53,51246,515545,1541919,15269149,4905829,2855,4235785109,9616468,90608,1205,1,0,0,0,0,3633,27525.461051472612,100000,32.03177,20,11455,45,81,100000
17,spread-run,18000,true,uniform,READ,1,5201991,1723066,1720596,18180,12,62,0,0,0,53,53,51246,515545,1541919,15269305,4905829,2855,4237037067,9619481,90608,1205,1,0,0,0,0,3390,29498.525073746314,100000,29.69165,20,10975,41,73,100000
18,spread-run,19000,true,uniform,READ,1,5507276,1824228,1821721,19180,12,62,0,0,0,53,53,51246,515545,1541919,15269450,4905829,2855,4238247555,9622484,90608,1205,1,0,0,0,0,3656,27352.297592997813,100000,32.36562,20,11199,45,81,100000
19,spread-run,20000,true,uniform,READ,1,5812559,1925390,1922846,20180,12,62,0,0,0,53,53,51246,515545,1541919,15269594,4905829,2855,4239454200,9625485,90608,1205,1,0,0,0,0,3897,25660.764690787786,100000,34.87856,20,11431,46,71,100000
