Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user2408030219406736172,2500,4100,5100,6800,8100,10600,11300,12500,14600,16000,17200,18400,20400,21400,23000,24800,26900,27500,29200,30800,32800,33600,34900,36600,38200,39500,41400,42900,43800,45300,46900,48200,49200,51500,53100,56000,55600,57200,58500,59700,61600,63100,64100,64800,67100,68900,69900,71700,73500,74700,75600,77100,78900,80500,81600,82700,84500,86100,87000,88600,90000,91700,93300,94500,96000,98100,99100,100700,101800,103000,104300,104700,107000,108700,110300,111000,112600,113800,115300,117100,118000,119800,121400,121300,123800,125500,126800,127900,129400,130500,132300,133900,134800,137000,137500,138800,140900,140300,143100,145100
user2191786966006142104,2200,3500,5600,6600,8200,9700,11300,13000,14400,16000,17500,18800,20200,19500,23600,25000,26200,29500,30400,30900,32300,34100,35200,36900,38300,39500,41600,42400,43800,46100,47400,48100,50000,51300,52800,54000,55800,57400,58600,60300,62200,64500,64700,66100,67200,69100,70000,71600,72900,74500,74700,78100,79900,80400,81400,82800,84500,85200,87900,89200,89200,91700,92800,93400,96200,97400,99100,100000,101900,103000,104500,105700,107700,97500,110400,111200,112900,113300,115200,117000,118400,119500,121700,122400,124500,125100,126400,128200,129100,131000,132600,133400,135000,136100,137800,140300,140400,141700,142900,144600
user1246548735333305540,2400,3800,5500,7100,8600,9800,11300,13000,14000,16600,17300,19300,20300,21900,23500,24900,26200,27400,30000,30900,32200,34000,35600,36800,38200,39400,41200,42400,43900,41300,47000,48600,49800,51500,52800,54500,55300,56700,58700,60000,60800,62500,64200,65800,67000,68600,70100,71100,73700,74300,75900,77400,78800,80200,81200,82700,84800,85800,87300,89000,90400,92200,93400,94800,96300,97300,98600,99000,101200,103200,105000,105300,107300,108500,109800,111200,112700,114300,115300,116900,119400,119400,121300,123000,124000,124600,126800,127900,128600,130500,132500,133900,135100,136200,137800,138000,140500,142300,143500,145000
user2629861260633036934,2400,4200,5600,6800,8400,10000,11200,12600,14100,15700,17300,19200,20300,22800,23100,25100,26300,27600,29300,30800,32100,34000,35100,36600,38100,39300,41000,42700,43900,45500,47600,48700,49600,51500,52900,54100,57300,57300,58600,60300,61200,62900,64900,65400,67100,68500,69700,71700,73100,68100,75500,77500,78800,80600,82100,82200,83800,85800,87800,89000,90900,91400,93400,94800,95900,97600,99000,100200,101500,103400,104500,106000,107300,110900,110500,111100,113000,112900,115700,116900,118100,119700,120800,122500,123800,125200,126700,127900,129300,130900,133400,133500,135900,135800,138100,139200,141300,142100,142900,144700
user2538312093647326066,2300,3500,5800,6500,8400,9800,11000,12800,14400,16200,17400,18800,20300,23100,23000,25100,26000,27600,26100,31000,31800,33800,35200,36400,38800,39300,41100,42600,44100,45300,48000,48500,49400,51600,52900,55500,55400,57400,58100,60400,61700,63000,64000,66100,67500,68600,70200,72300,73100,74300,75500,77100,78600,80300,82400,82900,84300,85900,87500,88900,90200,93500,93200,94700,96100,97300,99000,99400,102200,102700,104200,105500,107100,108300,109500,111200,112600,114800,115500,117000,118400,120100,121000,122300,121600,125000,127100,127900,129100,130400,131800,133500,135300,136400,137300,138800,140200,142300,143700,144900
user4515091579447301933,2200,4000,5300,6600,8300,10000,11300,12600,14600,16100,17000,18800,20600,22000,23400,24900,26500,27600,29100,30500,32200,34000,35200,36900,38100,39400,41100,42600,43900,45900,47100,48500,49800,51200,52600,54500,56100,57400,58600,60400,60100,64500,64800,65900,66900,68300,69400,71700,72900,76200,76000,69700,79000,80600,81400,82400,84500,85900,86900,88400,90000,91600,92900,94200,96100,97200,98500,100300,100700,102100,104100,105900,108000,108600,109900,111400,112300,114100,114400,117100,117800,120100,121300,122600,123900,124100,126100,128100,129300,130400,132700,133400,134900,135000,137900,139100,140400,141900,143400,144500
user3449285483866709402,2300,3800,5600,7100,8000,9800,11400,12500,14300,16300,17700,18600,20600,22000,23700,24700,26700,27700,29300,31300,32100,34000,35000,36800,39000,39400,42000,42600,44100,45700,46700,48900,50200,51300,52900,54300,55600,57100,58600,60200,61500,62600,64400,66100,66800,69000,70000,71600,72900,74200,75400,76500,78600,80200,81600,82400,84400,86200,87700,88800,90800,91900,93000,94700,96200,97700,98800,100300,101400,103100,104000,105700,107300,98600,112800,111500,112600,114100,115600,117000,118400,119700,121800,123900,124100,125300,126400,129600,129100,130600,132000,133500,135100,135000,138900,139700,141000,142000,143300,144500
user7586477543532073547,2800,3700,5200,6800,8200,10400,11500,12800,14100,16100,17200,20500,20500,21900,25400,24700,26300,28300,29000,30400,32400,33500,34900,37100,38000,39700,40700,43300,44000,45700,47100,48400,49900,51100,52700,54600,56000,57200,59300,60500,62200,62900,64300,65900,67500,68900,70400,71700,73100,74500,75800,77200,79100,80500,80900,83000,84200,86000,87300,89500,89400,91700,92900,94800,96000,95800,98700,99900,101400,102900,104300,105900,107500,108900,110000,110200,112600,111500,116700,116800,118500,120800,120800,122500,124100,124000,126700,127900,129500,131200,131200,133500,135000,136300,137400,140600,140600,141700,143900,144400
user2041640442664200590,2400,4000,5300,7000,8100,9700,11500,12800,14500,16000,16900,19100,20200,21700,23300,25200,26100,27900,31500,30600,32400,34100,34900,36700,38200,40700,41200,44700,44300,44900,46900,49000,49900,51600,52900,54400,56100,57500,58600,60400,61400,63100,64900,66000,67200,68700,70000,72000,73100,73700,75800,78100,78600,80300,81600,83200,84700,85900,87400,88400,90700,91000,92000,95100,96400,97400,99900,102400,101800,102900,104100,105700,107100,108700,110000,111300,112400,114200,115500,116800,117500,119500,121200,122200,123200,125500,126700,125400,129000,130800,132000,133900,135200,136200,137500,139600,140200,141800,142800,144500
user3368228601943814792,2600,4000,5300,6700,8500,9600,11100,12800,14100,16200,17200,18600,20400,22000,23100,24500,26300,27900,29500,30600,31900,34000,35200,36800,38400,39800,41000,42400,44900,45700,49100,48500,49400,51500,53000,54400,55300,57300,58600,60000,61800,63300,64100,65100,67400,68800,69900,64800,74000,74300,75700,77500,78900,80000,81800,83200,84400,87200,87700,88700,90200,91900,93100,94400,96200,97500,98800,98900,101400,103100,104000,106900,107300,108500,110500,112600,112700,113000,115800,116800,118200,119700,121200,122500,123800,125400,127200,128000,130200,130700,131000,133900,133600,136300,137900,139200,141100,141600,143000,144800
