Key,Run1
user9221418083710133133,2400
user2529499690120931152,2600
user7099738217099623881,2900
user6395635716242299251,2600
user7123510772490260851,2300
user8160298170148808283,2700
user2191786966006142104,2400
user8647597457093398397,2600
user5696779357916382750,2500
user7094492074568215752,2400
user4741048842180729928,2200
user884845140610037639,2700
user6168900177778888925,2400
user3483550324320162630,2400
user8733340521035560688,2500
user6877907175873323119,2300
user6290028003198785340,2400
user5575651532496486335,2500
user1835329513814282332,2700
user3594185864677242787,2600
user4158634127255442161,2500
user2745182983009384772,2300
user7913916297801888220,2200
user5711179549268484358,2600
user6279535718135969082,2400
user3821481363652793561,2700
user2861064665897873058,2300
user7354714177755096975,2700
user4519559446248727731,2400
user185428821771980690,2500
user517553758061063044,2700
user4042752444366953875,2400
user774209600252957482,2300
user3097514213694117311,2400
user7798594575425540382,2400
user8391501575413644407,2600
user2750429125540792901,2600
user3464245635730951458,2300
user4524463943485837295,2600
user1116266861092715646,2500
user643367765500227140,2500
user2056040634016302198,2500
user6289686357904486775,2900
user2428236513802386357,2600
user3589499682657975106,2500
user5581239320322193029,2600
user3453971665885977083,2700
user763935630407983107,2600
user880158958590769958,2500
user8159738209636667835,2800
user3931556943497733270,2400
user8994122584734582359,2600
user4293602183515299736,2600
user3931898588792031835,2500
user4760913491282081548,2600
user1820151046732198393,2600
user8280866035056564250,2600
user4871890676933460270,2700
user2181854641455466294,2700
user2417744228739570099,2300
user3936243125517000951,2400
user4992116896546917672,2700
user7823487051840458248,2600
user4775873643146323604,2700
user8527247907403484313,2800
user8748518988117644627,2600
user8516755622340668055,2700
user1578673671622387894,2600
user6058824597933949216,2300
user3932116904009873718,2300
user7335627804383727686,2400
user3937144731323439964,2600
user6983296573698995147,2300
user7582009676730647749,2500
user9119936592173746455,2400
user6515985265932213335,2300
user6294714185218053021,2700
user6651731597922053241,2300
user3121846729596894729,2800
user5358848318583751819,2400
user1704269363843710107,2400
user3368228601943814792,2600
user3916938436927789779,2600
user5585365541829320262,2500
user1236616410782629730,2600
user5947069136552588163,2700
user749317123838039616,2400
user2543558236178734195,2400
user5479976144003648234,2300
user8854468346455457103,2300
user6274507890822402836,2400
user6979170352191867914,2500
user5566279168457950973,2700
user4283888174182465809,2800
user9206239616628049194,2600
user8627391162697748212,2400
user7345901774228702061,2700
user7104424399118891562,2500
user7717537693502645772,2400
user3589717997875816989,2500
user6636553130839969302,2500
user7340655631697293932,2500
user6983856534211135595,2400
user8632637305229156341,2800
user70667059907773300,2500
user4534737913330811670,2600
user70107099395632852,2700
user190674964303388819,2500
user5243526596207403981,2600
user4640905586886466029,2600
user7345341813716561613,2500
user5460329810120138497,2600
user7697673044401294152,2400
user3227796087934707205,2600
user3468931817750219139,2600
user3117160547577627048,2300
user527827727906037419,2600
user2528939729608790704,2500
user6415282050125808988,2500
user171028630419879082,2600
user5475289961984380553,2800
user8753546815431210873,2500
user7460881851310751334,2600
user4273955849631789999,2400
user4997363039078325801,2500
user6862728708791239180,2500
user8054690457105294372,2200
user161096305869203272,2600
user1337537941806875960,2600
user7711731590459097195,2500
user2644261451985138542,2700
user5715865731287752039,2600
user3806302896570709622,2600
user1714201688394385917,2500
user4052466453699787802,2400
user8521783449654234301,2600
user4765941318595647794,2900
user7461223496605049899,2600
user64860956864224723,2500
user7350587956247969742,2300
user1940718911639954360,2700
user2051012806702735952,2400
user658327917364469196,2200
user3001497179906980645,2700
user4046878665874081108,2400
user3107446538244793121,2500
user3464463950948793341,2700
user8622704980678480531,2300
user5450397485569462687,2400
user4409702181621629905,2700
user4057370950936897366,2700
user1247108695845445988,2500
user6762585453496975281,2600
user5455083667588730368,2600
user3358296277393138982,2400
user8039170344728911868,2500
user3921624618947057460,2500
user533073870437445548,2400
user8637883447760564470,2500
user9004054909285258169,2500
user2423550331783118676,2400
user2060726816035569879,2400
user4741608802692870376,2400
user7455977354073641770,2300
