Key,Run1
user7109110581138159243,1700
user2996592682669871081,1800
user764277275702281672,1700
user6164213995759621244,1900
user5585583857047162145,1400
user2765047632110736392,1500
user8873773035044668275,1100
user5696561042698540867,1400
user7456195669291483653,1400
user3705381365546463392,1600
user7702359226420561833,2100
user4173034318607543769,1500
user3112132720264060802,1600
user7215059939475971719,1600
user1714201688394385917,1600
user7355274138267237423,1500
user3478864142300894949,2000
user1593633823486629950,1600
user50460765512123115,1800
user5590611684360728391,1500
user3131779054147570539,1500
user7682712892537052096,1400
user4273955849631789999,1700
user7475842003174993390,1900
user8280647719838722367,1400
user4404237723872379893,2000
user4992458541841216237,2000
user8632978950523454906,1600
user291938140621933614,1500
user9221199768492291250,1900
user2413276361938144301,1600
user6762367138279133398,1600
user6631525303526403056,2100
user768963457721549353,2000
user5107998579435405958,1500
user1583919814153796023,1400
user2513979577744548648,1400
user2538872054159466514,1600
user8179944504032318020,1500
user7572077352179971939,1500
user3368228601943814792,1200
user9090357933739560908,1900
user2866310808429281187,1700
user1583359853641655575,1300
user7582009676730647749,1400
user9220639807980150802,1300
user3237946727703224898,1700
user3348923913354603620,1900
user9215611980666584556,1900
user8039170344728911868,1600
user2066532919079118456,1600
user874571170765063264,1300
user8642911275074130716,1600
user1241302592801897411,1500
user8416394051828562273,1900
user7817680948796909671,1400
user3343896086041037374,2100
user2755675268072201030,2000
user3016457331771222701,1500
user4038066262347686194,1500
user1960583560741305980,1800
user3594185864677242787,1900
user7567391170160704258,1500
user5358848318583751819,1600
user5223320301811753796,1500
user1704487679061551990,1400
user1940377266345655795,2300
user2056818909746284529,1300
user1105774576029899388,1700
user517553758061063044,1500
user8411707869809294592,1500
user3222768260621140959,1500
user8401215584746478334,1300
user6752093168434159023,1500
user6058824597933949216,2000
user9210925798647316875,1500
user3237168451973242567,1700
user1810437037399364466,2400
user8858594567962584336,2400
user6868534811834787757,1900
user1718887870413653598,1500
user986326632146424317,1600
user398105814177587973,1700
user8531155813692769663,1800
user35282298430039176,1900
user4152828024211893584,1600
user4399209896558813647,1400
user3449285483866709402,2400
user5952315279083996292,1700
user8265687567974480311,1800
user8164424391655935516,1500
user899463647179981130,1800
user5817347222824138717,2100
user4158634127255442161,1800
user1921072577756444623,1500
user5701807185229948996,2000
user7210373757456704038,1700
user3831195372985627488,1600
user8270933710505888440,2200
user1247108695845445988,1700
user170810315202037199,2300
user3589499682657975106,2400
user7008189050113913013,1700
user9095604076270969037,2000
user2060726816035569879,1900
user4534737913330811670,2000
user6872442718124073107,1500
user5127644913318915695,1700
user3604678149740059045,1800
user8054690457105294372,1400
user281664170776959239,1500
user5238840414188136300,1600
user1945405093659222041,1500
user2885957142312790924,1600
user2056040634016302198,1900
user2056258949234144081,1700
user2413058046720302418,1600
user4993018502353356685,1900
user3690421213682221336,2100
user4520337721978710062,2400
user74793281414900533,1700
user2051354451997034517,2300
user5706493367249216677,1500
user3695449040995787582,1900
user2177168459436198613,2100
user4519777761466569614,1900
user3705941326058603840,2400
user397545853665447525,1500
user7239952415890889585,1600
user9110564228135211093,1600
user6419968232145076669,1500
user4509845436915893804,1800
user8964543926300396812,1900
user2750429125540792901,1600
user2759801489579328263,2100
user8762919179469746235,1900
user55146947531390796,2500
user5827061232156972644,1700
user6284221900155236763,1700
user2288022315011120653,2000
user653081774833061067,2100
user2277530029948304395,2200
user8280866035056564250,1600
user6390389573710891122,2300
user5692093175897115069,2100
user5012323190942567857,1700
user623503116398875520,1800
user5108340224729704523,1900
user8527247907403484313,2000
user3825949230454219359,2100
user4046878665874081108,1700
user1472505998066733535,2000
user1121294688406281892,1600
user7456755629803624101,1500
user4775873643146323604,2100
user3941830913342707645,2200
user9004054909285258169,1800
user9104976440309504399,1700
user5460329810120138497,1800
user4882382961996276528,1700
user4424102372973731513,2100
user1699801497042284309,2000
user1211723934367711864,2000
user995139035672819231,1900
user5918050438630543064,2000
user6757120995747725269,1400
user7692645217087727906,2100
user879817313296471393,2200
user4992116896546917672,1700
user6998256725563237203,1500
user4645373453687891827,1700
user7562145027629296129,2000
user8164984352168075964,1900
user4997363039078325801,2300
user7571517391667831491,1900
user6515985265932213335,2100
user6174146320310297054,1800
user1693995393998735732,1900
user6038618303538299031,1800
user2408030219406736172,1700
user4997144723860483918,2000
user1357184275690385697,1800
user1096402211991364026,2200
user195921106834796948,2200
user1332851759787608279,2400
user5585365541829320262,2800
user6053236810108242522,1600
user1931004902307120433,1500
user759031133170873543,2000
user5354162136564484138,1500
user9206239616628049194,2200
user2071219101098386137,1500
user980520529102875740,1800
user7114138408451725489,1800
user6636771446057811185,1500
user5470043819452972424,2300
user523359861104611621,1900
user3453971665885977083,2100
user6641239312859236983,2100
user5807414898273462907,2100
user3483550324320162630,1800
user7928876449666130276,1400
user5233594271656728171,1800
user2166676174373382355,2000
user1468038131265307737,1700
user2880710999781382795,1900
user2760361450091468711,2100
user402013720466873323,1600
user1834769553302141884,2000
user4057152635719055483,2400
user6174364635528138937,1900
user8652283639112666078,1600
user55488592825689361,1600
user3227796087934707205,1900
user1593852138704471833,1900
user4037506301835545746,2000
user3001278864689138762,2700
user3126532911616162410,2100
user8531715774204910111,1900
user7933562631685397957,2300
user6159186168446054998,2200
user1598320005505897631,2600
user6987982755718262828,2000
user1468379776559606302,2300
user8527029592185642430,2200
user8285552217075831931,2000
user1689869172491608499,2100
user4168348136588276088,1700
user8054348811810995807,2100
user6395635716242299251,2300
user176056457733445328,1900
user8049662629791728126,2600
user8184630686051585701,2200
user292156455839775497,2000
user6858042526771971499,2300
user64860956864224723,2600
