Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us)
0,load,500,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,449,0.0,0,NaN,9223372036854775807,0,0,0,1
1,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18429,271.3115198871344,5000,3578.7688,1575,32543,5099,7899,5000
1,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18380,2720.348204570185,50000,353.16122,178,78463,574,925,50000
1,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17601,2840.747684790637,50000,337.96434,152,21663,605,925,50000
1,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18225,2743.4842249657063,50000,349.9662,177,21855,599,927,50000
1,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18212,2745.4425653415333,50000,349.88566,169,20015,605,951,50000
2,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19578,255.38870160384104,5000,3810.9886,1631,29407,4951,5563,5000
2,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18866,2650.2703275734125,50000,363.00816,167,22831,599,970,50000
2,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18854,2651.9571443725467,50000,362.83256,179,21839,619,966,50000
2,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18280,2735.229759299781,50000,351.33508,178,23055,550,934,50000
2,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17388,2875.5463538072236,50000,333.78974,171,21311,564,963,50000
3,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20612,242.57713953037066,5000,4017.8594,1641,38015,5003,5639,5000
3,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18367,2722.273642946589,50000,352.97524,158,34911,635,963,50000
3,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18697,2674.225811627534,50000,359.94436,174,21663,603,993,50000
3,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18608,2687.0163370593295,50000,358.01616,177,22591,577,927,50000
3,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18473,2706.6529529583718,50000,355.21012,180,21839,571,967,50000
4,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21051,237.51840767659493,5000,4107.4486,1581,31599,5031,5727,5000
4,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18153,2754.365669586294,50000,348.76894,173,59199,594,955,50000
4,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18757,2665.6714826464786,50000,360.77408,184,21903,588,948,50000
4,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18533,2697.890249824637,50000,356.29714,183,21007,549,946,50000
4,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18590,2689.6180742334586,50000,357.4677,175,21151,585,961,50000
5,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21222,235.60456130430686,5000,4138.9234,1624,30447,5055,5603,5000
5,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19294,2591.479216336685,50000,371.36252,172,49311,634,975,50000
5,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18717,2671.368274830368,50000,360.08766,178,21855,596,953,50000
5,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18912,2643.824027072758,50000,364.14156,172,22047,614,963,50000
5,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18659,2679.672008146203,50000,358.61812,178,21743,578,956,50000
6,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21366,234.01666198633342,5000,4169.0376,1637,31711,5063,5867,5000
