Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=NOT_FOUND
0,load,100,true,uniform,INSERT,0,0,200,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,1234,81.03727714748784,0,100,8009.54,5080,140543,8119,13391,100,0
1,extend,100,true,uniform,EXTEND,0,0,200,0,0,0,NULL,5143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16025,312.01248049922,0,5000,3090.6774,808,226303,6187,8783,5000,0
1,run,100,true,uniform,READ,0,0,200,0,0,0,NULL,15071,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,5867,852.2243054371911,0,2517,692.6897099721891,136,9735,1556,2099,2517,0
1,run,100,true,uniform,UPDATE,0,0,200,0,0,0,NULL,15071,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,5867,852.2243054371911,0,2483,1456.9363672976237,430,31215,2505,3123,2483,0
1,reference,100,true,uniform,READ,0,0,200,0,0,0,NULL,5101,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,17682,282.77344191833504,0,2473,1456.527699150829,324,35167,3067,4327,2473,0
1,reference,100,true,uniform,UPDATE,0,0,200,0,0,0,NULL,5101,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,17682,282.77344191833504,0,2527,5357.8599129402455,1047,126975,10799,14807,2527,0
1,clean-run,100,true,uniform,READ,0,0,200,0,0,0,NULL,4228,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,11669,428.48573142514357,0,2456,1335.046009771987,253,46591,3521,4835,2456,0
1,clean-run,100,true,uniform,UPDATE,0,0,200,0,0,0,NULL,4228,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,11669,428.48573142514357,0,2544,3081.7885220125786,626,64735,11407,20063,2544,0
1,avg-run,100,true,uniform,READ,0,0,200,0,0,0,NULL,818,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,8900,561.7977528089888,0,2451,1228.8176254589964,206,58047,3015,4435,2451,0
1,avg-run,100,true,uniform,UPDATE,0,0,200,0,0,0,NULL,818,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,8900,561.7977528089888,0,2549,2098.0455080423694,681,35647,4439,5635,2549,0
