Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,43052,12944,1978,10658,1,0,0,0,0,282,25949,362523720,332401587,3669728508,7431666574,659770923,101877029,13979869971330,16235427796,2174906562,26305941,0.5,0.5,0,0,0,13012,768.521364893944,10000,1253.9785,844,14015,1641,1785,10000
1,extend,10000,true,zipfian,EXTEND,9324,1512317,323517,290764,105550,100023,85070,0,0,0,282,25949,362523720,332411989,3669753629,7431690484,659770923,101877029,13980143602330,16236147173,2174906567,26305941,0,0,0,0,1,124254,804.8030646900703,100000,1234.32439,276,10927,1678,2105,100000
1,run,10000,true,uniform,READ,14932,2499849,576160,514795,115748,150236,91525,0,0,0,282,25949,362523720,332415230,3669753629,7431691475,659770923,101877029,13980193236848,16236402695,2174906568,26305941,0.5,0.5,0,0,0,63009,1587.0748623212558,49809,113.66156718665302,26,12559,416,528,49809
1,run,10000,true,uniform,UPDATE,14932,2499849,576160,514795,115748,150236,91525,0,0,0,282,25949,362523720,332415230,3669753629,7431691475,659770923,101877029,13980193236848,16236402695,2174906568,26305941,0.5,0.5,0,0,0,63009,1587.0748623212558,50191,1129.6072602657846,325,7595,1533,1684,50191
1,reference,10000,true,uniform,READ,2849,618680,150331,111637,14424,50078,1562,0,0,0,282,25949,362523720,332421262,3669754819,7431696969,659770923,101877029,13980246772170,16236603054,2174906569,26305941,0.5,0.5,0,0,0,62128,1609.5802214782384,49945,103.607508259085,24,7075,405,517,49945
1,reference,10000,true,uniform,UPDATE,2849,618680,150331,111637,14424,50078,1562,0,0,0,282,25949,362523720,332421262,3669754819,7431696969,659770923,101877029,13980246772170,16236603054,2174906569,26305941,0.5,0.5,0,0,0,62128,1609.5802214782384,50055,1125.0741584257316,291,14903,1535,1696,50055
1,clean-run,10000,true,uniform,READ,567,956624,246310,211219,35074,49997,7607,0,4,385024,282,25950,362536830,332422100,3669757393,7431705850,659771123,101877036,13980346758615,16236899070,2174911854,26308458,0.5,0.5,0,0,0,61696,1620.850622406639,50004,111.78939684825214,27,12423,413,525,50004
1,clean-run,10000,true,uniform,UPDATE,567,956624,246310,211219,35074,49997,7607,0,4,385024,282,25950,362536830,332422100,3669757393,7431705850,659771123,101877036,13980346758615,16236899070,2174911854,26308458,0.5,0.5,0,0,0,61696,1620.850622406639,49996,1108.8238259060724,291,7211,1538,1697,49996
1,avg-run,10000,true,uniform,READ,643,2640275,714636,625424,77962,100123,20937,0,4,385024,282,25950,362536830,332422258,3669764801,7431712543,659771123,101877036,13980423278352,16237217656,2174911858,26308458,0.5,0.5,0,0,0,64693,1545.7622926746326,49900,127.88170340681363,29,16799,430,532,49900
1,avg-run,10000,true,uniform,UPDATE,643,2640275,714636,625424,77962,100123,20937,0,4,385024,282,25950,362536830,332422258,3669764801,7431712543,659771123,101877036,13980423278352,16237217656,2174911858,26308458,0.5,0.5,0,0,0,64693,1545.7622926746326,50100,1150.2986826347305,287,7667,1554,1696,50100
2,extend,10000,true,zipfian,EXTEND,96638,4876138,1220406,1109370,314847,250269,272563,0,0,0,282,25951,362539747,332476814,3669824156,7431791305,659771123,101877036,13980924182994,16238256324,2174929977,26308458,0,0,0,0,1,134682,742.4897165174262,100000,1337.84423,295,14767,1919,2997,100000
2,run,10000,true,uniform,READ,184325,7233515,1770101,1631154,338604,300141,290312,0,0,0,282,25951,362539793,332487087,3669853518,7431804931,659771123,101877036,13981001037897,16238645687,2174945359,26308458,0.5,0.5,0,0,0,63649,1571.116592562334,50161,120.84627499451766,31,6631,411,533,50161
2,run,10000,true,uniform,UPDATE,184325,7233515,1770101,1631154,338604,300141,290312,0,0,0,282,25951,362539793,332487087,3669853518,7431804931,659771123,101877036,13981001037897,16238645687,2174945359,26308458,0.5,0.5,0,0,0,63649,1571.116592562334,49839,1142.467605690323,407,15663,1542,1714,49839
2,reference,10000,true,uniform,READ,8765,1545669,386564,322262,38326,100075,8289,0,0,0,282,25951,362539822,332495531,3669859443,7431819445,659771123,101877036,13981085767126,16238905489,2174950231,26308458,0.5,0.5,0,0,0,64120,1559.5757953836558,50025,114.61533233383308,27,8815,414,522,50025
2,reference,10000,true,uniform,UPDATE,8765,1545669,386564,322262,38326,100075,8289,0,0,0,282,25951,362539822,332495531,3669859443,7431819445,659771123,101877036,13981085767126,16238905489,2174950231,26308458,0.5,0.5,0,0,0,64120,1559.5757953836558,49975,1155.151655827914,304,15799,1560,1725,49975
2,clean-run,10000,true,uniform,READ,740,1704390,424315,388984,71687,50008,19585,0,4,385024,282,25952,362550893,332495776,3669867444,7431839329,659923808,101877061,13981203460051,16239271142,2174951853,26312093,0.5,0.5,0,0,0,62281,1605.6261139031164,49993,120.27005780809313,33,8479,412,528,49993
2,clean-run,10000,true,uniform,UPDATE,740,1704390,424315,388984,71687,50008,19585,0,4,385024,282,25952,362550893,332495776,3669867444,7431839329,659923808,101877061,13981203460051,16239271142,2174951853,26312093,0.5,0.5,0,0,0,62281,1605.6261139031164,50007,1112.0743295938569,292,14039,1548,1706,50007
2,avg-run,10000,true,uniform,READ,821,4483977,1197845,1110062,143690,99931,43404,0,4,385024,282,25952,362550893,332495776,3669875591,7431847925,659923808,101877061,13981305468858,16239693754,2174954078,26312093,0.5,0.5,0,0,0,62105,1610.1763143064165,50092,117.42308152998483,31,12591,411,520,50092
2,avg-run,10000,true,uniform,UPDATE,821,4483977,1197845,1110062,143690,99931,43404,0,4,385024,282,25952,362550893,332495776,3669875591,7431847925,659923808,101877061,13981305468858,16239693754,2174954078,26312093,0.5,0.5,0,0,0,62105,1610.1763143064165,49908,1114.1275547006492,292,7383,1532,1691,49908
3,extend,10000,true,zipfian,EXTEND,380576,10699095,2710012,2505043,596558,400174,536201,0,0,0,282,25953,362552804,332557959,3669978223,7431974577,659923808,101877061,13981962578667,16240991310,2175001117,26312093,0,0,0,0,1,138991,719.4710448877985,100000,1380.99994,303,36415,2109,3503,100000
3,run,10000,true,uniform,READ,514270,13064068,3279749,3043493,627882,450041,562824,0,0,0,282,25953,362552804,332583848,3670047649,7432064739,659923808,101877061,13982040612061,16241374334,2175001176,26312093,0.5,0.5,0,0,0,64543,1549.3546937700448,50144,128.27155791320996,36,15639,413,541,50144
3,run,10000,true,uniform,UPDATE,514270,13064068,3279749,3043493,627882,450041,562824,0,0,0,282,25953,362552804,332583848,3670047649,7432064739,659923808,101877061,13982040612061,16241374334,2175001176,26312093,0.5,0.5,0,0,0,64543,1549.3546937700448,49856,1152.1440348202825,353,12119,1544,1751,49856
3,reference,10000,true,uniform,READ,36925,2794108,721440,621735,72072,149785,23823,0,0,0,282,25953,362553141,332595191,3670067388,7432101431,660097716,101877081,13982139724907,16241695777,2175007763,26312093,0.5,0.5,0,0,0,64416,1552.4093392945852,50301,117.13777062086241,28,16975,406,524,50301
3,reference,10000,true,uniform,UPDATE,36925,2794108,721440,621735,72072,149785,23823,0,0,0,282,25953,362553141,332595191,3670067388,7432101431,660097716,101877081,13982139724907,16241695777,2175007763,26312093,0.5,0.5,0,0,0,64416,1552.4093392945852,49699,1164.6422463228637,312,14575,1562,1757,49699
