Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,6253,2647,1552,1046,1,0,0,0,0,545,42372,385076350,559138104,6434975901,11793076642,1116930180,168790708,22792947303379,26723448116,3542096328,78324244,0.5,0.5,0,0,0,1757,569.1519635742743,1000,1376.399,928,17999,1736,1923,1000
1,extend,1000,true,uniform,EXTEND,2,86046,17631,13365,2284,10001,222,0,0,0,545,42372,385076350,559138114,6434975901,11793077425,1116930180,168790708,22792958096604,26723487294,3542096337,78324244,0,0,0,0,1,13352,748.9514679448772,10000,1289.4814,729,15863,1644,1764,10000
1,run,1000,true,uniform,READ,2,675482,216255,209543,2402,10012,304,0,0,0,545,42372,385076350,559138114,6434975901,11793077473,1116930180,168790708,22792958601232,26723489895,3542096338,78324244,1,0,0,0,0,4775,20942.40837696335,100000,43.25876,26,13111,59,90,100000
1,reference,1000,true,uniform,READ,1,307696,105043,102067,1119,1,0,0,0,0,545,42372,385076350,559138114,6434975901,11793077473,1116930180,168790708,22792958601232,26723489895,3542096338,78324244,1,0,0,0,0,4080,24509.803921568626,100000,35.93196,24,12535,46,72,100000
1,clean-run,1000,true,uniform,READ,8,577168,192932,190968,2063,1,0,0,0,0,545,42373,385078266,559138114,6434977176,11793078796,1116930209,168790727,22792965597360,26723493600,3542097279,78324267,1,0,0,0,0,4512,22163.120567375885,100000,40.25981,26,14103,52,82,100000
1,avg-run,1000,true,uniform,READ,10,1201254,403636,397619,4063,5,0,0,0,0,545,42373,385078266,559138114,6434977176,11793079096,1116930209,168790727,22792968073623,26723498636,3542097281,78324267,1,0,0,0,0,4241,23579.34449422306,100000,37.6051,28,12703,49,82,100000
2,extend,1000,true,uniform,EXTEND,2,783967,261272,229174,6637,20012,2373,0,0,0,545,42373,385078266,559138114,6434977176,11793079409,1116930209,168790727,22792980247231,26723545382,3542097989,78324267,0,0,0,0,1,13878,720.5649228995533,10000,1343.0767,766,8567,1670,1800,10000
2,run,1000,true,uniform,READ,2,2037346,681051,646507,6806,20023,2491,0,0,0,545,42373,385078266,559138114,6434977176,11793079449,1116930209,168790727,22792981081605,26723548711,3542098033,78324267,1,0,0,0,0,5384,18573.551263001485,100000,49.14399,27,13103,62,102,100000
2,reference,1000,true,uniform,READ,1,610134,208287,203288,1119,1,0,0,0,0,545,42373,385078266,559138114,6434977176,11793079449,1116930209,168790727,22792981081605,26723548711,3542098033,78324267,1,0,0,0,0,3808,26260.504201680673,100000,33.21987,24,16071,44,72,100000
2,clean-run,1000,true,uniform,READ,8,1206371,399289,397245,4149,1,0,0,0,0,545,42374,385079431,559138114,6434978240,11793080925,1116930221,168790733,22792989556991,26723556803,3542098975,78324290,1,0,0,0,0,4998,20008.003201280513,100000,45.23591,27,13487,61,92,100000
2,avg-run,1000,true,uniform,READ,10,2776071,920363,914266,9149,5,0,0,0,0,545,42374,385079431,559138114,6434978240,11793081375,1116930221,168790733,22792993472354,26723567847,3542098977,78324290,1,0,0,0,0,5426,18429.782528566164,100000,49.57472,34,13143,70,101,100000
3,extend,1000,true,uniform,EXTEND,2,2180912,733842,672117,12299,30023,6422,0,0,0,545,42374,385079431,559138114,6434978240,11793081917,1116930221,168790733,22793009340446,26723620266,3542099984,78324290,0,0,0,0,1,13605,735.023888276369,10000,1314.4391,850,10175,1673,1788,10000
3,run,1000,true,uniform,READ,2,3914755,1313210,1249039,12519,30034,6591,0,0,0,545,42374,385079431,559138114,6434978240,11793081923,1116930221,168790733,22793010444577,26723625216,3542100042,78324290,1,0,0,0,0,5959,16781.339150864238,100000,55.13866,33,13031,70,110,100000
3,reference,1000,true,uniform,READ,1,912645,312421,304523,1119,1,0,0,0,0,545,42374,385079431,559138114,6434978240,11793081923,1116930221,168790733,22793010444577,26723625216,3542100042,78324290,1,0,0,0,0,3818,26191.723415400735,100000,33.51626,24,13199,44,73,100000
3,clean-run,1000,true,uniform,READ,8,1670363,550872,548908,5709,1,0,0,0,0,545,42375,385081161,559138114,6434979813,11793083538,1116930237,168790738,22793020289203,26723636595,3542100983,78324333,1,0,0,0,0,6327,15805.2789631737,100000,58.63606,33,12687,79,114,100000
3,avg-run,1000,true,uniform,READ,10,3871499,1279276,1273259,12709,5,0,0,0,0,545,42375,385081161,559138114,6434979813,11793084154,1116930237,168790738,22793025499126,26723651645,3542100985,78324333,1,0,0,0,0,6548,15271.838729383018,100000,60.66491,39,14439,80,110,100000
4,extend,1000,true,uniform,EXTEND,2,4079104,1369561,1278710,18728,40034,11765,0,0,0,545,42375,385081161,559138114,6434979813,11793084463,1116930237,168790738,22793043870035,26723706692,3542102269,78324333,0,0,0,0,1,14238,702.345835089198,10000,1376.7331,829,8255,1699,1816,10000
