Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,39311,12848,1876,10118,1,0,0,0,0,469,34543,372741886,443508423,5128824165,10072028019,888578268,137633903,18596809402488,21614824225,2875038919,59373972,1,0,0,0,0,13295,752.162467092892,10000,1283.0622,830,17183,1655,1785,10000
1,extend,10000,true,zipfian,EXTEND,7,1410425,303483,272611,99745,100023,83030,0,0,0,469,34543,372741886,443510911,5128839762,10072042620,888578268,137633903,18597069027036,21615503636,2875038923,59373972,0,0,0,0,1,131791,758.7771547374251,100000,1308.77015,398,11991,1726,2197,100000
1,run,10000,true,uniform,READ,120,1972126,502782,451464,99857,100034,83132,0,0,0,469,34543,372741886,443510911,5128839762,10072042737,888578268,137633903,18597071677972,21615544051,2875038923,59373972,1,0,0,0,0,5387,18563.207722294414,100000,48.98909,28,13703,68,130,100000
1,reference,10000,true,uniform,READ,902,342020,124838,102110,10119,1,0,0,0,0,469,34543,372741886,443510929,5128839762,10072043640,888578268,137633903,18597071678167,21615544053,2875038923,59373972,1,0,0,0,0,4182,23912.003825920612,100000,36.71755,26,13839,48,80,100000
1,clean-run,10000,true,uniform,READ,447,534287,179499,168530,16546,1,0,0,4,385024,469,34544,372756361,443511029,5128840636,10072049331,888578403,137633919,18597099739441,21615564248,2875039910,59375521,1,0,0,0,0,4880,20491.803278688523,100000,44.18415,28,13015,58,118,100000
1,avg-run,10000,true,uniform,READ,449,1326835,455145,404123,36546,5,0,0,4,385024,469,34544,372756361,443511029,5128840636,10072052315,888578403,137633919,18597124640625,21615614489,2875039941,59375521,1,0,0,0,0,4832,20695.364238410595,100000,43.29501,30,14175,54,89,100000
2,extend,10000,true,zipfian,EXTEND,125421,4268601,1165924,1058838,349738,200056,316348,0,0,0,469,34545,372757802,443565881,5128956994,10072141717,888578403,137633919,18597745431143,21616879667,2875082663,59375521,0,0,0,0,1,132125,756.8590350047303,100000,1313.16113,412,43647,2217,3345,100000
2,run,10000,true,uniform,READ,166999,5645677,1564627,1437095,349882,200067,316490,0,0,0,469,34545,372757810,443568153,5128978963,10072153962,888578403,137633919,18597749393325,21616930071,2875082922,59375521,1,0,0,0,0,5979,16725.204883759827,100000,54.84402,29,13687,85,164,100000
2,reference,10000,true,uniform,READ,2711,642726,248752,203373,10119,1,0,0,0,0,469,34545,372757813,443570138,5128979186,10072155642,888578403,137633919,18597749393325,21616930071,2875082922,59375521,1,0,0,0,0,4323,23132.084200786492,100000,38.23167,26,16431,49,81,100000
2,clean-run,10000,true,uniform,READ,586,1106963,354804,343835,32457,1,0,0,4,385024,469,34546,372762807,443570575,5128979187,10072167129,888611740,137633938,18597790424533,21616983620,2875083912,59379149,1,0,0,0,0,6068,16479.894528675017,100000,56.08709,29,12439,77,167,100000
