Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,155,6099,2647,1552,1046,1,0,0,0,0,554,42474,385855153,559792678,6438311055,11801805679,1117211190,168791788,22816292869313,26754419120,3543261839,78843929,1,0,0,0,0,1700,588.2352941176471,1000,1320.599,844,17247,1780,2101,1000
1,extend,1000,true,zipfian,EXTEND,230,95786,19730,15506,3204,10001,1265,0,0,0,554,42474,385855153,559792690,6438311055,11801806674,1117211190,168791788,22816304923623,26754461634,3543261849,78843929,0,0,0,0,1,13640,733.1378299120234,10000,1316.9071,754,10039,1654,1770,10000
1,run,1000,true,uniform,READ,230,642715,205965,199295,3316,10012,1347,0,0,0,554,42474,385855153,559792690,6438311055,11801806716,1117211190,168791788,22816305437527,26754464621,3543261849,78843929,1,0,0,0,0,4824,20729.684908789386,100000,43.50082,26,13095,62,118,100000
1,reference,1000,true,uniform,READ,2,307695,105043,102067,1119,1,0,0,0,0,554,42474,385855153,559792690,6438311055,11801806716,1117211190,168791788,22816305437527,26754464621,3543261849,78843929,1,0,0,0,0,3825,26143.7908496732,100000,33.37165,24,15487,43,71,100000
1,clean-run,1000,true,uniform,READ,8,531792,179984,178020,1933,1,0,0,0,0,554,42475,385856982,559792690,6438312475,11801808449,1117211218,168791834,22816312395816,26754468064,3543262789,78843952,1,0,0,0,0,5200,19230.76923076923,100000,47.40244,26,12855,63,117,100000
1,avg-run,1000,true,uniform,READ,10,1155018,390404,384387,3933,5,0,0,0,0,554,42475,385856982,559792690,6438312475,11801808771,1117211218,168791834,22816314872079,26754473100,3543262791,78843952,1,0,0,0,0,4296,23277.467411545626,100000,38.23914,27,13503,56,85,100000
2,extend,1000,true,zipfian,EXTEND,539,768219,255339,223053,9344,20012,5544,0,0,0,554,42475,385856982,559792690,6438312475,11801809475,1117211218,168791834,22816331297621,26754524917,3543263615,78843952,0,0,0,0,1,13240,755.2870090634441,10000,1278.0576,823,9895,1642,1777,10000
2,run,1000,true,uniform,READ,539,1857746,627560,592828,9502,20023,5656,0,0,0,554,42475,385856982,559792690,6438312475,11801809514,1117211218,168791834,22816332151236,26754529752,3543263656,78843952,1,0,0,0,0,5931,16860.56314280897,100000,54.63819,27,13175,75,149,100000
2,reference,1000,true,uniform,READ,5,610130,208287,203288,1119,1,0,0,0,0,554,42475,385856982,559792690,6438312475,11801809514,1117211218,168791834,22816332151236,26754529752,3543263656,78843952,1,0,0,0,0,3676,27203.48204570185,100000,32.26778,24,12031,48,82,100000
2,clean-run,1000,true,uniform,READ,8,1058364,358381,356417,3730,1,0,0,0,0,554,42476,385858661,559792690,6438313922,11801811022,1117211237,168791841,22816340527063,26754537001,3543264597,78843974,1,0,0,0,0,5155,19398.642095053347,100000,46.95198,27,15007,72,150,100000
2,avg-run,1000,true,uniform,READ,10,2625174,878579,872562,8730,5,0,0,0,0,554,42476,385858661,559792690,6438313922,11801811472,1117211237,168791841,22816344493838,26754548236,3543264652,78843974,1,0,0,0,0,5451,18345.2577508714,100000,49.53812,34,14183,61,96,100000
3,extend,1000,true,zipfian,EXTEND,539,2016621,685815,624367,18122,30023,12786,0,0,0,554,42476,385858661,559792690,6438313922,11801812177,1117211237,168791841,22816366298717,26754609486,3543266037,78843974,0,0,0,0,1,12768,783.2080200501254,10000,1230.4417,831,10623,1624,1794,10000
3,run,1000,true,uniform,READ,539,3550101,1211624,1147730,18319,30034,12944,0,0,0,554,42476,385858661,559792690,6438313922,11801812179,1117211237,168791841,22816367457021,26754616431,3543266101,78843974,1,0,0,0,0,6606,15137.753557372085,100000,61.436,30,13255,87,183,100000
3,reference,1000,true,uniform,READ,5,912641,312421,304523,1119,1,0,0,0,0,554,42476,385858661,559792690,6438313922,11801812179,1117211237,168791841,22816367457021,26754616431,3543266101,78843974,1,0,0,0,0,4011,24931.438544003988,100000,35.40759,24,11343,49,82,100000
3,clean-run,1000,true,uniform,READ,8,1484850,503502,501538,5221,1,0,0,0,0,554,42477,385861063,559792690,6438315649,11801813784,1117211259,168791846,22816377182816,26754626818,3543267042,78844057,1,0,0,0,0,6554,15257.857796765335,100000,60.92387,31,11431,84,180,100000
3,avg-run,1000,true,uniform,READ,10,3682322,1230838,1224821,12221,5,0,0,0,0,554,42477,385861063,559792690,6438315649,11801814400,1117211259,168791846,22816382392739,26754641868,3543267044,78844057,1,0,0,0,0,5719,17485.574401119076,100000,52.49099,38,15703,69,102,100000
4,extend,1000,true,zipfian,EXTEND,539,3734027,1275285,1185266,28844,40034,22327,0,0,0,554,42477,385861063,559792690,6438315649,11801815089,1117211259,168791846,22816409312759,26754709464,3543268857,78844057,0,0,0,0,1,12746,784.5598619174643,10000,1228.4498,851,8035,1649,1835,10000
4,run,1000,true,uniform,READ,539,5593522,1918215,1824874,29080,40045,22524,0,0,0,554,42477,385861063,559792690,6438315649,11801815150,1117211259,168791846,22816410837597,26754718796,3543268999,78844057,1,0,0,0,0,6750,14814.814814814816,100000,62.73084,32,13423,95,205,100000
4,reference,1000,true,uniform,READ,5,1215079,415665,405744,1119,1,0,0,0,0,554,42477,385861063,559792690,6438315649,11801815150,1117211259,168791846,22816410837597,26754718796,3543268999,78844057,1,0,0,0,0,3843,26021.337496747332,100000,33.93194,24,13271,47,77,100000
4,clean-run,1000,true,uniform,READ,8,1803844,615488,613444,6371,1,0,0,0,0,554,42478,385864215,559792690,6438317744,11801816902,1117211290,168791854,22816421866894,26754731656,3543269941,78844197,1,0,0,0,0,6923,14444.604940054889,100000,64.86388,31,12847,92,206,100000
4,avg-run,1000,true,uniform,READ,10,4318909,1447274,1441177,14371,5,0,0,0,0,554,42478,385864215,559792690,6438317744,11801817687,1117211290,168791854,22816428226053,26754748709,3543269943,78844197,1,0,0,0,0,6026,16594.75605708596,100000,55.60661,42,12999,71,116,100000
5,extend,1000,true,zipfian,EXTEND,539,5799502,1988388,1868975,42043,50045,34599,0,0,0,554,42478,385864215,559792690,6438317744,11801818480,1117211290,168791854,22816460987027,26754823739,3543272196,78844197,0,0,0,0,1,13434,744.3799315170463,10000,1300.1215,854,8951,1718,1969,10000
5,run,1000,true,uniform,READ,539,7902440,2723311,2601452,42311,50056,34835,0,0,0,554,42478,385864215,559792690,6438317744,11801818481,1117211290,168791854,22816462761319,26754835118,3543272339,78844197,1,0,0,0,0,7171,13945.056477478734,100000,66.91138,34,14023,91,223,100000
5,reference,1000,true,uniform,READ,5,1517590,519799,506979,1119,1,0,0,0,0,554,42478,385864215,559792690,6438317744,11801818481,1117211290,168791854,22816462761319,26754835118,3543272339,78844197,1,0,0,0,0,3851,25967.281225655675,100000,33.55863,21,13999,43,74,100000
5,clean-run,1000,true,uniform,READ,8,2053520,706795,704831,7315,1,0,0,0,0,554,42479,385868132,559792690,6438320208,11801820402,1117211329,168791861,22816475031681,26754850011,3543273280,78844570,1,0,0,0,0,7293,13711.778417660771,100000,68.22026,34,13391,94,216,100000
5,avg-run,1000,true,uniform,READ,10,4573723,1540603,1534586,15315,5,0,0,0,0,554,42479,385868132,559792690,6438320208,11801821271,1117211329,168791861,22816482390840,26754867064,3543273282,78844570,1,0,0,0,0,7477,13374.348000534974,100000,70.36179,44,12815,91,124,100000
