Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,1000,true,uniform,INSERT,1,5297,1085,998,1046,1,0,0,0,0,169,677,1332439,9717520,78166856,433343003,21646571,1391825,281317029392,272754154,36101919,3220981,0,0,0,1,0,1868,535.3319057815846,1000,1358.048,909,10479,1718,1841,1000
1,extend,1000,true,uniform,EXTEND,2,113485,27348,23888,1962,10001,143,0,0,0,169,677,1332439,9717520,78166856,433343790,21646571,1391825,281327011934,272790909,36101924,3220981,0,0,0,0,1,13875,720.7207207207207,10000,1343.6861,854,15887,1978,2137,10000
1,run,1000,true,uniform,READ,2,629753,201789,195604,1962,10001,143,0,0,0,169,677,1332439,9717520,78166856,433343793,21646571,1391825,281327024993,272791116,36101924,3220981,1,0,0,0,0,3921,25503.69803621525,100000,34.61104,22,13399,51,86,100000
1,reference,1000,true,uniform,READ,1,306668,103425,101457,1119,1,0,0,0,0,169,677,1332439,9717520,78166856,433343793,21646571,1391825,281327025354,272791121,36101924,3220981,1,0,0,0,0,3247,30797.65937788728,100000,27.70844,18,12015,39,73,100000
1,clean-run,1000,true,uniform,READ,8,507515,169339,168252,1718,1,0,0,0,0,169,678,1334325,9717520,78168093,433345082,21646611,1391843,281333699131,272794145,36102869,3221009,1,0,0,0,0,4038,24764.735017335315,100000,35.80771,19,13391,48,76,100000
1,avg-run,1000,true,uniform,READ,10,1118581,373789,369640,3718,5,0,0,0,0,169,678,1334325,9717520,78168093,433345381,21646611,1391843,281336095394,272799181,36102871,3221009,1,0,0,0,0,3705,26990.55330634278,100000,32.27349,22,11375,43,78,100000
2,extend,1000,true,uniform,EXTEND,2,813690,272436,240464,5842,20001,1935,0,0,0,169,678,1334325,9717520,78168093,433346041,21646611,1391843,281349746179,272844876,36103568,3221009,0,0,0,0,1,14782,676.4984440535786,10000,1433.4017,872,16031,2031,2189,10000
2,run,1000,true,uniform,READ,2,1953534,654345,620058,5842,20001,1935,0,0,0,169,678,1334325,9717520,78168093,433346041,21646611,1391843,281349762569,272845134,36103568,3221009,1,0,0,0,0,4495,22246.94104560623,100000,40.22894,24,14855,53,88,100000
2,reference,1000,true,uniform,READ,1,609164,206695,202687,1119,1,0,0,0,0,169,678,1334325,9717520,78168093,433346041,21646611,1391843,281349762569,272845134,36103568,3221009,1,0,0,0,0,3694,27070.92582566324,100000,31.99471,21,12255,46,78,100000
2,clean-run,1000,true,uniform,READ,8,1122392,371432,369468,3872,1,0,0,0,0,169,679,1335680,9717520,78169423,433347492,21646628,1391849,281358046562,272852650,36104508,3221036,1,0,0,0,0,4921,20321.0729526519,100000,44.41299,23,12063,59,93,100000
2,avg-run,1000,true,uniform,READ,10,2649258,876804,871778,8872,5,0,0,0,0,169,679,1335680,9717520,78169423,433347935,21646628,1391849,281361881895,272863693,36104510,3221036,1,0,0,0,0,4602,21729.6827466319,100000,41.04982,28,16495,59,95,100000
3,extend,1000,true,uniform,EXTEND,2,2234254,751989,690632,11228,30012,5636,0,0,0,169,679,1335680,9717520,78169423,433348259,21646628,1391849,281377769751,272919084,36105916,3221036,0,0,0,0,1,15020,665.7789613848203,10000,1457.2493,785,18351,2027,2197,10000
3,run,1000,true,uniform,READ,2,3852551,1293645,1231016,11228,30012,5636,0,0,0,169,679,1335680,9717520,78169423,433348262,21646628,1391849,281377783661,272919304,36105916,3221036,1,0,0,0,0,4949,20206.10224287735,100000,44.79772,26,12703,60,98,100000
3,reference,1000,true,uniform,READ,1,911733,310855,303931,1119,1,0,0,0,0,169,679,1335680,9717520,78169423,433348262,21646628,1391849,281377783661,272919304,36105916,3221036,1,0,0,0,0,3902,25627.883136852895,100000,34.20144,21,14207,45,77,100000
3,clean-run,1000,true,uniform,READ,8,1588443,523493,522406,5261,1,0,0,0,0,169,680,1337425,9717520,78170747,433349802,21646648,1391855,281386950493,272929441,36106855,3221064,1,0,0,0,0,4807,20802.99563137092,100000,43.28729,25,12959,64,99,100000
3,avg-run,1000,true,uniform,READ,10,3745128,1235224,1230198,12484,5,0,0,0,0,169,680,1337425,9717520,78170747,433350470,21646648,1391855,281392549992,272945276,36106858,3221064,1,0,0,0,0,5053,19790.223629527012,100000,45.69822,30,14983,58,93,100000
4,extend,1000,true,uniform,EXTEND,2,4177320,1404146,1315642,17296,40012,10596,0,0,0,169,680,1337425,9717520,78170747,433351391,21646648,1391855,281413369304,273000037,36108301,3221064,0,0,0,0,1,15519,644.3714156840002,10000,1505.9147,882,17631,2049,2233,10000
4,run,1000,true,uniform,READ,2,6127737,2056403,1966595,17296,40012,10596,0,0,0,169,680,1337425,9717520,78170747,433351391,21646648,1391855,281413383911,273000268,36108301,3221064,1,0,0,0,0,5814,17199.862401100792,100000,53.57422,30,13879,72,108,100000
4,reference,1000,true,uniform,READ,1,1214229,414125,405161,1119,1,0,0,0,0,169,680,1337425,9717520,78170747,433351391,21646648,1391855,281414798211,273007651,36108563,3221064,1,0,0,0,0,3661,27314.94127287626,100000,31.77621,21,13791,46,80,100000
4,clean-run,1000,true,uniform,READ,8,1920620,632307,631220,6343,1,0,0,0,0,169,681,1340163,9717520,78173061,433353124,21646674,1391860,281425149471,273019968,36109505,3221125,1,0,0,0,0,5101,19603.99921584003,100000,46.23287,27,14807,62,101,100000
4,avg-run,1000,true,uniform,READ,10,4385886,1445066,1440040,14616,5,0,0,0,0,169,681,1340163,9717520,78173061,433353942,21646674,1391860,281432013603,273038039,36109508,3221125,1,0,0,0,0,5267,18986.14011771407,100000,47.82728,32,15095,70,102,100000
5,extend,1000,true,uniform,EXTEND,2,6516400,2184429,2068198,24148,50023,16587,0,0,0,169,681,1340163,9717520,78173061,433353997,21646674,1391860,281451767501,273094508,36111220,3221125,0,0,0,0,1,14877,672.1785306177321,10000,1441.4942,710,18335,2040,2215,10000
5,run,1000,true,uniform,READ,2,8695054,2912943,2795406,24148,50023,16587,0,0,0,169,681,1340163,9717520,78173061,433354000,21646674,1391860,281451782399,273094742,36111220,3221125,1,0,0,0,0,5848,17099.86320109439,100000,53.94018,32,13623,70,108,100000
5,reference,1000,true,uniform,READ,1,1516798,518285,506405,1119,1,0,0,0,0,169,681,1340163,9717520,78173061,433354000,21646674,1391860,281451782399,273094742,36111220,3221125,1,0,0,0,0,3554,28137.310073157005,100000,30.58301,18,10863,41,71,100000
5,clean-run,1000,true,uniform,READ,8,2169950,714165,712201,7410,1,0,0,0,0,169,682,1342533,9717520,78174739,433355911,21646697,1391864,281463896813,273109799,36112160,3221349,1,0,0,0,0,5256,19025.875190258754,100000,47.81825,30,14839,69,111,100000
5,avg-run,1000,true,uniform,READ,10,4612814,1520242,1515216,15410,5,0,0,0,0,169,682,1342533,9717520,78174739,433356780,21646697,1391864,281471175972,273126852,36112162,3221349,1,0,0,0,0,5687,17583.963425356076,100000,52.09625,33,13855,72,108,100000
6,extend,1000,true,uniform,EXTEND,2,9113082,3049880,2906133,31526,60034,23352,0,0,0,169,682,1342533,9717520,78174739,433357561,21646697,1391864,281497874742,273194475,36114638,3221349,0,0,0,0,1,15788,633.3924499619965,10000,1531.4131,767,18159,2083,2303,10000
6,run,1000,true,uniform,READ,2,11452365,3832038,3686886,31526,60034,23352,0,0,0,169,682,1342533,9717520,78174739,433357561,21646697,1391864,281497880069,273194562,36114638,3221349,1,0,0,0,0,6205,16116.035455278,100000,57.30391,32,14247,75,116,100000
6,reference,1000,true,uniform,READ,1,1819294,621555,607635,1119,1,0,0,0,0,169,682,1342533,9717520,78174739,433357561,21646697,1391864,281497880069,273194562,36114638,3221349,1,0,0,0,0,3653,27374.76047084588,100000,31.7041,21,13199,45,75,100000
6,clean-run,1000,true,uniform,READ,8,2326351,765079,763992,7672,1,0,0,0,0,169,683,1346098,9717520,78177404,433359533,21646730,1391873,281510404031,273209553,36115577,3221666,1,0,0,0,0,5903,16940.53870913095,100000,54.22494,32,12999,72,115,100000
6,avg-run,1000,true,uniform,READ,10,5103087,1680359,1675253,17045,22,0,0,0,0,169,683,1346098,9717520,78177404,433360590,21646730,1391873,281519656464,273230114,36115581,3221666,1,0,0,0,0,5864,17053.20600272851,100000,54.09229,34,13303,74,116,100000
7,extend,1000,true,uniform,EXTEND,2,11858370,3966959,3796294,38984,70034,30378,0,0,0,169,683,1346098,9717520,78177404,433360611,21646730,1391873,281543860978,273289154,36118017,3221666,0,0,0,0,1,14896,671.3211600429646,10000,1443.4511,749,14991,2049,2251,10000
7,run,1000,true,uniform,READ,2,14326449,4792326,4620438,38984,70034,30378,0,0,0,169,683,1346098,9717520,78177404,433360611,21646730,1391873,281543876588,273289398,36118017,3221666,1,0,0,0,0,6156,16244.314489928525,100000,56.72555,33,15007,75,111,100000
7,reference,1000,true,uniform,READ,1,2121863,725715,708879,1119,1,0,0,0,0,169,683,1346098,9717520,78177404,433360611,21646730,1391873,281543876588,273289398,36118017,3221666,1,0,0,0,0,3795,26350.461133069828,100000,33.43531,19,13319,46,77,100000
7,clean-run,1000,true,uniform,READ,8,2462603,809921,808834,8122,1,0,0,0,0,169,684,1349076,9717520,78179557,433362704,21646764,1391879,281557463959,273305293,36118956,3222142,1,0,0,0,0,5969,16753.224995811695,100000,55.2158,33,13703,74,127,100000
7,avg-run,1000,true,uniform,READ,10,5210643,1715368,1710342,17122,5,0,0,0,0,169,684,1349076,9717520,78179557,433363880,21646764,1391879,281566888474,273324353,36118958,3222142,1,0,0,0,0,5942,16829.350387075057,100000,54.58544,35,14919,68,108,100000
8,extend,1000,true,uniform,EXTEND,2,14779324,4938937,4741502,47135,80045,38118,0,0,0,169,684,1349076,9717520,78179557,433364057,21646764,1391879,281598492427,273394468,36122108,3222142,0,0,0,0,1,15904,628.7726358148893,10000,1542.6028,870,17359,2097,2329,10000
8,run,1000,true,uniform,READ,2,17357046,5801301,5602633,47135,80045,38118,0,0,0,169,684,1349076,9717520,78179557,433364057,21646764,1391879,281598508159,273394714,36122108,3222142,1,0,0,0,0,6470,15455.950540958269,100000,60.20666,35,14207,87,152,100000
8,reference,1000,true,uniform,READ,1,2424432,829875,810123,1119,1,0,0,0,0,169,684,1349076,9717520,78179557,433364057,21646764,1391879,281598508159,273394714,36122108,3222142,1,0,0,0,0,3442,29052.87623474724,100000,29.49855,18,11911,41,72,100000
8,clean-run,1000,true,uniform,READ,8,2598267,854534,852570,8914,1,0,0,0,0,169,685,1352533,9717520,78182122,433366371,21646794,1391884,281614043962,273413208,36123048,3222815,1,0,0,0,0,6195,16142.050040355125,100000,57.09433,33,14271,80,153,100000
8,avg-run,1000,true,uniform,READ,10,5347086,1761061,1756035,17914,5,0,0,0,0,169,685,1352533,9717520,78182122,433367658,21646794,1391884,281624467685,273432263,36123050,3222815,1,0,0,0,0,5818,17188.037126160194,100000,53.63793,38,14783,72,129,100000
9,extend,1000,true,uniform,EXTEND,2,17790181,5944683,5721036,55180,90045,45885,0,0,0,169,685,1352533,9717520,78182122,433368636,21646794,1391884,281655924339,273493358,36125699,3222815,0,0,0,0,1,15474,646.2453147214683,10000,1502.4452,859,17567,2063,2289,10000
9,run,1000,true,uniform,READ,2,20475418,6840096,6614375,55593,90056,46262,0,0,0,169,685,1352533,9717520,78182122,433368660,21646794,1391884,281658492928,273506178,36126075,3222815,1,0,0,0,0,6786,14736.221632773357,100000,63.0355,36,14255,90,155,100000
9,reference,1000,true,uniform,READ,1,2726928,933145,911353,1119,1,0,0,0,0,169,685,1352533,9717520,78182122,433368660,21646794,1391884,281658492928,273506178,36126075,3222815,1,0,0,0,0,3627,27570.995312930798,100000,31.7073,21,12823,42,76,100000
9,clean-run,1000,true,uniform,READ,8,2671421,879504,878417,8819,1,0,0,0,0,169,686,1356935,9717520,78185860,433371016,21646852,1391899,281674183776,273523480,36127014,3223580,1,0,0,0,0,6124,16329.196603527107,100000,56.41424,34,16207,82,148,100000
9,avg-run,1000,true,uniform,READ,10,5740510,1890815,1885789,19243,5,0,0,0,0,169,686,1356935,9717520,78185860,433372614,21646852,1391899,281686703412,273546528,36127017,3223580,1,0,0,0,0,6343,15765.410688948446,100000,58.64335,39,14175,79,112,100000
10,extend,1000,true,uniform,EXTEND,2,20917589,6986269,6734911,63835,100056,54271,0,0,0,169,686,1356935,9717520,78185860,433372636,21646852,1391899,281714899891,273607705,36130260,3223580,0,0,0,0,1,15261,655.265054714632,10000,1479.717,781,15327,2040,2223,10000
