Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,1,37917,2141,1177,10119,1,0,0,0,0,217,19657,355736707,249227874,2610441501,5310513421,498092051,74691846,10575542612585,12432445116,1627190656,15657887,1,0,0,0,0,12857,777.7864198491094,10000,1228.4036,820,10975,1539,1632,10000
1,extend,10000,true,zipfian,EXTEND,637,2307218,1075574,1055498,92723,100023,77316,0,0,0,217,19657,355736707,249230503,2610457226,5310529095,498092051,74691846,10575784327489,12433104699,1627190660,15657887,0,0,0,0,1,122955,813.3056809401813,100000,1222.31498,323,15231,1834,2105,100000
1,run,10000,true,uniform,READ,742,2807277,1255091,1214569,92819,100034,77409,0,0,0,217,19657,355736707,249230503,2610457226,5310529204,498092051,74691846,10575786344888,12433135170,1627190660,15657887,1,0,0,0,0,3440,29069.767441860466,100000,30.03457,20,9839,42,91,100000
1,reference,10000,true,uniform,READ,1548,340309,114543,101822,10181,12,62,0,0,0,217,19657,355736707,249231738,2610457226,5310530683,498092051,74691846,10575786344938,12433135171,1627190660,15657887,1,0,0,0,0,3617,27647.22145424385,100000,31.79101,20,10199,42,70,100000
1,clean-run,10000,true,uniform,READ,475,487367,166767,155798,15270,1,0,0,4,385024,217,19658,355750087,249231907,2610459614,5310535986,498092171,74691864,10575812982396,12433152573,1627191647,15659711,1,0,0,0,0,3845,26007.802340702212,100000,33.94732,21,14215,46,83,100000
1,avg-run,10000,true,uniform,READ,555,1182338,398792,357778,35270,5,0,0,4,385024,217,19658,355750087,249231907,2610459614,5310539008,498092171,74691864,10575837059949,12433202700,1627191649,15659711,1,0,0,0,0,3861,25900.0259000259,100000,34.41353,22,10759,44,66,100000
2,extend,10000,true,zipfian,EXTEND,88693,6806178,4023784,3926644,334161,200056,303532,0,0,0,217,19659,355752441,249278504,2610533476,5310617438,498092171,74691864,10576441124972,12434367486,1627206778,15659711,0,0,0,0,1,129107,774.5513411356471,100000,1284.2891,312,32543,2115,3023,100000
2,run,10000,true,uniform,READ,143821,7996108,4372606,4254144,334297,200067,303652,0,0,0,217,19659,355752588,249281097,2610584127,5310628229,498092171,74691864,10576457961615,12434479510,1627229342,15659711,1,0,0,0,0,4092,24437.927663734114,100000,36.72441,22,13295,51,112,100000
2,reference,10000,true,uniform,READ,3753,640544,237567,203071,10181,12,62,0,0,0,217,19659,355752594,249282598,2610584404,5310630373,498092171,74691864,10576457961615,12434479510,1627229342,15659711,1,0,0,0,0,3463,28876.696505919725,100000,30.52026,17,11647,40,69,100000
2,clean-run,10000,true,uniform,READ,533,951375,309608,299516,29768,1,0,0,4,385024,217,19660,355756681,249283713,2610584405,5310641173,498116982,74692797,10576496431952,12434523256,1627230329,15663046,1,0,0,0,0,4137,24172.105390379504,100000,36.88861,21,14175,55,105,100000
2,avg-run,10000,true,uniform,READ,535,2746899,856718,815704,79941,5,0,0,4,385024,217,19660,355756681,249283713,2610584405,5310645582,498116982,74692797,10576535344139,12434635364,1627230333,15663046,1,0,0,0,0,4058,24642.681123706257,100000,36.28227,26,12471,47,80,100000
3,extend,10000,true,zipfian,EXTEND,450116,13706310,8822373,8650353,724172,300089,678797,0,0,0,217,19661,355759372,249351218,2610785347,5310862845,498116982,74692797,10577476651367,12436361046,1627285708,15663046,0,0,0,0,1,145207,688.6720337173828,100000,1444.56797,319,95039,2699,4299,100000
3,run,10000,true,uniform,READ,622444,15420384,9328347,9135005,724344,300100,678960,0,0,0,217,19661,355759645,249353809,2610864035,5310959758,498116982,74692797,10577485488339,12436500219,1627285733,15663046,1,0,0,0,0,5250,19047.619047619046,100000,48.27054,22,11871,63,120,100000
3,reference,10000,true,uniform,READ,5571,941312,362371,304348,10181,12,62,0,0,0,217,19661,355759680,249353823,2610864035,5310961918,498116982,74692797,10577485488339,12436500219,1627285733,15663046,1,0,0,0,0,3504,28538.812785388127,100000,30.74915,17,11431,39,67,100000
3,clean-run,10000,true,uniform,READ,747,1412564,447617,437525,43909,1,0,0,4,393216,217,19662,355761839,249353930,2610864036,5310981755,498196273,74694676,10577536056968,12436572373,1627286720,15666877,1,0,0,0,0,4240,23584.905660377357,100000,38.0092,22,12959,56,108,100000
3,avg-run,10000,true,uniform,READ,844,3908539,1194003,1152989,114132,5,0,0,4,393216,217,19662,355761839,249353930,2610872121,5310988003,498196273,74694676,10577588010508,12436724513,1627286724,15666877,1,0,0,0,0,4747,21065.93638087213,100000,43.46735,29,11535,61,92,100000
4,extend,10000,true,zipfian,EXTEND,1153541,22487873,15329425,15081143,1249435,400122,1192146,0,0,0,217,19664,355765438,249429087,2611232097,5311398370,498254694,74697285,10578910776383,12438911345,1627366268,15666877,0,0,0,0,1,158846,629.5405612983644,100000,1580.83376,325,83263,3245,5339,100000
4,run,10000,true,uniform,READ,1584151,24737231,16007426,15737821,1249860,400144,1192550,0,0,0,217,19664,355765438,249431547,2611309968,5311626863,498254694,74697285,10578935966451,12439131180,1627396246,15666877,1,0,0,0,0,5095,19627.085377821393,100000,46.93266,23,11655,66,139,100000
4,reference,10000,true,uniform,READ,7360,1242036,486285,405611,10181,12,62,0,0,0,217,19664,355765438,249431549,2611309968,5311628671,498254694,74697285,10578935966451,12439131180,1627396246,15666877,1,0,0,0,0,3764,26567.481402763016,100000,33.16715,20,14255,43,69,100000
4,clean-run,10000,true,uniform,READ,725,1792636,570947,559901,55428,25,0,0,4,385024,217,19665,355767324,249431750,2611309969,5311661763,498303387,74697314,10578998234713,12439226514,1627397233,15672232,1,0,0,0,0,6331,15795.2930026852,100000,59.02933,24,209791,61,126,100000
4,avg-run,10000,true,uniform,READ,799,4596525,1402481,1361386,135428,29,0,0,4,385024,217,19665,355767324,249431750,2611317961,5311669340,498303387,74697314,10579061137176,12439396814,1627397235,15672232,1,0,0,0,0,4991,20036.06491685033,100000,45.85396,31,10919,58,85,100000
5,extend,10000,true,zipfian,EXTEND,2533864,33347345,23735169,23406342,1921950,500177,1854993,0,0,0,217,19668,355772131,249515856,2611833005,5312289692,498400399,74703691,10580832897058,12442240842,1627604876,15672232,0,0,0,0,1,178891,558.9996142902661,100000,1781.47902,341,119423,4021,6695,100000
5,run,10000,true,uniform,READ,3002889,35646964,24471813,24122540,1922189,500188,1855230,0,0,0,217,19668,355772133,249517271,2611922266,5312651366,498400399,74703691,10580850840012,12442391209,1627625228,15672232,1,0,0,0,0,6575,15209.125475285171,100000,61.66738,27,11663,81,160,100000
5,reference,10000,true,uniform,READ,9153,1542756,610199,506874,10181,12,62,0,0,0,217,19668,355772133,249517272,2611922266,5312654836,498400399,74703691,10580850840012,12442391209,1627625228,15672232,1,0,0,0,0,3045,32840.72249589491,100000,26.33687,20,10863,35,62,100000
5,clean-run,10000,true,uniform,READ,701,2085411,662043,651951,64926,1,0,0,4,385024,217,19669,355773402,249517472,2611922411,5312701244,498435590,74706863,10580924510073,12442505885,1627626215,15679021,1,0,0,0,0,5079,19688.91514077574,100000,46.7355,25,11463,60,129,100000
5,avg-run,10000,true,uniform,READ,798,4909992,1500391,1459377,145249,5,0,0,4,385024,217,19669,355773402,249517472,2611930404,5312710055,498435590,74706863,10580998114208,12442677457,1627626218,15679021,1,0,0,0,0,5054,19786.307874950533,100000,46.21186,31,11903,67,100,100000
6,extend,10000,true,zipfian,EXTEND,4069068,45079309,33602609,33195982,2722782,600210,2647975,0,0,0,217,19673,355777300,249607264,2612585686,5313544940,498564269,74713888,10583092037505,12445835277,1627821207,15679021,0,0,0,0,1,190825,524.0403511070352,100000,1900.3516,350,148351,4707,8271,100000
6,run,10000,true,uniform,READ,4893820,47801931,34472668,34044718,2723324,600232,2648492,0,0,0,217,19673,355777506,249608634,2612691695,5314036285,498564269,74713888,10583190619294,12446195371,1627939863,15679021,1,0,0,0,0,6660,15015.015015015015,100000,62.26138,28,14951,89,172,100000
6,reference,10000,true,uniform,READ,10979,1843516,735003,608151,10181,12,62,0,0,0,217,19673,355777506,249608637,2612691695,5314041695,498564269,74713888,10583190619294,12446195371,1627939863,15679021,1,0,0,0,0,3348,29868.57825567503,100000,29.01775,17,14591,42,74,100000
6,clean-run,10000,true,uniform,READ,692,2489812,785925,774956,73079,1,0,0,4,385024,217,19674,355778454,249608937,2612699751,5314101633,498586364,74713922,10583276566798,12446335758,1627940852,15686632,1,0,0,0,0,5618,17799.9288002848,100000,51.89614,27,14935,68,150,100000
6,avg-run,10000,true,uniform,READ,766,5647829,1718835,1677821,163079,5,0,0,4,385024,217,19674,355778454,249608937,2612707843,5314111396,498586364,74713922,10583360982219,12446526367,1627940930,15686632,1,0,0,0,0,5833,17143.83679067375,100000,53.94205,33,14375,71,102,100000
7,extend,10000,true,zipfian,EXTEND,6230977,58198007,45097988,44612452,3657225,700254,3575805,0,0,0,217,19678,355783102,249703092,2613453517,5315128157,498702725,74721768,10585826328932,12450160632,1628215376,15686632,0,0,0,0,1,200903,497.75264679969933,100000,2000.94069,368,106367,5359,8839,100000
7,run,10000,true,uniform,READ,7225382,61012702,46036628,45529769,3657817,700276,3576381,0,0,0,217,19678,355783150,249704996,2613597587,5315740479,498740023,74728016,10585898018825,12450549594,1628288138,15686632,1,0,0,0,0,7119,14046.916701783959,100000,66.99437,30,16015,91,185,100000
7,reference,10000,true,uniform,READ,12805,2144276,859807,709428,10181,12,62,0,0,0,217,19678,355783150,249705000,2613597587,5315742287,498740023,74728016,10585898018825,12450549594,1628288138,15686632,1,0,0,0,0,3213,31123.56053532524,100000,27.66601,20,12287,40,69,100000
7,clean-run,10000,true,uniform,READ,668,2512283,811537,801445,79490,1,0,0,4,385024,217,19679,355783770,249705231,2613606946,5315814553,498740056,74732876,10585993846050,12450693639,1628289207,15695050,1,0,0,0,0,5919,16894.745734076703,100000,54.93648,28,226943,64,139,100000
7,avg-run,10000,true,uniform,READ,764,5853303,1796005,1754991,169799,5,0,0,4,385024,217,19679,355783770,249705231,2613615038,5315826469,498740056,74732876,10586089489928,12450895452,1628289212,15695050,1,0,0,0,0,5160,19379.84496124031,100000,47.38456,33,11927,61,101,100000
8,extend,10000,true,zipfian,EXTEND,8987518,72717004,58261682,57696798,4730818,800309,4643628,0,0,0,217,19684,355789041,249807961,2614494458,5317125608,498882384,74742190,10589062625941,12455176953,1628701510,15695050,0,0,0,0,1,220087,454.36577353501116,100000,2192.98712,364,132351,6103,10135,100000
8,run,10000,true,uniform,READ,10012484,75550960,59259913,58673706,4731454,800331,4644261,0,0,0,217,19684,355789041,249810094,2614654148,5317838088,498882384,74742190,10589100561464,12455475853,1628750291,15695050,1,0,0,0,0,8025,12461.059190031152,100000,75.82334,32,210431,94,197,100000
8,reference,10000,true,uniform,READ,14664,2445076,985501,810719,10181,12,62,0,0,0,217,19684,355789041,249810094,2614654148,5317839929,498882384,74742190,10589100561464,12455475853,1628750291,15695050,1,0,0,0,0,3240,30864.197530864196,100000,27.8929,20,11591,38,67,100000
8,clean-run,10000,true,uniform,READ,627,2850938,921657,910688,85667,1,0,0,4,385024,217,19685,355789498,249810394,2614662188,5317922798,498931385,74745469,10589208560238,12455644174,1628751280,15705914,1,0,0,0,0,5650,17699.11504424779,100000,52.31479,29,14023,69,163,100000
8,avg-run,10000,true,uniform,READ,701,6015840,1854802,1813788,175667,5,0,0,4,385024,217,19685,355789498,249810394,2614670260,5317935736,498931385,74745469,10589312913665,12455834501,1628751282,15705914,1,0,0,0,0,5934,16852.039096730703,100000,54.92193,36,12559,72,132,100000
9,extend,10000,true,zipfian,EXTEND,11628416,87933765,73079393,72435677,5948176,900364,5855786,0,0,0,217,19691,355796817,249918370,2615563046,5319397961,499098798,74755120,10592595770137,12460247332,1629066222,15705914,0,0,0,0,1,229908,434.95659133218504,100000,2290.45387,375,181631,6659,10927,100000
9,run,10000,true,uniform,READ,13084585,90878992,74135354,73469439,5948852,900386,5856450,0,0,0,217,19691,355796836,249921919,2615860363,5320206347,499098798,74755120,10592743142504,12460932097,1629332689,15705914,1,0,0,0,0,8668,11536.686663590217,100000,82.05298,33,220799,105,204,100000
9,reference,10000,true,uniform,READ,16523,2745876,1111195,912010,10181,12,62,0,0,0,217,19691,355796836,249921919,2615860363,5320208155,499098798,74755120,10592743142504,12460932097,1629332689,15705914,1,0,0,0,0,3589,27862.914460852604,100000,31.35947,20,13231,44,72,100000
9,clean-run,10000,true,uniform,READ,601,2803524,919126,909034,90643,1,0,0,4,385024,217,19692,355797139,249922313,2615868371,5320301897,499149747,74765440,10592860497233,12461098283,1629333676,15717843,1,0,0,0,0,5646,17711.65426850868,100000,52.026,29,12903,77,173,100000
9,avg-run,10000,true,uniform,READ,703,6377260,1968563,1927549,191166,5,0,0,4,385024,217,19692,355797139,249922324,2615884549,5320317014,499149747,74765440,10592977627074,12461312776,1629333680,15717843,1,0,0,0,0,5789,17274.14061150458,100000,53.31291,37,16655,78,132,100000
10,extend,10000,true,zipfian,EXTEND,14981895,104252571,89585043,88863181,7314109,1000419,7216860,0,0,0,217,19699,355804349,250035478,2616835435,5321931154,499327208,74787960,10596689792816,12466224059,1629719826,15717843,0,0,0,0,1,244490,409.01468362714223,100000,2436.80936,373,164351,7279,11879,100000
10,run,10000,true,uniform,READ,16596175,107264372,90676562,89932501,7314816,1000441,7217558,0,0,0,217,19699,355804432,250039137,2617182532,5322809331,499327208,74787960,10596862136105,12466989740,1630061612,15717843,1,0,0,0,0,9196,10874.293170943889,100000,87.60729,33,17711,113,226,100000
10,reference,10000,true,uniform,READ,18382,3046676,1236889,1013301,10181,12,62,0,0,0,217,19699,355804432,250039137,2617182532,5322819002,499327208,74787960,10596862136105,12466989740,1630061612,15717843,1,0,0,0,0,4071,24563.989191844754,100000,36.44431,20,11495,46,71,100000
10,clean-run,10000,true,uniform,READ,1149,3095797,1021908,1010939,95960,1,0,0,4,385024,217,19700,355804657,250039752,2617190586,5322922722,499366334,74797971,10596991825879,12467181359,1630062601,15730633,1,0,0,0,0,6136,16297.262059973924,100000,56.86939,30,14567,82,181,100000
10,avg-run,10000,true,uniform,READ,1230,6613798,2055233,2014219,195960,5,0,0,4,385024,217,19700,355804657,250039758,2617206488,5322937721,499366334,74797971,10597117669442,12467391715,1630062603,15730633,1,0,0,0,0,6144,16276.041666666666,100000,56.92804,38,14351,77,133,100000
11,extend,10000,true,zipfian,EXTEND,18672205,121612531,107741479,106940466,8823014,1100485,8721375,0,0,0,217,19707,355813182,250158860,2618256210,5324628947,499570195,74812796,10601190333753,12472731563,1630464951,15730633,0,0,0,0,1,254794,392.4739201080088,100000,2539.46925,400,180479,8487,12679,100000
11,run,10000,true,uniform,READ,20468822,124703235,108873314,108050978,8823755,1100507,8722115,0,0,0,217,19708,355814847,250162358,2618651250,5325576637,499570195,74812796,10601401468200,12473605851,1630921503,15730633,1,0,0,0,0,9882,10119.409026512853,100000,94.17387,37,21279,124,260,100000
11,reference,10000,true,uniform,READ,20241,3347476,1362583,1114592,10181,12,62,0,0,0,217,19708,355814847,250162358,2618651250,5325578478,499570195,74812796,10601401468200,12473605851,1630921503,15730633,1,0,0,0,0,3734,26780.93197643278,100000,32.48573,20,14111,44,83,100000
11,clean-run,10000,true,uniform,READ,4086,3019468,1014190,1004098,100089,1,0,0,4,385024,217,19709,355815082,250164446,2618667448,5325693397,499611633,74820858,10601540196885,12473791436,1630922494,15745181,1,0,0,0,0,6877,14541.224371092047,100000,64.11942,32,12951,88,196,100000
