/usr/bin/java  -classpath /home/ycsb/ycsb-ec2-bundle/conf:/home/ycsb/ycsb-ec2-bundle/core/target/core-0.18.0-SNAPSHOT.jar:/home/ycsb/ycsb-ec2-bundle/core/target/dependency/HdrHistogram-2.1.4.jar:/home/ycsb/ycsb-ec2-bundle/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/ycsb/ycsb-ec2-bundle/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/ycsb/ycsb-ec2-bundle/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/src/main/conf:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/jdbc-array-json-binding-0.18.0-SNAPSHOT.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/checker-qual-3.5.0.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/commons-collections-3.2.1.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/commons-lang-2.4.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/commons-pool-1.5.4.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/geronimo-jms_1.1_spec-1.1.1.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/geronimo-jta_1.1_spec-1.1.1.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/openjpa-jdbc-2.1.1.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/openjpa-kernel-2.1.1.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/openjpa-lib-2.1.1.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/postgresql-42.5.4.jar:/home/ycsb/ycsb-ec2-bundle/jdbc-array-json/target/dependency/serp-1.13.1.jar site.ycsb.Client -t -db site.ycsb.db.JdbcDBClient -s -P ../workloads/workloada-extend -P ../jdbc-binding/conf/postgres.properties -p db.url=jdbc:postgresql://localhost:5432/ycsb_backup -p db.user=ycsb -p db.passwd=USyd2025
Adding shard node URL: jdbc:postgresql://localhost:5432/ycsb_backup
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 53980
[OVERALL], Throughput(ops/sec), 1852.537977028529
[TOTAL_GCS_G1_Young_Generation], Count, 84
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 56
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 0.10374212671359763
[TOTAL_GCS_G1_Concurrent_GC], Count, 0
[TOTAL_GC_TIME_G1_Concurrent_GC], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Concurrent_GC], Time(%), 0.0
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 84
[TOTAL_GC_TIME], Time(ms), 56
[TOTAL_GC_TIME_%], Time(%), 0.10374212671359763
[READ], Operations, 100000
[READ], AverageLatency(us), 534.28552
[READ], MinLatency(us), 466
[READ], MaxLatency(us), 26447
[READ], 95thPercentileLatency(us), 570
[READ], 99thPercentileLatency(us), 811
[READ], Return=OK, 100000
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 1024.0
[CLEANUP], MinLatency(us), 1024
[CLEANUP], MaxLatency(us), 1024
[CLEANUP], 95thPercentileLatency(us), 1024
[CLEANUP], 99thPercentileLatency(us), 1024
