ycsb_key,size
user1597760044993757183,1800
user3900640048821424944,1900
user3684055150126532311,1600
user5229126404855302373,2500
user8401215584746478334,1900
user8089858475191940814,1500
user1006751241759916385,2200
user2996592682669871081,1200
user4618241135224412169,1200
user814292361045657073,1800
user3526204326986778993,2100
user3029749419394741199,2100
user6629627106772139829,1900
user2352437591706597662,2100
user1198431846744193366,1700
user8983070339159625653,2300
user8256863347152387611,1700
user8290020083877257729,1500
user1242422513826178307,1900
user2264579587619084462,2100
user7549194585300076196,1700
user4409142221109489457,1800
user3905326230840692625,1400
user4189551021931750487,1800
user7928876449666130276,1500
user4078697166356828447,2400
user3308281192049763581,1700
user3831195372985627488,1600
user2491315126082494788,2500
user759249448388715426,1700
user49122529270000336,1700
user4733344542382918124,1700
user7948741098767481896,2100
user874912816059361829,2200
user2590120145134635908,1600
user5169738955473391610,2300
user177954654487708555,1700
user196481067346937396,1700
user5409641679657109551,2400
user5608808269221356453,1700
user8731100678986998896,1600
user754563266369447745,2600
user3503986751229352484,1600
user2891763245356339501,2200
user5590051723848587943,2000
user1046387126647988625,1800
user6002443449034884790,2000
user4424662333485871961,1700
user6090301453122397990,2300
user9110782543353052976,1900
user5354162136564484138,2100
user7157227469727271417,2400
user8144559742554583896,1700
user4468871315785698785,1300
user4629075065581526992,1600
user4870210795397038926,2300
user4015961771197772782,2000
user4534737913330811670,1400
user3408871323248654831,1700
user7572077352179971939,1700
user8698503902774269226,1500
user85845526989857239,2500
user1115488585362733315,2000
user286350352796226920,2300
user2539650329889448845,2000
user3589717997875816989,2000
user6867756536104805426,1900
user8517097267634966620,1600
user6646485455390645112,1300
user1353058054183258464,1300
user8429344494157782206,2300
user3710627508077871521,1500
user6009027827808415698,2000
user7570957431155691043,1900
user7427725114585881216,1800
user6992450622519688626,1600
user276977988757691558,1700
user3766561781072308596,1600
user1367676560753201955,1800
user4733562857600760007,2100
user6576824036163759974,2100
user9206239616628049194,1500
user3673344549845874170,1600
user2329213179532403354,1800
user7596409868082749357,1500
user633995401461691778,2100
user6734456544085671409,1600
user5797482573722787097,1300
user2202839211581098810,2300
user478372603074802466,2000
user8379889369326547253,2200
user2156962165040548428,1800
user7528428330392285563,1900
user3857426085642668133,2200
user5321783675569596351,2400
user1453419624695364246,1500
user4514313303717319602,1600
user7916144322554752226,2000
user5197649549666853599,1500
user8759352918474759450,1400
user3952883158917664351,1900
user6633205185062824400,1900
user4633201287088654225,1100
user7460881851310751334,1500
user5019467530228239213,2200
user2401445840633205264,2100
user7109452226432457808,1300
user7665854543918546813,2100
user5608029993491374122,1600
user2100809576828269470,1800
user8989654717933156561,1500
user7651671095957532887,2300
user1253474759401135013,1400
user8870206774049681490,2400
user7465349718112177132,1800
user190674964303388819,1400
user8203168916206512328,2000
user45774583492855434,1800
user3005965046708406443,2100
user39408519937166409,2200
user701976939152155572,1500
user6312692454860839200,1700
user7337855829136591692,1900
user7790548630333430013,2300
user539098288698836008,1700
user5254578841782360687,2200
user3435775081025349021,2100
user5923856541674091641,1800
user8737248427324846038,1900
user1322907617941234683,1900
user5889361568707098744,3200
user7215059939475971719,1800
user1112140639585588413,1900
user7346680049958684392,1800
user7482208066730682415,1700
user8681532469548250846,2300
user768963457721549353,1500
user7371012565861461810,1800
user5455083667588730368,1700
user139551775231430308,1500
user3936803086029141399,1500
user5580679359810052581,1500
user49682489782140784,1800
user6168900177778888925,1700
user5746016167529775820,1900
user7643190092256492953,2100
user2425448528537381903,1900
user6978610391679727466,1400
user7949861019791762792,1900
user1760981912568129513,1400
user1494050528704506499,2000
user6845092084442751566,1400
user4650059635707159508,2100
user3841127697536303298,1900
user3790564468976485235,1700
user8983630299671766101,1900
user7508998739899863508,2000
user8762919179469746235,1700
user1596651941265174073,1800
user3054860211027500948,1900
user8916643781102372320,2000
user2903375451443436655,1500
user6202835190233741374,2100
user9115250410154478774,1500
user698628993375010670,1900
user2197593069049690681,2000
user2855258562854324481,1700
user3588379761633694210,1600
user6657537700965601818,1500
user4971132326421285156,2200
user5690194979142851842,2000
user2606418533241000743,1800
user8609972853567102481,1900
user6753773049970580367,1600
user1362430418221793826,1400
user7340873946915135815,1800
user4345628550220451461,1800
user1101648354522772155,1900
user774209600252957482,1700
user5360746515338015046,1700
user5463117795385142951,2100
user9033303739720842937,2200
user1622322693410074270,1900
user8527589552697782878,1900
user6728090480529982384,2000
user1218638141139843551,1900
user7541708600720106275,1900
user7577105179493538185,1300
user6153380065402506421,1700
user1599439926530178527,2100
user7587037504044213995,1700
user7176097099707553024,1700
user8566552392466201573,1600
user1947303290413485268,2400
user7225333909320946094,2300
user7361858517040768331,1600
user5788658352900694397,1700
user5548860859327305242,1700
user823104764572051987,2200
user8610532814079242929,2300
user4590890501543090628,1900
user2553502378025107791,2100
user6541096057564973084,1900
user6515643620637914770,1600
user8153372146080978810,1800
user5026953514808209134,2300
user6319276833634370108,1900
user5222542026081771465,1600
user8970898172560388051,1700
user362490920186314180,1900
user5300580790226121952,1900
user6290028003198785340,2200
user4408923905891647574,1900
user7472494057397848488,1600
user7923630307134722147,1300
user3962815483468340161,2000
user3458657847905244764,1200
user5977437888012453827,1800
user7587597464556354443,2200
user5156893743754500463,1800
user7164266578402613987,1600
user2491875086594635236,1400
user3398037392891540008,2000
user1763656813225620870,1700
user3975765925797560094,1600
user8259881464930931734,2000
user5158686709898434904,1700
user6960413806819099404,1800
user8792168009905331003,2200
user6847550241709155241,2200
user3122406690109035177,1100
user3685175071150813207,2700
user2479142959483257186,2300
user4646493374712172723,2000
user882057155345033185,2100
user2668264139889315181,2100
user1731060037012891200,1800
user2188780665523295767,1600
user2399217815880341258,1900
user5292981721038638934,1800
user6076242907064594947,1600
user5350254230275198788,2400
user4646151729417874158,1800
user1171309773749657293,1700
user5172413856130882967,2200
user2760143134873626828,1900
user1423610833747639030,2000
user2723078491859471360,1600
user6873220993854055438,1400
user2030588197089243884,2100
user1321799514212651573,2200
user6836497996134198535,2100
user1145857336822598979,1700
user5595857826892136520,1400
user1232708504493344380,1700
user4151148142675472240,1600
user1688189290955187155,2000
user7311625116479551047,2000
user7274229073640040599,1900
user2754337031830078251,1900
user2402224116363187595,1500
user4055472754182634139,2200
user2760921410603609159,2200
user1111580679073447965,1800
user305996686679736657,2100
user9072161348878932846,2000
user1119614806869860548,1900
user7701239305396280937,1900
user6654189755188456916,1600
user4744956748470015278,1600
user64860956864224723,1300
user3184925341877003160,1800
user1834209592790001436,1800
user313700986477548461,2200
user461619485066625969,2000
user8192676631143696070,1900
user195921106834796948,2000
user8507943218814273141,1600
user8049444314573886243,1800
user3016457331771222701,1500
user5213947937773218434,1500
user2551822496488686447,1800
user7707045408439829514,2200
user6076461222282436830,2200
user7186029424258228834,1800
user3586151736880830204,1800
user2667704179377174733,1700
user2408371864701034737,1700
user246609237297825894,2400
user1268093265971078504,1500
user3946517095361975326,1600
user5349475954545216457,1600
user8554940186379104419,2100
user4949027835271371744,1800
user1105214615517758940,2400
user5817347222824138717,1800
user5559134829172279617,1600
user9034205345527281950,2200
user753784990639465414,2100
user8077013263473049667,2000
user4158634127255442161,1200
user2769515498912162190,2200
user8088065509048006373,2200
user5570965350477218654,1800
user5475849922496521001,2400
user516433837036782148,2200
user2542450132450151085,1600
user3475516196523750047,1600
user9213713783912321329,1500
user764277275702281672,2300
user412506005529689581,2100
user9062447339546098919,2100
user5521510225645983701,1600
user176616418245585776,1500
