ycsb_key,size
user5566279168457950973,142000
user1955337418209897851,142500
user6993788858761811405,142000
user2755115307560060582,142100
user6530603772502156826,142300
user7104424399118891562,142200
user6737474661864215532,142500
user5580337714515754016,142000
user7576763534199239620,141800
user6987982755718262828,142400
user5335075763193114849,142400
user417192187548957262,141900
user3926870761478465589,142200
user1574547450115260661,141900
user7471155821155725709,142000
user4761255136576380113,142200
user8049444314573886243,140700
user6647045415902785560,142100
user3237168451973242567,142100
user6636771446057811185,142200
user6752434813728457588,142300
user8170230494699484093,142200
user3122406690109035177,142000
user990234538435709667,142000
user180742639752713009,142000
user532732225143146983,142500
user2523911902295224458,140800
user2060726816035569879,142100
user8179944504032318020,142100
user6506271256599379408,142100
user2167454450103364686,142200
user4298288365534567417,142100
user5103094082198296394,142200
user8280866035056564250,142300
user5218634119792486115,142400
user3714753729584998754,142400
user508181394022527682,142300
user3126532911616162410,140800
user8285893862370130496,142400
user7928534804371831711,142000
user2765389277405034957,140800
user1921072577756444623,142000
user8652283639112666078,142300
user7234706273359481456,142200
user8396187757432912088,141700
user9100290258290236718,141900
user4177720500626811450,141800
user8049662629791728126,142100
user2181854641455466294,142600
user7591723686063481676,141900
user4419416190954463832,142000
user4152828024211893584,141800
user879598998078629510,140500
user1941278872152094808,142300
user6878248821167621684,142500
user3117720508089767496,142300
user3468931817750219139,142000
user7556898885097888000,142400
user4530051731311543989,141900
user8270373749993747992,142200
user5223880262323894244,139200
user4972812207957706500,141200
user311242829211144786,142200
user7702359226420561833,142200
user2292708497030388334,142100
user1573987489603120213,142200
user7942934995723933319,142300
user4534737913330811670,141800
user1211723934367711864,141800
user759249448388715426,142100
user5339761945212382530,142400
user5942382954533320482,141800
user880377273808611841,142000
user6757120995747725269,142500
user5122958731299648014,142200
user3695449040995787582,142200
user7330941622364460005,142300
user5470603779965112872,142300
user4278642031651057680,142500
user5108558539947546406,142400
user4866862849619894024,140900
user7461223496605049899,142200
user6636553130839969302,142100
user5817347222824138717,142400
user4394523714539545966,141900
user4776433603658464052,142400
user2297736324343954580,142200
user754563266369447745,142200
user7562145027629296129,142100
user7586477543532073547,142200
user1010099187537061287,141900
user3358296277393138982,140900
user5364094461115159948,140900
user8632978950523454906,142200
user1588947641467362269,142100
user2287803999793278770,142100
user991012814165691998,142300
user4158634127255442161,141800
user6858042526771971499,142100
user2529499690120931152,142200
user8054348811810995807,142200
user9221199768492291250,142100
user7350806271465811625,142100
user6993570543543969522,142000
user9115250410154478774,142000
user2428236513802386357,142500
user3368228601943814792,141400
user1468379776559606302,142000
user9206239616628049194,142200
user3478864142300894949,142100
user8159738209636667835,142300
user8280647719838722367,142100
user4153387984724034032,141800
user4524463943485837295,141900
user8878800862358234521,142100
user5113244721966814087,142200
user8049102669279587678,140800
user2171580671610491919,142100
user2870437029936408420,142400
user2278089990460444843,142000
user7099738217099623881,142200
user8184630686051585701,141900
user1689869172491608499,141900
user3715313690097139202,142100
user70667059907773300,142100
user7572077352179971939,142200
user2051012806702735952,142300
user4871890676933460270,142300
user5229126404855302373,142100
user5706493367249216677,141900
user9100071943072394835,142100
user8748518988117644627,142200
user3005965046708406443,141900
user7823487051840458248,142000
user2172482277416930932,140800
user1824837228751466074,142300
user8527029592185642430,142200
user2996592682669871081,142100
user2750429125540792901,142300
user2066532919079118456,142300
user2895329506351326286,142100
user6405349725575133178,142100
user2991564855356304835,142300
user7345341813716561613,141800
user2644821412497278990,141100
user8029797980690376506,142200
user8170012179481642210,142100
user3700353538232897146,142000
user3333403800978221116,141800
user6395075755730158803,142400
user1694555354510876180,142100
user4539424095350079351,140900
user7919162440333296349,141900
user6515985265932213335,142000
user4067084960269731293,140400
user8632637305229156341,142400
user9004054909285258169,142200
user8521783449654234301,142400
