ycsb_key,size
user1357184275690385697,98700
user6395635716242299251,104100
user2861064665897873058,100400
user1950091275678489722,96400
user6033932121519031350,103300
user1699801497042284309,105200
user7717537693502645772,94800
user7461223496605049899,96500
user6631525303526403056,98000
user1699583181824442426,97200
user3575099491305873498,99500
user749317123838039616,99000
user3821481363652793561,96600
user7817680948796909671,99200
user6887621185206157046,95600
user537760052456713229,97600
user6872661033341914990,102500
user7942934995723933319,97300
user2765389277405034957,98000
user8044198172042478114,101100
user7355274138267237423,104000
user6062950819441076449,102300
user7938248813704665638,100500
user6395075755730158803,102700
user528046043123879302,107000
user3343117810311055043,101500
user8869086853025400594,100400
user5479976144003648234,102100
user4741048842180729928,99400
user6867756536104805426,99800
user7562145027629296129,97700
user6506271256599379408,97600
user2774761641443570319,100000
user70107099395632852,100100
user5580679359810052581,103900
user8411707869809294592,100400
user1247108695845445988,94400
user638681583480959459,99800
user7692426901869886023,99700
user6762585453496975281,96100
user6511517399130787537,100600
user2066532919079118456,101400
user1468598091777448185,101400
user166342448400611401,102500
user8044416487260319997,105100
user3815675260609244984,98200
user5585925502341460710,97600
user8512069440321400374,102000
user8150365845598132473,100300
user874912816059361829,101900
user1211723934367711864,105100
user5103872357928278725,101600
user7556898885097888000,102500
user4530051731311543989,102700
user5575651532496486335,103800
user1945965054171362489,106100
user1116048545874873763,101200
user3936243125517000951,98900
user3700353538232897146,99600
user1568741347071712084,102700
user2162208307571956557,93200
user3946517095361975326,98600
user995139035672819231,104300
user5715865731287752039,96800
user7325695479833051876,97700
user7446263344740807843,101500
user4298848326046707865,95800
user6988884361524701841,103400
user6149253843895379188,99400
user2538312093647326066,98000
user6053018494890400639,101700
user4163320309274709842,102200
user5701465539935650431,102400
user4047438626386221556,102700
user2649507594516546671,100600
user3016457331771222701,98800
user1588947641467362269,102100
user3232700585171816769,95600
user3131779054147570539,96600
user1342784084338284089,99200
user623503116398875520,97900
user1799944752336548208,96300
user6878248821167621684,98000
user8396529402727210653,101500
user3931338628279891387,98300
user180742639752713009,99700
user1462791988733899608,106000
user6516203581150055218,99900
user985766671634283869,98400
user5817128907606296834,99300
user8531715774204910111,96900
user5937696772514052801,98900
user7215059939475971719,100400
user1241302592801897411,107500
user5923296581161951193,108300
user5364094461115159948,101600
user3237728412485383015,102400
user633995401461691778,104700
user35282298430039176,99000
user5696219397404242302,97700
user8145119703066724344,101100
user3584813500638707425,99800
user8964543926300396812,98200
user5581239320322193029,99500
user3478864142300894949,93800
user2166894489591224238,97000
user8768165322001154364,104300
user7581791361512805866,100100
user3565167166755197688,98200
user4640905586886466029,101900
user1482998283129549793,104400
user7823487051840458248,99100
user8521783449654234301,102000
user3464463950948793341,107200
user2413058046720302418,97900
user4057152635719055483,103900
user3338649943509629245,100700
user764837236214422120,102300
user296064362129060847,100500
user9100290258290236718,103400
user1015345330068469416,99700
user1101088394010631707,98300
user281664170776959239,95500
user1005631320735635489,97200
user3710627508077871521,97500
user8270933710505888440,101200
user885063455827879522,104500
user4756227309262813867,99400
user6521231408463621464,98700
user2046326624683468271,104800
user7938808774216806086,101000
user532732225143146983,99400
user3011771149751955020,98500
user8873773035044668275,101300
user185988782284121138,102600
user7123510772490260851,100200
user7677466750005643967,101500
user991012814165691998,100500
user8633197265741296789,99200
user3820703087922811230,96800
user6053236810108242522,104400
user6973924209660459785,94800
user64860956864224723,97600
user3358296277393138982,99200
user2523911902295224458,102900
user291938140621933614,99100
user6646485455390645112,99000
user7244638597910157266,98100
user3242974555016791144,102800
user7089245932036807623,97200
user7094492074568215752,102500
user6038618303538299031,100000
user4062398778250463612,98500
user2056818909746284529,98100
user7234706273359481456,104700
user2754896992342218699,102200
user1487684465148817474,100400
user5590611684360728391,101100
user2166676174373382355,97400
user5335075763193114849,103500
user5228908089637460490,102800
user1352156448376819451,97700
user6622152939487867694,103500
user3719999872116406883,100700
user6983856534211135595,99400
user3005965046708406443,104000
user3368228601943814792,100000
user3705381365546463392,102400
user6184078644860972864,99900
user3589499682657975106,99800
user8637665132542722587,94200
user1824837228751466074,97900
user5098066254884730148,99900
user643367765500227140,104300
user8516755622340668055,98400
user4756568954557112432,94700
user7335627804383727686,102900
user865198806726527902,107700
user8039170344728911868,106900
user7828173233859725929,93000
user7345341813716561613,103800
user5600544008911404201,101100
user6525917590482889145,98500
