ycsb_key,size
user8539201758784880032,57800
user6943442373593081024,100000
user3486008481586566305,57500
user8809139443131349383,57100
user946025556135882843,59500
user1578673671622387894,56700
user3777614026647265302,57500
user2029249960847121105,38250500
user3733851920252065829,15745000
user9220298162685852237,91700
user3931338628279891387,56000
user106281953899047093,59900
user5700687264205668100,60600
user7836997454681818629,62400
user4255759264771161937,64200
user4382351547940308364,66000
user1821489282974321172,68200
user7043243983593046358,47400
user3778952262889388081,62700
user3953661434647646682,58800
user551270455298073610,58700
user5254018881270220239,63100
user7835659218439695850,65900
user1551882998453206801,69900
user1710635427399399132,54600
user3877975597159371084,59000
user6124691195479062101,58000
user6269261748290994707,64600
user513427536553935811,74600
user7675568553251380740,59400
user8213101240757188138,61800
user7340313986402995367,56700
user8114637866999345583,57700
user1457327530984649596,64600
user5777606107325737691,62100
user5647324233085147797,60200
user2708895043898457434,62300
user3804623015034288278,61100
user2703088940854908857,54700
user5098626215396870596,59600
user4380453351186045137,57300
user2822101826129454363,58100
user8087505548535865925,76300
user3207029833026916572,82700
user6906937691091066004,51300
user3710845823295713404,59700
user6766493359786260631,66000
user4619361056248693065,55800
user848900418620163067,61000
user853586600639430748,61000
user5438225318970225085,65000
user5322343636081736799,60900
user5206803598487547078,56800
user4036386380811264850,90000
user3529770587981765778,60000
user4268709707100381870,60600
user2139325540692060814,57600
user1961143521253446428,58100
user5516824043626716020,88200
user1423610833747639030,59300
user7571299076449989608,60800
user4960640041358468898,59100
user4200043306994566745,63400
user6002443449034884790,57100
user2140103816422043145,54100
user1473284273796715866,59700
user6904479533824662329,57100
user3673002904551575605,64600
user5696001082186400419,61700
user4087521387178921147,59300
user3662292304270917464,56900
user7702359226420561833,78500
user8452681990939489611,61000
user7460881851310751334,65500
user3975765925797560094,58800
user4679308466142744276,60000
user8678639253672917606,52900
user7097840020345360654,56900
user5872048490186781799,58200
user3937923007053422295,56000
user4887287459233386092,59000
user2402565761657486160,63500
user7687180759338477894,60800
user1695115315023016628,59400
user5062338276285943258,60400
user9110564228135211093,56100
user488304927625478276,71100
user3041019980187539788,61100
user8533054010447032890,62800
user8108271803443656558,59900
user3914698594879227987,65400
user2380461270507572748,54500
user7549194585300076196,56700
user7082319907968978150,73500
user7268982931108632470,71600
user4202843109555268985,61100
user4897561429078360467,59300
user8214999437511451365,62900
user2903593766661278538,76400
user2903033806149138090,55000
user4328657116994433081,61000
user4867422810132034472,69400
user8181282740274440799,55300
user7588375740286336774,64700
user3129551029394706533,55300
user8863840710493992465,1464900
user2667704179377174733,57300
user7465909678624317580,58900
user6049670549113255737,75200
user2304320703117485488,69800
user8989094757421016113,57100
user7019801256201010167,58700
user1649568096481067025,55900
user6481708608183062321,61300
user5292981721038638934,58100
user275298107221270214,56000
user3142831299722527245,63500
user701416978640015124,50500
user172148551444159978,62300
user4803224276827645145,58100
user1820369361950040276,56700
user821549784938841526,58500
user3221430024379018180,54900
user3462005793682389666,56500
user6999594961805359982,56500
user9086779855448876337,59800
user8872434798802545496,56700
user8972578054096809395,62500
user6389269652686610226,61900
user161096305869203272,55200
user3804404699816446395,58200
user7708725289976250858,58800
user5983243991056002404,58300
user7009308971138193909,88900
user4481716527504589932,60400
user1326485696231919254,58700
user8132387575955346294,56100
user4283328213670325361,59400
user8099459399917261644,62300
user6174706280822437502,56700
user8720390078706340755,55800
user6619353136927165454,68500
user2343956588005557728,55000
user2299074560586077359,55100
user7654242337831449659,59400
user2968900403694250975,53900
user8616120601904949623,99100
user5903420114764901787,66400
user4541882252616483026,63000
user6845652044954892014,58500
user7083439828993259046,60200
user1158017686126138795,57300
user8555500146891244867,67400
user6340934448879656169,61000
user1370694678531746078,58200
user324753232052505167,59300
user9121616473710167799,57800
user5585925502341460710,77900
user3378172743790188388,58400
user576722892225131924,57400
user1017803487334873091,53300
user6808587401940736546,61100
user1747358425119256035,57500
user313141025965408013,59500
user389281593355495273,55200
user8863622395276150582,57300
user6304646509768728831,52900
user4582078098016695714,61800
user8538641798272739584,57000
user4508725515891612908,57200
user4506267358625209233,55100
user2293050142324686899,59000
user8175476637230892222,63400
user3116040626553346152,57200
user8253297086157400826,55000
user4507387279649490129,58800
user7743333347550756852,59500
user5254578841782360687,55600
user582528995268680501,60900
user6407807882841536853,60000
user7021699452955273394,55800
user4315706674665213148,56700
user4444538799882921367,55000
user528387688418177867,57300
user3775934145110843958,55200
user7223654027784524750,53300
user5626339662959515281,58100
user6552148303139929790,55300
user6818519726491412356,59300
user5538928534776629432,63400
user5635598942390537546,63400
user1155229700861134341,57700
user4679868426654884724,67300
user2859384784361451714,56600
user7697891359619136035,60500
user7087907695794684844,62900
user8301850605182196766,61300
user4032260159304137617,62300
user8998808766753850040,57000
user6076461222282436830,58700
user1043255924261931405,59500
user632097204707428551,60600
user2882609196535646022,54900
user5120170746034643560,55300
user1879756811331951039,51800
user3226894482128268192,69800
user2177728419948339061,56000
user3001838825201279210,57300
user4833706112895023906,61800
user4076469141603964441,59800
user6358352758010301900,54100
user7324015598296630532,55700
user4633201287088654225,55900
user7929094764883972159,56000
user6642577549101359762,54900
user6780563723139761460,55200
user2655873658072235696,54100
user6922676118685290391,55200
user6858602487284111947,61700
user71445335637755631,59600
user356684817142765603,19474100
user424336526834628618,61000
user7474173938934269832,57800
user7571517391667831491,58600
user1028855732909829797,60800
user5245424792961667208,65900
user8511291164591418043,58800
user3562927324706635896,59100
user2584532357308929214,53600
user5372918681937252648,54500
user159758069627080493,57300
user2039182285397796915,60300
user2809256614410563216,58900
user1229690386714800257,58400
user8028118099153955162,54400
user8792168009905331003,57100
user8720950039218481203,66500
user4861056746576345447,62600
user8514857425586404828,54500
user1093384094212819903,60800
user1473065958578873983,58600
user3162147805607436203,86100
user4634539523330777004,63800
user4083383348376096128,59400
user3222549945403299076,85900
user742732745064508708,66900
user7215619899988112167,58100
user5688515097606430498,65300
user3085902007607020157,108100
user7413666568528078173,58100
user6709564067670753543,81400
user3508454618030778282,60100
user6652291558434193689,52200
user3257044918370291973,56900
user6984976455235416491,78500
user3419476692918984186,53700
user1950651236190630170,68100
user2470330555956862272,69700
user4449224981902189048,58700
user8612212695615664273,74700
user5099186175909011044,55100
user9097832101023833043,74700
user9006294751333819961,52300
user5681600890834298811,76400
user2353110636826251207,55100
user3569853348774465369,56900
user3554114921180240982,57000
user8383237315103692155,55300
user7235826194383762352,57000
user6815948484617495584,59300
user4458938991235022975,56100
user1084790005904266872,54300
user5548082583597322911,74900
user858054467440856546,62500
user6862168748279098732,59000
user3236608491461102119,55400
user8631859029499174010,58100
user5339201984700242082,59100
user4326977235458011737,56600
user6996028700810373197,56800
user6836497996134198535,59400
user1605246029573727104,54000
user1050181948329760878,57600
user2627621418584475142,54500
user6285000175885219094,56200
user2742724825742981097,57800
user918220192552749640,58400
user5601663929935685097,58800
user1372362742772469636,56600
user6506271256599379408,54300
user1424730754771919926,62200
user8465289216147656778,56500
user4573919068317072248,64900
user4426560530240135188,58000
user4877915095194850730,55400
user8757113076426197658,65200
user7312745037503831943,61500
user1937370965862809458,56000
user5570187074747236323,56300
user4732784581870777676,71000
user9187701386473122567,52400
user5597756023646399747,56300
user7038557801573778677,59000
user2398657855368200810,63700
user7685500877802056550,50100
user1368796481777482851,57600
user7797474654401259486,60400
user4379893390673904689,58400
user1221096298406247226,57800
user622383195374594624,62200
user38288598912885513,54100
user4356680795795408167,57000
user8721168354436323086,55600
user4226055704433765507,57200
user8153932106593119258,56600
user652521814320920619,53300
user1054308169836888111,58400
user8269813789481607544,60200
