ycsb_key,size
user6634313288791407510,97800
user304328622439013099,99400
user8421080233847829954,97700
user4551596261949316953,98000
user7907550234246199195,98400
user4224500724800555046,98800
user4743276866933593934,108100
user8757673036938338106,97400
user5152549207029531347,98900
user4414948324153038034,99000
user2595024642371745472,106900
user28137959144367820,97000
user2753217110805797355,97500
user4823773788344348096,137100
user5892927829702085529,97600
user7566271249136423362,98400
user6917429976153882262,97500
user1913026632664334254,97100
user8606406592572115696,99200
user4039734326588409752,96900
user6735234819815653740,97900
user2869098793694285641,97200
user1182133458637828531,98100
user4014841850173491886,97800
user1241862553314037859,102400
user2029249960847121105,241000
user3674682786087996949,99000
user7470035900131444813,98500
user1093602409430661786,99800
user7824606972864739144,97600
user2243813332711293829,98900
user4832586191870743010,97900
user8429904454669922654,96400
user3018137213307644045,96900
user2517887484033833998,98100
user2657211894314358475,100900
user6607522615622226417,99800
user6867756536104805426,97700
user1961703481765586876,98300
user4636219404867198348,97800
user3463685675218811010,99500
user2049674570460613173,98000
user6414722089613668540,97700
user6402001779797988276,98500
user9106096361333785295,97700
user480270799829065693,98300
user5173305216468378395,96800
user6576492636338404994,97600
user3503986751229352484,98500
user9034423660745123833,96900
user2694276537328513943,96400
user4026454056260589040,97600
user3407751402224373935,98000
user2710128049530251427,97300
user3444039341335301273,99300
user8760691154716882229,97100
user3211156054534043805,97900
user879598998078629510,97700
user2721958570835190464,97800
user5107438618923265510,98100
user2595584602883885920,97600
user2177946735166180944,100100
user4087521387178921147,97000
user858272782658698429,98800
user3973307768531156419,99100
user7229678446045915210,98500
user2302982466875362709,97600
user6905817770066785108,99900
user1220536337894106778,99500
user6735794780327794188,99600
user8505485061547869466,96600
user4634881168625075569,97700
user5928542723693359322,98000
user243821252032821440,98300
user7510336976141986287,99400
user9131548798260843609,96800
user996258956697100127,103300
user4778673445707025844,97900
user8617458838147072402,98100
user8301850605182196766,99200
user4283888174182465809,98500
user744070981306631487,100400
user2406691983164613393,100200
user605306531538247458,97400
user5345568048255931107,96900
user8517097267634966620,98000
user3905886191352833073,110400
user4178498776356793781,98700
user2723638452371611808,115400
user9099170337265955822,96900
user7340313986402995367,98600
user6279754033353810965,97600
user525587885857475627,101900
user5465575952651546626,98200
user8818180407344529765,101400
user6583750060231589447,97500
user5791116510167098072,98200
user2289142236035401549,101200
user6399543622531584601,97300
user5559134829172279617,97200
user4502919412848064331,98600
user6059384558446089664,98700
user8245251141065290457,99200
user8906929771769538393,99000
user3815675260609244984,97800
user3307608146930110036,97000
user8858594567962584336,97200
user4629853341311509323,98200
user3008423203974810118,104300
user1708395585350837340,97300
user763935630407983107,97200
user8511851125103558491,98300
user6884054924211170261,218300
user7818240909309050119,98900
user3715313690097139202,97600
user4305432704820238773,101500
user5117152628256099437,97800
user8484158846127938385,99100
user7052957992925880285,97700
user2996032722157730633,97300
user5590611684360728391,98700
user3986599856154674917,98700
user2767847434671438632,97600
user768403497209408905,98200
user5355500372806606917,98000
user6506271256599379408,97100
user823104764572051987,98200
user764837236214422120,96700
user2078145125166215610,98200
user3639733083219192390,99000
user3639514768001350507,98300
user1677137045380230449,98500
user6823765869022820485,98400
user4959520120334188002,97900
user8854468346455457103,97800
user1232148543981203932,97600
user3664190501025180691,137400
user8916643781102372320,98000
user4668256220567787570,97100
user8443184724997743366,97500
user3008204888756968235,99100
user338593462892466327,98500
user87525408526278583,97300
user6861608787766958284,99000
user7096720099321079758,98000
user4388717611495997389,98600
user6389051337468768343,98100
user2281656251455431628,97500
user2173820513659053711,97200
user1270333108019640296,98200
user4534737913330811670,101300
user759249448388715426,96800
user4816629449058676740,98900
user7901525815984808735,99100
user1219198101651983999,97500
user3413557505267922512,98600
user5752153670398679377,96800
user7220306082007379848,97700
user2352437591706597662,97400
user4161982073032587063,98900
user3309961073586184925,97100
user440416599723151570,98300
user4760695176064239665,98800
user4277863755921075349,97700
user4530830007041526320,99000
user7571299076449989608,96700
user3519725178823576871,96900
user7773471966497082847,98200
user1561037047273900280,96800
user8528367828427765209,98400
user6223819760359373890,98200
user8429344494157782206,97500
user8720950039218481203,97000
user8313804456563592485,98100
user2733570776922287618,99700
user5675794787790750234,97400
user2596704523908166816,96600
user951490013885132855,98600
user8181842700786581247,97700
user3255924997346011077,98800
user6805456199554679326,98200
user5232474350632447275,99000
user2056818909746284529,97300
user5598875944670680643,98100
user7465349718112177132,98000
user4594685323224862881,98500
user5749022468012622157,99500
user6762585453496975281,98300
user5799150637963510655,99800
user2150377786267017520,105200
user424896487346769066,97000
user6618574861197183123,99200
user6641239312859236983,116600
user5574873256766504004,97700
user642029529258104361,97300
user708343002707844597,96900
user1407199361033761098,98000
user1009539227024920839,98100
user7449611290517952745,97700
user1358304196714666593,99300
user4892315286546952338,99000
user35282298430039176,98900
user6252963360184629872,97600
user7133454914336634447,97400
user1258939217150385025,97600
user7481648106218541967,97000
user3232700585171816769,98600
user8192894946361537953,97700
user656099892611605190,100300
user2810158220217002229,96900
user4393745438809563635,97400
user7915584362042611778,98400
user5879647559374264817,103700
user3385646911074460523,108100
user5967505563461778017,98300
user1940377266345655795,97900
user2291930221300406003,98300
user9220639807980150802,97800
user8989436402715314678,98800
user7565151328112142466,98100
user6037280067296176252,98300
user4816847764276518623,101400
user223831701028258937,97800
user754563266369447745,97900
user3562149048976653565,98100
user61513011087079821,97800
user2176608498924058165,98200
user4947689599029248965,97500
user7655362258855730555,99900
user246827552515667777,98300
user8790829773663208224,97500
user8341268174852427123,98800
user6263455645247446130,97600
user4223162488558432267,104200
user1122632924648404671,97900
user1142279258531914408,112600
user7527868369880145115,97300
user5773138240524311893,97100
user2179066656190461840,98100
user7574305376932835945,102000
user3690981174194361784,98600
user5357180254343028261,99400
user5647324233085147797,99000
user4756787269774954315,97300
user5397251197840030066,98200
user398105814177587973,99300
user8792168009905331003,97700
user2649725909734388554,119900
user7236604470113744683,98500
user773649639740817034,98500
user7296105004103168543,98500
user2991004894844164387,98700
user4177720500626811450,96100
user2413058046720302418,98000
user6482268568695202769,97500
user1902316032383676113,106900
user8179944504032318020,96500
user3338089982997488797,113600
user6085055310590989861,97100
user6667470025516277628,98400
user1729940115988610304,101700
user406358257191842439,159500
user1990952312201171644,98300
user7781736226807035099,98300
user6394515795218018355,99500
user2422990371270978228,97700
user3777054066135124854,97400
user5943502875557601378,97500
user8213101240757188138,99600
user1946525014683502937,97000
user4299408286558848313,99000
user5921958344919828414,97900
user2452020886488721113,97700
user8972796369314651278,97900
user4894773443813356013,98400
user1437121236588999411,98700
user6428232492455028921,98600
user6510179162888664758,112200
user6531942008744279605,98500
user402232035684715206,98400
user2554610481753690901,105000
user7461223496605049899,97500
user5310731429994639645,99500
user4161640427738288498,98200
user286350352796226920,98700
user49900804999982667,99400
user5951207175355413182,98400
user4508725515891612908,97800
user3601111888745072260,98700
user3736858220734912166,97200
user7792788472381991805,98800
user5573753335742223108,98700
user5463117795385142951,98900
user5076521724246957184,97300
user4812048497649737845,98400
user6053236810108242522,101200
user1572649253360997434,98100
user3535358375807472472,97900
user8275059932013015673,129600
user1963041718007709655,98200
user3337530022485348349,97200
user598267422862904888,98500
user3820143127410670782,96900
user3109674562997657127,97700
user5339761945212382530,100300
user2718392309840203679,101700
user3922184579459197908,96700
user2430134710556649584,97000
user4844540043252138729,104000
user4315146714153072700,97400
user3766561781072308596,98600
user587215177287948182,96500
user5564599286921529629,97500
user2177728419948339061,95900
user3174433056814186902,96600
user8621585059654199635,97900
user2991564855356304835,98400
user6862168748279098732,108700
user5096946333860449252,97900
user4729218320875790891,98000
user4262903604056833293,98000
user8714242330368493613,103100
user4504039333872345227,96600
user3221430024379018180,97100
user8784463710107519199,98100
user4315706674665213148,97400
user744630941818771935,97900
user2098569734779707678,98200
user803240115470700367,97100
user3798598596772897818,97500
user6140429623073286488,101700
user6949579876461984581,98300
user86405487501997687,100500
user8408359924032149690,99300
user3678249047082983734,97700
user633435440949551330,98000
user8142661545800320669,98200
user5905659956813463579,103200
user6128704332378676237,100400
user1198213531526351483,98400
user8628511083722029108,99300
user6079809168059581732,99000
user8733340521035560688,96500
user1056319451198664435,105300
user7274447388857882482,98100
user7588935700798477222,98000
user8507383258302132693,100800
user1984586248645482619,100800
user5806294977249182011,97100
user7985029037878409234,96700
user4735802699649321799,99500
user5158013664778781359,97600
user4473557497804966466,96700
user721966490156718075,97400
user1488244425660957922,97500
user1759861991543848617,97800
user6942322452568800128,98000
user4766719594325630125,98400
user6721176273757850697,98900
user7541708600720106275,97700
user8837609997836951820,99100
user6305206470280869279,98100
user8430464415182063102,100400
user7825945209106861923,98200
user2753777071317937803,97700
user278086092486274668,98300
user8037272147974648641,100100
user7199321511881747332,97700
user190674964303388819,99300
user8485278767152219281,98100
user1589507601979502717,97000
user5993071084996349428,97700
user6504373059845116181,100500
user1484118204153830689,98100
user2831815835462288290,98100
user153951966583531916,99000
user4667696260055647122,97600
user2281437936237589745,99400
user4140095897100515534,97500
user4565106664790677334,98200
user7261496946528662549,97400
user1221096298406247226,97300
user7311625116479551047,98600
user5129543110073178922,98400
user4629075065581526992,98200
user7402614322953121467,97100
user4288574356201733490,98900
user5871830174968939916,98900
user5641518130041599220,100700
user6972026012906196558,98500
user104943717656924314,98600
user7598649710131311149,98100
user3259272943123155979,97800
user7880199600564877654,97200
user6631306988308561173,101900
user4004349565110675628,96900
user7908670155270480091,97200
user8988876442203174230,98600
user7878301403810614427,98600
user2904153727173418986,96300
user2935972227656166325,98700
user6997136804538956307,98700
user5621540396332734503,104900
user3651458373913802641,98000
user3749808663064132099,99800
user3283275631027332618,100000
user314820907501829357,98800
user6218915263122264326,99100
user7912578061559765441,99700
user8396747717945052536,98200
user2744063061985103876,98100
user3695107395701489017,102100
user6768173241322681975,97200
user7281486497533225052,97700
user4859158549822082220,101800
user2287803999793278770,101000
user968130047285796255,98900
user4576271994973147137,97400
user8493312894948631864,97300
user8608074656812839254,98100
user6878808781679762132,97800
user5574313296254363556,97600
user4176600579602530554,97800
user8994900860464564690,99200
user2013729848470738601,97600
user7197081669833185540,100600
user880377273808611841,100900
user3322351555403264410,99600
user3827847427208482586,98100
user7591163725551341228,98000
user2098009774267567230,98500
user1622104378192232387,98900
user2469770595444721824,97500
user3585373461150847873,98900
user3684615110638672759,97300
user924367940890596782,98100
user1787772585737310606,100800
user6367165161536696814,97500
user4474677418829247362,100900
user994579075160678783,98400
user2389833634546108110,96700
user3073169880495642107,112100
user7733836081609010607,97700
user7284161398190716409,99600
user4991898581329075789,97500
user8969230108319664493,98900
user7413106608015937725,102800
user301870465172609424,99300
user4201723188530988089,98600
user2236555908818109376,99300
user4339262486664762436,97900
user1194865585749206581,98300
user572814985935846574,98000
user6158407892716072667,98900
user3519506863605734988,98200
user5827621192669113092,97100
user4484722827987436269,98800
user515095600794659369,97100
user4541103976886500695,96900
