Key,Run1
"user1000385178204227360", 6800
"user1005413005517793606", 7700
"user1226902401449795803", 6700
"user1231930228763362049", 6500
"user1468038131265307737", 5900
"user1473065958578873983", 5300
"user1588605996173063704", 6000
"user1699583181824442426", 7800
"user171028630419879082", 5600
"user176056457733445328", 6200
"user1815123219418632147", 6500
"user1820151046732198393", 5700
"user2056258949234144081", 5300
"user2061286776547710327", 4800
"user2176826814141900048", 8300
"user2287803999793278770", 5700
"user2403344037387468491", 5600
"user2408371864701034737", 5700
"user2644479767202980425", 7300
"user2649507594516546671", 5500
"user2765047632110736392", 6200
"user2876024817762115114", 5200
"user2991564855356304835", 5700
"user2996592682669871081", 5000
"user3232700585171816769", 5700
"user3237728412485383015", 5700
"user3353268450079572736", 5600
"user3459217808417385212", 5500
"user3464245635730951458", 5900
"user3584813500638707425", 5400
"user3700353538232897146", 6700
"user3705381365546463392", 5900
"user3820921403140653113", 5000
"user3931898588792031835", 5600
"user4047438626386221556", 6900
"user4052466453699787802", 5500
"user412164360235391016", 6500
"user417192187548957262", 6800
"user4173034318607543769", 5200
"user4288574356201733490", 4800
"user4293602183515299736", 5400
"user4409142221109489457", 6100
"user4520119406760868179", 6500
"user4635659444355057900", 5900
"user4640687271668624146", 6000
"user4876795174170569834", 4900
"user4881823001484136080", 6200
"user4997363039078325801", 5900
"user5108340224729704523", 5000
"user5223880262323894244", 5700
"user5228908089637460490", 5800
"user532732225143146983", 5700
"user5465015992139406178", 5300
"user5470043819452972424", 6400
"user55488592825689361", 5800
"user5585583857047162145", 6200
"user5691533215384974621", 6800
"user5696561042698540867", 5700
"user5817128907606296834", 6900
"user5932668945200486555", 5800
"user6053236810108242522", 5400
"user6164213995759621244", 4700
"user6279754033353810965", 6000
"user6284781860667377211", 5400
"user6405349725575133178", 5800
"user643709410794525705", 7400
"user6520889763169322899", 6800
"user6525917590482889145", 5800
"user6641457628077078866", 6400
"user6752434813728457588", 6200
"user6867974851322647309", 5400
"user6873002678636213555", 5400
"user7109110581138159243", 5800
"user7114138408451725489", 6500
"user7229678446045915210", 6300
"user7340655631697293932", 6000
"user7456195669291483653", 5900
"user7461223496605049899", 4400
"user7576763534199239620", 6200
"user759249448388715426", 6500
"user764277275702281672", 6500
"user7697331399106995587", 6800
"user7702359226420561833", 5400
"user7817899264014751554", 6100
"user7923848622352564030", 5800
"user7928876449666130276", 6300
"user8049444314573886243", 5800
"user8164984352168075964", 6000
"user8285552217075831931", 5800
"user8290580044389398177", 6300
"user8396529402727210653", 6500
"user8512069440321400374", 5700
"user8517097267634966620", 6800
"user8637665132542722587", 5800
"user8753205170136912308", 7000
"user8758232997450478554", 5800
"user8873773035044668275", 6500
"user8984750220696046997", 6100
"user9100290258290236718", 6200
"user9105318085603802964", 6800
