Key,Run1
user8517097267634966620,1700
user2408371864701034737,1700
user412164360235391016,1500
user5228908089637460490,1500
user5817128907606296834,1900
user3931898588792031835,1300
user2876024817762115114,2200
user1588605996173063704,2700
user759249448388715426,1500
user7702359226420561833,1400
user4881823001484136080,2000
user1005413005517793606,1600
user9220858123197992685,1400
user8044416487260319997,2000
user1347470266357551770,1500
user1714201688394385917,1800
user3218082078601873278,2200
user7335627804383727686,1700
user2282776172479712524,1700
user50460765512123115,1600
user1125980870425549573,1600
user7562145027629296129,1600
user2543558236178734195,1800
user6973924209660459785,1400
user7475842003174993390,1900
user8150365845598132473,1300
user4404237723872379893,1800
user4760913491282081548,2200
user4168348136588276088,1200
user4756568954557112432,1300
user2297736324343954580,1700
user9110004267623070645,1400
user4278642031651057680,2100
user3348582268060305055,1500
user1116048545874873763,1500
user3931556943497733270,1600
user166342448400611401,2000
user1925758759775712304,2000
user3127092872128302858,1800
user1010099187537061287,1500
user749317123838039616,1600
user6998256725563237203,1800
user5127644913318915695,2100
user6062950819441076449,1700
user2866310808429281187,1800
user6068196961972484578,1700
user7455977354073641770,1900
user4404797684384520341,1900
user5580337714515754016,1800
user6867756536104805426,1600
user2876243132979956997,1500
user6053018494890400639,1700
user5218634119792486115,1700
user181302600264853457,1600
user9110564228135211093,1600
user8049662629791728126,1400
user7239952415890889585,1600
user1241302592801897411,2100
user6184078644860972864,1600
user2745182983009384772,1900
user6173586359798156606,1300
user653081774833061067,1600
user6501025114067971279,1900
user3570413309286605817,1700
user7123510772490260851,1700
user1372362742772469636,2300
user4192898967708895389,1900
user3594185864677242787,1500
user5335075763193114849,1600
user7089245932036807623,1900
user2538312093647326066,1600
user6399761937749426484,1200
user6174364635528138937,1500
user402013720466873323,2400
user8164424391655935516,1700
user1352156448376819451,1800
user1693995393998735732,2200
user7104424399118891562,1600
user5107780264217564075,1700
user6752093168434159023,1700
user4741048842180729928,1700
user4765941318595647794,1600
user2060726816035569879,2000
user4505159254896626123,1400
user7210373757456704038,1400
user5600544008911404201,2000
user3927430721990606037,1500
user5001830905879751599,2100
user2982192491317769473,1500
user75353241927040981,1700
user70107099395632852,1500
user1815123219418632147,1600
user4525365549292276308,2300
user3016457331771222701,1800
user8049102669279587678,2000
user7345341813716561613,2100
user5475289961984380553,1800
user6515985265932213335,1800
user3916938436927789779,1900
user5942382954533320482,1700
user8878800862358234521,1700
user9114690449642338326,2000
user9125182734705154584,2000
user769523418233689801,2200
user7460881851310751334,1600
user4288574356201733490,2000
user7711731590459097195,2400
user7109110581138159243,1600
user60393090062798925,1700
user6525917590482889145,2200
user5479976144003648234,1900
user2629861260633036934,1500
user1473284273796715866,1700
user286350352796226920,1800
user4982744532508382310,1900
user2648947634004406223,2000
user8305758511471482116,1500
user3005965046708406443,2100
user4645591768905733710,2200
user175714812439146763,2000
user4052466453699787802,2100
user7224992264026647529,2200
user6757680956259865717,1600
user8280866035056564250,1900
user4037506301835545746,1500
user3011771149751955020,2000
user1231930228763362049,1800
user517553758061063044,1600
user8762919179469746235,1500
user2282216211967572076,1700
user2417744228739570099,2300
user2177168459436198613,1700
user5233812586874570054,1600
user663014099383736877,2500
user5229126404855302373,1500
user296282677346902730,2000
user2292490181812546451,2200
user4298848326046707865,1800
user427124512099633072,1200
user3358296277393138982,1500
user8869086853025400594,1600
user1478312101110282112,2000
user407478178216123335,1500
user6169460138291029373,1800
user7456195669291483653,1700
user1940377266345655795,1500
user5450397485569462687,2000
user4409483866403788022,1300
user638681583480959459,2400
user7556898885097888000,2100
user2307108688382489942,2000
user6987982755718262828,1800
user3353610095373871301,2200
user5822033404843406398,1400
user1568741347071712084,1600
user2528939729608790704,1800
user4177720500626811450,2000
user1015345330068469416,1800
user1819809401437899828,2000
user2166676174373382355,1700
user7104206083901049679,2200
user6757120995747725269,2200
user2755675268072201030,2200
user8401215584746478334,2200
user985766671634283869,2000
user4887069144015544209,2000
user4389837532520278285,1800
user2754896992342218699,2600
user7682152932024911648,1700
user4294162144027440184,1900
user6279754033353810965,2200
user1468598091777448185,1800
user4187652825177487260,1500
user1945405093659222041,2700
user4645373453687891827,1600
user2885957142312790924,1900
user6033932121519031350,2200
user2644821412497278990,1800
user4394523714539545966,2100
user1468038131265307737,2400
user6149253843895379188,2400
user9115250410154478774,1600
user1251794877864713669,1600
user5223320301811753796,2100
user6646485455390645112,2200
user3348022307548164607,2200
user3117160547577627048,2200
user180742639752713009,2000
user658887877876609644,2000
user8752645209624771860,2100
user3932116904009873718,2100
user9004054909285258169,2100
user4862176667600626343,1900
user8411707869809294592,2500
user276977988757691558,2100
user1357184275690385697,2000
user4519777761466569614,1800
user8531155813692769663,2200
user6174146320310297054,1600
user8747959027605504179,2200
user1222216219430528122,2200
user8858594567962584336,1900
user3232482269953974886,2000
user1211723934367711864,2400
user4770627500614915475,2100
user2765389277405034957,1500
user2865750847917140739,2000
user6415282050125808988,2000
user3815675260609244984,2800
user7355274138267237423,1900
user7229678446045915210,1800
user6395635716242299251,1800
user7244638597910157266,1700
user296842637859043178,2400
user1935691084326388114,2700
user306556647191877105,1700
user2056600594528442646,1800
user4891195365522671442,2200
user5807414898273462907,2000
user8405901766765746015,2200
user3227454442640408640,1900
user8054690457105294372,1900
user4756227309262813867,2200
user3825949230454219359,1800
user6862728708791239180,1700
user161096305869203272,1700
user533073870437445548,1700
user1487684465148817474,2000
user2509293395725280967,2000
user3816016905903543549,1900
user4987430714527649991,2400
user2513979577744548648,2100
user1226902401449795803,2100
user2061286776547710327,1900
user9090357933739560908,1800
user4882382961996276528,1700
user1101648354522772155,1700
user5364094461115159948,1900
user658327917364469196,2100
user4876576858952727951,2000
user663574059895877325,2100
user3232700585171816769,1700
user6737474661864215532,2000
user986326632146424317,2300
user176616418245585776,2100
user6651171637409912793,2000
user3941830913342707645,1900
user532732225143146983,2200
user3458657847905244764,1900
user1820151046732198393,2200
user5696779357916382750,2200
user7687959035068460225,2000
user1694555354510876180,2100
user9105318085603802964,2000
user1236834726000471613,1900
user2519225720275956777,1700
user5007637008923300176,1800
user1361870457709653378,2100
user176056457733445328,2100
user7577105179493538185,1900
user392299711134039396,2200
user774209600252957482,2200
user5103094082198296394,1900
user1353058054183258464,1900
user6289686357904486775,1700
user6873220993854055438,2000
user2538872054159466514,1700
user8652283639112666078,2100
user2644479767202980425,2000
user3710627508077871521,2000
user537760052456713229,1700
user6506271256599379408,1800
user4047438626386221556,2200
user5465015992139406178,1600
user1950091275678489722,2300
user3936243125517000951,2000
user7812994766777641990,2100
user4635659444355057900,2200
user8642911275074130716,2200
user7572077352179971939,1900
user4403896078578081328,2200
user6290028003198785340,2300
user2041640442664200590,1900
user8753546815431210873,2100
user1583359853641655575,2400
user5470043819452972424,2100
user2759801489579328263,1800
user7466127993842159463,2100
user6279535718135969082,2200
user5575651532496486335,1400
user5933010590494785120,1900
user5358848318583751819,2000
user5223880262323894244,1500
user2408030219406736172,2000
user1718887870413653598,2300
user5821815089625564515,1800
user3237728412485383015,1600
user2890643324332058605,1400
user8164984352168075964,2400
user4520337721978710062,2400
user1352498093671118016,1800
user8618018798659212850,1900
user3584813500638707425,1600
user2046326624683468271,2100
user1574547450115260661,2100
user2639233624671572296,2400
user3921624618947057460,2100
user3126532911616162410,1900
user8290580044389398177,1700
user292156455839775497,2100
user4534737913330811670,1700
user7567391170160704258,1800
user3117720508089767496,2000
user4972812207957706500,2300
user291596495327635049,1800
user7591723686063481676,1600
user2639575269965870861,2300
user3453971665885977083,2400
user185988782284121138,1700
user2413058046720302418,1800
user6188764826880240545,2100
user7350587956247969742,1900
user8145119703066724344,2000
user2895329506351326286,2000
user417192187548957262,1800
user1950651236190630170,2100
user6872661033341914990,2000
user1111580679073447965,2100
user9206239616628049194,2100
user4413610087910915255,2500
user7827613273347585481,1900
user2870437029936408420,2100
user885063455827879522,2200
user1342784084338284089,2200
user2413276361938144301,1500
user8285552217075831931,2100
user4640905586886466029,2200
user8989654717933156561,1900
user2861064665897873058,2200
user5108340224729704523,2100
user3705381365546463392,2000
user4409702181621629905,2000
user1463133634028198173,2000
user4409142221109489457,2000
user5566279168457950973,2000
user2278089990460444843,1700
user3821263048434951678,2100
user5918050438630543064,2300
user281664170776959239,2200
user1000385178204227360,2400
user7456755629803624101,1700
user6053236810108242522,2500
user5012323190942567857,2200
user1805750855380096785,2600
user5701807185229948996,2500
user6058264637421808768,2400
user6285000175885219094,1900
user6887621185206157046,2200
user6761807177766992950,1700
user3343896086041037374,1600
user2171580671610491919,1900
user4414170048423055703,2400
user4746854945224278505,2400
user3122406690109035177,2000
user5339761945212382530,2000
user3936803086029141399,2200
user3353268450079572736,2200
user190674964303388819,2100
user6747406986414891342,2100
user5811541119780590140,2500
user1593852138704471833,1800
user8411147909297154144,2100
user3565167166755197688,2000
user2740496800990117091,2100
user1834769553302141884,2000
user5561033025926542844,1700
user8536961916736318240,1500
user8155052027617400154,2200
user6048550628088974841,2200
user311242829211144786,2000
user8396529402727210653,2100
user5797482573722787097,2200
user7219746121495239400,1900
user8632637305229156341,1800
user1247108695845445988,2000
user2056258949234144081,2200
user3956449419912651136,2500
user7707045408439829514,1800
user784141924803633292,1900
user6535289954521424507,2200
user6178832502329564735,1900
user1347251951139709887,1900
user1005631320735635489,2300
user1945965054171362489,1600
user9095604076270969037,1700
user5344448127231650211,2000
user778895782272225163,1900
user3579785673325141179,1700
user2770075459424302638,2200
user2649507594516546671,2600
user2774761641443570319,1800
user1940718911639954360,2300
user6163872350465322679,2600
