Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user8517097267634966620,1776,2276,3376,4676,5476,6076,7176,8276,9176,10476,11376,12776,13576,14376,15276,16376,17176,18176,19176,20576,21376,22776,23576,24276,25076,25576,26276,27276,27876,28876,29576,30776,31676,32476,33776,35876,37676,38876,39576,40276,41276,42376,43176,44176,45176,46476,47676,48576,49576,50576,51276,51876,53076,54876,56376,57576,59176,60176,61276,61776,62376,63576,64176,65276,66476,67576,68476,69376,70276,71176,71976,73276,73976,75276,76876,78176,79276,80276,80976,81776,83076,84376,85176,85876,87676,88976,89976,90576,91676,92876,93576,93976,95076,95576,96376,98076,98576,99376,100176,100976
user1297796826308474934,2082,3282,4182,5282,6382,7582,8282,9082,9882,11082,11982,12482,13382,14382,15382,16982,18082,19182,20182,21282,22082,22482,23682,25482,26682,27682,28582,29982,30382,31582,32582,33282,34082,34482,35582,36182,37082,38182,39482,40382,40782,42082,43482,44482,45482,46782,47982,48582,49082,50182,50982,51882,52382,53582,54782,55782,56782,57782,58982,59582,61082,61782,63282,63982,65182,66682,67282,68182,69282,69582,70382,71382,71982,72582,73282,74382,75882,76982,78482,79282,80082,80782,82282,83382,84582,85482,86282,87582,88182,89282,90482,91982,93882,94282,94882,96482,97082,97482,98182,99582
user1000385178204227360,1481,2481,3781,4981,6381,6881,7881,8781,9481,10481,11081,12781,14081,14881,15481,16481,17481,18681,20181,21081,22381,24081,25081,26281,27281,28681,29581,30381,31781,32481,33581,34481,35381,36081,36881,37581,37981,39281,40181,40881,42281,43381,44281,45081,46481,47681,48781,49781,50681,51581,52581,53681,54681,55981,56881,57381,58581,59481,60081,60981,61481,62681,63981,65081,66281,66881,68181,69881,70981,71581,72881,73281,74381,75381,76681,77181,77481,78081,79481,80481,81781,82681,83781,85081,85881,87381,87881,89181,90281,91381,92981,93781,94981,96281,97481,98381,99181,100081,101381,102381
user1319901317458388346,2279,3179,4279,5179,7079,7879,8379,9279,10779,11679,12679,14279,16079,17479,19279,20279,21479,22779,23279,24279,24979,25579,26979,27979,28679,29879,30879,32079,33179,34079,34879,35579,35979,36979,37979,38779,39979,41679,42979,43979,45279,46479,47379,47979,48579,49679,49979,51179,51679,52079,53679,54379,55179,56479,57479,58579,59879,60679,61679,62079,62879,63779,64779,66279,66979,68479,69579,70279,71479,72079,72879,73679,75279,75679,76679,77579,78679,79979,81079,81979,82679,84179,85179,85779,86379,86879,87879,88979,89979,90779,92079,93579,94679,95779,96379,97479,98879,100479,101479,102579
user906949631759951051,2485,3485,4685,5585,6285,7585,8685,9485,10485,11685,12585,13885,14585,15485,16485,17585,18785,19285,20085,20585,21685,22585,23885,24685,25685,26885,27685,28285,29485,30185,31385,32885,33985,35385,36285,38585,39885,40885,41685,42985,43785,44585,45585,46685,47685,48285,49485,50285,51185,52285,53285,54685,56085,56985,57385,58485,59785,60685,61185,62085,63385,64185,64985,65885,66585,67585,68685,69385,70085,70685,71785,72385,73485,74485,76385,77385,78285,78985,79885,80385,81285,82485,83985,85685,87285,87585,88485,89585,90585,91885,92485,93485,94885,95785,96685,97585,98985,100485,101685,102885
user2763709395868613613,2168,2668,3468,4568,5668,6568,7668,8668,9568,10368,11868,12868,13168,13968,14968,16368,17368,18268,19768,20868,22068,22968,23768,24468,25268,26468,27468,28668,29568,30468,31368,32768,33668,34268,35168,36468,36868,37468,38568,39968,41368,42868,43968,44468,45168,46168,46768,47668,49068,49868,50568,51268,51768,52868,53168,54568,55668,56568,57368,58568,59268,60668,61668,62468,63368,64368,65168,65468,66368,67068,67468,68068,69168,70368,71768,72968,73768,74468,75368,76468,77068,77668,78868,79968,80968,82468,83468,84268,84968,85668,86768,87668,88168,89168,90068,91168,91968,92668,93868,95168
user2242475096469171050,1475,2775,3675,5075,7175,7875,9275,10075,11175,11975,12875,14475,15175,16375,18675,20175,20875,21875,22975,24175,25075,25775,27275,27775,28975,29975,30775,32075,32675,33675,34775,35275,36175,36775,37375,38075,38775,39875,41075,42875,43875,44875,45575,46375,47075,47875,49275,50375,50975,51875,52675,53575,54475,55675,56175,56975,58575,59575,60175,61275,62275,63175,64475,65075,66075,66775,67275,68675,69575,70275,71275,71975,73675,74775,76075,76975,77975,78375,79675,80375,81375,82175,83175,83575,84875,86075,86975,88075,88875,90675,91975,92675,93575,94375,94775,95875,96375,97775,98575,99275
user2392073476594669902,1982,2682,4082,4482,5482,6782,7082,7882,8882,10182,11082,11982,12882,13482,15182,15882,16182,16782,17382,18282,19182,19982,20982,22082,22982,23582,24982,26382,27582,28982,29782,30982,31782,32582,33382,34782,35782,36682,37282,37882,38782,39982,40782,41282,42182,43282,44782,45882,46782,47782,48682,49982,51882,53282,54282,55482,56182,57682,58882,60382,61482,62282,63082,63882,64582,65582,66782,67882,68482,69182,69882,70682,71582,72782,73582,73982,75182,75882,77382,78282,79182,79682,80982,81982,83282,84482,85282,86782,87682,88482,89582,90782,91482,92582,93382,94282,95182,95682,96582,97482
user7461223496605049899,1381,2481,3681,4581,5081,5881,6881,8681,9781,11381,12481,13881,14781,15581,16681,18381,19381,20581,21981,22981,23781,24681,25281,26481,27881,28981,29181,30181,31581,32681,33481,34881,35781,36281,37281,38081,39481,40381,41381,42581,43281,44681,45381,46081,47381,48981,50281,51281,52081,53081,54181,55081,56081,56781,58181,58581,59681,60381,61281,62281,63781,64581,65481,66781,67581,68681,69681,70481,71381,72281,73381,74581,75581,77181,77881,78781,80281,81481,82481,83281,84281,84881,86181,87081,87781,88581,89681,90881,91781,92881,93781,94681,95481,96781,97781,99281,99981,100581,101081,102081
user8104705542448669773,2176,3076,4576,5676,7276,8276,9576,10576,11776,12676,14276,15576,16376,17376,17876,18576,19576,20376,21076,22576,23576,24276,25376,26376,27976,28876,30176,31676,32676,33176,34476,35376,36676,37876,38176,39076,39676,40776,41976,43176,43676,44276,45476,46376,47776,49576,51076,52376,53876,54876,55976,57176,58176,58976,60276,61176,62876,64276,65076,65676,66776,67776,68476,69276,70176,71376,72676,73876,74776,75476,76676,78076,78676,80476,81076,81976,83076,84176,84976,86076,87376,88676,89276,89876,90876,91876,93176,94476,95776,96876,98376,99276,99876,101276,102376,103176,104176,105176,105676,106976
user4288574356201733490,1573,3173,3973,4973,5873,6673,7873,9273,10573,11573,12773,13473,14673,15673,16573,16973,17873,18773,19373,20373,22473,23773,24573,25473,26673,27873,28573,29473,30473,31873,32373,33473,34973,36173,36673,37373,39073,39673,41173,41973,42773,44173,44973,45673,46673,47773,48473,49473,49973,50573,51673,52773,53573,54273,54873,55273,56673,57773,58873,59773,60573,61673,62873,63673,64373,65573,66673,67873,69573,70973,72073,73173,73973,74573,76273,77473,78373,79273,79873,81073,82773,83873,84373,85473,86873,87873,88873,89873,90973,91673,92473,93073,94073,94973,96273,97273,98073,98573,99773,100473
user1468038131265307737,1390,2390,3390,4490,5690,6490,7090,8090,8790,9890,11190,11990,13190,14090,15690,16690,17490,18590,19790,20890,21890,22790,23890,24990,26390,27090,28190,29590,30990,31790,32790,33490,34490,35590,36690,37590,38590,39490,40690,41390,42090,43190,44890,45990,46890,48290,49690,50990,52190,52990,53990,54990,56190,57190,57890,58990,60090,60890,61890,62990,63790,64790,66090,66590,67690,69090,69990,70990,71890,72890,73990,74590,75490,76490,77590,78890,80190,81590,82690,83390,84290,85590,86790,87490,88590,89390,90790,91290,92090,93390,94390,95590,96590,97790,98590,99290,100690,101190,101590,102990
user8960405887497571793,2473,3373,3973,5373,6473,7773,8773,9173,10373,11073,12173,13373,13973,14773,15773,16573,17773,18573,19473,20573,21973,22973,23873,24873,25473,25973,27273,28073,29673,30973,31773,32673,33673,34273,35173,36373,36773,38073,38773,40073,40873,41873,42873,43573,44673,45873,46773,47473,48173,50073,50773,51273,51773,52473,53273,54073,55173,55973,56673,58073,59173,60073,61173,62473,63073,64073,64573,66073,67173,68073,68973,70373,71373,72673,73873,75273,75773,77073,78273,78773,80073,80773,81973,83173,84473,85573,86773,87173,88373,89173,90073,90873,91773,93173,94173,95373,96273,97373,97873,99173
user8494651131190754643,1777,2777,4077,4877,6677,8177,9677,10677,11777,12677,12977,13977,14677,15777,16577,17477,18277,18977,19677,21177,22377,23477,24277,25077,25577,26577,27777,28477,29377,30377,31177,32277,33277,34177,35277,35977,37277,38277,39477,40277,41177,42277,42977,44177,45277,45977,46477,47277,47877,48577,49577,51077,51877,53077,53777,54677,56177,56677,57277,57877,58877,59377,60477,61177,62877,63577,64677,66177,66777,68677,69277,70077,70877,72077,72877,73977,74877,75677,77077,78177,79077,79977,81177,82277,83177,84077,84977,86177,86777,88277,89177,90377,91577,92177,92877,93777,94277,95177,96377,98377
