Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user3232700585171816769,1777,2877,3977,5377,5977,6377,7077,8277,9177,10877,11377,11977,12877,13777,14577,15477,16677,17777,18677,19577,20277,21577,22077,23177,24177,25377,26577,27277,28177,28977,30777,31777,33177,34077,35277,36577,37477,38377,39977,41177,42177,43077,43677,44877,45377,47077,47677,48977,49577,50777,51577,52377,53077,54377,55177,55977,56577,58077,59177,60077,61177,62677,63877,64477,65177,65777,66777,67777,68877,69577,70277,70877,71577,71977,72677,73077,74277,75477,76877,77677,79177,79977,80777,81977,82777,83877,84677,85577,86377,87777,88977,89777,90877,91977,93277,94677,95577,96777,97977,98777
user8536961916736318240,1984,3384,4384,5984,6984,8484,9584,10384,11184,12584,13584,14284,15484,16384,16984,17984,18784,19884,20784,21184,22384,23684,24084,25284,26084,27384,28184,28984,30284,32084,33584,34484,34984,36084,37084,37584,38284,39384,40284,41384,42184,43684,44684,45784,47184,47884,49084,50084,50984,51784,52684,53784,54784,55984,57384,57984,59584,60684,61584,62584,63084,64384,65184,65984,67084,68184,68884,70184,71784,72984,74284,75284,76184,77184,77684,78584,80084,81384,82684,83584,84484,85084,86484,87184,88184,88984,89984,90484,91084,91884,92484,93484,94284,95384,95784,96784,97784,99184,100184,101384
user4640687271668624146,1270,2270,3370,3870,4470,5270,6070,7270,8170,8870,9570,10370,10970,11870,12770,13170,14070,14770,16170,17170,18570,19170,19970,20870,21970,22870,23670,25470,26570,27570,28470,29370,30070,30870,32170,32870,34270,35370,35970,37570,38470,39470,40270,40870,42370,43670,44870,46170,46870,47670,48670,49570,50970,52070,52770,54070,54970,55670,56770,57270,58270,59370,60570,60970,62170,62970,63370,64570,65670,66170,67670,68970,69470,70670,71970,73170,74170,75170,76070,76870,77470,78570,79170,80170,81170,81970,82670,83570,85170,86170,87370,88670,89770,90470,91070,92270,93570,94970,95970,96470
user4746854945224278505,1675,2775,4075,5075,6475,7375,7775,8475,9675,10775,11175,12175,12975,14375,15175,16275,17175,18075,19475,20475,21575,22675,23375,24175,25075,26375,27175,28075,29275,30475,30975,31875,32675,33875,34875,35475,36675,37575,38575,39375,40375,41575,42475,43375,44275,45075,46375,47875,48975,50075,50575,51775,53175,53575,54375,55875,56675,56975,57775,58575,59675,60375,62075,63075,63775,64375,65175,65975,67075,68375,69275,69975,70375,71375,71675,72775,73775,74975,76075,77975,79275,80075,81475,81975,82975,83575,84875,85575,86775,87575,88875,89575,90475,91275,92075,93075,94075,95975,97175,98575
user2996592682669871081,1574,2474,3674,4974,5974,7374,8074,8974,9674,10774,11874,12474,13374,14174,15174,15874,16974,18274,19674,20774,21374,22074,23174,24674,26074,27674,29374,30074,31174,31874,32774,34074,35774,36774,37274,38074,39174,40574,41274,41674,43074,43974,44874,45874,46874,47774,48674,49274,50374,50674,51574,52774,52974,54074,55574,56774,57974,58974,60674,61974,62774,63974,64574,65274,65974,66574,67574,68074,69174,69974,70874,72274,72774,73674,74574,75374,77074,78374,79574,80074,81474,83174,84374,85674,86374,86874,87974,88574,89274,90474,91874,93174,94274,95474,96374,97174,98174,98974,99674,100574
user6873002678636213555,1872,2572,3472,4172,5272,6572,7672,8972,9672,10472,11472,12272,13172,14972,16272,17472,18872,20072,21072,22472,23772,25172,26272,27072,28072,28972,29972,31372,32272,33372,33972,34972,36272,37372,38372,39572,40272,40972,42172,43072,44072,44972,46072,46872,47572,48572,49172,50572,51172,52272,53472,54672,55672,57072,57372,58472,59172,59972,60472,61372,62272,63272,63672,64372,65172,66072,67272,68272,69972,71472,72372,72972,73772,74472,76072,76872,77972,79972,81072,82372,83772,84772,85672,86772,87472,88272,89472,90472,91872,92672,93872,95072,95772,96472,97972,98472,99372,100172,101572,102972
user5561033025926542844,1870,2770,3870,4870,6070,7070,7870,9270,9770,10970,12570,13170,14170,15370,16270,17670,18570,19170,19870,20770,21570,23070,24070,24970,26370,27270,27870,28670,29270,30070,30970,31770,33070,34670,35970,36970,37370,38770,39370,40170,41370,42370,42570,43370,43970,45270,46170,47370,48370,49670,50370,51170,52470,53770,54470,55470,56670,57170,57570,58570,59770,60770,61970,62870,64270,65570,66270,67070,67670,68670,69470,70670,71870,73370,74370,75570,76070,77470,78570,79370,80170,81270,81970,82970,83970,85170,86370,88070,88670,88970,89770,90470,91170,92170,92770,93670,94170,95370,96470,97370
user1699583181824442426,1577,2377,3377,4677,5777,6677,7777,8577,8677,9777,10977,11377,12377,13277,14677,15977,17277,18077,19077,19777,20877,22277,23077,24077,24677,25877,26977,27777,28277,29177,30377,31177,31577,32677,34077,34977,35977,36977,37477,38377,39077,40577,41977,42777,43477,44277,45277,46177,47577,48477,48977,50077,50877,52177,53277,53577,54477,56077,56977,58077,59277,60277,61277,62977,63977,64677,65777,66577,67477,67777,68977,69977,70977,71977,72877,74277,74877,76377,77377,78277,79577,80677,81077,81577,82177,82677,83277,84077,84977,85877,86677,88077,88777,90077,91477,92077,93477,94877,96077,97177
user6752434813728457588,1284,2084,2284,4084,5084,5984,7084,8184,8984,9784,11084,12384,13784,14484,15184,16084,16584,17684,18984,20184,21284,22084,22884,23784,25484,26684,27684,29484,31284,31884,33084,33984,34984,36084,36984,38184,39384,40284,41384,42084,43584,44484,45084,45984,47284,48384,49184,50284,50884,52184,53284,54484,55484,57084,58584,59284,60284,61084,62284,63284,64384,65484,66284,67184,67784,68584,69184,70184,70684,71384,72684,73184,74384,75384,76384,77884,79084,79884,80784,82184,83384,84484,85684,86484,87084,87884,88784,89584,90184,91184,92484,93384,94384,95584,97084,97584,98784,99784,101184,102484
user8873773035044668275,2283,3583,4883,5183,6383,7383,8183,9283,10483,12183,13583,14083,14883,15983,17083,18183,19183,19883,20783,22283,23383,24183,25083,26083,26783,28383,29283,30483,31583,33183,33783,34383,35583,36383,37083,38183,39183,39783,40483,41183,42583,43583,44583,45483,46683,47783,48983,49383,50483,51283,52283,53483,54583,55883,56683,57783,58383,58683,60383,61183,62083,63283,64183,65183,65883,66983,67983,69383,70083,71083,71883,72583,73583,74583,75683,76683,78383,79283,80283,81283,81983,82883,84383,84983,86383,87283,88483,89383,90283,91683,92683,93983,95083,95983,96583,98183,99083,100383,101383,102283
user5917490478118402616,1780,2680,3580,4880,5780,7580,8180,9080,9880,10680,11280,11780,12580,13380,14680,15580,16080,17280,18280,19680,21180,22380,23180,23780,24380,25280,26380,27280,28080,28980,30080,31280,32680,33580,34180,34880,36380,36780,37680,39180,40080,41380,42680,44080,45280,46880,47980,49280,50180,51280,52580,53280,54080,55480,56680,58080,59280,60080,60980,62180,63380,64380,65180,65680,66280,67580,68580,69480,70380,71580,72580,73180,74380,74980,76280,77280,78080,79180,79980,80780,81780,82980,83980,84980,85880,86780,88080,88880,89380,90480,91380,92680,93780,95180,96580,97780,98380,99380,100080,101780
user306556647191877105,2068,2768,3668,4768,5568,6468,7468,8268,9468,10368,11868,12968,13468,14868,15968,16868,17668,18768,19468,20368,21468,22968,23468,23968,25268,26268,27468,28668,29668,30468,31668,32368,33068,33768,34668,35768,36568,37668,39068,39868,41168,42368,43768,44668,45968,46668,47868,49468,50768,52268,53168,54468,55968,57168,58768,60368,60868,61868,62568,63368,63968,65068,65968,67168,67968,68668,70068,70968,71568,72368,73068,74168,74568,76368,77468,77668,79168,80168,80968,81968,83068,84468,85268,86268,87168,88468,89968,90568,91668,93168,93968,94668,95868,96668,97768,98768,99968,100568,101668,102668
user2061505091765552210,1883,3083,3683,4483,5283,6183,7383,7983,8883,9683,10683,11683,12583,13683,14683,15283,15983,17483,18483,19183,20783,21983,22983,24283,24983,25983,26783,27983,28883,30283,31683,32483,33383,34383,35183,36383,37083,38083,38883,39883,40783,41583,41983,42483,43283,44683,45883,47383,47683,48783,49883,51283,52183,52783,53983,55383,56283,57483,58083,58783,60183,60883,62183,63183,64083,65783,66883,67783,68783,69783,70783,71983,72883,73583,74383,75783,76483,77383,78683,79583,80683,81183,82583,83783,84183,85583,86183,87583,88183,88883,90183,91683,92583,93383,94383,95283,96483,96883,98083,98383
user7456195669291483653,1681,2781,3681,4781,5781,6581,7781,8981,9981,10881,11781,13281,13881,14881,15881,16681,17881,19281,19681,20981,21481,22481,23981,24381,25081,26481,28081,28881,29881,30881,31681,33681,35181,35781,36681,38081,39481,40581,41981,42681,43381,43881,45081,46081,47081,48081,49181,50181,51181,52581,53381,54881,55681,56881,58181,59181,60081,61281,62181,63181,63781,64381,65681,66981,67681,68181,69281,69981,70681,71681,72581,73481,74381,75081,76181,76881,77681,79381,80481,81181,81881,82681,83581,84981,86481,87481,88181,89381,90481,91881,93081,93781,94781,96281,97281,97481,99181,99881,100781,101781
user3705381365546463392,1976,2976,4676,5876,7076,7976,8876,9676,10976,12176,13376,14776,15376,16276,17376,18976,20176,21376,22176,23176,24276,24776,25276,26376,27676,28576,30176,30976,32276,33376,34376,35576,36676,37076,37976,39676,40776,41876,42676,43476,44376,45876,47776,48776,50176,50876,51676,52776,53576,54476,55776,56476,57376,58376,59976,61476,62176,62876,63776,64876,65276,66376,66976,67476,68976,70176,71476,72476,73476,74476,76076,77276,78076,78876,80076,81176,82476,83676,84076,85576,86476,87176,88176,89476,90676,91676,92576,93276,94276,94976,95176,96576,97776,98676,99876,101376,102276,103176,103976,104876
user633995401461691778,1878,2578,3578,4278,5078,6478,7378,8478,9878,10378,10678,11378,12378,13578,14678,15778,16278,17278,17878,19378,20178,20878,22378,24278,25178,25978,26678,28478,29378,30878,32078,33278,34178,35378,35878,37778,39378,40778,42078,43478,44478,45278,46178,46978,47978,49178,50378,51478,52378,53078,54278,55178,55878,57378,58178,58978,59978,61078,62278,63278,63978,64778,66078,67378,68178,69578,70578,71678,72478,73778,74478,74978,75578,76878,77478,78678,79778,81178,81778,82078,82878,84278,85578,86278,87378,88478,89678,90678,91778,92678,93778,95078,96678,97178,98278,99678,100878,102478,103578,104178
user6279754033353810965,1981,2481,3081,3881,5081,6181,7081,8281,9181,10781,11381,11881,12381,13481,14181,14981,15681,17181,18681,19981,20581,21081,21781,22381,23381,24581,25581,26481,27581,28181,29581,30381,31581,32381,32981,33981,35481,36881,37481,39081,40581,41281,42281,42981,43781,44481,45281,45881,47281,48381,49481,50581,51281,52081,53181,54281,54881,56281,57381,57881,58681,59481,60681,61981,63281,63681,64381,65681,66881,67981,68581,69381,70581,71181,72381,73481,74681,76181,77181,78181,79381,80681,81781,83081,83681,84981,85881,86981,87881,88981,89881,90781,91181,92181,93281,94081,94881,95681,96381,97481
user7471155821155725709,2271,3171,4371,5171,6071,7071,8471,8771,9771,10971,11371,12771,14171,15471,16371,17371,18271,19671,20371,21271,22071,23371,24071,25371,26571,28271,29871,30971,31771,32571,33171,33871,34671,35871,36671,37671,39171,40271,40771,41671,42971,43971,44471,45871,47671,48571,48871,50071,51171,52171,53371,54071,55071,56171,56871,58471,59371,60171,62171,63571,64471,65271,66871,68271,69671,70771,71871,73171,74071,74871,75871,76871,77571,78671,79471,80571,81871,82571,83071,83771,84871,85371,86271,87371,87671,89171,89871,90771,92271,93371,94271,95371,95971,97371,98471,99371,100471,101671,102371,103471
user764277275702281672,1978,2878,4278,5478,7278,7678,8978,9978,10678,11678,12978,13478,14478,15278,16178,17378,18778,19578,20478,21778,22778,24078,25178,25978,26478,27478,28778,30178,31078,31478,32078,33278,33878,35178,35878,37478,38178,40278,41078,41878,42578,43578,44778,45978,47478,48478,49778,50478,51178,51978,53078,53778,54278,55078,55878,56878,57578,58478,59078,59878,60878,62478,63478,64078,64578,65878,66678,68178,69478,70078,70778,71478,72778,74378,75078,76778,77178,78178,78878,79878,81078,81878,82578,83278,84678,84978,86278,87078,88178,89278,89978,91778,92978,93978,95478,96578,97478,98478,99878,101378
user5233812586874570054,1680,3280,4480,5480,6380,7880,9280,10680,11680,13080,13980,15080,15980,16880,17980,18680,19280,20780,21580,22280,23180,24880,25580,26380,27580,29180,29480,30580,31680,32780,33980,35780,36980,37880,38680,39680,40980,41580,42680,43780,45080,46380,47680,49280,50280,51480,51980,52880,54280,55380,56680,57780,59180,59880,61080,61980,63280,64380,65280,66980,68080,69180,69880,70580,71580,72280,73080,73980,74980,75880,77780,78680,79980,81080,82180,83380,84480,85280,85880,87280,89180,90380,91280,92480,93280,94080,95580,96280,97280,98380,99880,100580,101480,102780,103380,104480,105280,105880,106980,107580
user8743272845586236498,1976,3976,4776,6176,7176,7976,8576,9576,10876,11776,13176,14076,15076,16876,17876,19076,19676,20876,21976,23176,24776,25676,26276,27076,27876,28776,29576,30376,31376,32676,34476,35176,36276,37376,39076,39576,40576,41176,42176,42876,43776,45176,45876,46976,48076,48976,49976,50676,51576,52876,54076,55276,55576,56876,58576,59576,60476,61176,62076,63376,63976,64776,65476,66876,68076,69076,69976,71076,72176,72676,73576,74376,75376,75876,76976,78676,79576,80276,81476,82576,83776,85376,85876,86576,87976,89276,90476,91176,92276,93276,94176,95076,96476,97176,98176,99676,100276,101476,102276,103576
user190674964303388819,2579,3879,4379,5479,6379,7579,8579,10179,11379,12379,13379,14279,15679,16279,17279,18479,18879,19979,21179,22179,23479,24779,26079,26579,27379,28379,30079,31379,32479,33379,34679,35679,36679,37779,39679,40379,41979,42779,43579,44479,44979,46179,47179,47879,49079,49579,50079,50679,51279,52379,53479,54279,55479,56679,58179,59279,59679,60079,60879,61979,63079,64179,65079,65879,66979,67779,69379,70579,71379,72579,73179,73679,75279,76179,76579,77479,77979,79279,80479,81579,82479,83679,84579,85579,86679,87879,88979,89779,90679,91579,92579,93579,94879,96279,96879,98879,99279,99979,100679,101679
user6993570543543969522,1985,3085,4385,5585,6485,7585,8385,9685,11385,12785,13485,14785,15785,16785,18385,19085,20485,21585,22785,23685,24285,25085,25985,26785,27485,28285,29285,29785,31085,32285,33185,34085,34885,35985,36885,37685,39285,40485,41685,42285,42985,44085,45085,46085,47685,48585,49385,50085,51185,52285,53185,54285,55285,56485,57685,58285,58985,59585,60885,61785,62385,63485,65785,66885,68585,70185,70285,71785,72785,73685,74485,75585,76785,77785,78285,79185,80185,81085,81785,82785,83985,85285,86185,87085,87885,88885,89785,90485,91285,92485,93685,94785,96185,97685,98685,99685,100885,101685,102885,103085
user6400321898261566932,1878,2778,3978,5078,5778,6978,8578,9778,10778,11478,12778,13578,15178,16078,17078,18978,20378,21478,23278,24878,25478,26278,27578,29178,30078,30778,31578,32378,33178,34378,35778,37278,38378,39378,40678,42178,44078,44978,45978,47478,48978,50678,51778,52478,52678,53878,55678,57478,58378,59178,59578,60178,61078,61678,62878,63678,64778,65978,67678,68778,69878,71078,71678,72778,73078,74378,75378,76878,77878,78878,80278,81078,82578,83278,84278,84678,85578,86678,87578,88378,88878,90178,90778,91878,92878,93978,94978,95578,96778,97578,98478,99478,100678,101478,102178,102378,103878,104578,105478,106178
user5349475954545216457,2377,3177,4777,5577,6777,7977,8577,9477,10577,11377,12077,12977,14577,16177,17177,18177,18877,20477,21577,22277,23377,24077,24977,25877,26777,27377,28077,28577,29777,31177,32477,33477,34077,35277,36877,37877,38577,39777,40377,41077,41977,42577,43977,45377,46177,47077,47877,48377,49377,49977,50477,51677,52777,53777,54877,56177,56877,57577,58577,59477,60577,61877,62977,63777,64477,65477,65977,67377,68177,69277,70177,71677,72677,73577,74777,75677,76777,77877,79277,80377,81277,82077,83377,84177,84977,85977,86877,87977,88977,89577,89977,90377,92377,93077,94177,95077,96377,97277,98577,99377
user759031133170873543,1974,2974,3774,4874,5874,7074,8174,9374,11074,12174,12974,13874,15074,15474,16374,16974,18074,19174,19874,20874,21974,23074,24474,25974,26574,26974,27674,28974,29874,30974,32374,33374,34474,35474,36274,38074,38674,39274,40474,41074,42174,43274,44274,44774,45974,47174,48174,48874,49774,50674,51674,53074,54274,55074,56774,57674,58874,59374,60474,61374,62974,64274,64974,66174,66974,68474,69474,70674,72074,73374,74774,75374,75974,76974,77574,78174,78774,79074,80274,81574,82874,83974,84774,85874,87074,87674,88674,89774,91074,92174,92974,93674,94874,96574,97674,98574,99274,100374,101374,102574
