Key,Run1
user3131779054147570539,2400
user6761807177766992950,2500
user6280313993865951413,2400
user4509845436915893804,2700
user768963457721549353,2700
user1106334536542039836,2500
user1116266861092715646,2500
user3599432007208650916,2500
user1834769553302141884,2600
user296624322641201295,2300
user7717537693502645772,2400
user8516755622340668055,2600
user1689869172491608499,2500
user5098066254884730148,2700
user407478178216123335,2600
user301870465172609424,2900
user8502137115770724564,2800
user4288356040983891607,2600
user7577105179493538185,2500
user8632978950523454906,2400
user1357744236202526145,2600
user3700135223015055263,2700
user2760703095385767276,2800
user633995401461691778,2700
user2408371864701034737,2600
user5947069136552588163,2200
user4635099483842917452,2800
user4630973262335790219,2600
user4283888174182465809,2700
user4770627500614915475,2500
user5580679359810052581,2600
user2755675268072201030,2600
user3458657847905244764,2600
user517553758061063044,2700
user3348582268060305055,2800
user4736362660161462247,2400
user1714201688394385917,2700
user1367116600241061507,2600
user527827727906037419,2700
user1799944752336548208,2700
user1010099187537061287,2900
user7093932114056075304,2500
user2996251037375572516,2700
user6651731597922053241,2500
user5691314900167132738,2200
user523359861104611621,2600
user9220858123197992685,2500
user8743832806098376946,2700
user6762367138279133398,2500
user6983856534211135595,2700
user5229126404855302373,2400
user4409702181621629905,2300
user4519559446248727731,2800
user4399209896558813647,2600
user7938808774216806086,2600
user8869086853025400594,2500
user985766671634283869,2500
user2302422506363222261,2300
user638681583480959459,2800
user7923630307134722147,2700
user2870437029936408420,2700
user7460663536092909451,2600
user3932116904009873718,2500
user6390389573710891122,2800
user6535289954521424507,2700
user2292708497030388334,2800
user6068196961972484578,2700
user1353058054183258464,2700
user2755115307560060582,2400
user7109452226432457808,2700
user2172482277416930932,2700
user3121846729596894729,2700
user1699583181824442426,2500
user3821263048434951678,2500
user3705941326058603840,2500
user9221418083710133133,2600
user5701465539935650431,2700
user4524463943485837295,2500
user5223880262323894244,2500
user3233042230466115334,2400
user8276179853037296569,2500
user3831195372985627488,2300
user3227454442640408640,2600
user8622704980678480531,2400
user8044198172042478114,2500
user3584813500638707425,2700
user774209600252957482,2400
user8873773035044668275,2700
user3937144731323439964,2600
user1583919814153796023,2900
user884285180097897191,2700
user5470603779965112872,2400
user8854468346455457103,2700
user8174698361500909891,2400
user2061286776547710327,2800
user4168006491293977523,2400
user5817347222824138717,2600
user5927982763181218874,2500
user7828173233859725929,2200
user7807966939464075744,2900
user4273955849631789999,2300
user5364654421627300396,2200
user1960583560741305980,2600
user7822927091328317800,2700
user3821481363652793561,2800
user6058824597933949216,2300
user1005631320735635489,2500
user7928534804371831711,2800
user7832859415878993610,2700
user3368228601943814792,2400
user6290028003198785340,2300
user4741048842180729928,2400
user70107099395632852,2800
user6868534811834787757,2700
user4419416190954463832,2500
user3921624618947057460,2600
user4153387984724034032,2900
user5475289961984380553,2700
user9220639807980150802,2400
user55146947531390796,2300
user5335075763193114849,2400
user2282776172479712524,2800
user879817313296471393,2300
user9090357933739560908,2400
user4876795174170569834,2700
user9004614869797398617,2600
user306556647191877105,2700
user1940718911639954360,2500
user3826167545672061242,2600
user5103872357928278725,2600
user2186540823474733975,2600
user4640687271668624146,2600
user4158634127255442161,2400
user2176826814141900048,2600
user3565167166755197688,2700
user5213947937773218434,2500
user8964543926300396812,2200
user990452853653551550,2200
user7466469639136458028,2800
user3343336125528896926,2700
user4746854945224278505,2800
user6048332312871132958,2700
user9110004267623070645,2400
user1684623029960200370,2700
user8526469631673501982,2500
user6878248821167621684,2500
user70667059907773300,2800
user4288574356201733490,2800
user4042752444366953875,2500
user7229460130828073327,2400
user7340313986402995367,2700
user3227796087934707205,2600
user6525917590482889145,2600
user2890643324332058605,2400
user7118824590470993170,2400
user3714753729584998754,2600
user2745182983009384772,2400
user3001278864689138762,2600
user8517097267634966620,2800
user8295266226408665858,2800
user7566831209648563810,2800
user3232700585171816769,2600
user5806854937761322459,2500
user8165325997462374529,2300
user764837236214422120,2400
user8401433899964320217,2400
user4882382961996276528,2500
user6887621185206157046,2400
user995139035672819231,2700
user6873002678636213555,2600
user2282216211967572076,2600
user4067084960269731293,2200
user7687959035068460225,2500
user513427536553935811,2500
user4408923905891647574,2700
user4525023903997977743,2600
user1487684465148817474,2400
user8627391162697748212,2500
user6872442718124073107,2600
user2519225720275956777,2700
user7707045408439829514,2700
user3237168451973242567,2900
user3695449040995787582,2500
user6184078644860972864,2700
user6400321898261566932,2500
user2765389277405034957,2300
user5585365541829320262,2500
user9221199768492291250,2400
user6641239312859236983,2800
user5344789772525948776,2800
user7803280757444808063,2500
user6983296573698995147,2600
user8647597457093398397,2600
user8044416487260319997,2500
user4997704684372624366,2500
user537760052456713229,2400
user6284781860667377211,2500
user1921072577756444623,2800
user5696001082186400419,2700
user6756779350453426704,2800
user1241302592801897411,2900
user7219746121495239400,2700
user5802168755742054778,2500
user7817680948796909671,2500
user4640905586886466029,2600
user2172140632122632367,2500
user8415834091316421825,2700
user6154499986426787317,2600
user5339761945212382530,2600
user3127092872128302858,2500
user1247108695845445988,2600
user5570965350477218654,2600
user2278089990460444843,2700
user6284440215373078646,2600
user3453971665885977083,2400
user4403896078578081328,2700
user7360520280798645552,2400
user1699801497042284309,2600
user7939027089434647969,2700
user3122406690109035177,2400
user7942934995723933319,2600
user2991564855356304835,2300
user4866862849619894024,2900
user658887877876609644,2700
user4520337721978710062,2600
user8999368727265990488,2700
user2523693587077382575,2800
user176616418245585776,2500
user8531155813692769663,2500
user1231588583469063484,2600
user7350587956247969742,2400
user1222216219430528122,2400
user7556898885097888000,2400
user1342784084338284089,2600
user5358848318583751819,2500
user7094492074568215752,2500
user175714812439146763,2200
user2041640442664200590,2400
user3951203277381243007,2500
user3936243125517000951,2800
user4886509183503403761,2500
user8999928687778130936,2600
user8536961916736318240,2600
user7928876449666130276,2400
user8155052027617400154,2700
user1015345330068469416,2300
user8270933710505888440,2800
user7591723686063481676,2600
user4871890676933460270,2500
user8738586663566968817,2400
user4052466453699787802,2600
user7224992264026647529,2700
user8159738209636667835,2500
user865198806726527902,2700
user7817899264014751554,2500
user2754896992342218699,2700
user5811541119780590140,2900
user2051012806702735952,2500
user2403344037387468491,2300
user3348923913354603620,2500
user8405901766765746015,2400
user5450397485569462687,2700
user8411707869809294592,2300
user8984408575401748432,2500
user6159186168446054998,2400
user4404797684384520341,2600
user2639233624671572296,2500
user4163320309274709842,2400
user8753205170136912308,2700
user5822033404843406398,2800
user8396529402727210653,2700
user8864400671006132913,2500
user5711179549268484358,2700
user8874114680338966840,2500
user6752434813728457588,2500
user1603566148037305760,2900
user6858042526771971499,2600
user281664170776959239,2700
user885063455827879522,2900
user5561033025926542844,2700
user2513979577744548648,2700
user773649639740817034,2400
user7682712892537052096,2700
user4891755326034811890,2600
user7239952415890889585,2600
user7711731590459097195,2700
user1101088394010631707,2700
user7919162440333296349,2500
user9115250410154478774,2200
user6058264637421808768,2400
user3011771149751955020,2600
user2649725909734388554,2700
user5581239320322193029,2500
user7934122592197538405,2500
user991012814165691998,2600
user8747959027605504179,2400
user8416394051828562273,2700
user190115003791248371,2700
user1950651236190630170,2800
user3005965046708406443,2800
user8758451312668320437,2500
user1116048545874873763,2900
user5590611684360728391,2800
user6168558532484590360,2500
user4751541127243546186,2400
user6505711296087238960,2600
user1347470266357551770,2600
user1125980870425549573,2500
user2287803999793278770,2500
user2171580671610491919,2700
user4152828024211893584,2500
user3237728412485383015,2600
user6988884361524701841,2300
user195921106834796948,2700
user6737474661864215532,2500
user2865750847917140739,2500
user5108558539947546406,2500
user5585925502341460710,2400
user9125182734705154584,2400
user8984750220696046997,2600
user7354714177755096975,2600
user1357184275690385697,2700
user986326632146424317,2900
user2046326624683468271,2800
user3328717618958953435,2400
user2759801489579328263,2400
user7943494956236073767,2500
user8637323487248424022,2700
user1251794877864713669,2500
user4188212785689627708,2700
user291938140621933614,2500
user3685735031662953655,2500
user4993018502353356685,2500
user1693995393998735732,2500
user2529499690120931152,2600
user9119936592173746455,2500
user3946517095361975326,2500
user7456755629803624101,2600
user6867756536104805426,2500
user7933562631685397957,2700
user8049444314573886243,2500
user4172692673313245204,2600
user6993788858761811405,2500
user5807414898273462907,2400
user5595857826892136520,2600
user2634547442652304615,2600
user4294162144027440184,2500
user4515091579447301933,2300
user7812994766777641990,2600
user3936803086029141399,2400
user7475842003174993390,2400
user884845140610037639,2700
user3454531626398117531,2500
user9210925798647316875,2500
user4862176667600626343,2900
user8989654717933156561,2700
user4760913491282081548,2400
user4881823001484136080,2700
user7456195669291483653,2600
user6399761937749426484,2300
user9104976440309504399,2500
user6289686357904486775,2300
user7572077352179971939,2500
user4530051731311543989,2500
user7813213081995483873,2500
user6274507890822402836,2600
user4650619596219299956,2800
user663014099383736877,2700
user2645039727715120873,2500
user3011211189239814572,2300
user3941830913342707645,2400
user6053018494890400639,2200
user6410035907594400859,2700
user8527029592185642430,2700
user3690421213682221336,2700
user899463647179981130,2500
user8768165322001154364,2700
user2071219101098386137,2700
user406918217703982887,2600
user2177168459436198613,2600
user4046878665874081108,2600
user5701807185229948996,2700
user2866310808429281187,2600
user8280647719838722367,2800
user512867576041795363,2700
user1478312101110282112,2700
user6757120995747725269,2400
user8632637305229156341,2700
user7461223496605049899,2600
user4413610087910915255,2600
user9100071943072394835,2500
user2272843847929036714,2800
user1704487679061551990,2500
user3589717997875816989,2700
user8521783449654234301,2600
user1829523410770733755,2400
user4741608802692870376,2600
user3825389269942078911,2500
user9115468725372320657,2600
user8868868537807558711,2600
user6968678067129051656,2700
user6419968232145076669,2500
user980520529102875740,2300
user2056258949234144081,2900
user6174364635528138937,2600
user5364094461115159948,2500
user7576203573687099172,2300
user8039170344728911868,2500
user8290580044389398177,2600
user1246548735333305540,2800
user4756568954557112432,2600
user8401215584746478334,2900
user7938248813704665638,2700
user8048884354061745795,2600
user3126532911616162410,2300
user8878800862358234521,2700
user533073870437445548,2800
user2654753737047954800,2600
user6174146320310297054,2200
user2644261451985138542,2700
user5696779357916382750,2800
user3111914405046218919,2600
user2423550331783118676,2300
user3222768260621140959,2400
user5952315279083996292,2600
user3916938436927789779,2700
user7350806271465811625,2600
user7450949526760075524,2600
user6757680956259865717,2600
user3715313690097139202,2800
user5575651532496486335,2300
user880377273808611841,2600
user1840015695833550013,2400
user4192898967708895389,2500
user6767053320298401079,2600
user3575099491305873498,2600
user5324583478130298591,2500
user5122958731299648014,2600
user1945405093659222041,2200
user6656417779941320922,2400
user5927764447963376991,2600
user8164984352168075964,2500
user1372362742772469636,2400
user1000726823498525925,2600
user7345901774228702061,2400
user1468038131265307737,2700
user4168348136588276088,2500
user1704269363843710107,2500
user8150365845598132473,2400
user7335627804383727686,2600
user6646485455390645112,2400
user2750429125540792901,2500
user171028630419879082,2500
user5012323190942567857,2500
user311242829211144786,2500
user9119376631661606007,2500
user6651171637409912793,2700
user7571517391667831491,2500
user2066532919079118456,2500
user3825949230454219359,2500
user8054348811810995807,2500
user2870996990448548868,2600
user412506005529689581,2600
user2780007783974978448,2400
user1578673671622387894,2600
user4756227309262813867,2700
user528046043123879302,2400
user9114690449642338326,2600
user5715865731287752039,2900
user5113586367261112652,2700
user75353241927040981,2400
user2982192491317769473,2600
user5455083667588730368,2400
user417410502766799145,2500
user869884988745795583,2600
user6284221900155236763,2500
user1950091275678489722,2500
user5329829620661706720,2400
user2056600594528442646,2700
user421878369568224943,2600
user3459217808417385212,2700
user8170012179481642210,2500
user7114138408451725489,2700
user3001497179906980645,2700
user6877907175873323119,2400
user8160298170148808283,2500
user8893979329440318460,2200
user5007637008923300176,2500
user3097514213694117311,2700
user64860956864224723,2400
user8054690457105294372,2800
user4037506301835545746,2400
user995698996184959679,3000
user4630413301823649771,2500
user1352498093671118016,2500
user8652283639112666078,2500
user2292490181812546451,2400
user5465015992139406178,2400
user5831747414176240325,2700
user176056457733445328,2500
user3820703087922811230,2400
user643367765500227140,2400
user6063510779953216897,2300
user7827613273347585481,2500
user8184630686051585701,2500
user2774761641443570319,2700
user3016457331771222701,2600
user2413276361938144301,2600
user5586143817559302593,2500
user5566279168457950973,2300
user276977988757691558,2400
user402232035684715206,2700
user4038066262347686194,2500
user7355274138267237423,2600
user3464463950948793341,2600
user769523418233689801,2700
user7350027995735829294,2700
user1352156448376819451,2400
user8511851125103558491,2300
user2534185872140198833,2700
user8859154528474724784,2700
user4057370950936897366,2500
user4887069144015544209,2600
user3107446538244793121,2600
user1467819816047465854,2700
user3112132720264060802,2800
user1825055543969307957,2800
user6641457628077078866,2700
user8637665132542722587,2300
user7003502868094645332,2500
user4505159254896626123,2500
user879598998078629510,2600
user3719999872116406883,2800
user1463133634028198173,2400
user2398657855368200810,2500
user7586477543532073547,2600
user3343896086041037374,2600
user3931338628279891387,2500
user7697331399106995587,2500
user7702359226420561833,2700
user3584471855344408860,2600
user2876024817762115114,2600
user5233594271656728171,2600
user749317123838039616,2600
user9215611980666584556,2600
user4539424095350079351,2600
user874571170765063264,2600
user6516203581150055218,2700
user1805750855380096785,2500
user4302974547553835098,2600
user3589499682657975106,2600
user1810437037399364466,2300
user1718887870413653598,2200
user5827061232156972644,2600
user6285000175885219094,2700
user2528939729608790704,2600
user648613908031635269,2700
user6038618303538299031,2700
user9095604076270969037,2600
user6188764826880240545,2500
user6385703391691623441,2800
user1000385178204227360,2500
user1468379776559606302,2600
user4409483866403788022,2500
user417192187548957262,2400
user2770075459424302638,2500
user4283669858964623926,2600
user9100290258290236718,2300
user2056818909746284529,2400
user7596409868082749357,2500
user1578455356404546011,2500
user6979170352191867914,2400
user5464797676921564295,2500
user2428236513802386357,2800
user1332851759787608279,2400
user6998256725563237203,2500
user6636553130839969302,2400
user6164213995759621244,2500
user5580337714515754016,2800
user6169460138291029373,2700
user3599991967720791364,2600
user3478864142300894949,2500
user6636771446057811185,2600
user5002390866391892047,2600
user1462791988733899608,2500
user170810315202037199,2600
user7446263344740807843,2500
user4655305778238567637,2600
user2181854641455466294,2500
user5918050438630543064,2300
user8527247907403484313,2300
user8411147909297154144,2300
user7948741098767481896,2800
user4761255136576380113,2400
user4534737913330811670,2600
user6626839121507135375,2600
user35282298430039176,2400
user8858594567962584336,2600
user754563266369447745,2900
user4992458541841216237,2500
user6742720804395623661,2400
user2393971673348933129,2600
user8059376639124562053,2600
user8642911275074130716,2500
user1231930228763362049,2700
user8421080233847829954,2500
user4278642031651057680,2700
user166342448400611401,2500
user6520889763169322899,2800
user784141924803633292,2500
user6405568040792975061,2700
user2880710999781382795,2400
user1361870457709653378,2200
user8748518988117644627,2500
user2051354451997034517,2400
user4042192483854813427,2600
user4997922999590466249,2500
user392299711134039396,2400
user2538312093647326066,2800
user2056040634016302198,2800
user8266247528486620759,2400
user2166894489591224238,2900
user5118272549280380333,2700
user5460329810120138497,2700
user874912816059361829,2500
user1472505998066733535,2700
user8989436402715314678,2700
user2644821412497278990,2500
user4997363039078325801,2400
user1941278872152094808,2500
user6872661033341914990,2600
user161096305869203272,2300
user5812101080292730588,2700
user8029797980690376506,2100
user2156962165040548428,2800
user1598320005505897631,2500
user6506271256599379408,2700
user763935630407983107,2500
user292156455839775497,2500
user4891195365522671442,2700
user5113244721966814087,2700
user8632418990011314458,2700
user2629861260633036934,2700
user180742639752713009,2600
user9105318085603802964,2700
user5001830905879751599,2600
user4525365549292276308,2300
user7923848622352564030,2500
user398105814177587973,3000
user2880929314999224678,2600
user5912804296099134935,2600
user7008189050113913013,2600
user3343117810311055043,2500
user2644479767202980425,2400
user8853908385943316655,2600
user1236616410782629730,2700
user1105774576029899388,2800
user4052684768917629685,2500
user1925758759775712304,2500
user759031133170873543,2700
user7089245932036807623,2600
user7692426901869886023,2800
user2162208307571956557,2500
user3705381365546463392,2800
user3810989078589977303,2500
user7123510772490260851,2500
user4872108992151302153,2400
user296064362129060847,2400
user3449285483866709402,2600
user5103094082198296394,2300
user6647045415902785560,2500
user1835329513814282332,2500
user1583359853641655575,2700
user3469150132968061022,2400
user3348022307548164607,2800
user5344448127231650211,2400
user1935691084326388114,2500
user7099738217099623881,2500
user643709410794525705,2500
user8034484162709644187,2700
user8280866035056564250,2500
user7567391170160704258,2800
user7461441811822891782,2600
user2648947634004406223,2600
user3362982459412406663,2700
user7823487051840458248,2700
user2861064665897873058,2400
user2639575269965870861,2600
user2060726816035569879,2300
user1211723934367711864,2900
user8164424391655935516,2700
user8522343410166374749,2700
user5218634119792486115,2400
user3931556943497733270,2500
user4765941318595647794,2700
user397545853665447525,2600
user1347251951139709887,2700
user291596495327635049,2600
user764277275702281672,2600
user8758232997450478554,2300
user5479976144003648234,2600
user4404237723872379893,2500
user7455977354073641770,2400
user4515651539959442381,2600
user3579785673325141179,2500
user2765047632110736392,2500
user658327917364469196,2300
user4182406682646079131,2300
user5937696772514052801,2600
user5228908089637460490,2600
user9004054909285258169,2600
user2277530029948304395,2500
user5696219397404242302,2700
user6993570543543969522,2600
user60393090062798925,2400
user4876576858952727951,2600
user5354162136564484138,2300
user7798594575425540382,2600
user5692093175897115069,2500
user5329269660149566272,2700
user7913916297801888220,2700
user1588947641467362269,2700
user3710067547565731073,2300
user4776433603658464052,2300
user7210373757456704038,2700
user6053236810108242522,2500
user4978058350489114629,2400
user890091283141445768,2500
user1574547450115260661,2600
user5585583857047162145,2500
user2986878673337037154,2400
user402791996196855654,2400
user7215059939475971719,2400
user990234538435709667,2500
user1482998283129549793,2300
user1694555354510876180,2800
user4173034318607543769,2500
user1573987489603120213,2600
user6521231408463621464,2300
user6622152939487867694,2800
user3102200395713384992,2600
user5817128907606296834,2600
user623503116398875520,2400
user4645373453687891827,2300
user8179944504032318020,2700
user3700353538232897146,2600
user4303534508065975546,2700
user8512069440321400374,2700
user2760361450091468711,2400
user4414170048423055703,2700
user412164360235391016,2400
user7234706273359481456,2700
user6882935003186889365,2900
user7330941622364460005,2600
user6048550628088974841,2600
user181302600264853457,2700
user4057152635719055483,2600
user1820151046732198393,2700
user6279754033353810965,2400
user5600544008911404201,2800
user5103312397416138277,2700
user4424102372973731513,2400
user3815675260609244984,2600
user4187652825177487260,2500
user3816016905903543549,2800
user5933010590494785120,2600
user402013720466873323,2600
user6390949534223031570,2700
user2422990371270978228,2500
user2061505091765552210,2600
user1824837228751466074,2600
user2191786966006142104,2500
user6873220993854055438,2600
user55488592825689361,2600
user3468931817750219139,2800
user6415282050125808988,2500
user2543558236178734195,2400
user3801616714551441941,2500
user8733340521035560688,2400
user4626287080316522538,2600
user6400663543555865497,2700
user8752645209624771860,2700
user1453419624695364246,2900
user6395635716242299251,2400
user5460111494902296614,2200
user5474730001472240105,2700
user190674964303388819,2700
user6395075755730158803,2400
user7104424399118891562,2500
user3353268450079572736,2500
user6752093168434159023,2600
user5706493367249216677,2300
user744630941818771935,2700
user4982744532508382310,2700
user6279535718135969082,2600
user8049102669279587678,2800
user2533625911628058385,2600
user3218082078601873278,2600
user1940377266345655795,2500
user4997144723860483918,2600
user1473065958578873983,2600
user1473284273796715866,2500
user3117720508089767496,2400
user6163872350465322679,2500
user7692645217087727906,2600
user3117160547577627048,2700
user6149253843895379188,2600
user6631525303526403056,2600
user6973924209660459785,2200
user5107780264217564075,2300
user7697673044401294152,2300
user5802728716254195226,2700
user2538872054159466514,2500
user1096402211991364026,2600
user1458105806714631927,2700
user4775873643146323604,2600
user5942382954533320482,2400
user7244638597910157266,2700
user6043304485557566712,2800
user1593852138704471833,2500
user8305758511471482116,2600
user9206239616628049194,2600
user6294714185218053021,2400
user2297736324343954580,2700
user1005413005517793606,2500
user7562145027629296129,2700
user5797482573722787097,2500
user296282677346902730,2400
user2408030219406736172,2400
user8637883447760564470,2600
user6762585453496975281,2500
user8044976447772460445,2400
user6178832502329564735,2400
user1945965054171362489,2600
user8979722393382480751,2400
user5243526596207403981,2500
user5223320301811753796,2700
user5821815089625564515,2300
user2417744228739570099,2800
user8396187757432912088,2600
user296842637859043178,2500
user3474177960281627268,2500
user2649507594516546671,2500
user1931004902307120433,2600
user5233812586874570054,2400
user6299400367237320702,2500
user1236834726000471613,2700
user1689309211979468051,2600
user4519777761466569614,2500
user286350352796226920,2800
user653081774833061067,2700
user1111580679073447965,2600
user5108340224729704523,2200
user7235266233871621904,2400
user2307108688382489942,2600
user8155611988129540602,2500
user1588605996173063704,2500
user6511517399130787537,2500
user8743272845586236498,2500
user185988782284121138,2500
user5214507898285358882,2500
user5917490478118402616,2600
user5686287072853566492,2600
user1226902401449795803,2300
user2167454450103364686,2700
user2523911902295224458,2600
user8064062821143829734,2400
user778895782272225163,2500
user7340655631697293932,2800
user60174774844957042,2700
user3926870761478465589,2500
user1468598091777448185,2700
user4520119406760868179,2400
user2413058046720302418,2300
user427124512099633072,2800
user6862728708791239180,2400
user7229678446045915210,2700
user7682152932024911648,2700
user7224773948808805646,2400
user8633197265741296789,2500
user2166676174373382355,2700
user6168900177778888925,2700
user6173586359798156606,2400
user1955337418209897851,2400
user50460765512123115,2700
user3931898588792031835,2600
user4972812207957706500,2800
user1579233632134528342,2900
user185428821771980690,2500
user3338649943509629245,2600
user4293602183515299736,2700
user4298288365534567417,2700
user4047438626386221556,2700
user6530603772502156826,2600
user1121294688406281892,2500
user3333403800978221116,2500
user6501025114067971279,2500
user3242974555016791144,2500
user7466127993842159463,2600
user6747406986414891342,2700
user5923296581161951193,2400
user508181394022527682,2600
user5932668945200486555,2600
user8994122584734582359,2700
user8265687567974480311,2500
user2895329506351326286,2500
user291378180109793166,2700
user3570413309286605817,2300
user663574059895877325,2800
user2528598084314492139,2600
user8637105172030582139,2600
user3806302896570709622,2700
user8618018798659212850,2700
user1709515506375118236,2200
user3927430721990606037,2800
user5349475954545216457,2600
user3710627508077871521,2700
user5127644913318915695,2300
user6978610391679727466,2800
user7460881851310751334,2500
user7471155821155725709,2500
user648395592813793386,2500
user6988542716230403276,2700
user8285552217075831931,2500
user2996592682669871081,2500
user7582009676730647749,2400
user6867974851322647309,2600
user3604678149740059045,2600
user5238840414188136300,2500
user2740496800990117091,2400
user6405349725575133178,2800
user3358296277393138982,2400
user1815123219418632147,2800
user1568741347071712084,2700
user8391501575413644407,2800
user3956449419912651136,2600
user8507383258302132693,2400
user1593633823486629950,2300
user4645591768905733710,2600
user3695667356213629465,2700
user2885957142312790924,2600
user2509293395725280967,2700
user6515985265932213335,2400
user532732225143146983,2900
user1935472769108546231,2600
user3232482269953974886,2600
user8170230494699484093,2700
user3233260545683957217,2600
user894777465160713449,2600
user6033932121519031350,2400
