Key,Run1
user1352156448376819451,2300
user6873002678636213555,1600
user7109110581138159243,1300
user6647045415902785560,2200
user1468038131265307737,1900
user3464245635730951458,1600
user7702359226420561833,1600
user417192187548957262,2200
user1347251951139709887,2500
user4645591768905733710,2200
user3348582268060305055,2200
user6988542716230403276,1300
user4168006491293977523,1700
user8170012179481642210,1600
user4982744532508382310,1300
user4520119406760868179,1600
user1593633823486629950,2000
user3478864142300894949,1300
user6973924209660459785,2300
user2181854641455466294,1800
user5002390866391892047,1500
user3358296277393138982,2200
user1921072577756444623,1400
user3131779054147570539,1800
user1105774576029899388,2400
user8738586663566968817,1700
user1367116600241061507,1700
user2056600594528442646,1200
user5113244721966814087,1500
user8979722393382480751,1800
user1211723934367711864,1700
user8285893862370130496,1500
user291938140621933614,1300
user1463133634028198173,1400
user879598998078629510,3000
user301870465172609424,2200
user7692645217087727906,1800
user4057152635719055483,1800
user1950091275678489722,1600
user7813213081995483873,1600
user533073870437445548,1600
user5108340224729704523,2200
user1583919814153796023,1400
user4288574356201733490,1800
user9119936592173746455,2100
user1010099187537061287,1800
user8743272845586236498,1800
user774209600252957482,1800
user2041640442664200590,1500
user6737474661864215532,1700
user1684623029960200370,1500
user4972812207957706500,1700
user4625727119804382090,2300
user4037506301835545746,1900
user1015345330068469416,1600
user7325695479833051876,2000
user885063455827879522,2000
user8044198172042478114,1500
user296842637859043178,1600
user6405568040792975061,1900
user865198806726527902,1500
user6867756536104805426,1400
user8627391162697748212,1500
user8039170344728911868,1600
user1699801497042284309,1600
user6878248821167621684,1500
user2056040634016302198,1200
user8054690457105294372,2600
user995139035672819231,1500
user3921624618947057460,1600
user512867576041795363,1600
user6862728708791239180,2000
user8527029592185642430,1700
user4042752444366953875,1700
user6501025114067971279,1700
user1372362742772469636,1700
user4192898967708895389,1400
user773649639740817034,1600
user7224773948808805646,1800
user5358848318583751819,1700
user8753546815431210873,1500
user3710627508077871521,1800
user8516755622340668055,1900
user7812994766777641990,1900
user8752645209624771860,1600
user2167454450103364686,1500
user1940377266345655795,1500
user7928534804371831711,2000
user5460111494902296614,1700
user4057370950936897366,1500
user6279535718135969082,1800
user7104424399118891562,1500
user8637105172030582139,1500
user528046043123879302,2000
user6163872350465322679,1800
user4515651539959442381,2400
user3453971665885977083,2300
user5339761945212382530,1500
user6415282050125808988,1700
user4177720500626811450,1900
user7093932114056075304,1500
user7576763534199239620,1900
user623503116398875520,2200
user6762367138279133398,1700
user633995401461691778,2000
user5001830905879751599,1500
user5696561042698540867,2100
user9110004267623070645,1800
user5686287072853566492,1500
user8874114680338966840,1600
user6410035907594400859,1800
user1478312101110282112,1700
user70667059907773300,1900
user6742720804395623661,2100
user4153387984724034032,2300
user397545853665447525,2500
user4741048842180729928,2700
user7466127993842159463,2000
user4288356040983891607,2100
user6867974851322647309,1600
user8415834091316421825,1600
user4640687271668624146,1900
user7943494956236073767,2000
user5460329810120138497,1700
user5213947937773218434,2100
user8044416487260319997,1600
user6178832502329564735,2000
user3719999872116406883,1400
user3464463950948793341,1600
user4881823001484136080,1900
user5223320301811753796,2300
user658327917364469196,2500
user6656417779941320922,1500
user180742639752713009,2000
user4298848326046707865,1900
user2649725909734388554,1800
user2413058046720302418,2100
user6043304485557566712,1500
user4509845436915893804,1800
user6998256725563237203,1600
user5570965350477218654,1700
user4414170048423055703,1800
user2755115307560060582,1700
user4891755326034811890,1900
user4409142221109489457,1400
user286350352796226920,2200
user1598320005505897631,2300
user3810989078589977303,1700
user6274507890822402836,1900
user5595857826892136520,1800
user3695449040995787582,2000
user6284781860667377211,2000
user3565167166755197688,1600
user4524463943485837295,1700
user3705381365546463392,1800
user2533625911628058385,1900
user6641457628077078866,2000
user8512069440321400374,1700
user5464797676921564295,1400
user8632978950523454906,1600
user3348022307548164607,1800
user2648947634004406223,2000
user7239392455378749137,2200
user1799944752336548208,1900
user8048884354061745795,2200
user7460663536092909451,1500
user1000385178204227360,1600
user7717537693502645772,1700
user648395592813793386,1700
user7224992264026647529,2100
user1583359853641655575,1700
user7798594575425540382,2100
user4630973262335790219,1900
user653081774833061067,2100
user2307108688382489942,2100
user527827727906037419,1900
user2861064665897873058,1800
user3368228601943814792,1700
user879817313296471393,2400
user5696001082186400419,2900
user8758232997450478554,2100
user7934122592197538405,1400
user6284221900155236763,2000
user6525917590482889145,1700
user5219194080304626563,2000
user7350806271465811625,1900
user2509293395725280967,2200
user5214507898285358882,2000
user7933562631685397957,2700
user4419416190954463832,2100
user3594185864677242787,2700
user4776433603658464052,1400
user8179944504032318020,2100
user5802728716254195226,2000
user7094492074568215752,1700
user3700353538232897146,1300
user8964543926300396812,1700
user3599991967720791364,1700
user1578673671622387894,1600
user2060726816035569879,2200
user869884988745795583,2200
user9110564228135211093,2000
user4650619596219299956,1700
user8160298170148808283,2300
user7817680948796909671,2100
user3232700585171816769,2200
user5797482573722787097,2000
user5711179549268484358,2000
user6887621185206157046,2100
user1000726823498525925,2300
user6053018494890400639,2000
user2523693587077382575,2300
user4862176667600626343,1600
user1824837228751466074,2000
user5580337714515754016,2100
user9090357933739560908,1700
user8637883447760564470,2300
user8054348811810995807,1800
user6400321898261566932,1700
user1588947641467362269,2000
user4404797684384520341,2000
user5107780264217564075,2000
user8416394051828562273,1700
user1487684465148817474,1900
user7591723686063481676,2000
user7099738217099623881,1900
user6515985265932213335,2200
user8411147909297154144,2100
user1694555354510876180,2000
user7697331399106995587,1700
user35282298430039176,2000
user1955337418209897851,1900
user166342448400611401,2000
user2649507594516546671,2000
user4635099483842917452,1500
user8758451312668320437,2000
user6299400367237320702,2100
user4746854945224278505,2300
user1704269363843710107,1900
user2765389277405034957,2300
user190674964303388819,1700
user7335627804383727686,2400
user1603566148037305760,1800
user3936803086029141399,2200
user6752093168434159023,2000
user1467819816047465854,1900
user8854468346455457103,2200
user899463647179981130,2000
user9119376631661606007,1600
user8507383258302132693,2200
user4409702181621629905,2000
user181302600264853457,2000
user3449285483866709402,1800
user2176826814141900048,1600
user880377273808611841,2300
user7682152932024911648,1500
user4770627500614915475,2500
user8295266226408665858,2300
user3117160547577627048,2000
user3459217808417385212,2500
user7123510772490260851,2100
user3333403800978221116,2100
user2162208307571956557,1700
user2885957142312790924,1600
user5827061232156972644,2000
user5329269660149566272,1600
user2986878673337037154,2000
user8155052027617400154,2000
user1472505998066733535,2200
user1704487679061551990,2700
user2755675268072201030,2200
user5701465539935650431,2000
user2534185872140198833,2000
user5233594271656728171,2000
user7210373757456704038,2000
user4052466453699787802,2000
user2644261451985138542,1900
