Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user1820151046732198393,1600,4600,4700,6100,7100,8500,10000,11800,14000,14300,16900,18500,20300,21000,22600,23500,25300,27400,28300,30100,33700,32600,34400,36000,38100,39000,40900,42300,43800,44800,46900,47400,49400,50600,52300,53600,54900,56100,57200,60300,61400,62500,62800,65100,66900,61800,69700,70800,72100,74700,68400,77200,77500,79300,81200,82600,83400,85000,86400,88200,90000,91800,93000,94000,95200,97800,98600,100000,100800,101500,104100,105100,108100,107700,109400,111700,111900,114000,114900,116100,116500,119400,121600,121600,121900,124700,126300,125500,129100,130000,130700,132900,134200,136200,137500,139000,138500,143400,143000,144400
user6873002678636213555,1500,3000,4700,6000,9400,9200,11000,11700,13700,15400,16900,18700,19000,21100,23000,24400,25300,27600,28100,29700,31300,33000,34400,37000,36700,39000,40700,41700,43200,44900,46500,48100,49400,50400,51800,52800,54900,57000,58500,59900,61000,62700,63400,65500,66600,67900,69500,71100,71500,73700,75400,76100,77700,79100,81100,82200,84000,85600,87100,88600,90400,91100,92600,94100,95000,96400,99400,99400,100300,102200,104000,105000,106300,108200,108200,113100,111600,112300,115000,115900,117600,119400,121400,121400,124000,124400,126300,128100,129100,130100,132500,133500,133900,136100,138300,138800,140100,140900,142500,144400
user7923848622352564030,1400,3200,5400,5800,7000,9500,10400,11700,14000,17500,16900,18900,19200,22000,23200,24000,25500,27200,28200,29800,32400,33000,34200,35300,37600,38800,39900,42500,43200,47000,45700,47600,48900,50700,51500,53700,55500,57000,57900,59600,61000,62100,63200,65500,66700,67900,69400,71000,73800,74800,75400,76900,78200,79900,80900,82600,84400,85200,86200,89000,91200,91200,92900,94100,95500,96000,97700,99300,100800,102600,104100,105700,107000,108500,110200,110500,112300,113100,114200,116200,118300,119800,121000,121500,123300,125200,126000,127300,128200,130500,132400,133600,134600,136200,137300,139600,140000,141500,143000,144200
user6289686357904486775,1500,3300,5000,5800,7600,9300,11800,12300,13600,15400,16200,18500,20000,20900,22700,25300,25100,27500,28300,29800,31000,33900,34200,35900,38900,39700,40900,41600,43300,44900,46700,48100,49000,50900,51500,53700,55400,56700,58100,58800,61000,62500,64500,65100,67000,68100,69500,70700,72700,74000,75200,76700,78100,79800,81400,82400,83400,85400,87200,89000,89200,91900,92200,92700,95200,96900,97800,98800,100600,102700,103400,104300,105600,107300,109500,111000,112600,113300,115700,117400,118800,119900,120200,122700,123600,124000,126100,126700,129500,130200,131900,133200,134100,136000,137500,138400,140900,140800,142500,143400
user6978610391679727466,1200,3500,5200,8000,7400,8700,12600,12400,14500,14900,16500,18600,20000,21400,23000,24400,25300,27500,29500,30000,31800,33000,34700,35800,36800,39000,40600,42400,44000,44500,46300,47700,49000,50600,52600,53100,55000,57400,58000,59800,61100,61700,63400,67000,67100,68400,70000,71900,72900,74000,76600,76500,78300,80200,80300,82400,83000,85400,87000,88200,89900,91500,92100,94500,95200,95300,98200,99500,100300,102300,104400,103800,107300,108000,111900,110800,113400,113700,114500,116400,118300,118200,120600,121900,122900,124400,126100,127700,128900,130800,131500,133600,134900,135900,136900,139500,140300,141200,129000,145400
user5817128907606296834,1300,3800,5000,6300,8000,9100,10200,12500,14000,15100,17300,18600,19500,21500,22900,24100,25800,27800,29400,30300,32000,33500,33900,35900,37200,39400,40700,41800,44300,44500,46000,47600,49000,51200,52100,53100,54900,56500,58000,59900,60400,62800,64200,65200,66800,68600,69200,70800,73600,74100,75200,76600,78400,78600,82000,82500,84200,85900,87200,88600,89300,91100,92700,93200,95600,96600,97900,99300,100400,103000,104300,104800,106700,108200,109800,111500,112900,114000,115800,116800,118800,119200,120300,121400,123800,124600,127000,127700,128400,130200,131500,133700,134400,136100,137800,138800,140400,141800,143700,144100
user532732225143146983,1600,2800,4300,6400,7400,9100,10300,12900,13700,18500,16700,18100,19500,21000,22800,24200,25400,27000,29300,30300,31800,32500,35300,35300,37500,39100,42300,42000,42700,44700,45800,48100,48900,51100,52700,54100,55300,56600,57800,59900,60600,62300,63600,65100,66800,68600,70200,71300,72300,74200,75400,76600,78500,79900,81300,82600,84800,85400,86900,88100,89900,91100,92500,94300,95300,97200,97900,99600,100700,102600,105000,105200,106200,108500,111300,110500,112100,113500,114700,116300,118300,119200,121000,124100,123400,125400,126600,126300,129400,130600,132400,133200,134700,135900,137100,139300,140500,141400,144000,144600
user5585583857047162145,1300,2800,5500,5900,7700,10000,10700,12300,13500,15400,16700,18000,19800,21200,22500,24100,25500,27100,28700,30400,31500,33000,34700,35900,37400,38300,40900,41600,43600,45000,45600,47100,50100,50500,51800,53200,54800,56500,57200,58900,60500,62100,63600,65200,65400,67800,69800,70900,72400,73300,75500,76500,78900,78600,73200,85800,84800,85000,87500,88700,90000,91700,92400,94000,95300,96000,97900,100000,100700,102000,104100,105600,106600,108200,108700,111200,112000,114100,114300,116000,117900,117800,122000,122100,124200,124400,126600,128600,128600,129900,132200,133700,133200,135900,134100,138200,139400,139800,143100,142600
user4997363039078325801,1300,3300,5200,6600,7700,9400,10100,12300,13500,15500,17100,17700,19500,20500,22700,24300,25300,26700,27700,30500,31700,32500,34600,35500,37600,39100,40200,37300,43500,45300,46300,49100,49100,50500,52000,53600,54900,56300,57900,59400,60900,61700,63700,64900,66500,67900,69500,70400,72500,73400,74700,77300,78200,80100,80800,82400,83800,85400,87000,87900,89800,90800,92600,94300,94200,96800,98700,99200,100400,102700,103500,105300,106200,108700,108800,111500,112200,113600,115000,116200,117800,119200,108400,122100,123200,124400,126200,128400,127200,130200,131900,133000,134300,135500,137800,139000,140200,141500,143300,143700
user643709410794525705,1000,2700,5000,5400,8500,9300,11000,11900,13600,15100,17000,17900,20300,21100,22600,24200,25700,26700,28100,30000,31400,33100,34500,36700,36800,38200,40500,41800,43700,44400,46500,46900,49000,51600,51400,53600,54900,56400,57700,58400,60400,61600,64100,64700,67800,69100,69900,70300,73200,73300,75200,77300,76600,79900,81100,82600,83500,85400,87100,87900,89700,91200,92800,93600,94200,96500,97800,99700,100900,101800,103600,104900,106700,108700,109300,111400,111800,114000,114400,116300,117900,119300,120600,121800,124100,124700,126000,126500,128400,131900,131300,131800,132600,136000,137300,139200,136600,141500,142900,144300
