Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user880158958590769958,2700,3800,5400,7000,8500,10000,11500,12800,14000,15000,16800,16200,19600,20900,22700,24000,25000,26600,27700,29400,30900,32000,33400,34800,36600,38100,39600,41000,41700,44000,45500,46900,48500,49900,50400,51900,54000,55400,56800,58300,59200,60400,62700,64000,64600,66800,68400,69900,71000,72800,74300,75700,77300,78700,79900,81000,82900,83800,84900,86300,87900,89000,90500,91900,93300,94800,96400,97500,98800,100000,101000,102300,104000,105400,106700,107900,109600,110900,112500,113900,115000,116500,117900,119300,120600,120800,123100,124300,124200,126000,128700,129900,131100,132600,134100,135900,135900,138300,139600,140800
user7215059939475971719,2600,4000,5600,7000,8300,10000,11700,12900,14000,15000,16600,17900,19500,20800,22300,23900,25000,26400,28000,29900,30900,32000,33500,34900,36800,38100,39200,40800,41900,44200,45500,46900,48300,49700,51000,52900,54000,55600,56600,58000,59900,61200,62500,64000,65400,67000,68100,69800,71100,72700,74100,75900,77500,78600,79800,81600,82600,83900,85000,86500,87800,89100,90900,91800,93500,94900,96400,97300,98900,100000,101000,102300,103000,104100,106700,108100,109400,111100,112000,113500,102400,115900,117900,119000,120300,122000,123100,124500,126000,127100,128400,129800,131200,132600,134000,135500,137300,138500,139900,141000
user2986878673337037154,2400,3900,5400,7000,8300,9800,11500,12900,14000,15000,16400,18000,19400,20700,22400,23600,25000,26600,27900,29500,30700,32000,33300,35100,36700,38100,39800,41000,42300,44100,45400,47000,48400,50000,50900,51800,53800,55700,57000,58300,59500,60600,62900,64000,65500,67000,68700,70000,71300,72800,73800,75400,77100,78300,79900,81200,82800,83900,85000,86500,87900,89200,90700,91800,93400,94900,96300,97500,99000,100000,100900,102400,102900,105400,106400,108100,109600,111000,112600,113900,113800,116500,117900,119300,119400,120600,121700,124500,125800,127400,128900,129900,131300,132800,134400,135000,137100,136700,138600,141000
user8753546815431210873,2500,3900,5500,7000,8500,9900,11300,13000,14000,15000,16600,18000,19600,21000,22500,23900,25000,26400,27900,29600,31000,32000,33400,34800,36300,37900,39400,40900,42500,43900,44400,46800,48100,49900,51000,52500,53900,55300,55900,58300,59800,61300,62800,63900,65400,66800,67700,69900,71400,72900,74000,75800,77000,78500,80000,80700,82100,83900,85000,86200,79100,89600,90900,92000,93400,95000,95600,97600,99000,100000,101000,92400,103800,104900,106700,108100,109500,111100,112500,114000,115000,116400,117900,118900,120300,121600,122800,124700,126000,126900,128800,129800,131300,132900,133900,135000,137200,138300,139800,140900
user1467819816047465854,2800,4000,5400,7000,8900,9800,11100,13000,13900,15000,16200,18000,19700,20900,22700,23900,25000,26400,27900,29400,30800,32000,33300,35000,36400,38100,39100,40900,42500,44200,45400,46900,43500,49900,51000,52500,53900,55100,56800,58300,59700,61000,62900,64000,65300,66800,68300,69900,71400,72000,74200,75900,77100,78700,79900,81400,74800,83200,85000,85200,87300,89400,91000,91900,93400,94900,96200,97500,98800,99900,100900,102200,103900,105100,105300,107900,109800,111100,112400,113600,115000,116700,117900,119200,120700,120800,123100,124600,126000,127300,128700,129900,131300,132600,134200,135600,137100,138700,139400,141000
user7229678446045915210,2700,4000,5500,6900,8300,10000,11600,12900,14000,15000,16500,18000,19300,20900,22700,24000,25000,26300,27900,29500,30900,31900,33400,34900,36600,38000,39500,40900,42200,44100,45500,47000,43900,49900,51000,52600,54000,55500,56900,58100,59700,61200,62700,64000,65400,66400,68200,70000,71500,72700,74100,75700,77000,78600,79900,81200,82600,83900,85000,86300,87900,89000,90800,92000,93400,94900,96400,97500,99000,99900,101000,102500,103900,105400,106700,108000,109500,110900,112200,113900,114900,116300,117800,119100,120700,121900,123200,124500,125700,127100,128700,130000,131400,132800,132800,135600,137300,138300,139900,141000
user4182406682646079131,2600,3900,5700,6900,7800,9800,11200,12900,14000,15000,16400,17900,19400,20900,22500,24000,24800,26400,28000,29300,31000,32000,33400,35000,36200,38100,39700,40800,42500,43900,45400,46600,48500,49900,51000,52300,53900,54900,56800,58100,59800,61300,62600,64000,65500,66900,68400,69900,71300,72800,74400,74900,77100,78600,80000,80100,82600,83800,84900,86400,87700,89100,90600,92000,93600,94900,96500,97600,98800,100000,101000,102200,103700,105500,106700,108100,109500,108900,112500,113800,114900,116400,117700,119300,120700,122000,123100,124500,125500,127000,128600,130000,131200,132900,134200,135800,137200,138400,139800,140900
user7099738217099623881,2500,3900,5600,6900,8400,9900,11400,12700,14000,15000,16600,18000,19700,20800,22300,23600,24800,26500,28000,29600,30600,31700,33500,35000,36700,37900,39300,41000,42100,43900,45300,46400,48500,49300,51000,52600,53800,55700,56900,58000,59600,61200,61900,63900,65500,66900,68100,69900,71400,72900,74000,75900,77100,77700,79800,81100,82900,83900,84900,86400,87900,89000,90900,92000,93200,93800,96300,97900,98900,100000,101000,102400,104000,105200,106800,107600,109700,111100,112400,114000,115000,116400,117800,119200,120800,121700,123300,124400,124700,127100,128700,129700,131400,132800,133900,135800,137200,138800,140000,140900
user1096402211991364026,2400,3900,5500,6900,8600,9900,11600,12800,14000,15000,16900,17900,19500,21000,22200,23900,25000,26300,27800,29400,30700,31700,33300,35000,36700,38100,39800,41000,42400,43900,45600,46700,48300,49800,51000,52300,53800,55800,56900,58300,59900,61100,62700,64000,65300,66900,68300,69900,71300,72500,74300,75700,77100,78300,79900,80800,83000,83900,85000,86900,87900,89300,89900,92000,93500,94700,96400,97300,99000,100000,101000,102600,104000,105500,105800,108000,109900,111100,112400,113800,103600,116700,117900,119200,120500,121900,122500,112100,125800,127400,128800,129900,131100,132800,134000,135800,137200,138100,139800,140500
user1689309211979468051,2600,4000,5300,6900,8400,10000,11400,12800,14000,15000,16300,17900,19500,20900,22100,23900,25000,26400,27700,29500,31000,32000,33400,34900,36400,38500,39100,40900,42400,43900,45300,46800,48600,49800,51000,52100,54000,55000,56300,58300,59200,61100,62700,64000,65400,67000,68600,70000,71400,72900,74300,75700,76900,77900,79900,80600,82800,83900,85000,86500,86200,89300,90700,91700,93300,94800,96300,97700,99000,100000,101000,102100,103700,105300,106800,108000,109400,111000,112300,113900,114900,116500,117800,119200,119300,121700,122800,124800,126000,127400,128500,129800,131400,132900,134100,135800,137100,138600,140000,140800
