Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user1468598091777448185,2400,4300,5700,6700,8300,9900,11600,13000,14200,15700,18100,18800,20200,22000,23400,24800,26300,27900,29500,30400,32400,33700,35200,36900,38200,39700,41300,42500,44100,45600,46900,48200,50100,51400,52700,54300,55500,57300,58600,59900,61200,63100,64700,65800,68300,67900,70200,73100,72600,74400,76200,77900,79300,80900,81800,83000,84700,86400,87400,89900,90500,91900,93400,94300,95700,100300,99300,99800,102100,103100,104500,106000,106600,108200,110100,110100,113600,114200,115500,116900,116800,119500,121100,122600,123900,125100,126700,128100,129500,130900,132100,133900,135100,136800,137800,139100,137600,142100,143400,144400
user5696001082186400419,2400,4100,5300,7300,8700,9800,11200,14700,14500,15600,17300,18800,20500,21900,23500,25000,26700,27800,30600,27900,32600,34000,36200,36600,38400,40600,41000,42700,44000,45400,47000,48600,49800,51500,52300,53900,55700,56900,58700,53700,63500,62300,64300,66500,67200,68700,70400,71900,73400,74400,76200,76400,79100,80400,81800,83100,84600,86000,85500,89100,90400,92100,93200,94600,96500,97100,98900,100900,102000,103000,104500,106100,106900,107600,112400,111400,112700,114500,115500,117200,118900,119300,121000,121400,124200,125200,126800,128300,129800,130700,131900,134100,135500,136300,137400,139100,140300,142400,142900,143000
user2177168459436198613,2300,4000,5800,7000,8300,9800,11500,13200,14600,15600,16900,19000,21600,21600,23300,24700,26600,28400,29900,30600,32400,33500,35200,36600,38200,39300,41200,42300,44300,45300,46700,48100,50400,51200,52600,54700,55100,57300,58400,59500,61700,62700,64400,65400,67600,68800,70100,71300,73000,74700,76400,77500,78800,80300,82300,83000,84600,86700,87000,89000,90700,91800,92900,94700,95800,97800,97900,100300,101800,104800,104200,105500,107500,108500,110600,110200,112700,114200,115500,117000,118300,119700,121200,122900,124300,125300,126600,130100,129100,131000,132400,133800,135200,136400,137800,139300,140900,140600,143500,145000
user6631525303526403056,2500,3700,5600,6800,8300,9800,11700,12500,14300,16000,17300,18600,20900,21700,23500,25000,26300,27800,29100,30400,31900,34000,35700,37000,38100,40000,41100,43100,43900,45500,47100,48100,50000,51100,52700,53500,55700,57000,58300,60000,63000,63000,64400,65100,67300,69200,70300,71000,72900,74600,76100,77800,78600,81300,81500,83400,84300,85600,87300,88900,90200,91500,93400,94300,95400,97500,97800,100300,101500,103100,104900,106000,107600,108800,109600,110500,113200,114400,115800,117200,118200,119700,121200,122500,124300,125400,127100,128200,129500,130600,132200,134000,135400,136600,138100,139100,141000,141900,143500,144900
user1598320005505897631,2800,3800,5300,8800,8400,9800,11100,12800,14500,15700,17500,19100,20300,21800,23200,25000,26200,27700,29200,30900,32300,33900,35300,37000,38200,39800,40600,43200,44100,45600,46700,48700,49700,51700,53200,54100,55400,57500,58900,60300,61300,63100,64200,65700,66900,68300,69800,71200,73200,74400,76300,76700,79100,80000,82100,82900,83800,84400,87600,89100,89900,92700,93400,95000,96000,97700,98500,100200,101600,103000,104600,106400,107600,108200,110200,110000,112800,114100,115200,117200,118500,120100,121300,121200,123900,112600,126800,128100,128300,130800,132500,133800,136300,136100,137700,139400,140100,142600,140600,145100
user4993018502353356685,2100,4300,5200,6900,8300,9600,11000,13000,14500,15600,17400,18800,20700,21700,23800,25300,26300,29100,29500,30800,32600,33800,35500,36800,38400,39400,41600,42700,43900,45200,47200,48200,49900,51500,52700,49400,54900,57600,59700,59400,61200,63300,65100,64700,67300,69100,70100,71700,72900,76200,75700,76700,79500,80700,81700,83000,84200,85800,87700,88800,90100,91700,93000,93600,96100,97500,99100,100400,102200,103200,104400,106000,106500,108600,109900,111200,113000,114100,115200,116600,120200,119500,121500,122500,124000,125200,127000,128000,129500,130700,134400,133700,135200,136600,137800,139700,140800,142100,143400,145400
user8994122584734582359,2600,4400,5200,7000,8100,10000,11700,12600,14700,15700,17400,18900,20800,22900,23100,25900,26600,28200,29300,30800,32700,33500,37000,36800,38300,39900,40900,42600,44200,45700,47300,48000,50100,51400,52800,54200,55600,57500,58900,61300,61700,62900,64600,66500,67400,68800,70900,71700,73000,74900,76300,78800,78800,80500,82300,83100,84800,86100,87200,89000,90500,91700,93100,94500,95700,97400,98900,100100,101800,103400,104200,105900,107200,109200,109800,111300,112700,114100,116100,116700,118200,119600,121300,123500,124000,125400,126600,125800,129100,130800,132200,133700,135300,135200,137900,139200,141100,141600,143300,144200
user5706493367249216677,2500,3600,5100,7100,8200,9900,11300,12900,14700,15800,17700,18900,20100,21800,24500,25000,26300,28100,29400,31400,32700,33800,35300,36700,38000,39600,41100,42300,44000,45700,46800,48500,50300,51400,53000,53900,55800,57100,58600,59700,61500,64700,64100,65900,67200,69100,70200,71800,73000,74500,75900,77200,78900,80600,81800,83300,85000,86000,86900,89000,89600,91700,93200,94400,95700,97300,99200,100200,101900,103000,104600,105900,107300,108800,110700,100500,113000,112700,115500,116900,117800,118600,122000,122500,123700,125600,127000,128000,129100,131600,132100,134100,133700,136500,137700,139100,140200,141800,143500,140500
user8159738209636667835,2700,4400,6100,6900,8500,9800,11400,13100,14600,15800,18500,18800,20400,21800,23000,24800,26600,27900,29300,31300,32200,34000,35100,36900,38100,39800,41000,42600,44000,45700,46900,48000,50100,51200,53000,54200,55700,56900,58700,60100,61300,62800,64500,66200,67600,67700,70000,71600,73000,74600,76100,77100,78600,81300,81600,83500,85000,85900,87800,89200,90400,91500,93100,94800,96300,97500,99700,90500,101700,103400,104800,104800,107200,108500,99000,110400,112700,113200,116000,117100,118400,119800,121100,122400,125000,125400,126500,127400,129300,130900,134400,133700,135200,136200,137800,137800,140100,141800,143400,130200
user7939027089434647969,3500,3800,6000,6900,8400,10200,11600,13000,14200,15800,17600,18900,22400,21600,23200,24700,25900,29400,29300,30600,31900,34000,35100,37100,38000,39500,40800,42600,44300,45500,47100,48400,49900,51300,53000,54600,55600,57800,59200,60000,55300,62900,64200,65800,67100,68800,70300,71800,72900,74600,75600,76400,78600,80300,81800,83000,85000,86300,87600,88900,90500,91700,94000,94500,95800,96500,98900,100000,102000,102900,104400,106200,106200,108700,110000,112400,112700,114100,115900,116500,118400,119800,121300,122400,124200,125100,128600,128100,129800,131600,133800,133300,135200,136500,138100,139100,140200,142100,143100,143700
