Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user1000385178204227360,1600,3000,4900,5300,7600,9000,10400,11900,13400,15400,16400,18100,19600,20800,22600,23900,25000,26400,28500,30100,31400,32400,34000,36000,37400,40700,40400,41900,43700,44600,45900,48000,49100,50300,52700,48200,55100,57200,58300,59100,60400,61600,63900,63900,66600,68100,68900,72600,72900,74000,75100,76400,78000,79800,81200,83300,84300,76500,86700,88700,88700,90900,92900,93600,94900,96800,97600,99600,101000,102600,103500,104700,106200,107900,108800,110500,112600,113900,116100,116800,118200,119000,121000,121900,123600,123600,126000,127500,129200,130300,131200,134000,136900,135400,137000,138200,140100,141800,142600,144000
user7697331399106995587,1300,3100,4800,6300,7200,9100,10100,11900,14000,15200,16900,17700,19200,21000,22500,23700,25500,26400,28400,30300,31500,32800,34200,35800,37800,38800,40400,41800,43400,44800,41800,47200,50100,50400,51700,53500,55300,56100,57400,59900,60800,62300,63600,64600,66500,68300,70000,70800,72400,73400,76000,76000,79100,79100,80600,82800,83800,85500,86200,87900,89400,90200,92200,93900,95000,96300,98400,99400,101600,102400,103700,105000,106700,97700,108500,110900,111900,113700,114400,116600,117900,118800,120800,122200,123600,124700,126300,127400,129200,130000,132100,132900,133900,136000,137400,138500,139800,141300,142100,143900
user412164360235391016,1100,3100,5000,6800,7600,8400,10600,12900,15700,15400,17300,17900,19700,21900,23600,24400,25600,27200,29000,30100,30900,33100,34900,36200,37200,40800,40900,42100,44000,45000,46700,48100,49000,50700,52500,53700,55400,57100,57700,58700,60000,62200,63600,64500,67200,68600,69900,70900,73200,74000,75600,77300,78600,80600,81200,82100,84200,86100,87300,88000,90000,91200,92200,94400,96700,96500,98800,97000,101300,102500,103600,107100,106900,108400,109700,109800,113200,113800,114900,116000,117800,107300,121200,122800,126000,125300,125900,127500,130900,129300,131500,132700,134400,135800,137100,139200,138200,141800,142800,143600
user8753205170136912308,1800,3600,4700,6800,7900,9900,11100,14600,14000,16300,19000,19000,19700,21900,23000,24900,26400,27200,28700,31500,32900,33700,34800,36000,38500,39200,41500,42700,44300,45300,46900,47800,51500,51400,52700,53300,55100,57200,58700,59900,61500,63300,63800,65500,66600,68300,69600,70700,72300,74600,75700,77500,78700,80000,81700,82600,84200,86200,87600,89200,90400,91500,93900,94100,95800,96900,97800,100800,100400,102800,104900,104900,106800,107700,110000,111500,111800,114900,114100,116900,117500,120000,121200,121100,124000,125300,126500,127800,130000,129800,132600,132900,135200,137300,137300,138900,140900,142300,143600,129900
user6520889763169322899,1900,3200,4300,6500,8700,8900,12500,11700,14000,15800,16900,18300,19300,22300,23100,23900,26000,27700,28200,29400,31500,33900,34300,36100,38100,39100,40700,42200,44000,44800,46900,48000,50000,50500,52600,54400,55800,56800,58200,59600,60200,63500,63700,65300,66900,67800,69000,70700,72900,74000,75700,76600,78100,79700,82500,83300,84200,84900,87200,88700,91200,90800,92500,93700,95900,97300,98300,100100,101800,101900,104200,105200,106600,107400,110400,111100,112100,112300,114800,116900,118000,119600,121200,123900,123600,126500,127100,128300,129300,130500,132000,133600,135000,136600,137100,138300,139200,143100,143000,144200
user1468038131265307737,1600,2700,4800,5700,7900,8900,10300,11500,13400,15300,16600,17500,19700,20700,23600,24200,25700,27300,28700,30100,31300,33100,33400,35800,38200,39300,40100,41800,44600,44300,46300,48600,49200,50800,51700,52800,55400,56300,57600,59500,60200,62200,64200,65000,66900,68300,69000,70600,71300,75000,75700,77400,79100,79700,81200,82000,84100,88200,87000,88400,89400,90800,94000,94000,94000,97400,98000,99900,100900,102800,104100,106300,107100,108100,109300,111100,112700,113400,114200,116300,115800,119600,120700,123400,123200,124300,126200,128100,129300,129600,131500,132900,135300,135500,135800,139500,139700,141300,142700,143900
user4520119406760868179,1700,3900,4800,6200,7700,9200,10100,11700,13900,15200,16500,18200,20300,21700,23000,23800,25900,28600,28400,29700,32300,32700,34100,35700,38000,39100,40700,41900,43900,45400,46000,48000,49500,50600,52700,53200,55100,56500,57900,58600,60900,61800,64000,65000,66900,67600,69500,71000,72600,73700,75000,77100,78000,79300,81000,82500,84000,85600,86900,87900,89200,91000,91900,95200,95100,97100,97900,100700,100800,102600,104200,105000,105600,108300,109500,110900,112700,112500,115400,116600,117900,118900,120600,121700,122800,124700,126000,127800,128300,130000,131500,133600,134500,135900,137400,138400,140300,141200,142500,144000
user3353268450079572736,1400,2700,4200,6000,7100,9200,11000,12000,13000,15200,16300,18200,19600,20700,22500,24300,25600,27300,28300,30300,31500,33100,34300,36100,37600,38700,40400,41600,43400,44400,46300,48000,48600,45500,51900,53700,55200,56000,58500,59300,61700,61700,63400,64500,66300,69000,69600,70600,72600,73800,74700,76500,78200,79000,80000,81500,84100,84800,86800,88000,90500,91400,92000,92800,95100,96400,97900,99300,101200,101300,104900,104900,106800,107800,109900,110300,111300,101700,115300,116500,117500,119500,120700,122200,123000,124300,126000,128200,127000,128200,131200,132800,133600,135700,137400,138600,140800,141700,142600,144100
user5108340224729704523,1200,2800,4300,6100,7600,8700,10500,11600,13000,14400,16800,17400,19600,20600,22500,23900,25200,27000,28000,29600,31000,33100,34200,36100,34000,39200,41600,41100,43000,45300,46300,47600,48600,50600,52700,53300,54600,56000,57600,58200,60300,61700,64300,65000,65900,69100,69100,70900,73100,72900,75400,77600,77600,79600,80100,81900,83600,87200,86400,88100,89200,91500,92800,94100,94500,96200,98300,98900,100900,102200,103800,105600,106800,105400,110000,110200,112300,112300,114400,116500,117100,119300,122400,123800,122900,125100,124800,127600,128800,130200,131500,132900,134200,136800,136700,139700,139200,141800,142500,144000
user55488592825689361,1500,3200,4800,5500,7600,9000,10400,12400,12700,14700,16400,18000,17400,20800,22900,24000,26300,27400,28800,30000,31700,32500,34700,35500,38000,39000,40200,41900,42300,44900,46800,47800,48500,50900,52000,53500,54800,56000,57800,60200,60400,61800,63500,64800,66700,67600,69800,70500,72500,73700,75500,76800,78300,80300,81200,81500,85500,86500,87000,88400,90500,90700,92500,93500,95900,97100,97900,99300,100900,102100,104000,105300,106100,107400,109800,110500,112200,112700,114600,116100,117300,119100,119000,121700,123500,124600,125700,127300,128800,130000,131400,132800,134900,136100,137100,139000,139900,140800,143000,137500
